Date,Open,High,Low,Close,Volume
23-Oct-14,1.43,1.46,1.40,1.45,17959
22-Oct-14,1.40,1.47,1.40,1.45,10580
21-Oct-14,1.47,1.47,1.46,1.46,1012
20-Oct-14,1.43,1.44,1.43,1.44,950
17-Oct-14,1.50,1.54,1.41,1.47,49303
15-Oct-14,1.49,1.50,1.41,1.48,23377
14-Oct-14,1.55,1.59,1.48,1.48,8416
13-Oct-14,1.55,1.55,1.46,1.53,1211
10-Oct-14,1.58,1.58,1.49,1.56,1439
9-Oct-14,1.65,1.65,1.51,1.55,5921
8-Oct-14,1.62,1.62,1.60,1.61,3035
7-Oct-14,1.60,1.72,1.59,1.60,6504
6-Oct-14,1.56,1.65,1.55,1.63,8249
2-Oct-14,1.68,1.68,1.56,1.61,4456
1-Oct-14,1.55,1.57,1.55,1.57,14693
30-Sep-14,1.49,1.55,1.49,1.52,1200
29-Sep-14,1.49,1.54,1.49,1.54,2300
26-Sep-14,1.49,1.63,1.43,1.52,15093
25-Sep-14,1.49,1.56,1.45,1.54,4370
24-Sep-14,1.41,1.54,1.41,1.53,29607
23-Sep-14,1.46,1.50,1.45,1.48,10265
22-Sep-14,1.41,1.50,1.36,1.48,105433
19-Sep-14,1.45,1.48,1.36,1.45,74359
18-Sep-14,1.49,1.49,1.46,1.46,25682
17-Sep-14,1.54,1.56,1.29,1.50,63236
16-Sep-14,1.59,1.64,1.56,1.57,16382
15-Sep-14,1.52,1.59,1.50,1.55,8582
12-Sep-14,1.55,1.58,1.55,1.56,7458
11-Sep-14,1.50,1.61,1.50,1.56,31184
10-Sep-14,1.53,1.57,1.52,1.52,11577
9-Sep-14,1.60,1.61,1.55,1.58,14466
8-Sep-14,1.56,1.60,1.54,1.59,29497
5-Sep-14,1.56,1.64,1.56,1.62,5345
4-Sep-14,1.65,1.65,1.55,1.56,107776
3-Sep-14,1.65,1.67,1.60,1.65,21059
2-Sep-14,1.61,1.66,1.61,1.62,8943
29-Aug-14,1.64,1.66,1.62,1.66,13007
28-Aug-14,1.56,1.68,1.56,1.68,3238
27-Aug-14,1.65,1.66,1.63,1.65,15623
26-Aug-14,1.66,1.68,1.65,1.65,27128
25-Aug-14,1.62,1.67,1.56,1.66,37450
22-Aug-14,1.69,1.69,1.60,1.62,9270
21-Aug-14,1.67,1.76,1.66,1.68,55894
20-Aug-14,1.78,1.79,1.68,1.69,7212
19-Aug-14,1.85,1.85,1.77,1.77,2732
18-Aug-14,1.79,1.86,1.78,1.78,3786
15-Aug-14,1.76,1.89,1.76,1.86,13670
14-Aug-14,1.82,1.86,1.73,1.80,8511
13-Aug-14,1.80,1.87,1.80,1.83,3204
12-Aug-14,1.91,1.93,1.81,1.82,8792
11-Aug-14,1.78,1.87,1.75,1.84,23713
8-Aug-14,1.79,1.97,1.79,1.84,14559
7-Aug-14,1.94,1.97,1.78,1.79,80421
6-Aug-14,1.97,1.97,1.96,1.96,330
5-Aug-14,1.91,1.95,1.85,1.92,23008
4-Aug-14,2.00,2.25,1.84,1.92,7820
1-Aug-14,1.98,1.99,1.93,1.94,1356
