Date,Open,High,Low,Close,Volume
23-Oct-14,1.38,1.53,1.38,1.48,218940
22-Oct-14,1.35,1.38,1.28,1.38,45989
21-Oct-14,1.35,1.38,1.30,1.32,34690
20-Oct-14,1.32,1.35,1.29,1.35,43832
17-Oct-14,1.21,1.37,1.21,1.34,223407
16-Oct-14,1.24,1.25,1.18,1.19,124399
15-Oct-14,1.18,1.26,1.17,1.24,87670
14-Oct-14,1.18,1.28,1.16,1.18,117233
13-Oct-14,1.17,1.19,1.15,1.17,36826
10-Oct-14,1.18,1.24,1.12,1.16,159936
9-Oct-14,1.26,1.26,1.18,1.19,89844
8-Oct-14,1.34,1.35,1.19,1.24,185695
7-Oct-14,1.44,1.44,1.33,1.33,136149
6-Oct-14,1.53,1.56,1.43,1.43,111726
3-Oct-14,1.59,1.59,1.50,1.52,68006
2-Oct-14,1.50,1.57,1.46,1.53,108572
1-Oct-14,1.57,1.57,1.48,1.48,96544
30-Sep-14,1.61,1.80,1.55,1.55,115234
29-Sep-14,1.62,1.70,1.61,1.61,147571
26-Sep-14,1.65,1.67,1.61,1.62,81605
25-Sep-14,1.67,1.70,1.61,1.62,157800
24-Sep-14,1.73,1.75,1.66,1.67,37868
23-Sep-14,1.69,1.93,1.69,1.71,303891
22-Sep-14,1.69,1.74,1.64,1.68,35192
19-Sep-14,1.68,1.69,1.61,1.68,227539
18-Sep-14,1.73,1.73,1.67,1.69,101211
17-Sep-14,1.75,1.78,1.70,1.70,155665
16-Sep-14,1.76,1.77,1.71,1.73,89871
15-Sep-14,1.83,1.86,1.75,1.75,116311
12-Sep-14,1.86,1.92,1.78,1.81,112659
11-Sep-14,1.95,1.98,1.85,1.87,177802
10-Sep-14,2.07,2.07,1.89,1.95,295535
9-Sep-14,1.91,2.25,1.88,2.10,1298988
8-Sep-14,1.66,2.02,1.66,1.94,612169
5-Sep-14,1.67,1.72,1.66,1.66,71750
4-Sep-14,1.74,1.74,1.65,1.69,225159
3-Sep-14,1.80,1.82,1.72,1.74,115854
2-Sep-14,1.89,1.92,1.79,1.79,123719
29-Aug-14,1.93,1.93,1.87,1.87,61216
28-Aug-14,1.95,1.95,1.84,1.89,143939
27-Aug-14,1.96,1.98,1.90,1.94,68469
26-Aug-14,1.95,2.04,1.91,1.96,292732
25-Aug-14,1.85,2.13,1.85,1.92,230008
22-Aug-14,1.88,1.96,1.85,1.86,116390
