Date,Open,High,Low,Close,Volume
23-Oct-14,53.07,54.30,51.93,52.70,582569
22-Oct-14,53.16,54.49,52.50,52.66,733664
21-Oct-14,50.84,52.53,50.84,52.34,389047
20-Oct-14,49.61,50.55,49.45,50.45,275818
17-Oct-14,50.90,50.90,49.46,49.75,377253
16-Oct-14,48.04,50.64,47.02,50.27,430994
15-Oct-14,47.87,49.01,46.87,48.75,399838
14-Oct-14,49.55,49.88,47.91,48.33,366213
13-Oct-14,48.82,50.40,48.66,49.10,229125
10-Oct-14,48.93,50.28,48.70,48.77,318187
9-Oct-14,50.50,51.18,49.16,49.22,308258
8-Oct-14,50.21,50.80,49.52,50.35,463634
7-Oct-14,50.18,51.25,49.82,50.46,265412
6-Oct-14,50.52,50.81,50.24,50.54,218092
3-Oct-14,49.55,50.41,49.42,50.25,206846
2-Oct-14,47.53,49.14,47.51,49.03,220242
1-Oct-14,48.62,48.73,47.22,47.53,390536
30-Sep-14,50.00,50.53,48.45,48.50,400390
29-Sep-14,49.61,50.58,49.46,49.96,177709
26-Sep-14,50.78,51.03,49.73,49.95,197949
25-Sep-14,51.88,51.88,50.55,50.73,207235
24-Sep-14,50.91,52.19,50.72,51.91,177375
23-Sep-14,51.27,51.88,50.63,50.71,257226
22-Sep-14,52.00,52.36,51.45,51.58,430748
19-Sep-14,51.38,52.27,51.30,52.17,573745
18-Sep-14,49.57,51.36,49.57,51.14,323798
17-Sep-14,49.33,49.86,48.60,49.22,178460
16-Sep-14,50.00,50.34,49.09,49.10,271270
15-Sep-14,50.72,51.14,49.24,50.00,230286
12-Sep-14,50.83,51.40,50.47,50.79,342098
11-Sep-14,50.38,51.11,50.07,50.87,208949
10-Sep-14,50.65,50.87,50.08,50.74,184938
9-Sep-14,50.68,51.02,50.36,50.49,152015
8-Sep-14,50.42,51.13,50.24,50.87,145955
5-Sep-14,49.23,50.36,48.84,50.30,244177
4-Sep-14,51.42,51.54,49.35,49.47,261865
3-Sep-14,52.18,52.18,51.05,51.20,252176
2-Sep-14,51.42,52.28,50.78,52.00,335081
29-Aug-14,51.80,52.37,51.12,51.21,314681
28-Aug-14,51.66,52.14,51.04,51.54,345529
27-Aug-14,51.56,52.23,51.30,51.98,337116
26-Aug-14,50.57,51.69,50.57,51.30,219089
25-Aug-14,50.70,50.88,50.23,50.63,227918
22-Aug-14,50.25,50.64,49.82,50.27,163394
21-Aug-14,50.17,50.68,49.50,50.26,141858
20-Aug-14,50.14,50.57,49.58,50.03,176572
19-Aug-14,50.13,50.92,50.03,50.46,358445
18-Aug-14,48.90,50.18,48.30,50.14,240032
15-Aug-14,49.50,49.72,48.06,48.51,277285
14-Aug-14,48.53,49.26,48.53,49.14,208581
13-Aug-14,47.84,48.88,47.73,48.49,251663
12-Aug-14,47.95,47.97,47.00,47.60,235270
11-Aug-14,47.80,48.60,47.08,48.16,277254
8-Aug-14,47.26,47.71,46.48,47.55,210682
7-Aug-14,48.11,48.33,46.99,47.26,265348
6-Aug-14,47.15,48.12,46.96,47.68,293928
5-Aug-14,47.61,48.46,47.03,47.59,256730
4-Aug-14,47.29,48.03,46.50,47.89,312658
1-Aug-14,47.86,49.07,47.01,47.16,501907
31-Jul-14,49.23,49.45,47.50,47.66,1293264
30-Jul-14,49.44,50.60,46.40,49.52,1146743
29-Jul-14,51.01,52.08,49.48,49.78,1035128
28-Jul-14,48.71,50.67,48.71,50.60,669844
25-Jul-14,47.21,49.89,47.21,48.71,733507
24-Jul-14,47.50,47.71,47.06,47.27,210963
23-Jul-14,47.58,47.71,46.93,47.24,286254
22-Jul-14,46.68,47.72,46.38,47.26,452839
21-Jul-14,45.56,46.68,44.99,46.57,230712
18-Jul-14,45.26,46.04,44.77,45.70,456697
17-Jul-14,45.83,46.59,45.25,45.40,250528
16-Jul-14,45.98,46.72,45.65,45.88,178805
15-Jul-14,46.50,46.94,45.77,45.79,326214
14-Jul-14,46.10,46.58,45.59,46.44,406155
11-Jul-14,45.23,45.93,44.82,45.78,404943
10-Jul-14,44.16,45.37,43.45,45.12,362053
9-Jul-14,45.07,45.54,44.11,45.15,161326
8-Jul-14,44.45,46.56,44.45,45.06,360727
