Date,Open,High,Low,Close,Volume
23-Oct-14,11.18,11.54,11.06,11.22,3690261
22-Oct-14,11.50,11.72,11.04,11.06,4648247
21-Oct-14,11.09,11.44,11.01,11.43,3528984
20-Oct-14,10.98,11.35,10.76,10.99,3548485
17-Oct-14,11.46,11.89,10.75,10.97,8042578
16-Oct-14,9.87,11.11,9.86,10.89,4211725
15-Oct-14,9.75,10.20,9.73,10.12,3781962
14-Oct-14,9.95,10.32,9.66,10.01,2969381
13-Oct-14,9.88,10.31,9.55,9.87,3616291
10-Oct-14,9.98,10.46,9.80,9.90,4086134
9-Oct-14,10.88,10.99,9.94,10.18,4747988
8-Oct-14,9.76,10.87,9.38,10.73,8193160
7-Oct-14,9.93,10.13,9.44,9.76,3007649
6-Oct-14,10.62,10.69,9.80,9.97,3237823
3-Oct-14,10.29,10.74,10.07,10.62,4023299
2-Oct-14,9.71,10.28,9.65,10.14,3374246
1-Oct-14,9.88,9.94,9.32,9.78,5511486
30-Sep-14,10.87,10.94,9.86,9.98,8524994
29-Sep-14,10.91,11.18,10.70,10.77,3814561
26-Sep-14,10.98,11.25,10.83,11.16,3739928
25-Sep-14,11.22,11.40,10.60,10.92,5305713
24-Sep-14,11.12,11.40,10.98,11.29,4181238
23-Sep-14,10.88,11.33,10.76,11.14,4746224
22-Sep-14,11.43,11.49,10.82,11.06,5054732
19-Sep-14,12.01,12.06,11.42,11.50,9558053
18-Sep-14,11.97,12.20,11.76,11.95,3698896
17-Sep-14,11.84,12.24,11.62,11.95,4321162
16-Sep-14,11.00,11.98,10.85,11.86,5181678
15-Sep-14,11.75,11.76,10.75,11.06,6846482
12-Sep-14,12.30,12.54,12.02,12.18,6388017
11-Sep-14,12.49,12.79,12.08,12.67,7592578
10-Sep-14,12.41,12.77,12.39,12.61,5436517
9-Sep-14,12.58,12.72,12.22,12.38,7149366
8-Sep-14,12.06,13.15,11.74,12.75,9184260
5-Sep-14,13.06,13.09,11.33,12.17,19253585
4-Sep-14,13.22,13.80,13.01,13.22,13074201
3-Sep-14,12.57,13.24,12.56,13.06,13268159
2-Sep-14,11.81,12.29,11.80,12.27,10420427
29-Aug-14,11.44,11.59,11.28,11.57,4373311
28-Aug-14,11.34,11.73,11.15,11.45,5213820
27-Aug-14,11.65,11.94,11.15,11.45,13542610
26-Aug-14,11.22,12.06,10.90,11.75,20176327
25-Aug-14,9.78,11.15,9.75,10.78,15008817
22-Aug-14,9.49,9.86,9.36,9.76,4195234
21-Aug-14,9.75,9.84,9.38,9.47,3847895
20-Aug-14,10.00,10.18,9.63,9.79,7254207
19-Aug-14,9.66,9.93,9.35,9.87,7249328
18-Aug-14,9.75,10.10,9.33,9.54,16929035
15-Aug-14,9.39,9.94,9.06,9.25,21933369
14-Aug-14,7.92,8.68,7.88,8.44,4716519
13-Aug-14,7.68,8.04,7.65,7.92,2911648
12-Aug-14,7.59,7.75,7.47,7.65,1991880
11-Aug-14,7.80,7.96,7.57,7.59,4595360
8-Aug-14,7.14,7.44,6.96,7.36,2715067
7-Aug-14,7.07,7.18,6.90,7.00,1691717
6-Aug-14,7.06,7.22,6.99,7.06,1724237
5-Aug-14,7.00,7.33,6.97,7.14,2124077
4-Aug-14,7.03,7.11,6.76,7.10,1998038
1-Aug-14,6.82,7.34,6.80,7.04,4480757
31-Jul-14,7.19,7.30,6.83,6.85,2656815
30-Jul-14,7.30,7.50,7.26,7.28,1998064
29-Jul-14,7.08,7.46,7.07,7.22,1904630
28-Jul-14,7.21,7.30,7.03,7.07,2112538
25-Jul-14,7.17,7.32,7.08,7.22,2176900
24-Jul-14,6.91,7.40,6.91,7.30,3115562
23-Jul-14,6.92,7.12,6.84,6.91,2660312
22-Jul-14,6.74,7.16,6.71,6.83,2604093
21-Jul-14,6.78,6.87,6.61,6.71,2008327
18-Jul-14,6.65,6.85,6.64,6.82,2676991
17-Jul-14,6.80,7.02,6.64,6.65,2954469
16-Jul-14,7.17,7.22,6.81,6.85,3219400
15-Jul-14,7.41,7.48,7.02,7.10,4052839
14-Jul-14,7.68,7.69,7.26,7.41,4109113
11-Jul-14,6.98,7.96,6.97,7.64,7832120
10-Jul-14,6.85,7.14,6.65,7.03,2672962
9-Jul-14,6.96,7.24,6.83,7.17,2169271
8-Jul-14,7.28,7.31,6.73,6.90,4231290
7-Jul-14,7.66,7.73,7.33,7.34,2481202
3-Jul-14,7.74,7.83,7.49,7.68,2047150
2-Jul-14,7.50,7.80,7.45,7.71,3982764
1-Jul-14,7.53,7.57,7.42,7.44,2447097
30-Jun-14,7.71,7.74,7.48,7.57,3444958
27-Jun-14,7.59,7.78,7.55,7.74,5464224
26-Jun-14,7.42,7.72,7.32,7.64,3166687
25-Jun-14,7.58,7.64,7.26,7.45,4668343
24-Jun-14,7.86,7.96,7.52,7.59,5760085
23-Jun-14,8.12,8.33,7.51,7.77,9278795
20-Jun-14,8.42,8.61,7.97,8.13,24911794
19-Jun-14,7.66,8.30,7.46,8.08,14509446
18-Jun-14,7.45,7.83,7.40,7.69,7574028
17-Jun-14,7.55,7.72,7.25,7.58,13148092
16-Jun-14,7.34,8.05,7.25,7.82,35447873
13-Jun-14,6.74,6.75,6.26,6.47,9018557
12-Jun-14,7.25,7.28,6.27,6.83,21042969
11-Jun-14,7.40,7.62,6.89,7.29,34220956
10-Jun-14,6.06,7.81,6.02,7.79,73497868
9-Jun-14,3.97,4.82,3.72,4.25,47786348
6-Jun-14,2.85,2.92,2.82,2.88,755752
5-Jun-14,2.70,2.84,2.69,2.84,774212
4-Jun-14,2.67,2.80,2.67,2.71,454871
3-Jun-14,2.72,2.73,2.68,2.69,604758
2-Jun-14,2.71,2.78,2.65,2.78,738592
30-May-14,2.77,2.86,2.70,2.71,976469
29-May-14,2.89,2.94,2.78,2.78,733309
28-May-14,2.90,2.95,2.79,2.86,690619
27-May-14,2.85,2.95,2.83,2.92,862010
23-May-14,2.89,2.95,2.81,2.83,705984
22-May-14,2.74,2.88,2.68,2.88,856864
21-May-14,2.78,2.79,2.65,2.72,652250
20-May-14,2.77,2.91,2.66,2.75,1995379
19-May-14,2.67,2.80,2.64,2.76,1085480
16-May-14,2.68,2.70,2.57,2.67,729585
15-May-14,2.68,2.77,2.61,2.69,1247132
14-May-14,2.85,2.90,2.70,2.70,1143417
13-May-14,2.93,3.00,2.84,2.89,1311910
12-May-14,2.82,2.95,2.78,2.95,1201599
9-May-14,2.49,2.80,2.48,2.79,1896612
8-May-14,2.70,2.74,2.48,2.52,1763248
7-May-14,2.66,2.71,2.45,2.70,1934496
6-May-14,2.78,2.82,2.62,2.64,1107781
5-May-14,2.67,2.81,2.61,2.81,862114
2-May-14,2.71,2.82,2.67,2.69,926547
1-May-14,2.73,2.82,2.67,2.78,1611444
30-Apr-14,2.70,2.87,2.63,2.85,1634287
29-Apr-14,2.77,2.79,2.67,2.70,1466067
28-Apr-14,2.71,2.79,2.60,2.73,1173205
25-Apr-14,2.90,2.96,2.68,2.73,1223672
24-Apr-14,3.11,3.14,2.86,2.91,1125525
23-Apr-14,3.07,3.17,2.95,3.08,1761412
22-Apr-14,2.86,3.11,2.86,3.08,1347615
21-Apr-14,2.85,2.89,2.75,2.84,803818
17-Apr-14,2.79,2.90,2.71,2.83,961150
16-Apr-14,2.64,2.81,2.60,2.79,1723924
15-Apr-14,2.77,2.90,2.49,2.61,3464376
14-Apr-14,2.90,3.00,2.72,2.74,1714281
11-Apr-14,2.95,3.10,2.84,2.88,1945265
10-Apr-14,3.19,3.20,2.97,3.00,1771662
9-Apr-14,3.06,3.20,3.06,3.18,1046215
8-Apr-14,3.02,3.13,2.97,3.05,1387460
7-Apr-14,3.03,3.09,2.90,3.00,2062039
4-Apr-14,3.16,3.24,3.00,3.02,2269862
3-Apr-14,3.24,3.26,3.12,3.16,1420517
2-Apr-14,3.36,3.37,3.20,3.23,1657397
1-Apr-14,3.31,3.43,3.21,3.32,1342715
31-Mar-14,3.23,3.31,3.17,3.29,847758
28-Mar-14,3.30,3.37,3.14,3.18,1448911
27-Mar-14,3.43,3.50,3.26,3.31,1428449
26-Mar-14,3.69,3.83,3.43,3.43,1930392
25-Mar-14,3.62,3.80,3.52,3.70,2836426
24-Mar-14,3.63,3.68,3.42,3.61,3506493
21-Mar-14,3.52,3.53,3.30,3.38,2174949
20-Mar-14,3.45,3.55,3.40,3.50,655079
19-Mar-14,3.50,3.56,3.45,3.46,878757
18-Mar-14,3.48,3.55,3.37,3.52,1283984
17-Mar-14,3.19,3.49,3.19,3.46,1623810
14-Mar-14,3.38,3.59,3.26,3.30,2871856
13-Mar-14,3.24,3.30,3.15,3.17,1238701
12-Mar-14,3.15,3.24,3.09,3.22,1212990
11-Mar-14,3.30,3.38,3.15,3.16,1761769
10-Mar-14,3.39,3.44,3.26,3.31,1903638
7-Mar-14,3.47,3.49,3.26,3.41,2372667
6-Mar-14,3.63,3.63,3.40,3.43,2372939
5-Mar-14,3.63,3.66,3.56,3.63,1056768
4-Mar-14,3.66,3.77,3.57,3.66,1793358
3-Mar-14,3.44,3.60,3.35,3.60,1721317
28-Feb-14,3.74,3.75,3.44,3.50,1955670
27-Feb-14,3.67,3.76,3.55,3.71,1766590
26-Feb-14,3.57,3.69,3.44,3.68,2068272
25-Feb-14,3.56,3.69,3.51,3.55,1542720
24-Feb-14,3.40,3.58,3.38,3.55,1800503
21-Feb-14,3.46,3.54,3.35,3.38,1692749
20-Feb-14,3.47,3.50,3.35,3.43,2070284
19-Feb-14,3.64,3.65,3.45,3.47,1812411
18-Feb-14,3.61,3.69,3.47,3.67,1395662
14-Feb-14,3.62,3.71,3.52,3.57,1246619
13-Feb-14,3.70,3.87,3.45,3.60,3229135
12-Feb-14,3.32,3.70,3.22,3.66,4756705
11-Feb-14,3.38,3.40,3.25,3.32,896060
10-Feb-14,3.17,3.39,3.15,3.31,1242589
7-Feb-14,3.07,3.26,3.02,3.19,1162279
6-Feb-14,3.11,3.17,3.05,3.08,1054319
5-Feb-14,3.18,3.26,2.98,3.10,1613131
4-Feb-14,3.10,3.36,3.06,3.20,2346884
3-Feb-14,3.27,3.32,3.08,3.08,1963509
31-Jan-14,3.32,3.38,3.28,3.31,1234397
30-Jan-14,3.35,3.50,3.34,3.39,1345470
29-Jan-14,3.46,3.46,3.32,3.34,1581993
28-Jan-14,3.44,3.54,3.36,3.46,1318708
27-Jan-14,3.66,3.70,3.27,3.44,2746658
24-Jan-14,3.94,3.95,3.64,3.67,2886986
23-Jan-14,4.04,4.05,3.81,3.94,2215614
22-Jan-14,4.21,4.22,4.00,4.08,1610422
21-Jan-14,4.18,4.24,4.00,4.20,2350382
17-Jan-14,4.05,4.36,4.00,4.12,4716257
16-Jan-14,3.73,4.12,3.71,3.98,3908210
15-Jan-14,3.74,3.75,3.62,3.73,2301270
14-Jan-14,3.67,3.77,3.61,3.69,1252821
13-Jan-14,3.95,3.96,3.57,3.65,3067426
10-Jan-14,3.67,3.83,3.65,3.82,2296509
9-Jan-14,3.90,3.99,3.58,3.66,6141210
8-Jan-14,3.30,3.75,3.28,3.75,5259378
7-Jan-14,3.39,3.41,3.28,3.31,2052673
6-Jan-14,3.48,3.55,3.28,3.38,1882966
3-Jan-14,3.30,3.57,3.30,3.47,2220186
2-Jan-14,3.33,3.40,3.22,3.30,1411991
31-Dec-13,3.31,3.40,3.25,3.32,1438193
30-Dec-13,3.37,3.39,3.24,3.26,1546456
27-Dec-13,3.42,3.46,3.31,3.38,957680
26-Dec-13,3.40,3.51,3.36,3.39,1262082
24-Dec-13,3.50,3.50,3.35,3.39,982366
23-Dec-13,3.18,3.48,3.14,3.46,3663597
20-Dec-13,3.14,3.19,3.11,3.13,6389515
19-Dec-13,3.14,3.20,3.05,3.13,1726147
18-Dec-13,3.04,3.15,3.00,3.15,1311750
17-Dec-13,3.13,3.16,2.99,3.02,1274051
16-Dec-13,3.14,3.26,3.10,3.14,1059791
13-Dec-13,3.15,3.19,3.08,3.13,808265
12-Dec-13,2.95,3.18,2.95,3.13,1226690
11-Dec-13,3.24,3.26,2.99,3.02,1995036
10-Dec-13,3.37,3.39,3.18,3.24,1630696
9-Dec-13,3.36,3.39,3.25,3.37,1525819
6-Dec-13,3.41,3.46,3.31,3.36,1100341
5-Dec-13,3.53,3.55,3.33,3.37,1633993
4-Dec-13,3.24,3.44,3.20,3.42,2930373
3-Dec-13,3.46,3.46,3.15,3.26,2152968
2-Dec-13,3.55,3.65,3.37,3.45,3121826
29-Nov-13,3.22,3.48,3.17,3.46,2028709
27-Nov-13,3.20,3.24,3.12,3.19,1421630
26-Nov-13,3.16,3.23,3.04,3.16,1948051
25-Nov-13,3.12,3.20,2.94,3.15,3280723
22-Nov-13,2.98,3.10,2.82,3.07,5264993
21-Nov-13,2.75,2.95,2.71,2.92,5418688
20-Nov-13,2.58,2.68,2.52,2.66,2609596
19-Nov-13,2.59,2.65,2.52,2.55,2469503
18-Nov-13,2.74,2.81,2.58,2.58,1761930
15-Nov-13,2.76,2.86,2.72,2.73,2559613
14-Nov-13,2.72,2.75,2.66,2.75,909530
13-Nov-13,2.78,2.85,2.62,2.69,2965635
12-Nov-13,2.52,2.79,2.46,2.79,4406065
11-Nov-13,2.50,2.55,2.46,2.50,1027893
8-Nov-13,2.46,2.53,2.44,2.49,1284158
7-Nov-13,2.46,2.57,2.44,2.44,1385712
6-Nov-13,2.63,2.69,2.45,2.47,1804624
5-Nov-13,2.70,2.73,2.60,2.62,1071870
4-Nov-13,2.65,2.81,2.63,2.71,3142589
1-Nov-13,2.50,2.54,2.41,2.53,1290616
31-Oct-13,2.47,2.51,2.26,2.50,3561813
30-Oct-13,2.54,2.58,2.43,2.48,1804137
29-Oct-13,2.44,2.58,2.44,2.52,2071386
28-Oct-13,2.50,2.51,2.40,2.43,1579396
25-Oct-13,2.51,2.64,2.45,2.50,2656628
24-Oct-13,2.73,2.77,2.60,2.61,1499138
23-Oct-13,2.71,2.77,2.70,2.70,965315
22-Oct-13,2.76,2.79,2.70,2.72,1425309
21-Oct-13,2.93,2.93,2.75,2.77,1635048
18-Oct-13,2.97,2.98,2.86,2.91,2306505
17-Oct-13,2.85,2.95,2.79,2.94,3086099
16-Oct-13,2.76,2.87,2.74,2.84,2467209
15-Oct-13,2.83,2.90,2.70,2.78,3160701
14-Oct-13,2.65,2.87,2.60,2.86,8562562
11-Oct-13,2.45,2.67,2.45,2.66,5112183
10-Oct-13,2.48,2.61,2.42,2.47,2932830
9-Oct-13,2.74,2.74,2.40,2.44,6081802
8-Oct-13,2.81,2.85,2.73,2.74,2565881
7-Oct-13,2.80,2.84,2.75,2.79,4043899
4-Oct-13,2.77,2.81,2.71,2.72,2505341
3-Oct-13,2.90,2.93,2.72,2.78,3469188
2-Oct-13,2.70,2.94,2.67,2.88,7436223
1-Oct-13,2.99,3.04,2.62,2.65,12200653
30-Sep-13,3.44,3.62,2.87,3.02,38851522
27-Sep-13,7.36,7.40,7.20,7.24,3073883
26-Sep-13,7.12,7.46,7.06,7.39,1094995
25-Sep-13,7.23,7.33,7.07,7.08,1008525
24-Sep-13,7.45,7.45,7.17,7.24,960341
23-Sep-13,7.33,7.43,7.10,7.41,1269950
20-Sep-13,7.33,7.43,7.19,7.29,3957252
19-Sep-13,7.20,7.35,7.15,7.29,690541
18-Sep-13,7.44,7.54,7.03,7.18,2423146
17-Sep-13,7.28,7.47,7.27,7.42,1086053
