Date,Open,High,Low,Close,Volume
23-Oct-14,6.42,6.48,6.31,6.40,108802
22-Oct-14,6.51,6.55,6.35,6.37,34329
21-Oct-14,6.52,6.94,6.52,6.57,72965
20-Oct-14,6.46,6.60,6.40,6.51,71585
17-Oct-14,6.90,6.92,6.48,6.52,344660
16-Oct-14,6.59,7.01,6.58,6.79,260376
15-Oct-14,6.54,6.79,6.22,6.65,91208
14-Oct-14,6.55,6.82,6.49,6.64,71959
13-Oct-14,6.62,6.95,6.41,6.48,107401
10-Oct-14,6.95,7.07,6.61,6.63,234306
9-Oct-14,7.37,7.49,6.92,6.99,78768
8-Oct-14,7.34,7.43,6.99,7.36,62865
7-Oct-14,7.37,7.47,7.09,7.37,117457
6-Oct-14,7.25,7.54,7.03,7.44,95196
3-Oct-14,7.52,7.83,7.07,7.25,118742
2-Oct-14,7.12,7.58,6.95,7.50,99965
1-Oct-14,7.37,7.44,7.02,7.10,89719
30-Sep-14,7.33,7.45,7.21,7.40,192713
29-Sep-14,7.50,7.69,7.29,7.36,103281
26-Sep-14,7.52,7.80,7.48,7.61,65625
25-Sep-14,7.74,7.87,7.49,7.50,127124
24-Sep-14,7.76,7.83,7.62,7.79,66162
23-Sep-14,7.83,7.95,7.68,7.77,101214
22-Sep-14,8.29,8.29,7.79,7.88,127034
19-Sep-14,8.45,8.48,8.18,8.31,181170
18-Sep-14,8.34,8.55,8.32,8.46,95599
17-Sep-14,8.28,8.43,8.28,8.34,41474
16-Sep-14,8.20,8.36,8.18,8.25,71838
15-Sep-14,8.56,8.60,8.13,8.23,178729
12-Sep-14,8.72,8.72,8.54,8.57,119730
11-Sep-14,8.60,8.75,8.60,8.73,81896
10-Sep-14,8.55,8.65,8.51,8.64,111585
9-Sep-14,8.58,8.61,8.50,8.56,66947
8-Sep-14,8.54,8.78,8.41,8.60,132152
5-Sep-14,8.50,8.62,8.50,8.58,46938
4-Sep-14,8.48,8.55,8.39,8.51,61464
3-Sep-14,8.68,8.68,8.42,8.49,124026
2-Sep-14,8.68,8.75,8.59,8.69,159758
29-Aug-14,8.36,8.68,8.27,8.58,290026
28-Aug-14,8.51,8.52,8.33,8.34,54704
27-Aug-14,8.67,8.67,8.47,8.55,179302
26-Aug-14,8.56,8.70,8.56,8.67,59870
25-Aug-14,8.80,8.93,8.60,8.60,88925
22-Aug-14,8.50,8.81,8.50,8.75,392569
21-Aug-14,8.53,8.67,8.43,8.52,53488
20-Aug-14,8.47,8.59,8.29,8.52,80195
19-Aug-14,8.50,8.68,8.42,8.52,274059
18-Aug-14,8.54,8.68,8.52,8.55,44987
15-Aug-14,8.56,8.64,8.41,8.50,130513
14-Aug-14,8.53,8.53,8.41,8.49,262457
13-Aug-14,8.43,8.56,8.30,8.50,170619
12-Aug-14,8.47,8.49,8.26,8.41,145336
11-Aug-14,8.42,8.54,8.30,8.50,212783
8-Aug-14,8.30,8.42,8.14,8.42,176247
7-Aug-14,8.45,8.45,8.17,8.29,143914
6-Aug-14,8.17,8.38,8.03,8.25,224509
5-Aug-14,8.09,8.43,8.03,8.20,511120
4-Aug-14,8.07,8.12,8.00,8.11,203148
1-Aug-14,8.08,8.34,7.80,8.05,1254293
31-Jul-14,9.79,9.90,9.37,9.53,272140
30-Jul-14,9.94,10.03,9.82,9.87,180174
29-Jul-14,9.96,10.10,9.85,9.92,125935
28-Jul-14,9.98,10.07,9.68,9.88,221778
25-Jul-14,10.07,10.21,9.88,9.98,302459
24-Jul-14,10.11,10.31,10.00,10.10,174413
23-Jul-14,10.30,10.49,9.88,10.06,56207
22-Jul-14,10.32,10.62,10.14,10.30,83016
21-Jul-14,10.42,10.66,10.25,10.29,134313
18-Jul-14,10.53,10.70,10.44,10.53,65743
17-Jul-14,10.60,10.70,10.28,10.54,155584
16-Jul-14,10.75,10.83,10.56,10.64,116719
15-Jul-14,11.09,11.09,10.56,10.72,165800
14-Jul-14,11.56,11.56,10.93,11.10,175832
11-Jul-14,11.42,11.53,11.26,11.49,82628
10-Jul-14,11.38,11.56,11.28,11.44,94640
9-Jul-14,11.61,11.68,11.52,11.60,87187
8-Jul-14,11.66,11.66,11.34,11.60,92245
7-Jul-14,12.00,12.05,11.69,11.73,65768
3-Jul-14,12.01,12.22,11.94,11.99,39529
2-Jul-14,12.17,12.27,11.93,11.99,69521
1-Jul-14,11.97,12.18,11.81,12.16,147341
30-Jun-14,11.65,11.99,11.60,11.96,126361
27-Jun-14,11.87,12.00,11.64,11.67,751035
26-Jun-14,11.89,11.99,11.75,11.99,54574
25-Jun-14,12.21,12.25,11.84,11.95,149617
24-Jun-14,12.35,12.61,12.27,12.30,80607
