Date,Open,High,Low,Close,Volume
23-Oct-14,38.65,38.65,38.03,38.05,8936
22-Oct-14,38.87,39.07,38.60,38.60,7987
21-Oct-14,38.73,38.88,38.53,38.77,16919
20-Oct-14,38.39,38.89,38.10,38.78,136913
17-Oct-14,38.84,39.13,38.81,38.99,14129
16-Oct-14,37.73,38.80,37.73,38.37,36477
15-Oct-14,38.84,38.84,37.96,38.72,16962
14-Oct-14,39.32,39.75,39.08,39.53,15297
13-Oct-14,39.21,39.84,39.21,39.39,35781
10-Oct-14,39.40,39.40,38.50,38.50,15088
9-Oct-14,40.12,40.18,39.59,39.66,8161
8-Oct-14,39.68,40.07,39.17,40.05,10892
7-Oct-14,39.94,40.06,39.68,39.69,6057
6-Oct-14,39.93,40.12,39.82,39.82,19158
3-Oct-14,38.46,39.01,38.46,38.97,38176
2-Oct-14,38.29,38.64,37.79,38.47,16072
1-Oct-14,38.88,38.92,38.20,38.24,46836
30-Sep-14,39.18,39.31,38.88,39.21,48178
29-Sep-14,39.47,39.58,39.14,39.44,40193
26-Sep-14,40.02,40.60,40.02,40.46,192394
25-Sep-14,40.59,40.61,39.97,40.03,22293
24-Sep-14,40.60,41.11,40.60,41.05,9549
23-Sep-14,40.57,40.87,40.41,40.50,17071
22-Sep-14,40.82,40.90,40.51,40.71,41562
19-Sep-14,42.03,42.03,41.37,41.46,15637
18-Sep-14,42.10,42.33,42.09,42.21,12916
17-Sep-14,42.37,42.46,42.10,42.14,7304
16-Sep-14,41.65,42.61,41.65,42.32,19642
15-Sep-14,41.83,41.94,41.57,41.76,19541
12-Sep-14,42.44,42.44,41.82,42.02,27134
11-Sep-14,42.55,42.83,42.55,42.71,13284
10-Sep-14,42.85,42.85,42.42,42.71,23533
9-Sep-14,43.59,43.59,43.02,43.11,25681
8-Sep-14,44.46,44.46,43.66,43.67,17303
5-Sep-14,44.21,44.25,43.96,44.24,19835
4-Sep-14,44.47,44.61,44.05,44.10,14172
3-Sep-14,44.66,44.66,44.24,44.48,27408
2-Sep-14,43.62,43.94,43.44,43.88,49944
29-Aug-14,43.32,43.52,43.23,43.51,20341
28-Aug-14,43.00,43.18,42.91,43.13,23574
27-Aug-14,43.21,43.47,43.09,43.45,13111
26-Aug-14,42.87,43.10,42.87,43.10,32009
25-Aug-14,42.77,42.77,42.54,42.72,26025
22-Aug-14,42.41,42.55,42.28,42.38,20678
21-Aug-14,42.83,42.83,42.47,42.55,8730
20-Aug-14,42.68,42.82,42.56,42.81,17641
19-Aug-14,42.56,42.76,42.50,42.73,23593
18-Aug-14,42.07,42.48,42.07,42.48,45871
15-Aug-14,41.79,41.92,41.51,41.87,10762
14-Aug-14,41.40,41.59,41.40,41.55,13217
13-Aug-14,41.65,41.65,41.20,41.25,12848
12-Aug-14,41.15,41.42,41.11,41.20,6009
11-Aug-14,40.93,41.33,40.93,41.29,30143
8-Aug-14,40.59,40.69,40.39,40.66,41414
7-Aug-14,41.00,41.17,40.40,40.49,10324
6-Aug-14,40.58,40.98,40.54,40.90,19301
5-Aug-14,41.06,41.06,40.58,40.76,8446
4-Aug-14,41.00,41.32,40.87,41.32,25077
1-Aug-14,40.64,41.07,40.50,40.84,39999
31-Jul-14,41.15,41.22,40.68,40.82,17280
30-Jul-14,41.82,41.84,41.44,41.59,12786
29-Jul-14,41.80,41.97,41.55,41.57,17513
28-Jul-14,41.79,41.80,41.59,41.77,42295
25-Jul-14,41.54,41.66,41.50,41.60,10930
24-Jul-14,41.39,41.60,41.32,41.60,18100
23-Jul-14,41.39,41.39,41.21,41.28,12024
22-Jul-14,41.19,41.38,41.18,41.35,20440
21-Jul-14,40.54,40.86,40.46,40.84,6095
18-Jul-14,40.27,40.68,40.26,40.56,10782
17-Jul-14,40.22,40.22,39.75,39.75,8659
16-Jul-14,40.54,40.58,40.31,40.37,18818
15-Jul-14,40.41,40.47,40.15,40.46,12743
14-Jul-14,40.03,40.41,40.03,40.38,9043
11-Jul-14,39.66,39.84,39.62,39.84,6531
10-Jul-14,39.39,39.79,39.38,39.79,17924
9-Jul-14,39.43,39.76,39.43,39.76,11335
8-Jul-14,39.70,39.70,39.41,39.44,7578
7-Jul-14,39.79,39.80,39.62,39.63,4589
3-Jul-14,39.62,39.89,39.62,39.88,3312
2-Jul-14,39.70,39.73,39.57,39.63,8715
1-Jul-14,39.20,39.52,39.20,39.51,22176
30-Jun-14,39.07,39.12,39.03,39.12,6719
27-Jun-14,38.93,39.11,38.85,39.10,13270
26-Jun-14,38.89,39.00,38.86,38.98,7713
25-Jun-14,38.77,38.89,38.66,38.84,3532
24-Jun-14,38.91,39.18,38.68,38.74,5678
23-Jun-14,38.82,38.94,38.67,38.85,17389
20-Jun-14,39.02,39.03,38.94,38.98,3298
19-Jun-14,39.26,39.32,39.21,39.29,3970
18-Jun-14,38.76,39.34,38.76,39.34,29552
17-Jun-14,38.84,38.84,38.75,38.84,3220
16-Jun-14,39.13,39.13,38.89,38.94,7771
13-Jun-14,39.06,39.20,39.06,39.19,5231
12-Jun-14,39.16,39.21,38.96,39.00,20956
11-Jun-14,39.14,39.25,39.12,39.18,12307
10-Jun-14,38.96,39.20,38.96,39.13,8511
9-Jun-14,38.61,38.96,38.59,38.94,7710
6-Jun-14,38.35,38.62,38.35,38.50,17526
5-Jun-14,37.95,38.08,37.90,37.93,11195
4-Jun-14,37.87,37.87,37.71,37.72,24334
3-Jun-14,37.85,37.99,37.78,37.99,5614
2-Jun-14,37.94,37.94,37.80,37.86,23289
30-May-14,38.08,38.08,37.74,37.74,13920
29-May-14,38.43,38.43,38.29,38.32,4830
28-May-14,38.42,38.45,38.29,38.43,8140
27-May-14,38.54,38.58,38.18,38.23,13582
23-May-14,38.64,38.65,38.51,38.51,9104
22-May-14,38.62,38.66,38.52,38.63,14730
21-May-14,38.34,38.60,38.34,38.48,6011
20-May-14,38.37,38.68,38.24,38.24,8674
19-May-14,38.49,38.66,38.46,38.58,10282
16-May-14,38.68,38.75,38.52,38.63,5264
15-May-14,38.69,38.69,38.24,38.39,5280
14-May-14,38.65,38.90,38.65,38.75,8952
13-May-14,38.53,38.73,38.45,38.56,10350
12-May-14,38.27,38.61,38.25,38.60,23191
9-May-14,37.94,38.06,37.93,37.97,4641
8-May-14,38.09,38.25,37.95,37.95,6342
7-May-14,37.82,37.91,37.55,37.90,11352
6-May-14,37.54,38.00,37.54,37.87,11768
5-May-14,37.43,37.62,37.39,37.55,3991
2-May-14,37.36,37.72,37.36,37.69,7978
1-May-14,37.22,37.38,37.22,37.23,12052
30-Apr-14,37.06,37.27,37.06,37.27,22796
29-Apr-14,37.25,37.56,37.25,37.30,10139
28-Apr-14,36.99,36.99,36.76,36.97,10533
