Date,Open,High,Low,Close,Volume
23-Oct-14,23.16,23.16,23.15,23.15,1111
22-Oct-14,23.00,23.00,22.80,22.87,17847
21-Oct-14,22.95,23.11,22.78,23.11,11349
20-Oct-14,22.68,22.79,22.68,22.74,2450
17-Oct-14,22.72,22.75,22.55,22.71,6317
16-Oct-14,22.00,22.35,22.00,22.30,11062
15-Oct-14,22.64,22.77,22.02,22.32,10321
14-Oct-14,22.95,22.95,22.87,22.87,3111
13-Oct-14,23.02,23.06,22.99,23.04,2961
10-Oct-14,23.01,23.05,22.80,22.80,7143
9-Oct-14,23.66,23.66,23.23,23.29,4248
8-Oct-14,23.53,23.87,23.50,23.87,5858
7-Oct-14,23.75,23.75,23.56,23.56,4980
6-Oct-14,23.94,23.99,23.87,23.99,4057
3-Oct-14,23.82,23.83,23.69,23.83,8915
2-Oct-14,23.88,24.05,23.70,23.81,6328
1-Oct-14,24.26,24.26,24.01,24.09,2722
30-Sep-14,24.36,24.36,24.32,24.35,651
29-Sep-14,24.41,24.43,24.40,24.43,3705
26-Sep-14,24.41,24.67,24.41,24.67,1457
25-Sep-14,24.53,24.53,24.43,24.47,44851
24-Sep-14,24.70,24.80,24.70,24.80,1640
23-Sep-14,24.74,24.74,24.61,24.61,1602
22-Sep-14,24.89,24.89,24.77,24.88,4379
19-Sep-14,25.01,25.07,25.00,25.02,1697
17-Sep-14,25.13,25.15,25.02,25.04,2305
16-Sep-14,24.89,24.90,24.88,24.90,3893
15-Sep-14,24.90,25.01,24.90,24.94,2436
12-Sep-14,24.92,24.98,24.89,24.89,1689
11-Sep-14,24.82,24.90,24.82,24.90,961
10-Sep-14,24.85,25.00,24.85,24.99,2640
9-Sep-14,24.90,24.91,24.85,24.85,2803
8-Sep-14,25.04,25.04,24.90,24.93,3865
5-Sep-14,25.25,25.25,25.19,25.19,2038
4-Sep-14,25.40,25.40,25.16,25.16,12394
3-Sep-14,25.41,25.41,25.28,25.39,2975
2-Sep-14,25.10,25.21,25.10,25.20,6544
29-Aug-14,25.10,25.17,25.10,25.17,1928
28-Aug-14,24.99,25.17,24.99,25.10,2201
27-Aug-14,25.22,25.23,25.22,25.23,208
26-Aug-14,25.15,25.21,25.12,25.18,8112
25-Aug-14,24.90,25.16,24.90,25.11,2281
22-Aug-14,24.92,24.92,24.81,24.90,4026
21-Aug-14,25.02,25.05,24.93,25.05,1800
20-Aug-14,24.74,24.90,24.74,24.84,739
19-Aug-14,24.77,24.93,24.77,24.91,1982
18-Aug-14,24.71,24.88,24.71,24.88,5292
15-Aug-14,24.48,24.61,24.48,24.61,3377
14-Aug-14,24.63,24.68,24.58,24.62,2861
13-Aug-14,24.41,24.55,24.41,24.48,6041
12-Aug-14,24.40,24.41,24.40,24.41,315
11-Aug-14,24.52,24.52,24.43,24.50,3956
8-Aug-14,24.26,24.44,24.26,24.37,2051
7-Aug-14,24.50,24.50,24.50,24.50,235
6-Aug-14,24.53,24.53,24.53,24.53,691
5-Aug-14,24.86,24.86,24.53,24.54,11757
4-Aug-14,24.77,24.83,24.76,24.82,1187
1-Aug-14,24.88,24.88,24.75,24.81,756
31-Jul-14,25.20,25.20,24.93,24.93,1357
30-Jul-14,25.30,25.55,25.18,25.55,763
29-Jul-14,25.37,25.45,25.37,25.44,1067
28-Jul-14,25.49,25.49,25.22,25.39,1594
25-Jul-14,25.46,25.50,25.42,25.50,13026
24-Jul-14,25.52,25.56,25.45,25.48,46523
23-Jul-14,25.42,25.55,25.36,25.38,28953
22-Jul-14,25.34,25.49,25.25,25.45,24659
21-Jul-14,25.15,25.26,25.00,25.20,39212
18-Jul-14,25.28,25.36,25.23,25.34,33159
17-Jul-14,25.47,25.47,25.46,25.46,1220
16-Jul-14,25.54,25.54,25.47,25.48,3416
15-Jul-14,25.40,25.50,25.25,25.35,7977
14-Jul-14,25.38,25.52,25.38,25.46,2035
11-Jul-14,25.15,25.26,25.14,25.25,3095
10-Jul-14,25.18,25.28,24.73,25.17,12435
9-Jul-14,25.44,25.57,25.42,25.56,3118
8-Jul-14,25.66,25.66,25.44,25.44,5829
7-Jul-14,25.80,25.80,25.70,25.74,2740
3-Jul-14,25.96,25.96,25.92,25.92,400
2-Jul-14,25.69,25.69,25.69,25.69,233
1-Jul-14,25.75,25.79,25.75,25.79,807
30-Jun-14,25.57,25.61,25.50,25.61,1428
27-Jun-14,25.22,25.54,25.22,25.51,306
26-Jun-14,25.30,25.33,25.30,25.33,813
25-Jun-14,25.50,25.61,25.50,25.61,2624
24-Jun-14,25.70,25.76,25.61,25.61,18005
23-Jun-14,25.83,25.83,25.80,25.80,795
