Date,Open,High,Low,Close,Volume
23-Oct-14,42.68,43.54,42.22,42.77,1664137
22-Oct-14,44.39,45.25,41.51,41.71,4252827
21-Oct-14,39.75,41.40,39.74,41.29,3278347
20-Oct-14,37.31,39.20,37.31,39.01,1516101
17-Oct-14,36.40,37.48,36.25,37.24,1037450
16-Oct-14,34.09,36.60,34.09,35.80,1012324
15-Oct-14,34.62,35.22,33.76,34.95,1094114
14-Oct-14,34.11,35.72,33.63,35.26,1031019
13-Oct-14,34.80,34.84,33.16,33.71,1301361
10-Oct-14,35.83,36.50,34.73,34.78,758528
9-Oct-14,36.84,37.97,36.02,36.02,1274185
8-Oct-14,35.93,36.72,35.26,36.65,1051351
7-Oct-14,36.91,36.91,35.67,36.00,746447
6-Oct-14,37.23,37.54,36.85,37.00,823184
3-Oct-14,36.15,37.19,36.04,36.96,1400886
2-Oct-14,34.89,35.98,34.77,35.84,730104
1-Oct-14,36.16,36.19,33.65,34.88,2052572
30-Sep-14,36.37,37.23,36.26,36.27,1029353
29-Sep-14,36.03,36.80,35.89,36.36,1401093
26-Sep-14,36.23,36.41,35.34,35.70,742121
25-Sep-14,36.73,36.75,35.91,36.17,748928
24-Sep-14,36.00,37.06,35.92,36.86,1166316
23-Sep-14,36.15,36.72,35.33,35.82,835776
22-Sep-14,36.77,36.77,36.01,36.37,618746
19-Sep-14,37.22,37.36,36.34,36.78,1695964
18-Sep-14,36.82,37.53,36.71,37.02,929953
17-Sep-14,36.90,37.25,36.45,36.55,608557
16-Sep-14,36.00,36.84,35.84,36.82,1382521
15-Sep-14,37.19,37.38,35.90,36.10,842587
12-Sep-14,38.00,38.35,36.71,37.31,2232129
11-Sep-14,36.32,38.27,35.63,37.85,2445668
10-Sep-14,36.45,36.87,36.28,36.62,834609
9-Sep-14,36.77,36.98,36.18,36.32,831401
8-Sep-14,37.61,38.10,36.39,36.81,1240212
5-Sep-14,37.68,38.30,37.23,38.16,524875
4-Sep-14,39.19,39.27,37.44,37.69,1107308
3-Sep-14,39.25,39.30,38.82,38.99,1412776
2-Sep-14,39.12,39.39,38.52,39.09,5037390
29-Aug-14,38.78,39.45,38.77,39.02,774562
28-Aug-14,38.72,38.91,38.46,38.78,640472
27-Aug-14,39.24,39.28,38.50,38.90,1391142
26-Aug-14,38.67,39.48,38.60,39.02,1228312
25-Aug-14,38.09,38.95,37.98,38.43,1125452
22-Aug-14,37.52,38.06,37.25,37.74,619418
21-Aug-14,37.46,37.88,37.25,37.55,691752
20-Aug-14,37.70,37.76,37.12,37.60,591186
19-Aug-14,38.25,38.61,37.56,37.82,874201
18-Aug-14,36.79,38.10,36.52,37.97,1330708
15-Aug-14,36.31,36.48,35.60,36.24,945662
14-Aug-14,37.33,37.39,35.86,36.00,1195757
13-Aug-14,35.73,36.93,35.67,36.87,1053349
12-Aug-14,34.61,35.62,34.57,35.57,1060162
