Date,Open,High,Low,Close,Volume
23-Oct-14,13.90,15.48,13.63,15.30,110717
22-Oct-14,14.00,14.01,13.38,13.82,88593
21-Oct-14,12.65,13.85,12.50,13.68,90191
20-Oct-14,11.70,12.47,11.44,12.41,62927
17-Oct-14,11.34,11.79,10.82,11.67,62018
16-Oct-14,11.12,11.37,10.69,11.23,78213
15-Oct-14,11.23,11.57,10.76,11.41,58438
14-Oct-14,11.19,11.62,10.90,11.25,88218
13-Oct-14,10.61,11.14,10.52,11.01,63404
10-Oct-14,11.38,11.52,10.76,11.01,85792
9-Oct-14,11.76,11.98,11.19,11.41,110285
8-Oct-14,11.57,11.84,11.02,11.76,149401
7-Oct-14,12.03,12.24,11.50,11.55,57263
6-Oct-14,11.89,12.65,11.45,12.01,222591
3-Oct-14,11.54,12.00,11.02,11.92,271125
2-Oct-14,12.48,12.48,11.11,11.48,55931
1-Oct-14,12.99,13.11,11.63,11.79,93442
30-Sep-14,12.97,13.21,12.57,12.68,100959
29-Sep-14,12.88,13.53,12.48,13.02,944517
26-Sep-14,12.58,13.63,12.42,13.00,159541
25-Sep-14,12.32,12.73,12.17,12.56,61673
24-Sep-14,11.75,12.38,11.43,12.33,45246
23-Sep-14,11.72,11.85,11.19,11.25,82355
22-Sep-14,12.60,12.71,11.60,11.71,107440
19-Sep-14,13.18,13.35,12.41,12.55,156043
18-Sep-14,11.91,13.50,11.91,13.19,204495
17-Sep-14,11.68,12.50,11.55,12.32,607096
16-Sep-14,11.84,12.04,11.69,11.71,179082
15-Sep-14,13.68,13.69,11.81,11.84,199558
12-Sep-14,13.72,13.77,12.92,12.98,104372
11-Sep-14,13.59,14.03,13.53,13.70,123660
10-Sep-14,13.71,13.89,13.59,13.74,49532
9-Sep-14,13.69,14.01,13.62,13.77,81779
8-Sep-14,13.65,13.91,13.65,13.78,52537
5-Sep-14,14.08,14.22,13.76,13.86,53524
4-Sep-14,14.42,14.93,14.05,14.10,105758
3-Sep-14,14.87,14.87,14.20,14.52,124024
2-Sep-14,16.64,16.77,14.12,14.80,447079
29-Aug-14,16.83,17.08,16.58,17.04,27112
28-Aug-14,17.22,17.30,16.76,16.89,158662
27-Aug-14,17.44,17.48,16.82,17.22,72896
26-Aug-14,16.67,17.24,16.49,16.99,46285
25-Aug-14,16.31,16.83,16.30,16.61,144585
22-Aug-14,16.04,16.28,15.90,16.26,176772
21-Aug-14,16.15,16.47,16.00,16.11,118398
20-Aug-14,16.47,16.61,16.15,16.23,99046
19-Aug-14,15.85,16.74,15.81,16.59,35373
18-Aug-14,15.76,16.00,15.42,15.74,134119
15-Aug-14,15.11,15.95,15.04,15.60,107809
14-Aug-14,14.55,15.97,14.50,14.95,231860
13-Aug-14,13.86,14.65,13.65,14.55,63271
12-Aug-14,14.10,14.46,14.10,14.33,83129
11-Aug-14,14.79,15.10,14.14,14.46,81211
8-Aug-14,15.22,15.38,14.76,14.81,78809
7-Aug-14,15.15,15.80,15.15,15.19,71158
6-Aug-14,15.10,15.53,15.02,15.22,115167
5-Aug-14,15.29,15.71,15.14,15.66,81546
4-Aug-14,15.90,16.22,15.20,15.46,77466
1-Aug-14,16.97,16.98,15.75,15.79,82773
31-Jul-14,17.00,17.93,16.66,16.89,84588
30-Jul-14,17.41,17.96,16.71,17.15,65001
29-Jul-14,17.20,17.99,17.20,17.32,57697
28-Jul-14,16.54,17.29,16.40,17.15,89066
25-Jul-14,16.01,16.70,15.63,16.62,87117
24-Jul-14,16.34,16.56,15.55,16.13,48691
23-Jul-14,15.76,16.84,15.76,16.23,101356
22-Jul-14,15.25,16.27,14.98,15.71,204646
21-Jul-14,15.34,15.34,14.88,15.26,61026
18-Jul-14,15.18,15.24,15.02,15.14,101151
17-Jul-14,15.07,15.31,14.91,15.25,83696
16-Jul-14,15.11,15.40,14.95,15.03,57435
15-Jul-14,15.50,15.69,15.00,15.05,135895
14-Jul-14,15.49,15.91,15.20,15.84,48730
11-Jul-14,15.38,15.63,15.16,15.54,45605
10-Jul-14,15.64,15.98,15.20,15.30,134433
9-Jul-14,16.84,17.15,15.98,16.10,82290
8-Jul-14,17.58,17.58,15.17,16.90,146127
7-Jul-14,17.97,17.97,17.42,17.68,70441
3-Jul-14,18.19,18.31,17.35,17.97,44636
2-Jul-14,19.72,20.01,18.01,18.10,171020
1-Jul-14,20.02,20.64,19.05,19.84,107630
30-Jun-14,18.69,20.20,18.69,20.07,128617
27-Jun-14,17.90,19.51,17.90,18.71,1150430
26-Jun-14,17.78,18.32,17.25,17.98,87678
25-Jun-14,18.17,18.17,16.76,17.62,129757
24-Jun-14,18.43,19.64,17.19,18.32,193628
23-Jun-14,18.01,19.37,17.56,18.83,217715
20-Jun-14,17.78,18.24,17.73,17.90,273942
19-Jun-14,17.44,18.95,17.40,17.68,224326
18-Jun-14,19.22,19.22,17.12,17.55,339161
17-Jun-14,18.70,20.25,17.66,18.30,131339
16-Jun-14,22.94,22.95,18.26,18.57,343849
13-Jun-14,21.00,21.00,18.84,20.34,262565
12-Jun-14,17.43,19.49,17.12,18.70,138520
11-Jun-14,15.51,17.74,15.51,17.43,377251
10-Jun-14,15.39,15.42,14.02,14.75,87156
9-Jun-14,15.83,15.83,14.60,15.50,102127
6-Jun-14,15.64,16.07,15.23,15.72,197870
5-Jun-14,14.02,15.63,13.99,15.49,365202
4-Jun-14,13.14,14.37,13.14,13.92,334401
3-Jun-14,12.34,13.50,12.34,13.05,337392
