Date,Open,High,Low,Close,Volume
23-Oct-14,4.25,4.40,4.00,4.25,56712
22-Oct-14,4.30,4.38,4.12,4.13,37602
21-Oct-14,4.31,4.39,4.25,4.37,20697
20-Oct-14,4.46,4.46,4.30,4.39,27826
17-Oct-14,4.60,4.60,4.27,4.42,10038
16-Oct-14,4.25,4.59,4.25,4.56,22494
15-Oct-14,4.36,4.60,3.92,4.15,78462
14-Oct-14,4.46,4.56,4.29,4.50,29953
13-Oct-14,4.60,4.70,4.45,4.57,24122
10-Oct-14,4.61,4.74,4.54,4.58,11945
9-Oct-14,4.53,4.75,4.47,4.75,9134
8-Oct-14,4.50,4.73,4.45,4.73,7390
7-Oct-14,4.80,4.80,4.46,4.51,36994
6-Oct-14,4.85,4.85,4.64,4.65,22622
3-Oct-14,4.75,4.88,4.70,4.70,14337
2-Oct-14,4.78,4.84,4.65,4.75,19359
1-Oct-14,4.53,4.95,4.53,4.84,10908
30-Sep-14,4.67,4.95,4.67,4.85,10906
29-Sep-14,4.70,4.98,4.70,4.92,4668
26-Sep-14,4.60,4.84,4.60,4.78,14177
25-Sep-14,4.65,4.65,4.50,4.62,9836
24-Sep-14,4.51,4.80,4.51,4.69,15560
23-Sep-14,4.82,4.82,4.58,4.65,19349
22-Sep-14,4.90,4.90,4.77,4.82,3444
19-Sep-14,5.02,5.10,4.90,4.92,10687
18-Sep-14,5.05,5.15,5.00,5.00,12004
17-Sep-14,4.91,5.05,4.90,4.97,28954
16-Sep-14,4.85,5.17,4.85,4.99,16097
15-Sep-14,4.97,5.35,4.76,4.81,69822
12-Sep-14,5.00,5.10,5.00,5.00,7737
11-Sep-14,5.16,5.34,4.92,5.12,46240
10-Sep-14,5.33,5.45,5.18,5.18,6802
9-Sep-14,5.24,5.43,5.21,5.36,10207
8-Sep-14,5.08,5.23,5.06,5.18,6717
5-Sep-14,5.22,5.25,5.11,5.19,9333
4-Sep-14,5.24,5.48,5.23,5.28,9432
3-Sep-14,5.60,5.74,5.47,5.47,34908
2-Sep-14,5.44,5.48,4.98,5.45,15660
29-Aug-14,5.10,5.48,5.10,5.40,24211
28-Aug-14,5.08,5.19,5.00,5.15,36385
27-Aug-14,5.10,5.49,5.00,5.05,23425
26-Aug-14,5.24,5.40,5.08,5.09,34591
25-Aug-14,5.47,5.48,5.32,5.42,18365
22-Aug-14,5.42,5.42,5.26,5.40,13217
