Date,Open,High,Low,Close,Volume
23-Oct-14,21.77,22.20,21.61,21.94,298867
22-Oct-14,21.51,22.06,21.45,21.58,308031
21-Oct-14,21.72,21.75,21.16,21.51,201060
20-Oct-14,20.63,21.58,20.60,21.58,255784
17-Oct-14,21.05,21.36,20.67,20.70,237690
16-Oct-14,20.40,21.08,20.40,20.77,261350
15-Oct-14,19.91,20.88,19.39,20.76,287863
14-Oct-14,20.70,20.98,20.17,20.21,235017
13-Oct-14,20.12,20.98,19.87,20.46,280645
10-Oct-14,19.99,20.79,19.99,20.15,197098
9-Oct-14,20.60,20.82,19.99,20.08,299856
8-Oct-14,19.58,20.51,19.34,20.49,311745
7-Oct-14,19.69,20.11,19.57,19.59,166621
6-Oct-14,20.35,20.35,19.54,19.87,259494
3-Oct-14,20.30,20.43,20.02,20.32,159584
2-Oct-14,19.57,20.16,19.03,20.12,253609
1-Oct-14,20.10,20.10,19.46,19.57,406387
30-Sep-14,20.49,20.75,20.10,20.17,363747
29-Sep-14,20.41,20.78,20.16,20.48,223591
26-Sep-14,20.51,20.92,20.20,20.60,315586
25-Sep-14,21.21,21.36,20.26,20.49,225905
24-Sep-14,20.32,21.39,19.92,21.17,537529
23-Sep-14,20.29,20.51,20.10,20.20,231589
22-Sep-14,20.26,20.48,19.98,20.41,297610
19-Sep-14,20.72,20.84,19.90,20.31,427237
18-Sep-14,20.50,20.86,20.18,20.60,193198
17-Sep-14,20.41,20.65,20.19,20.34,162185
16-Sep-14,20.36,20.49,20.02,20.32,226888
15-Sep-14,20.48,20.71,20.02,20.43,285063
12-Sep-14,20.72,20.78,20.43,20.54,176436
11-Sep-14,20.59,20.92,20.50,20.78,113256
10-Sep-14,20.38,20.90,20.33,20.70,242251
9-Sep-14,21.00,21.33,20.26,20.32,354769
8-Sep-14,20.40,21.55,20.34,21.08,554337
5-Sep-14,20.20,20.48,20.10,20.39,247643
4-Sep-14,20.53,20.76,20.25,20.27,237861
3-Sep-14,20.79,21.00,20.36,20.48,380310
2-Sep-14,20.96,21.21,20.54,20.74,282650
29-Aug-14,20.88,21.08,20.83,20.92,221697
28-Aug-14,20.76,20.98,20.52,20.76,187744
27-Aug-14,21.06,21.11,20.92,20.94,219107
26-Aug-14,21.09,21.30,20.95,21.08,245635
25-Aug-14,21.32,21.37,20.89,21.09,224650
22-Aug-14,21.13,21.37,20.94,21.24,167456
21-Aug-14,21.16,21.43,20.55,21.17,334726
20-Aug-14,21.43,21.58,21.00,21.19,239331
19-Aug-14,21.52,21.90,21.46,21.55,381680
18-Aug-14,21.49,21.84,21.30,21.59,260696
15-Aug-14,21.58,21.85,21.10,21.30,471496
14-Aug-14,21.65,21.90,21.00,21.37,433954
13-Aug-14,20.88,21.78,20.49,21.58,706295
12-Aug-14,20.88,21.21,20.60,20.86,329410
11-Aug-14,21.32,21.35,20.75,20.90,353645
8-Aug-14,20.85,21.35,20.54,21.28,466261
7-Aug-14,21.78,22.02,20.79,20.90,472581
6-Aug-14,21.61,22.17,21.39,21.78,464478
