Date,Open,High,Low,Close,Volume
23-Oct-14,1.07,1.07,1.04,1.05,1009559
22-Oct-14,1.03,1.10,1.01,1.06,1463255
21-Oct-14,1.07,1.07,1.00,1.05,828546
20-Oct-14,1.05,1.07,1.01,1.05,807837
17-Oct-14,1.05,1.08,1.04,1.05,877012
16-Oct-14,0.99,1.05,0.97,1.05,1563543
15-Oct-14,0.98,1.01,0.97,0.99,801696
14-Oct-14,0.99,1.01,0.97,1.01,708534
13-Oct-14,1.00,1.00,0.96,0.99,640398
10-Oct-14,0.98,1.01,0.97,1.00,1520321
9-Oct-14,0.98,1.01,0.96,0.98,1272788
8-Oct-14,1.01,1.04,0.94,1.00,3442074
7-Oct-14,1.04,1.05,1.00,1.02,1083615
6-Oct-14,1.06,1.07,1.04,1.04,1245606
3-Oct-14,1.03,1.07,1.02,1.06,1630314
2-Oct-14,1.04,1.05,0.98,1.03,3835596
1-Oct-14,1.08,1.10,1.02,1.03,3251176
30-Sep-14,1.13,1.15,1.09,1.09,1991475
29-Sep-14,1.09,1.15,1.07,1.13,1436811
26-Sep-14,1.11,1.14,1.07,1.11,2433681
25-Sep-14,1.17,1.17,1.11,1.12,2304958
24-Sep-14,1.15,1.25,1.10,1.17,5194465
23-Sep-14,1.25,1.28,1.15,1.16,4229790
22-Sep-14,1.29,1.30,1.20,1.25,3509788
19-Sep-14,1.35,1.36,1.27,1.30,3197415
18-Sep-14,1.38,1.38,1.33,1.35,2015143
17-Sep-14,1.33,1.38,1.33,1.37,1827815
16-Sep-14,1.40,1.42,1.33,1.35,4843057
15-Sep-14,1.46,1.46,1.40,1.42,3651828
12-Sep-14,1.46,1.50,1.36,1.49,14594730
11-Sep-14,2.03,2.03,1.75,1.81,5091697
10-Sep-14,1.99,2.09,1.96,2.00,6250352
9-Sep-14,2.04,2.06,1.96,1.98,3535208
8-Sep-14,1.94,2.08,1.91,2.05,4301529
5-Sep-14,1.92,1.94,1.86,1.94,1461457
4-Sep-14,1.86,1.94,1.85,1.91,2718959
3-Sep-14,1.95,1.95,1.84,1.87,2021289
2-Sep-14,1.95,1.95,1.91,1.92,2064489
29-Aug-14,1.92,1.95,1.90,1.93,1888009
28-Aug-14,1.92,1.95,1.89,1.92,2026234
27-Aug-14,1.91,1.95,1.88,1.92,3271729
26-Aug-14,1.82,1.92,1.82,1.90,5101592
25-Aug-14,1.85,1.86,1.81,1.84,1696643
22-Aug-14,1.80,1.84,1.74,1.83,1452739
21-Aug-14,1.82,1.85,1.79,1.79,1340924
20-Aug-14,1.87,1.88,1.81,1.82,2272938
19-Aug-14,1.87,1.87,1.82,1.85,1828140
18-Aug-14,1.79,1.88,1.79,1.86,3543458
15-Aug-14,1.83,1.87,1.77,1.82,3046911
14-Aug-14,1.65,1.85,1.64,1.84,6758216
13-Aug-14,1.64,1.67,1.62,1.65,1244736
12-Aug-14,1.68,1.70,1.62,1.64,2106250
11-Aug-14,1.67,1.72,1.65,1.67,2677027
