Date,Open,High,Low,Close,Volume
23-Oct-14,15.12,15.68,14.88,15.16,9106
22-Oct-14,15.20,15.44,13.73,15.00,7729
21-Oct-14,15.60,15.60,14.80,15.12,25424
20-Oct-14,15.12,15.92,13.92,15.36,27595
17-Oct-14,14.32,15.36,14.00,14.88,19910
16-Oct-14,13.44,14.32,13.44,14.08,3510
15-Oct-14,13.44,14.16,12.80,13.68,10689
14-Oct-14,13.28,14.56,12.85,13.68,13312
13-Oct-14,13.20,13.20,12.92,13.12,2706
10-Oct-14,12.72,13.60,12.56,13.36,18576
9-Oct-14,12.96,13.36,12.56,12.59,9996
8-Oct-14,13.36,13.36,12.40,12.96,22358
7-Oct-14,13.68,13.96,13.28,13.36,16291
6-Oct-14,15.04,15.04,13.44,13.92,38771
3-Oct-14,13.92,15.10,13.60,14.56,27859
2-Oct-14,14.80,14.80,12.88,13.68,36144
1-Oct-14,15.44,15.44,13.60,14.40,16730
30-Sep-14,14.40,15.52,14.16,15.36,20594
29-Sep-14,14.16,14.56,13.60,14.56,17021
26-Sep-14,14.40,14.40,13.44,14.16,14556
25-Sep-14,14.48,14.86,13.68,14.40,23634
24-Sep-14,14.64,14.80,14.16,14.40,25178
23-Sep-14,14.32,15.52,13.44,14.72,65792
22-Sep-14,12.88,13.52,12.88,13.36,44118
19-Sep-14,12.80,13.44,12.24,12.88,55177
18-Sep-14,12.96,14.00,12.96,13.04,58184
17-Sep-14,15.12,15.59,13.04,13.76,144826
16-Sep-14,17.20,17.20,15.68,15.92,36996
15-Sep-14,17.60,17.92,16.88,17.44,25884
12-Sep-14,18.24,18.56,17.53,17.76,15466
11-Sep-14,17.84,18.62,17.36,18.24,112642
10-Sep-14,18.40,18.64,17.68,18.08,18696
9-Sep-14,19.12,19.36,18.40,18.48,10390
8-Sep-14,18.48,19.44,18.00,19.12,12033
5-Sep-14,19.20,19.52,18.48,18.64,15923
4-Sep-14,19.60,20.00,19.20,19.28,9577
3-Sep-14,19.84,20.16,19.44,19.60,8718
2-Sep-14,20.32,20.56,19.84,19.84,7792
29-Aug-14,20.16,20.56,20.15,20.32,5856
28-Aug-14,20.64,20.80,20.16,20.16,5820
27-Aug-14,20.56,20.88,20.48,20.48,12764
26-Aug-14,20.64,20.88,20.16,20.72,7572
25-Aug-14,20.40,20.80,20.19,20.72,6269
22-Aug-14,20.08,20.80,19.28,20.40,15468
21-Aug-14,20.64,20.70,19.12,19.92,23950
20-Aug-14,20.56,20.72,20.40,20.64,7976
19-Aug-14,20.80,20.88,20.64,20.80,13850
18-Aug-14,21.52,21.52,20.64,20.88,12977
15-Aug-14,21.12,21.52,21.12,21.28,10424
14-Aug-14,21.52,21.68,21.04,21.20,7106
13-Aug-14,21.12,21.60,20.96,21.28,6688
12-Aug-14,21.20,22.08,21.04,21.20,10436
11-Aug-14,21.60,22.16,21.04,21.44,10624
8-Aug-14,21.52,21.60,20.08,21.60,29550
7-Aug-14,23.40,23.52,21.44,21.60,41613
6-Aug-14,22.96,23.44,22.80,23.28,14442
5-Aug-14,23.20,23.52,22.64,22.88,14351
4-Aug-14,23.36,23.76,22.96,23.44,18950
1-Aug-14,23.04,23.28,22.56,23.28,19021
31-Jul-14,23.12,24.00,22.96,23.20,30349
30-Jul-14,23.04,24.00,22.88,23.44,17415
29-Jul-14,24.00,24.05,22.80,23.12,65684
28-Jul-14,24.48,24.64,23.60,24.00,24800
25-Jul-14,24.48,24.48,24.32,24.48,13454
24-Jul-14,24.32,24.56,24.16,24.48,41603
23-Jul-14,24.24,24.64,24.16,24.24,23047
22-Jul-14,24.96,25.12,24.32,24.40,12656
21-Jul-14,25.12,25.12,24.64,24.64,8809
18-Jul-14,24.96,25.20,24.64,25.12,13104
17-Jul-14,25.36,25.36,24.96,25.04,11920
16-Jul-14,26.00,26.00,25.20,25.36,16290
15-Jul-14,26.08,26.48,25.60,25.88,19885
14-Jul-14,25.76,26.00,25.30,25.84,7041
11-Jul-14,25.20,26.08,24.96,25.76,6868
10-Jul-14,25.20,26.00,24.64,25.44,19517
9-Jul-14,25.68,25.84,25.52,25.52,8673
8-Jul-14,27.04,27.04,25.37,25.84,15835
7-Jul-14,27.60,27.60,26.40,27.28,18474
3-Jul-14,27.84,28.00,27.52,28.00,9613
2-Jul-14,27.52,27.92,27.36,27.68,14990
1-Jul-14,27.12,27.60,27.12,27.36,8412
30-Jun-14,26.72,27.41,26.17,27.12,10811
27-Jun-14,26.24,27.04,25.60,26.64,12806
26-Jun-14,27.28,27.36,25.44,26.16,29875
25-Jun-14,27.20,27.36,26.88,27.20,6188
24-Jun-14,28.00,28.00,26.88,27.28,10534
23-Jun-14,28.40,28.40,27.92,28.16,13683
20-Jun-14,27.76,28.08,26.40,28.08,22870
19-Jun-14,28.24,28.40,27.60,27.84,9797
18-Jun-14,28.00,28.00,27.28,27.92,16930
17-Jun-14,26.80,28.04,26.64,27.84,40312
16-Jun-14,26.80,26.84,26.64,26.76,10975
13-Jun-14,26.16,26.80,26.16,26.80,11729
12-Jun-14,26.32,26.96,26.00,26.24,16688
11-Jun-14,26.48,26.48,26.00,26.32,11563
10-Jun-14,26.00,26.40,25.76,26.40,9499
9-Jun-14,26.00,27.04,25.76,26.24,28531
6-Jun-14,26.16,26.40,25.76,26.00,14096
5-Jun-14,26.64,26.64,25.60,26.00,14470
4-Jun-14,25.36,26.32,25.20,25.84,46882
3-Jun-14,24.80,25.92,24.38,25.04,112412
