Date,Open,High,Low,Close,Volume
23-Oct-14,5.69,5.69,5.42,5.42,22780
22-Oct-14,5.55,5.63,5.35,5.60,34141
21-Oct-14,5.71,5.74,5.50,5.68,12954
20-Oct-14,5.47,5.69,5.24,5.67,32914
17-Oct-14,5.35,5.50,5.35,5.40,31775
16-Oct-14,5.27,5.33,4.90,5.31,36508
15-Oct-14,5.40,5.42,4.87,5.34,95408
14-Oct-14,5.80,5.80,5.25,5.38,48831
13-Oct-14,5.52,6.23,5.46,5.75,8441
10-Oct-14,5.60,5.91,5.28,5.70,85425
9-Oct-14,6.31,6.31,5.53,5.82,110335
8-Oct-14,6.38,6.50,6.12,6.39,44513
7-Oct-14,6.47,6.60,6.41,6.55,22055
6-Oct-14,6.65,6.85,6.53,6.53,12362
3-Oct-14,7.06,7.13,6.56,6.64,70802
2-Oct-14,6.47,7.19,6.12,7.16,194649
1-Oct-14,6.74,6.74,6.36,6.41,53642
30-Sep-14,6.67,6.82,6.67,6.80,15796
29-Sep-14,6.80,6.85,6.65,6.85,43397
26-Sep-14,6.90,6.90,6.59,6.84,62784
25-Sep-14,7.05,7.28,6.87,6.87,58089
24-Sep-14,7.00,7.24,6.98,7.24,39375
23-Sep-14,6.95,7.25,6.84,7.15,55190
22-Sep-14,7.16,7.16,6.90,6.95,49450
19-Sep-14,7.10,7.36,6.90,7.05,24721
18-Sep-14,6.90,7.05,6.64,6.99,68257
17-Sep-14,6.59,7.17,6.59,7.00,76825
16-Sep-14,6.62,6.75,6.53,6.62,50328
15-Sep-14,6.80,6.85,6.55,6.74,31570
12-Sep-14,6.37,6.87,6.36,6.71,55619
11-Sep-14,6.64,6.69,6.36,6.37,72257
10-Sep-14,6.79,7.10,6.61,6.62,29681
9-Sep-14,6.55,6.74,6.53,6.59,47149
8-Sep-14,6.68,6.77,6.50,6.55,24955
5-Sep-14,6.74,6.88,6.60,6.68,35383
4-Sep-14,7.01,7.02,6.73,6.88,17428
3-Sep-14,6.88,7.06,6.88,6.89,14709
2-Sep-14,7.05,7.05,6.68,6.88,44557
29-Aug-14,7.00,7.09,6.61,7.01,26809
28-Aug-14,7.00,7.15,6.92,6.98,26592
27-Aug-14,7.35,7.50,7.00,7.02,83511
26-Aug-14,7.57,7.57,7.20,7.30,43615
25-Aug-14,7.58,7.65,7.25,7.57,40663
22-Aug-14,7.10,7.44,7.00,7.32,42640
21-Aug-14,7.13,7.17,7.05,7.10,23593
20-Aug-14,6.95,7.20,6.93,7.04,50567
19-Aug-14,6.70,7.73,6.70,6.78,107527
18-Aug-14,6.16,6.98,6.16,6.74,50408
15-Aug-14,6.11,6.23,6.10,6.18,19747
14-Aug-14,6.33,6.37,6.15,6.15,60714
13-Aug-14,6.51,6.65,6.32,6.33,17831
12-Aug-14,6.62,6.75,6.55,6.67,23732
11-Aug-14,6.60,7.00,6.55,6.62,43951
8-Aug-14,6.52,6.88,6.46,6.55,24701
7-Aug-14,6.56,6.94,6.25,6.36,101245
6-Aug-14,7.12,7.14,6.34,6.34,61665
