Date,Open,High,Low,Close,Volume
23-Oct-14,29.46,29.71,28.83,28.93,89168
22-Oct-14,29.53,29.74,29.18,29.23,56291
21-Oct-14,30.09,30.35,29.32,29.54,89860
20-Oct-14,29.21,30.00,29.12,29.86,122980
17-Oct-14,29.69,29.71,29.13,29.27,112130
16-Oct-14,27.87,29.33,27.87,29.31,182546
15-Oct-14,27.65,28.37,27.11,28.23,154564
14-Oct-14,27.31,28.11,27.00,27.72,353178
13-Oct-14,26.55,27.22,26.51,26.98,419561
10-Oct-14,26.63,27.07,26.36,26.66,161111
9-Oct-14,26.89,27.09,26.50,26.75,174223
8-Oct-14,26.58,27.17,26.24,26.99,115443
7-Oct-14,26.97,27.24,26.54,26.56,89384
6-Oct-14,27.22,27.52,27.04,27.05,65862
3-Oct-14,27.50,27.67,27.16,27.18,76172
2-Oct-14,26.94,27.37,26.90,27.31,130226
1-Oct-14,26.96,27.31,26.81,26.87,131172
30-Sep-14,27.50,27.61,26.98,26.99,121532
29-Sep-14,27.35,27.61,27.33,27.43,75771
26-Sep-14,27.53,28.30,27.40,27.60,118202
25-Sep-14,27.81,27.81,27.27,27.45,87003
24-Sep-14,27.83,28.15,27.39,27.92,82733
23-Sep-14,28.28,28.42,27.53,27.77,104832
22-Sep-14,28.59,28.65,27.79,28.28,132661
19-Sep-14,29.25,29.36,28.44,28.66,218286
18-Sep-14,29.20,29.28,29.01,29.21,76279
17-Sep-14,29.25,29.28,28.81,29.03,56269
16-Sep-14,29.19,29.38,28.67,29.25,167542
15-Sep-14,29.51,29.51,29.14,29.19,88807
12-Sep-14,29.42,29.68,29.22,29.51,95193
11-Sep-14,29.49,29.80,29.13,29.51,135286
10-Sep-14,29.52,29.78,29.34,29.57,117907
9-Sep-14,29.84,30.00,29.42,29.51,105558
8-Sep-14,29.90,30.00,29.45,29.94,74128
5-Sep-14,29.40,30.10,29.40,29.82,106559
4-Sep-14,29.80,30.10,29.26,29.52,107722
3-Sep-14,30.15,30.38,29.37,29.76,186754
2-Sep-14,30.32,30.65,29.76,29.96,96833
