Date,Open,High,Low,Close,Volume
23-Oct-14,9.82,10.71,9.82,10.46,90640
22-Oct-14,9.20,10.28,9.10,9.81,72229
21-Oct-14,8.84,9.19,8.67,9.01,116284
20-Oct-14,8.88,8.95,8.50,8.80,95928
17-Oct-14,9.12,9.99,8.64,8.88,146555
16-Oct-14,8.20,9.30,8.20,8.99,169400
15-Oct-14,8.24,8.36,7.91,8.21,119944
14-Oct-14,9.20,9.20,8.28,8.37,221694
13-Oct-14,10.11,10.46,8.38,9.18,163457
10-Oct-14,12.58,12.88,9.82,10.01,233570
9-Oct-14,13.60,13.90,11.29,12.77,554723
8-Oct-14,16.83,18.22,16.00,16.88,153279
7-Oct-14,17.06,17.37,16.79,17.07,35446
6-Oct-14,17.05,17.72,16.50,17.09,53371
3-Oct-14,16.60,17.87,16.52,16.89,45151
2-Oct-14,16.21,17.14,16.20,16.67,50625
1-Oct-14,15.51,16.50,15.50,16.21,56056
30-Sep-14,16.18,16.20,15.30,15.62,100371
29-Sep-14,16.63,16.92,15.88,16.23,42206
26-Sep-14,16.94,17.10,16.06,16.94,79409
25-Sep-14,18.20,18.53,16.75,17.08,108546
24-Sep-14,18.10,18.94,17.74,18.52,66982
23-Sep-14,17.62,17.94,17.54,17.63,64990
22-Sep-14,18.80,18.80,17.51,17.79,78269
19-Sep-14,20.28,20.69,18.75,19.16,139948
18-Sep-14,21.00,21.11,20.11,20.24,74289
17-Sep-14,20.78,21.27,20.63,21.01,47365
16-Sep-14,20.39,21.62,20.23,20.94,77201
15-Sep-14,22.78,22.95,20.41,20.60,100626
12-Sep-14,23.31,23.35,22.83,23.00,29618
11-Sep-14,23.74,23.74,22.50,23.11,122849
10-Sep-14,22.70,23.42,22.00,23.25,41292
9-Sep-14,23.41,23.67,20.01,22.25,171739
8-Sep-14,23.90,24.13,22.91,23.22,92719
5-Sep-14,25.00,25.00,23.15,23.74,79021
4-Sep-14,22.25,23.47,22.20,23.10,107285
3-Sep-14,22.58,22.58,21.80,22.04,116484
2-Sep-14,21.00,21.88,20.05,21.70,113245
29-Aug-14,19.75,20.72,19.25,19.96,90360
28-Aug-14,18.90,20.71,18.67,19.04,82253
27-Aug-14,19.30,19.74,18.65,18.82,57135
