Date,Open,High,Low,Close,Volume
23-Oct-14,66.30,70.34,66.14,69.78,352693
22-Oct-14,67.18,67.18,65.01,65.05,250533
21-Oct-14,64.16,67.28,64.16,66.83,303109
20-Oct-14,64.65,65.22,62.86,63.65,301139
17-Oct-14,64.87,66.99,63.62,64.71,338577
16-Oct-14,59.14,64.90,58.76,63.59,279890
15-Oct-14,60.03,61.85,57.60,61.17,463818
14-Oct-14,58.95,61.78,58.25,60.88,529250
13-Oct-14,60.50,62.18,58.06,58.22,252136
10-Oct-14,60.62,62.47,58.69,60.18,315097
9-Oct-14,64.34,64.72,61.01,61.09,235483
8-Oct-14,64.20,65.25,60.43,65.11,353123
7-Oct-14,66.45,66.76,64.12,64.59,308627
6-Oct-14,69.14,69.35,66.43,67.01,180587
3-Oct-14,69.27,69.53,68.09,68.63,227564
2-Oct-14,69.11,70.47,66.42,68.64,298830
1-Oct-14,73.65,73.65,68.80,69.51,406577
30-Sep-14,75.82,76.23,73.52,73.92,261181
29-Sep-14,75.65,76.18,75.20,75.79,123586
26-Sep-14,76.29,77.12,75.91,76.67,171991
25-Sep-14,76.28,77.37,74.66,75.70,158276
24-Sep-14,76.19,77.38,75.20,76.98,153059
23-Sep-14,76.91,77.23,75.63,75.76,164316
22-Sep-14,78.07,78.07,76.24,77.44,274120
19-Sep-14,78.19,78.72,76.91,78.38,248333
18-Sep-14,77.96,78.49,77.16,78.11,134233
17-Sep-14,77.02,78.92,77.02,77.56,193807
16-Sep-14,74.04,77.70,73.85,77.32,190847
15-Sep-14,76.30,76.50,72.86,74.56,289848
12-Sep-14,78.22,78.35,76.29,76.36,172202
11-Sep-14,77.42,78.84,76.51,78.70,153408
10-Sep-14,78.25,78.89,76.20,77.80,161335
9-Sep-14,80.63,80.98,77.66,77.86,198062
8-Sep-14,79.63,80.98,79.43,80.52,143804
5-Sep-14,80.18,80.18,78.63,79.43,170881
4-Sep-14,80.04,81.46,80.04,80.41,135621
3-Sep-14,80.52,80.94,79.43,79.73,167941
2-Sep-14,80.20,80.95,79.03,80.21,169395
29-Aug-14,78.85,79.93,78.30,79.70,132821
28-Aug-14,80.27,80.50,78.64,78.82,242452
27-Aug-14,82.18,82.22,80.25,80.49,202976
26-Aug-14,81.26,82.82,81.26,82.22,142220
25-Aug-14,79.72,81.41,79.67,81.20,144755
22-Aug-14,79.50,79.75,77.95,79.60,198011
21-Aug-14,79.25,80.06,77.30,79.72,226943
20-Aug-14,81.13,81.32,79.13,79.18,218430
19-Aug-14,79.28,81.54,78.75,80.76,237238
18-Aug-14,77.45,78.84,76.95,78.69,204938
15-Aug-14,77.37,77.46,75.17,76.54,180157
14-Aug-14,75.15,76.57,74.87,76.52,209637
13-Aug-14,73.58,75.78,73.07,74.82,315500
12-Aug-14,73.92,74.47,72.24,72.99,201170
11-Aug-14,72.08,74.79,72.03,73.81,279420
8-Aug-14,70.13,71.55,69.81,71.39,156612
7-Aug-14,69.74,70.98,69.24,69.77,147099
6-Aug-14,68.40,70.07,67.80,69.17,306843
5-Aug-14,68.49,70.50,68.17,68.98,232700
4-Aug-14,68.37,69.26,67.22,69.00,153851
1-Aug-14,68.35,69.17,66.93,68.02,356965
31-Jul-14,72.00,73.74,66.34,68.42,558579
30-Jul-14,69.39,70.94,68.23,70.73,315576
29-Jul-14,67.70,68.51,66.83,68.31,360555
28-Jul-14,67.83,68.25,66.46,67.46,198926
25-Jul-14,67.86,68.88,67.80,67.88,146992
24-Jul-14,70.06,71.56,68.50,68.55,246463
23-Jul-14,67.76,71.75,66.98,69.72,357614
22-Jul-14,66.81,68.52,66.81,67.69,111851
21-Jul-14,66.35,66.99,64.39,66.41,186352
18-Jul-14,65.30,67.30,65.30,66.69,139262
17-Jul-14,66.02,67.00,65.31,65.49,180833
16-Jul-14,66.63,67.07,65.56,66.71,175647
15-Jul-14,65.78,66.44,64.81,66.32,241571
14-Jul-14,67.41,67.98,65.75,65.79,184704
11-Jul-14,66.59,67.46,66.20,66.71,117186
10-Jul-14,67.26,68.20,64.79,66.59,235326
9-Jul-14,68.15,69.05,67.20,68.25,281362
8-Jul-14,68.52,68.85,66.79,67.69,235204
7-Jul-14,71.64,72.00,68.75,68.83,275847
3-Jul-14,70.26,71.95,70.26,71.62,207235
2-Jul-14,69.45,71.04,69.35,70.16,235703
1-Jul-14,68.00,68.94,67.47,68.06,162142
30-Jun-14,68.08,68.84,67.04,67.77,237848
27-Jun-14,67.31,69.18,67.21,68.10,459580
26-Jun-14,67.83,67.95,66.23,67.49,173255
25-Jun-14,66.65,67.94,66.16,67.52,153019
24-Jun-14,68.14,68.89,66.35,66.89,193791
23-Jun-14,67.65,68.97,67.33,68.44,218081
20-Jun-14,67.93,67.93,67.01,67.71,250601
19-Jun-14,68.02,68.84,66.75,67.48,194663
18-Jun-14,66.12,67.79,65.30,67.63,188887
17-Jun-14,66.13,67.43,65.63,65.83,160466
16-Jun-14,65.15,66.88,64.90,66.25,138216
13-Jun-14,64.97,65.97,64.15,65.38,149813
12-Jun-14,65.78,66.22,64.82,65.20,131826
11-Jun-14,66.39,66.60,64.46,65.72,172043
10-Jun-14,66.52,66.83,65.55,66.71,113420
9-Jun-14,65.61,67.59,65.47,66.64,171564
6-Jun-14,64.53,65.90,64.53,65.33,131451
5-Jun-14,63.31,64.65,62.56,64.32,142380
4-Jun-14,63.19,64.36,62.24,63.21,198430
3-Jun-14,64.70,65.39,63.11,63.38,185927
2-Jun-14,65.48,65.72,64.11,65.09,132819
30-May-14,65.71,65.94,64.84,65.30,128152
29-May-14,65.57,65.98,64.99,65.57,142992
28-May-14,65.03,65.73,64.19,65.41,136365
27-May-14,66.35,66.89,64.49,64.98,266587
23-May-14,62.75,65.55,62.75,65.34,307786
22-May-14,62.67,63.18,61.95,62.83,381435
