Date,Open,High,Low,Close,Volume
23-Oct-14,4.12,4.19,4.08,4.10,2757561
22-Oct-14,4.18,4.20,4.07,4.08,1733501
21-Oct-14,4.21,4.30,4.15,4.16,3193999
20-Oct-14,3.99,4.18,3.97,4.17,2859878
17-Oct-14,4.12,4.20,3.97,4.01,3825287
16-Oct-14,3.78,4.13,3.75,4.04,6571265
15-Oct-14,3.60,3.85,3.54,3.83,4161790
14-Oct-14,3.55,3.65,3.45,3.62,2711524
13-Oct-14,3.65,3.68,3.26,3.53,5062707
10-Oct-14,3.69,3.82,3.59,3.65,3953743
9-Oct-14,3.84,3.84,3.67,3.74,3450377
8-Oct-14,3.88,3.88,3.66,3.84,4657420
7-Oct-14,3.95,3.99,3.89,3.89,2551520
6-Oct-14,4.06,4.11,3.96,3.97,3229996
3-Oct-14,4.11,4.12,3.99,4.07,2888751
2-Oct-14,4.08,4.14,3.98,4.07,3158495
1-Oct-14,4.21,4.21,3.98,4.09,6348189
30-Sep-14,4.24,4.29,4.12,4.19,4823817
29-Sep-14,4.10,4.25,4.06,4.25,2848286
26-Sep-14,4.13,4.27,4.08,4.11,6060203
25-Sep-14,4.10,4.16,4.05,4.13,4338317
24-Sep-14,4.04,4.11,4.02,4.11,2304247
23-Sep-14,4.10,4.18,4.01,4.02,3105021
22-Sep-14,4.20,4.33,4.09,4.10,5724110
19-Sep-14,4.29,4.74,4.16,4.16,14207911
18-Sep-14,3.93,4.34,3.90,4.27,10975760
17-Sep-14,3.93,3.98,3.89,3.90,1962255
16-Sep-14,3.92,4.05,3.84,3.92,4561701
15-Sep-14,4.03,4.05,3.84,3.91,4194014
12-Sep-14,4.06,4.09,3.98,4.02,4063217
11-Sep-14,3.97,4.07,3.93,4.05,4395951
10-Sep-14,3.90,3.99,3.82,3.98,3642571
9-Sep-14,3.91,3.99,3.87,3.90,4444845
8-Sep-14,4.02,4.08,3.92,3.95,2872226
5-Sep-14,4.06,4.09,3.90,4.03,4214750
4-Sep-14,4.11,4.15,4.06,4.07,3333574
3-Sep-14,4.14,4.18,4.07,4.12,5862185
2-Sep-14,4.19,4.24,4.10,4.15,5715194
29-Aug-14,4.14,4.31,4.10,4.12,4838576
28-Aug-14,4.21,4.25,4.11,4.12,2753618
27-Aug-14,4.25,4.28,4.20,4.22,3028808
26-Aug-14,4.21,4.30,4.20,4.25,3328905
25-Aug-14,4.17,4.27,4.16,4.18,3792753
22-Aug-14,4.14,4.22,4.07,4.15,3364722
21-Aug-14,4.23,4.27,4.05,4.11,5512570
20-Aug-14,4.22,4.31,4.20,4.23,4615168
19-Aug-14,4.20,4.32,4.19,4.23,4386379
18-Aug-14,4.36,4.39,4.18,4.20,5253328
15-Aug-14,4.45,4.45,4.28,4.34,3097107
14-Aug-14,4.28,4.43,4.28,4.38,2204182
13-Aug-14,4.29,4.32,4.26,4.29,1893496
12-Aug-14,4.39,4.43,4.27,4.28,2552773
11-Aug-14,4.42,4.47,4.38,4.39,3861850
8-Aug-14,4.31,4.42,4.26,4.39,2203508
7-Aug-14,4.48,4.53,4.26,4.30,3441150
6-Aug-14,4.31,4.49,4.28,4.46,5340407
5-Aug-14,4.29,4.35,4.18,4.33,5884713
4-Aug-14,4.38,4.42,4.20,4.28,7856569
1-Aug-14,4.84,4.85,4.36,4.46,9668693
31-Jul-14,4.70,4.75,4.61,4.63,4473832
30-Jul-14,4.76,4.86,4.70,4.77,2548574
29-Jul-14,4.60,4.78,4.60,4.71,3504432
28-Jul-14,4.76,4.79,4.56,4.61,5789143
25-Jul-14,4.82,4.85,4.73,4.77,6639381
24-Jul-14,4.86,4.91,4.80,4.85,5279951
23-Jul-14,4.88,4.96,4.85,4.88,4738298
22-Jul-14,4.92,4.96,4.80,4.84,4347191
21-Jul-14,5.03,5.05,4.85,4.88,4285607
18-Jul-14,4.79,5.01,4.78,4.95,5212268
17-Jul-14,4.76,4.92,4.73,4.81,7212519
16-Jul-14,5.05,5.05,4.73,4.77,6291515
15-Jul-14,5.17,5.32,4.91,4.92,11886717
14-Jul-14,5.43,5.50,5.09,5.14,5544314
11-Jul-14,5.03,5.38,4.98,5.37,6028386
10-Jul-14,4.91,5.06,4.89,5.06,5728940
9-Jul-14,4.99,5.01,4.76,4.95,8168025
8-Jul-14,5.20,5.25,4.98,5.01,7438872
7-Jul-14,5.56,5.69,5.22,5.29,12609273
3-Jul-14,5.84,5.90,5.79,5.84,2402657
2-Jul-14,5.79,5.89,5.79,5.83,4296877
1-Jul-14,5.85,5.95,5.80,5.80,4115865
30-Jun-14,5.80,5.91,5.80,5.86,5290270
27-Jun-14,5.81,5.87,5.76,5.85,5961496
26-Jun-14,5.93,6.12,5.78,5.83,3002974
25-Jun-14,5.90,5.95,5.81,5.88,5539799
24-Jun-14,5.99,6.05,5.90,5.91,3095481
23-Jun-14,6.05,6.12,5.90,5.98,4923408
20-Jun-14,6.21,6.22,6.02,6.07,4298049
19-Jun-14,6.22,6.29,6.12,6.17,3901842
18-Jun-14,6.19,6.24,6.12,6.22,3788199
17-Jun-14,6.27,6.28,6.11,6.20,4299208
16-Jun-14,6.50,6.59,6.25,6.28,3345886
13-Jun-14,6.40,6.54,6.32,6.50,4064253
12-Jun-14,6.44,6.47,6.31,6.41,6610224
11-Jun-14,6.02,6.25,5.97,6.18,9131892
10-Jun-14,5.97,6.04,5.95,5.96,3126442
9-Jun-14,5.92,6.00,5.76,5.97,7326364
6-Jun-14,6.19,6.22,5.95,6.00,10549886
5-Jun-14,6.05,6.18,6.02,6.15,2643899
4-Jun-14,6.01,6.12,5.96,6.05,2667759
3-Jun-14,6.08,6.12,5.98,6.01,2558776
2-Jun-14,6.14,6.17,5.92,6.06,3527075
30-May-14,6.26,6.36,6.10,6.15,3954792
29-May-14,6.23,6.33,6.17,6.26,2532891
28-May-14,6.25,6.41,6.22,6.26,4141334
27-May-14,6.20,6.34,6.15,6.31,3318739
23-May-14,6.23,6.30,6.15,6.19,2747366
22-May-14,6.40,6.41,6.21,6.25,3066302
21-May-14,6.38,6.49,6.24,6.30,3114881
20-May-14,6.63,6.72,6.31,6.33,7126474
19-May-14,6.36,6.54,6.30,6.50,2794267
16-May-14,6.35,6.55,6.29,6.43,4234776
15-May-14,6.36,6.39,6.08,6.37,4941968
14-May-14,6.43,6.57,6.35,6.39,3475184
13-May-14,6.61,6.75,6.37,6.41,7906362
12-May-14,7.17,7.17,6.77,6.84,9147666
9-May-14,7.00,7.22,6.85,7.19,9092731
8-May-14,6.88,7.10,6.81,6.98,9396802
7-May-14,6.89,6.98,6.67,6.85,5447873
6-May-14,6.86,7.15,6.85,6.85,8463827
5-May-14,6.62,6.91,6.58,6.88,3902042
2-May-14,6.72,6.76,6.41,6.68,9123279
1-May-14,6.35,6.72,6.25,6.66,6689788
30-Apr-14,6.22,6.42,6.12,6.40,3465409
29-Apr-14,6.10,6.34,6.06,6.29,4519033
28-Apr-14,6.10,6.14,5.85,6.07,4133554
25-Apr-14,6.12,6.16,5.93,5.96,4906306
24-Apr-14,6.18,6.24,6.02,6.17,3156257
23-Apr-14,6.31,6.33,6.11,6.16,4828196
22-Apr-14,6.23,6.43,6.23,6.34,4299097
21-Apr-14,6.20,6.34,6.13,6.20,4921016
17-Apr-14,6.27,6.33,6.16,6.18,3706575
16-Apr-14,6.40,6.44,6.21,6.30,5044999
15-Apr-14,6.21,6.37,6.04,6.35,6981744
14-Apr-14,6.17,6.36,6.00,6.15,4237279
11-Apr-14,6.07,6.25,5.96,6.07,4127727
10-Apr-14,6.56,6.56,6.10,6.18,5439115
9-Apr-14,6.47,6.59,6.44,6.56,2710524
8-Apr-14,6.37,6.50,6.22,6.43,4593416
7-Apr-14,6.20,6.42,6.08,6.38,5827246
4-Apr-14,6.50,6.59,6.11,6.22,6725427
3-Apr-14,6.71,6.74,6.33,6.42,6179211
2-Apr-14,6.60,6.75,6.50,6.67,4379767
1-Apr-14,6.29,6.57,6.27,6.56,4906347
31-Mar-14,6.14,6.32,6.05,6.30,5875796
28-Mar-14,6.36,6.43,6.07,6.10,5536830
27-Mar-14,6.18,6.41,6.06,6.30,5040048
26-Mar-14,6.12,6.28,6.04,6.14,5186036
25-Mar-14,6.06,6.19,6.00,6.05,6106757
24-Mar-14,6.16,6.20,5.88,6.02,5912815
21-Mar-14,6.33,6.35,6.03,6.15,9850853
20-Mar-14,6.48,6.50,6.17,6.31,7098146
19-Mar-14,6.62,6.67,6.46,6.52,3345097
18-Mar-14,6.43,6.62,6.36,6.60,4693007
17-Mar-14,6.55,6.64,6.35,6.42,5271196
14-Mar-14,6.70,6.75,6.45,6.49,6828508
13-Mar-14,7.13,7.18,6.64,6.68,7790445
12-Mar-14,6.96,7.14,6.83,7.14,4854107
11-Mar-14,6.98,7.09,6.83,7.03,5632192
10-Mar-14,7.12,7.14,6.90,6.98,3060203
7-Mar-14,7.10,7.24,6.99,7.12,5226815
6-Mar-14,7.12,7.12,6.93,7.08,4437259
5-Mar-14,7.10,7.15,6.94,7.07,5144562
4-Mar-14,6.85,7.09,6.82,7.09,8182267
3-Mar-14,6.40,6.85,6.38,6.80,6253401
28-Feb-14,6.30,6.64,6.25,6.51,10749107
27-Feb-14,6.89,6.89,6.63,6.77,7333200
26-Feb-14,6.97,7.01,6.76,6.87,4436537
25-Feb-14,6.97,7.10,6.86,7.00,3980463
24-Feb-14,6.95,7.05,6.75,7.01,4838158
21-Feb-14,6.78,7.03,6.67,6.92,7465369
20-Feb-14,6.71,6.84,6.55,6.74,4673839
19-Feb-14,6.93,6.93,6.70,6.71,3455989
18-Feb-14,6.96,7.08,6.81,6.96,4376959
14-Feb-14,7.34,7.36,6.91,6.93,7119224
13-Feb-14,6.76,7.21,6.65,7.19,5911215
12-Feb-14,6.80,6.88,6.60,6.83,4785854
11-Feb-14,6.64,6.90,6.54,6.62,6607682
10-Feb-14,6.16,6.48,6.10,6.43,6362167
7-Feb-14,5.82,6.08,5.76,6.00,3885507
6-Feb-14,6.02,6.07,5.75,5.81,4126405
5-Feb-14,6.00,6.18,5.81,5.99,3810903
4-Feb-14,6.01,6.20,5.97,6.07,5655267
3-Feb-14,6.33,6.33,5.75,5.97,10165589
31-Jan-14,6.78,6.78,6.31,6.33,8981111
30-Jan-14,6.85,7.04,6.81,6.83,3428366
29-Jan-14,6.92,7.04,6.66,6.77,4901577
28-Jan-14,6.90,7.15,6.86,6.96,3734518
27-Jan-14,7.38,7.38,6.61,6.93,7904643
24-Jan-14,7.51,7.51,7.22,7.32,5202413
23-Jan-14,7.49,7.58,7.27,7.53,5253567
22-Jan-14,7.31,7.52,7.17,7.49,5212294
21-Jan-14,7.38,7.45,7.06,7.32,7393263
17-Jan-14,7.84,7.97,7.11,7.26,12238569
16-Jan-14,7.29,7.73,7.24,7.72,12486921
15-Jan-14,7.00,7.31,6.87,7.31,13783060
14-Jan-14,6.68,6.84,6.56,6.82,6692241
13-Jan-14,6.65,6.92,6.50,6.62,11878843
10-Jan-14,6.15,6.41,6.10,6.37,7240462
9-Jan-14,5.91,6.18,5.90,6.06,5427532
8-Jan-14,5.82,5.97,5.82,5.92,3482868
7-Jan-14,5.85,5.90,5.79,5.83,3368541
6-Jan-14,5.93,5.95,5.80,5.85,5027799
3-Jan-14,5.91,5.94,5.80,5.89,2571124
2-Jan-14,5.86,5.97,5.72,5.87,3416018
31-Dec-13,5.89,5.97,5.83,5.85,3616156
30-Dec-13,6.03,6.03,5.80,5.88,3284377
27-Dec-13,6.06,6.24,5.96,6.01,5991476
26-Dec-13,5.63,6.15,5.63,5.98,7287522
24-Dec-13,5.60,5.68,5.56,5.64,1247485
23-Dec-13,5.55,5.66,5.48,5.63,2964742
20-Dec-13,5.63,5.70,5.48,5.57,6062617
19-Dec-13,5.56,5.70,5.49,5.60,3327132
18-Dec-13,5.54,5.60,5.42,5.58,4106077
17-Dec-13,5.62,5.66,5.51,5.52,2093807
16-Dec-13,5.62,5.66,5.49,5.66,3939568
13-Dec-13,5.76,5.78,5.53,5.56,3284123
12-Dec-13,5.66,5.85,5.52,5.77,2919935
11-Dec-13,5.78,5.80,5.55,5.65,3935864
10-Dec-13,5.81,5.88,5.69,5.79,2324669
9-Dec-13,5.75,5.91,5.71,5.82,4741593
6-Dec-13,6.22,6.26,5.90,5.95,4826618
5-Dec-13,6.49,6.49,6.17,6.20,4520287
4-Dec-13,6.62,6.63,6.41,6.53,4888186
3-Dec-13,6.69,6.71,6.49,6.60,5572935
