Date,Open,High,Low,Close,Volume
23-Oct-14,25.90,26.20,25.85,26.05,51189
22-Oct-14,25.95,26.04,25.55,25.74,18844
21-Oct-14,25.68,25.90,25.68,25.79,14014
20-Oct-14,25.50,25.77,25.50,25.66,21724
17-Oct-14,26.06,26.10,25.51,25.58,30628
16-Oct-14,25.95,26.20,25.43,25.70,109412
15-Oct-14,25.60,26.32,25.54,26.22,29179
14-Oct-14,25.96,26.25,25.75,25.87,37006
13-Oct-14,25.48,26.03,25.40,25.95,22544
10-Oct-14,25.28,25.55,25.28,25.31,29859
9-Oct-14,25.37,25.59,25.28,25.34,14498
8-Oct-14,25.30,25.99,25.28,25.88,27900
7-Oct-14,25.58,25.73,25.22,25.40,12288
6-Oct-14,25.80,25.80,25.55,25.68,12194
3-Oct-14,25.80,25.80,25.56,25.69,13922
2-Oct-14,25.44,25.74,25.31,25.60,24819
1-Oct-14,25.12,25.60,25.10,25.39,26725
30-Sep-14,25.43,25.73,25.05,25.07,26899
29-Sep-14,25.41,25.59,25.38,25.43,12971
26-Sep-14,25.51,25.66,25.45,25.56,8639
25-Sep-14,25.57,25.61,25.22,25.49,33475
24-Sep-14,25.58,25.87,25.57,25.57,8532
23-Sep-14,25.53,25.77,25.51,25.52,19981
22-Sep-14,25.92,26.00,25.53,25.54,16818
19-Sep-14,26.06,26.17,25.96,26.01,25309
18-Sep-14,26.00,26.25,25.99,26.01,13603
17-Sep-14,26.05,26.24,25.90,25.98,21361
16-Sep-14,25.88,26.30,25.83,25.87,33914
15-Sep-14,25.99,25.99,25.54,25.84,21513
12-Sep-14,26.04,26.04,25.64,25.87,21016
11-Sep-14,25.84,26.14,25.65,26.04,16279
10-Sep-14,25.65,26.05,25.65,26.02,18052
9-Sep-14,26.04,26.04,25.50,25.59,18145
8-Sep-14,26.18,26.22,25.84,26.06,17635
5-Sep-14,25.93,26.20,25.90,26.09,21920
4-Sep-14,26.22,26.22,25.92,25.96,11975
3-Sep-14,26.32,26.32,25.98,26.04,13293
2-Sep-14,26.25,26.30,26.10,26.28,17766
29-Aug-14,26.06,26.24,25.99,26.10,18380
28-Aug-14,25.92,26.28,25.92,26.06,26143
27-Aug-14,26.25,26.32,26.04,26.21,21292
26-Aug-14,26.28,26.32,26.07,26.08,24260
25-Aug-14,26.19,26.46,26.15,26.27,25868
22-Aug-14,25.98,26.14,25.86,26.02,22637
21-Aug-14,25.87,26.00,25.77,25.90,13038
20-Aug-14,26.01,26.01,25.78,25.83,16314
19-Aug-14,26.14,26.19,25.76,25.97,26427
18-Aug-14,25.94,26.18,25.63,26.13,37405
15-Aug-14,25.85,25.85,25.33,25.68,27173
14-Aug-14,25.62,25.76,25.55,25.64,16972
13-Aug-14,25.46,25.65,25.37,25.54,17873
12-Aug-14,25.33,25.49,25.25,25.46,21543
11-Aug-14,25.11,25.46,25.05,25.31,22971
8-Aug-14,24.99,25.27,24.88,25.12,14456
7-Aug-14,25.18,25.18,24.99,25.02,11514
6-Aug-14,24.83,25.32,24.83,25.19,18705
5-Aug-14,24.86,25.19,24.86,25.08,16903
4-Aug-14,24.85,25.07,24.85,24.96,28385
1-Aug-14,25.00,25.04,24.82,24.85,23181
31-Jul-14,24.84,25.09,24.84,24.90,26056
30-Jul-14,25.03,25.08,24.88,24.96,11987
29-Jul-14,24.89,25.07,24.86,24.86,14124
28-Jul-14,24.86,25.05,24.85,24.85,49322
25-Jul-14,24.99,25.04,24.86,24.90,23817
24-Jul-14,25.11,25.20,24.90,24.93,16919
23-Jul-14,25.20,25.20,24.91,24.98,13218
22-Jul-14,24.95,25.20,24.86,25.19,31651
21-Jul-14,24.86,25.20,24.84,24.89,53332
18-Jul-14,24.84,25.16,24.84,25.00,22569
17-Jul-14,24.92,25.18,24.85,25.00,28744
16-Jul-14,25.19,25.19,24.91,24.96,17487
15-Jul-14,25.15,25.17,24.95,25.05,16955
14-Jul-14,25.29,25.37,25.13,25.13,14176
11-Jul-14,25.25,25.37,25.09,25.17,14472
10-Jul-14,25.29,25.41,25.25,25.26,14620
9-Jul-14,25.63,25.94,25.54,25.60,8612
8-Jul-14,25.55,25.63,25.34,25.51,13441
7-Jul-14,25.79,25.92,25.47,25.62,38324
3-Jul-14,26.10,26.29,25.65,25.99,12302
2-Jul-14,25.78,26.15,25.74,26.15,26921
1-Jul-14,25.44,25.95,25.44,25.77,42337
30-Jun-14,25.40,25.44,25.22,25.43,15728
27-Jun-14,24.96,25.39,24.96,25.34,59437
26-Jun-14,25.07,25.24,25.01,25.14,12236
25-Jun-14,25.02,25.36,25.02,25.27,8525
24-Jun-14,25.21,25.55,25.14,25.15,22538
23-Jun-14,25.03,25.35,25.02,25.25,13403
20-Jun-14,25.32,25.32,25.07,25.24,47921
19-Jun-14,25.28,25.29,24.91,25.23,8880
18-Jun-14,25.00,25.31,25.00,25.26,12824
17-Jun-14,25.17,25.36,24.91,25.05,33005
16-Jun-14,25.51,25.82,25.00,25.04,25355
13-Jun-14,25.49,25.70,25.17,25.60,36027
12-Jun-14,25.32,25.65,25.25,25.32,20156
11-Jun-14,25.64,25.67,25.30,25.40,15803
10-Jun-14,25.72,25.83,25.53,25.81,22481
9-Jun-14,25.54,25.74,25.49,25.74,18295
6-Jun-14,25.52,25.64,25.37,25.59,27980
5-Jun-14,25.20,25.60,25.14,25.58,25901
4-Jun-14,24.98,25.08,24.95,25.06,19716
3-Jun-14,25.00,25.14,24.96,24.96,19773
2-Jun-14,25.29,25.29,25.00,25.01,28426
30-May-14,25.63,25.65,25.33,25.37,14866
29-May-14,25.68,25.70,25.39,25.53,23883
28-May-14,25.43,25.82,25.26,25.72,30610
27-May-14,25.21,25.58,25.21,25.55,35238
23-May-14,24.85,25.12,24.68,25.12,22574
22-May-14,24.67,25.00,24.67,24.82,16547
21-May-14,24.71,25.14,24.58,24.66,28958
20-May-14,24.80,24.88,24.56,24.67,46944
19-May-14,24.86,25.21,24.66,25.03,32123
16-May-14,24.53,24.77,24.41,24.77,22822
15-May-14,24.72,25.09,24.51,24.55,25349
14-May-14,25.12,25.12,24.72,24.73,31259
13-May-14,25.36,25.49,24.97,25.10,31203
12-May-14,25.24,25.63,25.20,25.44,34634
9-May-14,24.37,25.14,24.37,25.04,22628
8-May-14,24.52,24.62,24.37,24.37,15058
7-May-14,24.36,24.78,24.31,24.61,22764
6-May-14,24.58,24.76,24.36,24.38,27929
5-May-14,24.44,24.66,24.41,24.59,25355
2-May-14,24.64,24.90,24.46,24.57,17690
1-May-14,24.51,24.79,24.45,24.65,46070
30-Apr-14,24.61,25.00,24.52,24.54,38003
29-Apr-14,25.08,25.25,24.59,24.61,13454
28-Apr-14,24.95,25.09,24.54,24.90,23809
25-Apr-14,25.20,25.33,24.71,24.77,47005
24-Apr-14,25.54,25.66,25.14,25.21,29270
23-Apr-14,25.50,25.58,25.39,25.39,21317
22-Apr-14,25.63,25.63,25.46,25.61,15279
21-Apr-14,25.69,25.73,25.45,25.64,13713
17-Apr-14,25.54,25.86,25.38,25.63,11743
16-Apr-14,25.86,25.91,25.42,25.47,15551
15-Apr-14,25.90,25.93,25.30,25.67,22423
14-Apr-14,25.69,25.98,25.28,25.62,29215
11-Apr-14,25.27,25.80,25.17,25.46,31542
10-Apr-14,25.98,25.98,25.34,25.43,26624
9-Apr-14,25.75,26.06,25.40,25.89,23109
8-Apr-14,25.68,26.01,25.32,25.51,22894
7-Apr-14,25.84,26.16,25.30,25.57,19827
4-Apr-14,26.42,26.42,25.69,25.88,25655
3-Apr-14,26.37,26.42,25.98,26.28,24216
2-Apr-14,26.37,26.42,25.98,26.29,18370
1-Apr-14,26.03,26.46,25.62,26.42,23543
31-Mar-14,25.97,26.66,25.85,25.92,52423
