Date,Open,High,Low,Close,Volume
23-Oct-14,19.77,20.14,19.56,20.05,1546577
22-Oct-14,19.75,19.87,19.41,19.46,1122182
21-Oct-14,19.60,19.82,19.40,19.73,2074794
20-Oct-14,19.38,19.59,19.24,19.56,1289337
17-Oct-14,19.77,19.77,19.24,19.49,1575569
16-Oct-14,19.40,19.99,19.10,19.44,2429572
15-Oct-14,18.87,20.04,18.73,19.92,2245766
14-Oct-14,19.40,19.55,18.62,19.19,2319415
13-Oct-14,19.65,19.86,19.00,19.20,2103603
10-Oct-14,20.88,21.00,19.61,19.61,1975395
9-Oct-14,21.09,21.23,20.64,20.98,1859092
8-Oct-14,20.63,21.28,20.33,21.11,1988392
7-Oct-14,21.07,21.29,20.66,20.68,1410190
6-Oct-14,21.17,21.17,20.69,20.75,1405513
3-Oct-14,21.00,21.47,20.66,21.06,2793607
2-Oct-14,20.53,20.86,19.93,20.82,2459537
1-Oct-14,21.53,21.58,20.41,20.59,2855755
30-Sep-14,21.75,21.92,21.52,21.58,1130901
29-Sep-14,21.34,21.79,21.30,21.68,1468253
26-Sep-14,21.69,21.80,21.07,21.57,1726121
25-Sep-14,22.59,22.72,21.13,21.67,3128708
24-Sep-14,22.23,22.68,21.95,22.63,1274721
23-Sep-14,22.26,22.65,22.14,22.16,1485759
22-Sep-14,22.91,22.95,22.10,22.33,1717830
19-Sep-14,23.17,23.61,22.91,22.95,2552845
18-Sep-14,22.54,23.15,22.40,22.97,2136570
17-Sep-14,22.71,23.09,22.45,22.52,2602312
16-Sep-14,22.45,22.92,22.09,22.80,2399479
15-Sep-14,23.35,23.40,22.35,22.58,3215985
12-Sep-14,23.74,23.90,23.26,23.39,2938953
11-Sep-14,23.04,23.74,22.83,23.63,4851167
10-Sep-14,22.00,23.14,21.84,22.93,4747718
9-Sep-14,21.62,22.09,21.47,21.87,3947808
8-Sep-14,21.29,21.80,21.23,21.69,1438299
5-Sep-14,20.97,21.33,20.91,21.24,1133861
4-Sep-14,21.18,21.33,20.98,20.98,1643452
3-Sep-14,21.30,21.44,21.10,21.12,1923956
2-Sep-14,21.43,21.50,21.14,21.32,2258485
29-Aug-14,21.26,21.39,21.05,21.35,1133504
28-Aug-14,20.88,21.45,20.76,21.18,2374878
27-Aug-14,22.01,22.49,20.86,21.26,9577387
26-Aug-14,20.12,20.42,20.00,20.24,3112791
25-Aug-14,20.10,20.31,19.91,20.09,1861288
22-Aug-14,20.16,20.20,19.87,19.90,1161712
21-Aug-14,19.99,20.32,19.84,20.17,1110653
20-Aug-14,19.79,20.13,19.72,20.00,1076912
19-Aug-14,19.77,20.18,19.74,19.91,1183304
18-Aug-14,19.59,19.85,19.51,19.72,989793
15-Aug-14,19.50,19.58,19.20,19.49,1994073
