Date,Open,High,Low,Close,Volume
23-Oct-14,12.04,12.26,12.03,12.22,1590920
22-Oct-14,12.23,12.30,11.94,11.97,1500603
21-Oct-14,12.24,12.38,12.15,12.20,1289033
20-Oct-14,11.87,12.20,11.83,12.19,1189501
17-Oct-14,11.97,12.01,11.81,11.93,2835080
16-Oct-14,11.66,11.99,11.64,11.85,3367782
15-Oct-14,11.90,12.01,11.69,11.86,2485910
14-Oct-14,11.98,12.31,11.94,12.00,2239289
13-Oct-14,12.15,12.42,11.91,11.93,2025538
10-Oct-14,12.30,12.52,12.18,12.24,2246372
9-Oct-14,12.75,12.80,12.36,12.36,1952345
8-Oct-14,12.71,12.76,12.48,12.75,2413170
7-Oct-14,12.78,12.86,12.65,12.70,1822222
6-Oct-14,13.07,13.10,12.86,12.87,1565891
3-Oct-14,13.15,13.15,13.00,13.03,2043907
2-Oct-14,12.99,13.17,12.85,13.08,1710336
1-Oct-14,13.25,13.30,12.95,12.96,2024177
30-Sep-14,13.57,13.60,13.27,13.30,1384884
29-Sep-14,13.52,13.73,13.39,13.60,2741127
26-Sep-14,13.43,13.64,13.33,13.61,2054250
25-Sep-14,13.59,13.60,13.18,13.38,2468037
24-Sep-14,13.70,13.87,13.35,13.60,3323948
23-Sep-14,14.21,14.64,13.60,13.75,9012273
22-Sep-14,17.03,17.03,16.40,16.53,2070001
19-Sep-14,17.09,17.17,16.90,16.93,1556141
18-Sep-14,17.18,17.18,17.00,17.07,712308
17-Sep-14,17.20,17.22,17.06,17.10,670932
16-Sep-14,17.04,17.38,17.03,17.21,1600916
15-Sep-14,17.14,17.17,16.97,17.02,1086173
12-Sep-14,17.15,17.30,17.01,17.18,879644
11-Sep-14,16.96,17.17,16.84,17.14,837108
10-Sep-14,16.96,17.06,16.89,17.01,1087798
9-Sep-14,16.87,17.07,16.58,16.94,1282459
8-Sep-14,16.85,16.99,16.77,16.93,788785
5-Sep-14,17.10,17.14,16.81,16.84,1315229
4-Sep-14,17.46,17.62,17.20,17.20,1548182
3-Sep-14,17.57,17.61,17.44,17.46,681791
