Date,Open,High,Low,Close,Volume
23-Oct-14,3.15,3.21,3.15,3.15,6088
21-Oct-14,3.21,3.22,3.10,3.22,4614
20-Oct-14,3.15,3.20,3.10,3.20,4272
17-Oct-14,3.15,3.22,3.10,3.16,21621
16-Oct-14,3.10,3.17,3.02,3.05,7744
15-Oct-14,3.11,3.18,3.08,3.12,19214
14-Oct-14,3.15,3.30,3.01,3.15,28314
13-Oct-14,3.15,3.21,3.15,3.21,832
10-Oct-14,3.20,3.21,3.15,3.16,5533
9-Oct-14,3.20,3.23,3.15,3.22,6403
8-Oct-14,3.23,3.23,3.19,3.20,11840
7-Oct-14,3.24,3.31,3.13,3.13,8327
6-Oct-14,3.28,3.28,3.24,3.28,5358
3-Oct-14,3.23,3.30,3.22,3.27,5073
2-Oct-14,3.21,3.32,3.21,3.31,1419
1-Oct-14,3.27,3.29,3.23,3.23,9405
30-Sep-14,3.24,3.30,3.23,3.30,2158
29-Sep-14,3.21,3.49,3.21,3.30,5744
26-Sep-14,3.30,3.36,3.25,3.26,14213
25-Sep-14,3.31,3.35,3.22,3.23,6432
24-Sep-14,3.36,3.38,3.30,3.37,1885
23-Sep-14,3.30,3.40,3.30,3.38,1624
22-Sep-14,3.40,3.40,3.29,3.29,13191
19-Sep-14,3.26,3.37,3.25,3.37,14132
18-Sep-14,3.31,3.33,3.28,3.30,23142
17-Sep-14,3.26,3.32,3.25,3.31,5565
16-Sep-14,3.26,3.45,3.25,3.26,3394
15-Sep-14,3.33,3.33,3.23,3.25,6013
12-Sep-14,3.30,3.33,3.24,3.24,1674
11-Sep-14,3.35,3.35,3.21,3.25,11439
10-Sep-14,3.35,3.35,3.26,3.26,2864
9-Sep-14,3.27,3.34,3.25,3.26,5760
8-Sep-14,3.35,3.35,3.26,3.27,9480
5-Sep-14,3.33,3.35,3.26,3.32,16073
4-Sep-14,3.25,3.31,3.20,3.31,12756
3-Sep-14,3.30,3.32,3.21,3.28,2335
2-Sep-14,3.24,3.26,3.20,3.21,11093
29-Aug-14,3.26,3.26,3.18,3.20,11059
28-Aug-14,3.25,3.30,3.25,3.25,71376
27-Aug-14,3.28,3.30,3.25,3.30,6527
26-Aug-14,3.27,3.32,3.23,3.24,17764
25-Aug-14,3.23,3.33,3.23,3.25,60102
22-Aug-14,3.21,3.25,3.21,3.25,2394
21-Aug-14,3.29,3.29,3.21,3.22,1241
20-Aug-14,3.27,3.29,3.20,3.28,6356
19-Aug-14,3.29,3.29,3.23,3.29,4530
18-Aug-14,3.34,3.35,3.27,3.27,4761
15-Aug-14,3.33,3.34,3.32,3.34,1699
14-Aug-14,3.30,3.32,3.30,3.31,2986
13-Aug-14,3.23,3.33,3.23,3.33,6518
12-Aug-14,3.26,3.37,3.23,3.33,14946
11-Aug-14,3.21,3.26,3.15,3.20,10509
8-Aug-14,3.18,3.26,3.15,3.26,8272
7-Aug-14,3.21,3.24,3.14,3.14,18422
6-Aug-14,3.13,3.25,3.13,3.24,10654
5-Aug-14,3.21,3.26,3.12,3.18,6996
4-Aug-14,3.24,3.25,3.11,3.23,1206
1-Aug-14,3.25,3.26,3.22,3.24,1062
31-Jul-14,3.19,3.25,3.15,3.18,11525
30-Jul-14,3.27,3.28,3.11,3.18,56273
29-Jul-14,3.27,3.30,3.13,3.17,59864
28-Jul-14,3.32,3.38,3.30,3.30,22152
25-Jul-14,3.37,3.37,3.33,3.33,2844
24-Jul-14,3.34,3.37,3.33,3.33,39062
23-Jul-14,3.40,3.41,3.35,3.36,34245
22-Jul-14,3.37,3.45,3.36,3.40,40481
21-Jul-14,3.40,3.42,3.36,3.36,19514
18-Jul-14,3.45,3.45,3.38,3.42,6002
17-Jul-14,3.47,3.47,3.45,3.45,2664
16-Jul-14,3.48,3.48,3.37,3.42,5888
15-Jul-14,3.45,3.45,3.35,3.40,25025
14-Jul-14,3.49,3.49,3.45,3.49,8418
11-Jul-14,3.45,3.51,3.45,3.46,2626
10-Jul-14,3.49,3.50,3.45,3.46,855
9-Jul-14,3.47,3.49,3.46,3.46,6323
8-Jul-14,3.50,3.50,3.47,3.47,399
7-Jul-14,3.50,3.54,3.50,3.52,4524
3-Jul-14,3.47,3.47,3.47,3.47,513
2-Jul-14,3.49,3.49,3.48,3.49,2900
1-Jul-14,3.50,3.50,3.46,3.50,6227
30-Jun-14,3.54,3.54,3.48,3.48,2881
27-Jun-14,3.43,3.54,3.43,3.54,7728
26-Jun-14,3.44,3.51,3.43,3.49,6302
25-Jun-14,3.48,3.48,3.43,3.47,5957
24-Jun-14,3.44,3.53,3.41,3.53,21562
23-Jun-14,3.47,3.53,3.47,3.51,5019
20-Jun-14,3.52,3.52,3.42,3.50,9934
19-Jun-14,3.53,3.54,3.46,3.47,9056
18-Jun-14,3.52,3.53,3.45,3.48,2759
17-Jun-14,3.53,3.53,3.48,3.53,6446
16-Jun-14,3.42,3.53,3.42,3.53,9655
13-Jun-14,3.51,3.51,3.35,3.42,7474
12-Jun-14,3.41,3.52,3.37,3.51,1507
11-Jun-14,3.52,3.53,3.52,3.52,1268
10-Jun-14,3.53,3.53,3.50,3.50,8048
9-Jun-14,3.45,3.51,3.41,3.50,29124
6-Jun-14,3.52,3.52,3.42,3.48,2996
5-Jun-14,3.42,3.43,3.40,3.40,4217
4-Jun-14,3.41,3.44,3.35,3.44,32671
3-Jun-14,3.40,3.44,3.35,3.43,31912
2-Jun-14,3.48,3.48,3.40,3.40,7329
30-May-14,3.50,3.50,3.50,3.50,1023
29-May-14,3.50,3.50,3.46,3.46,2204
28-May-14,3.49,3.50,3.46,3.50,9838
27-May-14,3.47,3.50,3.44,3.49,3578
23-May-14,3.50,3.50,3.44,3.50,919
22-May-14,3.48,3.49,3.42,3.42,6093
21-May-14,3.41,3.54,3.40,3.44,12513
20-May-14,3.47,3.50,3.41,3.47,10048
19-May-14,3.46,3.52,3.46,3.49,2529
16-May-14,3.43,3.57,3.41,3.50,5394
15-May-14,3.46,3.62,3.46,3.59,11439
14-May-14,3.60,3.60,3.44,3.59,3696
13-May-14,3.48,3.60,3.40,3.57,29751
