Date,Open,High,Low,Close,Volume
23-Oct-14,4.17,4.22,4.17,4.22,10774
22-Oct-14,4.29,4.29,4.18,4.18,4623
21-Oct-14,4.23,4.32,4.20,4.23,4357
20-Oct-14,4.30,4.36,4.20,4.28,31062
17-Oct-14,4.36,4.36,4.31,4.31,2273
16-Oct-14,4.35,4.35,4.34,4.35,4684
15-Oct-14,4.30,4.35,4.30,4.32,5038
14-Oct-14,4.36,4.36,4.30,4.31,4201
13-Oct-14,4.31,4.32,4.31,4.31,677
10-Oct-14,4.33,4.34,4.30,4.30,5301
9-Oct-14,4.33,4.36,4.33,4.35,3497
8-Oct-14,4.30,4.40,4.30,4.32,6083
7-Oct-14,4.43,4.49,4.33,4.34,4517
6-Oct-14,4.46,4.46,4.26,4.39,5966
3-Oct-14,4.27,4.49,4.27,4.46,4725
2-Oct-14,4.34,4.50,4.25,4.45,5186
1-Oct-14,4.50,4.50,4.30,4.34,8044
30-Sep-14,4.44,4.48,4.44,4.48,3985
29-Sep-14,4.44,4.48,4.44,4.48,4194
26-Sep-14,4.50,4.50,4.50,4.50,2865
25-Sep-14,4.50,4.50,4.50,4.50,3227
24-Sep-14,4.50,4.50,4.48,4.50,7014
23-Sep-14,4.48,4.50,4.31,4.49,3869
22-Sep-14,4.47,4.51,4.32,4.50,6824
19-Sep-14,4.43,4.53,4.40,4.41,30252
18-Sep-14,4.50,4.51,4.40,4.48,7994
17-Sep-14,4.59,4.59,4.50,4.50,6923
16-Sep-14,4.51,4.51,4.40,4.40,4121
15-Sep-14,4.50,4.58,4.41,4.54,9883
12-Sep-14,4.51,4.60,4.50,4.50,7966
11-Sep-14,4.52,4.55,4.52,4.52,3724
10-Sep-14,4.53,4.64,4.52,4.63,6463
9-Sep-14,4.65,4.65,4.53,4.55,6472
8-Sep-14,4.61,4.66,4.60,4.65,9771
5-Sep-14,4.65,4.67,4.64,4.67,5457
4-Sep-14,4.55,4.64,4.51,4.64,12249
3-Sep-14,4.65,4.67,4.65,4.67,4461
2-Sep-14,4.70,4.70,4.48,4.58,20847
27-Aug-14,4.52,4.69,4.52,4.64,12829
26-Aug-14,4.67,4.73,4.50,4.58,20237
25-Aug-14,4.67,4.75,4.53,4.64,7022
22-Aug-14,4.60,4.80,4.60,4.60,99146
21-Aug-14,4.84,4.84,4.59,4.68,27547
20-Aug-14,4.74,4.75,4.56,4.56,4487
19-Aug-14,4.66,4.79,4.66,4.76,11266
18-Aug-14,4.75,4.75,4.69,4.75,10103
15-Aug-14,4.68,4.71,4.45,4.70,13799
14-Aug-14,4.72,4.75,4.45,4.70,12685
13-Aug-14,4.44,4.75,4.44,4.74,25341
12-Aug-14,4.53,4.53,4.44,4.49,9559
11-Aug-14,4.45,4.64,4.44,4.49,17118
8-Aug-14,4.44,4.53,4.44,4.53,2919
7-Aug-14,4.59,4.59,4.48,4.48,1138
6-Aug-14,4.57,4.73,4.40,4.46,26614
5-Aug-14,4.73,4.75,4.60,4.75,1507
4-Aug-14,4.47,4.75,4.47,4.75,6449
1-Aug-14,4.74,4.83,4.46,4.48,41702
31-Jul-14,4.78,4.90,4.77,4.90,1732
30-Jul-14,4.76,4.83,4.69,4.71,3337
29-Jul-14,4.72,4.90,4.72,4.90,1008
28-Jul-14,4.50,4.91,4.42,4.75,60341
25-Jul-14,4.88,4.98,4.84,4.84,33220
24-Jul-14,4.60,5.22,4.60,4.90,240066
