Date,Open,High,Low,Close,Volume
23-Oct-14,15.19,15.68,15.05,15.25,97566
22-Oct-14,15.53,15.53,14.83,15.04,161113
21-Oct-14,15.31,15.66,14.87,15.44,110468
20-Oct-14,14.62,15.29,14.62,15.25,104292
17-Oct-14,15.64,15.76,14.65,14.67,178622
16-Oct-14,15.54,16.19,15.27,15.41,345669
15-Oct-14,15.03,15.87,14.90,15.79,140587
14-Oct-14,15.54,15.95,15.20,15.32,170256
13-Oct-14,15.37,15.64,15.05,15.35,245032
10-Oct-14,14.10,15.47,13.86,15.40,482825
9-Oct-14,14.08,14.49,13.78,14.14,348482
8-Oct-14,13.59,14.14,13.18,14.06,200251
7-Oct-14,13.91,13.99,13.61,13.64,74713
6-Oct-14,14.55,14.79,14.00,14.02,116196
3-Oct-14,14.75,15.01,14.31,14.54,80136
2-Oct-14,14.25,14.65,13.92,14.58,247927
1-Oct-14,14.68,14.68,14.05,14.21,173476
30-Sep-14,14.60,15.07,14.28,14.72,334286
29-Sep-14,14.30,14.76,14.30,14.66,124328
26-Sep-14,14.45,14.72,14.28,14.50,145025
25-Sep-14,14.75,14.76,14.28,14.43,174810
24-Sep-14,14.83,14.93,14.51,14.76,100515
23-Sep-14,14.76,15.06,14.63,14.76,85536
22-Sep-14,14.83,14.93,14.52,14.87,101190
19-Sep-14,15.43,15.43,14.55,14.98,1206676
18-Sep-14,15.14,15.67,15.00,15.36,416948
17-Sep-14,15.08,15.28,14.92,15.07,392332
16-Sep-14,15.04,15.33,14.95,15.03,161918
15-Sep-14,15.77,15.77,15.06,15.12,85141
12-Sep-14,15.89,15.89,15.44,15.75,125037
11-Sep-14,15.65,16.00,15.50,15.93,64683
10-Sep-14,15.54,15.92,15.43,15.84,76652
9-Sep-14,15.83,15.98,15.50,15.58,67745
8-Sep-14,15.62,16.10,15.60,15.87,107425
5-Sep-14,15.43,15.67,15.33,15.63,61555
4-Sep-14,15.53,15.85,15.48,15.50,53938
3-Sep-14,15.89,15.89,15.28,15.41,264613
2-Sep-14,15.61,15.96,15.50,15.79,98816
29-Aug-14,15.60,15.66,15.44,15.52,122692
28-Aug-14,16.04,16.05,15.60,15.61,48305
27-Aug-14,16.33,16.36,16.09,16.11,53857
26-Aug-14,15.91,16.50,15.80,16.35,124390
25-Aug-14,15.88,16.20,15.88,15.91,72663
22-Aug-14,15.72,15.90,15.57,15.80,55905
21-Aug-14,15.88,16.05,15.72,15.74,88954
20-Aug-14,16.07,16.11,15.70,15.95,68525
19-Aug-14,15.80,16.16,15.73,16.11,142158
18-Aug-14,15.93,16.02,15.62,15.80,83278
15-Aug-14,16.01,16.04,15.57,15.69,224717
14-Aug-14,15.94,15.96,15.73,15.84,81752
13-Aug-14,15.69,15.97,15.54,15.94,121262
12-Aug-14,15.82,15.93,15.51,15.65,79834
11-Aug-14,16.07,16.25,15.90,15.93,150353
8-Aug-14,15.88,16.08,15.84,15.97,95729
7-Aug-14,15.89,16.08,15.71,15.81,101511
6-Aug-14,15.48,16.19,15.48,15.85,164549
5-Aug-14,15.70,16.12,15.46,15.61,160244
4-Aug-14,15.94,16.28,15.70,15.79,224595
1-Aug-14,16.49,16.49,15.76,15.85,127157
31-Jul-14,17.06,17.21,16.39,16.47,181895
30-Jul-14,17.40,17.43,17.14,17.24,105103
29-Jul-14,16.97,17.37,16.86,17.23,153790
28-Jul-14,17.05,17.14,16.44,16.95,148456
25-Jul-14,17.75,18.07,16.51,16.97,436930
24-Jul-14,15.72,16.05,15.67,15.91,148849
23-Jul-14,16.00,16.03,15.82,15.89,100398
22-Jul-14,15.83,16.01,15.67,15.97,140788
21-Jul-14,15.51,15.83,15.35,15.71,68017
18-Jul-14,15.28,15.79,15.19,15.61,143273
17-Jul-14,15.67,15.67,15.21,15.33,155438
16-Jul-14,16.38,16.38,15.68,15.78,185193
15-Jul-14,16.76,16.76,16.07,16.30,123940
14-Jul-14,17.02,17.15,16.57,16.73,189863
11-Jul-14,16.76,16.90,16.58,16.78,77012
10-Jul-14,16.29,16.94,16.25,16.78,133926
9-Jul-14,16.50,16.84,16.15,16.76,195022
8-Jul-14,17.23,17.23,16.18,16.47,263148
7-Jul-14,18.24,18.27,17.27,17.32,135867
3-Jul-14,18.07,18.28,17.92,18.26,79304
2-Jul-14,18.43,18.47,18.02,18.08,228222
1-Jul-14,18.46,18.66,18.36,18.47,227425
30-Jun-14,18.68,18.70,18.13,18.38,216729
27-Jun-14,18.75,19.00,18.49,18.67,610807
26-Jun-14,18.90,19.00,18.74,18.90,74242
25-Jun-14,18.68,19.16,18.58,18.91,168954
24-Jun-14,18.68,18.89,18.51,18.74,159772
23-Jun-14,18.91,19.00,18.70,18.75,103911
20-Jun-14,18.84,18.97,18.77,18.91,187075
19-Jun-14,18.74,18.81,18.36,18.72,107234
18-Jun-14,18.11,18.70,18.11,18.58,151299
17-Jun-14,17.70,18.37,17.55,18.15,145515
16-Jun-14,17.06,17.80,17.06,17.75,160527
13-Jun-14,17.05,17.23,16.76,17.02,156763
12-Jun-14,16.76,17.14,16.55,16.96,121464
11-Jun-14,17.03,17.47,16.82,16.85,165417
10-Jun-14,17.06,17.12,16.75,17.10,147761
9-Jun-14,16.63,17.20,16.37,17.10,119865
6-Jun-14,16.37,16.70,16.22,16.61,155200
5-Jun-14,15.83,16.39,15.76,16.24,86579
4-Jun-14,15.47,15.86,15.20,15.82,84737
3-Jun-14,16.01,16.24,15.55,15.60,204442
2-Jun-14,16.52,16.52,15.75,16.11,142509
30-May-14,16.62,16.62,16.14,16.52,409804
29-May-14,15.89,16.14,15.63,16.07,421456
28-May-14,15.82,16.05,15.58,15.76,156391
27-May-14,15.77,16.11,15.53,15.92,147381
23-May-14,15.36,15.69,15.03,15.59,83157
22-May-14,15.50,15.58,15.25,15.33,90785
21-May-14,15.53,15.84,15.29,15.50,144049
20-May-14,15.67,15.72,15.24,15.48,121524
19-May-14,15.50,15.89,15.50,15.72,111619
16-May-14,15.58,15.65,15.33,15.60,121578
15-May-14,15.83,15.90,15.25,15.60,194785
14-May-14,16.16,16.51,15.87,15.96,160967
13-May-14,16.48,16.89,15.94,16.24,261518
12-May-14,15.57,16.78,15.57,16.47,259390
9-May-14,14.48,15.65,14.15,15.44,396132
8-May-14,14.11,14.72,14.11,14.30,201380
7-May-14,15.13,15.13,13.80,14.19,365051
6-May-14,15.27,15.49,14.90,15.09,210792
5-May-14,15.02,15.48,14.82,15.31,357814
2-May-14,15.50,15.69,15.10,15.12,147841
1-May-14,15.34,15.74,14.89,15.40,323056
30-Apr-14,15.66,15.98,15.16,15.40,333515
29-Apr-14,16.09,16.41,15.63,15.76,308483
28-Apr-14,16.70,16.76,15.50,16.01,271447
25-Apr-14,16.27,17.50,16.19,16.66,469993
24-Apr-14,17.34,17.49,16.50,16.68,142870
23-Apr-14,16.80,17.54,16.38,17.18,307270
22-Apr-14,16.56,16.90,16.23,16.82,154070
21-Apr-14,16.37,16.56,16.00,16.48,105153
17-Apr-14,16.04,16.45,15.83,16.31,132190
16-Apr-14,16.37,16.74,15.94,16.10,257725
15-Apr-14,16.17,16.33,15.29,16.19,302662
14-Apr-14,16.47,16.60,15.85,16.10,244400
11-Apr-14,15.81,16.35,15.58,16.26,225188
10-Apr-14,16.62,16.91,15.51,15.95,253447
9-Apr-14,16.75,16.91,15.95,16.62,236708
8-Apr-14,16.43,17.01,16.43,16.64,301263
7-Apr-14,17.36,17.41,16.47,16.49,281403
4-Apr-14,18.71,18.71,17.38,17.48,211590
3-Apr-14,19.18,19.31,18.45,18.60,120393
2-Apr-14,19.19,19.29,18.93,19.25,75079
1-Apr-14,18.88,19.67,18.70,19.09,127876
31-Mar-14,18.20,18.90,18.06,18.81,173997
28-Mar-14,18.22,18.55,17.64,18.10,153005
27-Mar-14,18.16,18.35,17.57,18.23,169696
26-Mar-14,19.46,19.56,18.21,18.23,228295
25-Mar-14,19.56,19.81,19.12,19.35,202390
24-Mar-14,20.14,20.46,19.19,19.39,197726
21-Mar-14,20.98,20.98,19.75,20.02,247548
20-Mar-14,20.86,21.19,20.64,20.86,51156
19-Mar-14,21.43,21.43,20.59,20.92,110812
18-Mar-14,20.48,21.63,20.22,21.39,125546
17-Mar-14,20.40,20.91,20.15,20.39,136310
14-Mar-14,20.03,20.34,19.50,20.31,206771
13-Mar-14,20.51,20.51,20.02,20.17,115476
12-Mar-14,20.19,20.50,20.02,20.37,110555
11-Mar-14,20.65,21.02,20.13,20.39,131796
10-Mar-14,20.25,20.86,20.24,20.56,141038
7-Mar-14,20.75,20.81,20.16,20.39,111717
