Date,Open,High,Low,Close,Volume
23-Oct-14,4.44,4.61,4.38,4.55,102251
22-Oct-14,4.51,4.51,4.34,4.41,129873
21-Oct-14,4.42,4.50,4.40,4.45,79559
20-Oct-14,4.34,4.50,4.26,4.43,92165
17-Oct-14,4.49,4.72,4.27,4.41,149744
16-Oct-14,4.26,4.57,4.26,4.45,95537
15-Oct-14,4.20,4.44,4.14,4.36,128182
14-Oct-14,4.26,4.36,4.20,4.24,134631
13-Oct-14,4.30,4.43,4.25,4.27,178551
10-Oct-14,4.29,4.35,4.20,4.26,209693
9-Oct-14,4.35,4.42,4.25,4.31,201588
8-Oct-14,4.30,4.50,4.11,4.45,465152
7-Oct-14,4.58,4.63,4.32,4.32,235708
6-Oct-14,4.79,4.87,4.55,4.62,180906
3-Oct-14,4.46,4.74,4.46,4.65,135683
2-Oct-14,4.52,4.56,4.25,4.46,482203
1-Oct-14,4.78,4.78,4.47,4.52,308773
30-Sep-14,5.02,5.02,4.77,4.80,334742
29-Sep-14,4.95,5.09,4.88,5.02,231810
26-Sep-14,5.07,5.13,4.98,5.00,156811
25-Sep-14,5.27,5.30,4.93,5.07,194435
24-Sep-14,5.24,5.34,5.23,5.27,72175
23-Sep-14,5.24,5.37,5.21,5.26,87042
22-Sep-14,5.45,5.46,5.21,5.26,177096
19-Sep-14,5.48,5.53,5.41,5.45,102121
18-Sep-14,5.53,5.62,5.46,5.50,99667
17-Sep-14,5.49,5.66,5.49,5.54,84158
16-Sep-14,5.64,5.64,5.47,5.52,112496
15-Sep-14,5.58,5.70,5.28,5.64,286152
12-Sep-14,5.60,5.72,5.52,5.64,104917
11-Sep-14,5.64,5.75,5.61,5.64,80964
10-Sep-14,5.79,5.83,5.67,5.70,109799
9-Sep-14,5.70,5.84,5.62,5.75,169656
8-Sep-14,5.74,5.80,5.66,5.70,117408
5-Sep-14,5.55,5.73,5.52,5.68,85209
4-Sep-14,5.67,5.85,5.55,5.57,139750
3-Sep-14,5.61,5.64,5.51,5.55,179651
2-Sep-14,5.77,5.79,5.55,5.62,248551
29-Aug-14,5.67,5.70,5.60,5.68,81106
28-Aug-14,5.44,5.64,5.43,5.60,188346
27-Aug-14,5.41,5.54,5.39,5.50,158576
26-Aug-14,5.27,5.46,5.21,5.34,349223
25-Aug-14,5.40,5.52,5.38,5.43,126296
22-Aug-14,5.37,5.54,5.35,5.50,94165
21-Aug-14,5.40,5.43,5.31,5.39,97793
20-Aug-14,5.47,5.50,5.36,5.45,74627
19-Aug-14,5.48,5.51,5.44,5.46,62445
18-Aug-14,5.35,5.52,5.33,5.45,102013
15-Aug-14,5.40,5.44,5.25,5.39,112551
14-Aug-14,5.20,5.46,5.20,5.42,109541
13-Aug-14,5.53,5.58,5.22,5.25,366325
12-Aug-14,5.60,5.65,5.46,5.53,101264
11-Aug-14,5.56,5.65,5.43,5.60,181117
8-Aug-14,5.56,5.65,5.41,5.55,211348
7-Aug-14,5.47,5.80,5.47,5.56,682247
6-Aug-14,5.00,5.50,5.00,5.43,843262
5-Aug-14,5.31,5.45,4.98,5.02,1046679
4-Aug-14,5.63,5.74,5.31,5.33,498800
1-Aug-14,5.61,5.84,5.61,5.62,244669
31-Jul-14,6.21,6.21,5.59,5.63,753549
30-Jul-14,6.40,6.53,6.27,6.29,225821
29-Jul-14,6.62,6.81,6.36,6.39,488947
28-Jul-14,7.06,7.12,6.87,6.95,294885
25-Jul-14,7.05,7.11,7.00,7.07,78154
24-Jul-14,7.11,7.24,7.03,7.05,142060
23-Jul-14,7.23,7.23,7.01,7.09,170136
22-Jul-14,7.10,7.26,7.07,7.26,126632
21-Jul-14,6.96,7.14,6.96,7.11,101273
18-Jul-14,7.03,7.20,6.94,7.07,110410
17-Jul-14,7.05,7.15,6.88,6.97,109288
16-Jul-14,7.12,7.16,6.89,7.12,141150
15-Jul-14,7.03,7.15,6.91,7.06,111608
14-Jul-14,6.84,7.09,6.81,7.04,119413
11-Jul-14,6.85,6.93,6.81,6.87,56548
10-Jul-14,6.57,7.00,6.55,6.81,178415
9-Jul-14,6.85,6.92,6.72,6.80,96874
8-Jul-14,6.82,7.08,6.70,6.77,231458
7-Jul-14,7.19,7.21,7.00,7.04,157111
3-Jul-14,7.27,7.31,7.20,7.27,54417
2-Jul-14,7.27,7.35,7.23,7.28,134949
1-Jul-14,7.01,7.32,7.01,7.19,173623
30-Jun-14,6.96,7.10,6.89,7.05,97523
27-Jun-14,7.04,7.11,6.96,6.99,114735
26-Jun-14,6.69,7.04,6.69,6.97,157500
25-Jun-14,6.76,6.84,6.67,6.75,73612
24-Jun-14,6.73,7.09,6.66,6.84,240111
23-Jun-14,6.67,6.85,6.66,6.74,142879
20-Jun-14,6.72,6.73,6.64,6.70,46150
19-Jun-14,6.56,6.84,6.53,6.70,132363
18-Jun-14,6.60,6.64,6.51,6.55,81069
17-Jun-14,6.56,6.68,6.50,6.61,137917
16-Jun-14,6.60,6.74,6.53,6.61,78408
13-Jun-14,6.72,6.75,6.56,6.63,82342
12-Jun-14,6.79,6.90,6.67,6.70,87154
11-Jun-14,6.67,6.92,6.58,6.79,261125
