Date,Open,High,Low,Close,Volume
23-Oct-14,37.45,38.31,37.39,38.01,663429
22-Oct-14,37.19,37.37,36.99,37.03,530811
21-Oct-14,36.56,37.10,36.16,37.01,410014
20-Oct-14,35.30,36.26,35.30,36.26,431689
17-Oct-14,35.26,35.81,34.91,35.48,584425
16-Oct-14,33.70,34.93,33.39,34.72,655507
15-Oct-14,33.91,34.97,33.69,34.21,874023
14-Oct-14,34.61,35.03,34.30,34.41,657982
13-Oct-14,34.13,34.69,33.66,34.25,1107128
10-Oct-14,34.98,35.36,34.05,34.05,1142326
9-Oct-14,36.12,36.21,35.18,35.22,416793
8-Oct-14,35.86,36.30,35.19,36.17,655933
7-Oct-14,36.53,36.65,36.00,36.00,407098
6-Oct-14,36.90,37.16,36.61,36.62,610594
3-Oct-14,37.61,37.64,36.77,36.80,553667
2-Oct-14,37.05,37.48,36.75,37.23,420665
1-Oct-14,37.59,37.82,36.78,36.96,659984
30-Sep-14,38.26,38.36,37.70,37.72,655482
29-Sep-14,38.04,38.47,38.04,38.21,623311
26-Sep-14,36.88,38.68,36.59,38.52,1432426
25-Sep-14,37.49,37.75,36.69,36.69,1091054
24-Sep-14,37.55,37.83,37.26,37.66,1131068
23-Sep-14,38.58,38.77,37.63,37.63,1042597
22-Sep-14,39.12,39.31,38.66,38.74,581968
19-Sep-14,39.50,39.77,38.50,39.28,1058110
18-Sep-14,39.30,39.63,39.09,39.47,552516
17-Sep-14,39.39,39.69,38.94,39.07,663473
16-Sep-14,39.16,39.62,38.84,39.44,523366
15-Sep-14,39.79,39.91,39.16,39.31,641878
12-Sep-14,40.82,40.97,39.66,39.78,730412
11-Sep-14,40.93,41.23,40.68,40.99,610196
10-Sep-14,40.79,41.31,40.79,41.09,591785
9-Sep-14,41.29,41.57,40.77,40.87,538074
8-Sep-14,41.65,42.18,41.18,41.30,589784
5-Sep-14,41.62,41.98,41.50,41.69,321781
4-Sep-14,41.90,42.10,41.64,41.71,544857
3-Sep-14,41.86,41.99,41.44,41.71,750848
2-Sep-14,41.13,41.78,40.93,41.73,862611
29-Aug-14,41.91,42.04,40.97,41.09,948871
28-Aug-14,42.33,42.62,41.83,41.96,532208
27-Aug-14,42.38,42.65,42.38,42.51,564189
26-Aug-14,42.58,42.79,42.18,42.45,750799
25-Aug-14,43.05,43.05,42.24,42.39,593504
22-Aug-14,42.66,43.05,42.37,42.94,640556
21-Aug-14,42.93,43.48,42.71,42.74,544368
20-Aug-14,43.35,43.41,42.79,42.97,515029
19-Aug-14,43.18,43.48,42.98,43.39,665351
18-Aug-14,43.14,43.32,42.58,43.21,846849
15-Aug-14,43.87,43.87,42.57,42.85,840502
14-Aug-14,47.07,47.20,40.83,43.51,3808117
13-Aug-14,46.00,46.13,45.40,45.90,822772
12-Aug-14,45.56,46.00,45.43,45.75,451312
11-Aug-14,45.54,45.90,45.38,45.77,350748
8-Aug-14,44.91,45.70,44.70,45.34,487345
7-Aug-14,45.21,45.53,44.70,45.00,298688
6-Aug-14,44.42,45.31,44.40,44.93,397841
5-Aug-14,43.50,45.05,43.50,44.94,583525
4-Aug-14,43.44,43.89,42.67,43.69,338449
1-Aug-14,43.50,43.83,42.60,43.21,540209
31-Jul-14,45.12,45.46,43.41,43.44,403197
30-Jul-14,45.10,46.20,45.10,45.75,456766
29-Jul-14,44.28,45.85,43.99,44.88,386672
28-Jul-14,44.94,45.04,44.21,44.32,261424
25-Jul-14,44.80,45.16,44.26,44.77,380305
