Date,Open,High,Low,Close,Volume
23-Oct-14,16.04,16.41,16.04,16.41,1000
22-Oct-14,16.05,16.29,16.01,16.08,3501
21-Oct-14,16.88,16.88,16.88,16.88,244
14-Oct-14,15.65,15.65,15.65,15.65,201
13-Oct-14,15.95,16.00,15.95,16.00,1150
10-Oct-14,16.00,16.00,16.00,16.00,359
7-Oct-14,16.52,16.52,16.48,16.50,1450
3-Oct-14,16.89,16.89,16.89,16.89,101
30-Sep-14,16.42,16.98,16.42,16.98,1614
26-Sep-14,16.10,16.10,16.10,16.10,631
25-Sep-14,16.49,16.49,16.11,16.21,3350
23-Sep-14,16.15,16.50,16.07,16.50,3453
22-Sep-14,16.17,16.17,16.15,16.16,2078
15-Sep-14,16.38,16.38,16.38,16.38,206
11-Sep-14,16.17,16.25,16.17,16.25,3400
8-Sep-14,16.04,16.04,16.04,16.04,241
5-Sep-14,16.10,16.35,16.10,16.35,4519
4-Sep-14,16.12,16.12,16.10,16.10,2000
3-Sep-14,16.13,16.80,16.13,16.15,837
2-Sep-14,16.07,16.40,16.07,16.19,3972
29-Aug-14,16.82,16.82,16.07,16.70,1012
28-Aug-14,16.10,16.10,16.10,16.10,169
27-Aug-14,16.05,16.05,16.03,16.03,986
26-Aug-14,16.25,16.25,16.25,16.25,329
25-Aug-14,15.85,16.96,15.55,16.25,12419
22-Aug-14,16.00,16.04,15.50,15.50,11797
21-Aug-14,16.51,17.37,16.01,17.19,2756
19-Aug-14,16.53,16.75,16.53,16.75,302
18-Aug-14,16.63,16.68,16.50,16.50,2710
15-Aug-14,16.60,16.60,16.60,16.60,530
14-Aug-14,16.75,16.92,16.71,16.71,5044
13-Aug-14,16.51,16.51,16.51,16.51,100
11-Aug-14,17.04,17.04,16.69,16.76,9811
8-Aug-14,17.12,17.12,17.08,17.08,225
7-Aug-14,17.00,17.14,17.00,17.14,449
5-Aug-14,16.80,17.13,16.54,17.05,1080
1-Aug-14,16.96,17.05,16.95,16.95,2064
31-Jul-14,17.00,17.40,16.96,17.00,11398
29-Jul-14,17.04,17.04,16.96,16.96,4372
28-Jul-14,17.08,17.08,17.00,17.00,1119
25-Jul-14,17.16,17.36,17.08,17.36,1297
24-Jul-14,17.12,17.40,17.12,17.16,1740
23-Jul-14,17.20,17.20,17.14,17.14,200
22-Jul-14,17.12,17.40,17.12,17.40,6000
21-Jul-14,17.12,17.23,17.12,17.16,2625
18-Jul-14,17.35,17.35,17.34,17.34,315
16-Jul-14,17.50,17.54,17.50,17.50,1200
15-Jul-14,17.50,17.50,17.50,17.50,872
14-Jul-14,17.70,17.70,17.36,17.36,634
11-Jul-14,17.72,17.72,17.72,17.72,204
10-Jul-14,17.50,17.52,17.50,17.50,2859
9-Jul-14,17.44,17.67,17.44,17.45,1803
