Date,Open,High,Low,Close,Volume
23-Oct-14,26.42,26.86,26.23,26.56,465773
22-Oct-14,26.58,26.60,26.16,26.27,578773
21-Oct-14,26.00,26.96,25.71,26.49,491719
20-Oct-14,25.52,25.86,25.52,25.82,425253
17-Oct-14,25.82,25.82,25.43,25.67,520629
16-Oct-14,25.18,26.07,25.12,25.47,640290
15-Oct-14,24.28,25.62,24.27,25.44,464168
14-Oct-14,24.27,25.22,24.27,24.49,532861
13-Oct-14,24.28,24.66,24.11,24.17,289331
10-Oct-14,24.42,24.85,24.18,24.27,481767
9-Oct-14,25.01,25.21,24.27,24.53,555767
8-Oct-14,25.00,25.23,24.46,25.05,749727
7-Oct-14,25.27,25.66,25.01,25.02,694862
6-Oct-14,25.59,25.82,25.45,25.53,487241
3-Oct-14,26.00,26.24,25.39,25.59,383983
2-Oct-14,25.72,26.00,25.39,25.76,487742
1-Oct-14,25.52,26.02,25.42,25.70,699230
30-Sep-14,25.99,26.29,25.36,25.48,1229932
29-Sep-14,25.24,26.29,25.24,26.18,785067
26-Sep-14,25.33,25.40,24.68,24.96,495481
25-Sep-14,26.10,26.19,25.78,25.83,427971
24-Sep-14,26.18,26.36,25.73,26.19,634681
23-Sep-14,25.92,26.18,25.70,26.12,512133
22-Sep-14,26.17,26.28,25.84,26.04,323317
19-Sep-14,26.79,27.01,26.18,26.24,518017
18-Sep-14,26.81,26.90,26.43,26.71,519245
17-Sep-14,26.66,27.11,26.58,26.76,259124
16-Sep-14,26.58,26.67,26.32,26.58,326922
15-Sep-14,26.49,26.69,26.32,26.57,236633
12-Sep-14,26.99,27.30,26.48,26.57,322497
11-Sep-14,26.76,27.20,26.76,27.00,178916
10-Sep-14,27.05,27.16,26.67,26.86,758751
9-Sep-14,26.92,27.13,26.57,27.02,416466
8-Sep-14,27.11,27.38,26.82,26.90,321113
5-Sep-14,27.72,28.01,26.96,27.09,554106
4-Sep-14,28.00,28.44,27.61,27.79,518989
3-Sep-14,28.38,28.46,27.90,27.98,374604
2-Sep-14,28.58,28.74,28.26,28.33,285837
29-Aug-14,28.35,28.80,28.29,28.52,252696
28-Aug-14,28.50,28.70,28.33,28.35,255852
27-Aug-14,28.75,28.84,28.57,28.59,264394
26-Aug-14,28.72,28.86,28.55,28.72,281752
25-Aug-14,29.08,29.30,28.62,28.70,330751
22-Aug-14,29.09,29.25,28.99,29.00,343810
21-Aug-14,29.09,29.30,28.94,29.08,275216
20-Aug-14,29.01,29.20,28.81,29.08,279558
19-Aug-14,28.95,29.33,28.94,29.13,623299
