Date,Open,High,Low,Close,Volume
23-Oct-14,2.32,2.37,2.32,2.36,69966
22-Oct-14,2.27,2.33,2.27,2.30,27981
21-Oct-14,2.33,2.37,2.30,2.33,102103
20-Oct-14,2.35,2.37,2.30,2.31,76297
17-Oct-14,2.33,2.37,2.27,2.37,157937
16-Oct-14,2.31,2.33,2.26,2.33,96353
15-Oct-14,2.31,2.35,2.31,2.33,71794
14-Oct-14,2.35,2.37,2.28,2.34,62646
13-Oct-14,2.30,2.34,2.25,2.34,100511
10-Oct-14,2.34,2.35,2.25,2.28,154358
9-Oct-14,2.36,2.38,2.30,2.33,59755
8-Oct-14,2.36,2.38,2.35,2.36,82119
7-Oct-14,2.35,2.41,2.35,2.38,208815
6-Oct-14,2.33,2.41,2.32,2.33,58448
3-Oct-14,2.41,2.43,2.33,2.34,48159
2-Oct-14,2.37,2.45,2.32,2.40,95519
1-Oct-14,2.48,2.50,2.27,2.35,211160
30-Sep-14,2.49,2.52,2.45,2.49,54162
29-Sep-14,2.41,2.52,2.37,2.48,117110
26-Sep-14,2.56,2.57,2.45,2.46,136436
25-Sep-14,2.66,2.66,2.51,2.56,159749
24-Sep-14,2.69,2.69,2.58,2.67,169758
23-Sep-14,2.65,2.71,2.63,2.68,180952
22-Sep-14,2.65,2.73,2.61,2.68,213185
19-Sep-14,2.72,2.73,2.60,2.69,305576
18-Sep-14,2.67,2.73,2.65,2.71,195684
17-Sep-14,2.72,2.74,2.63,2.69,283872
16-Sep-14,2.59,2.73,2.57,2.72,445641
15-Sep-14,2.34,2.59,2.32,2.57,1069745
12-Sep-14,2.29,2.34,2.28,2.33,231564
11-Sep-14,2.27,2.32,2.27,2.30,68122
10-Sep-14,2.43,2.43,2.25,2.29,73860
9-Sep-14,2.31,2.31,2.25,2.25,133987
8-Sep-14,2.23,2.35,2.18,2.32,369872
5-Sep-14,2.11,2.25,2.11,2.24,150855
4-Sep-14,2.25,2.27,2.13,2.19,144274
3-Sep-14,2.21,2.33,2.16,2.22,143794
2-Sep-14,2.20,2.22,2.14,2.21,129333
29-Aug-14,2.11,2.22,2.11,2.16,98715
28-Aug-14,2.15,2.15,2.12,2.13,76515
27-Aug-14,2.26,2.26,2.11,2.17,250130
26-Aug-14,2.20,2.20,2.13,2.19,146201
25-Aug-14,2.22,2.27,2.19,2.20,144737
22-Aug-14,2.12,2.20,2.12,2.18,58078
21-Aug-14,2.20,2.22,2.13,2.14,166613
20-Aug-14,2.21,2.23,2.17,2.19,140008
19-Aug-14,2.30,2.32,2.20,2.22,120954
18-Aug-14,2.30,2.34,2.29,2.29,193079
15-Aug-14,2.34,2.34,2.25,2.29,127002
14-Aug-14,2.43,2.43,2.27,2.32,188963
13-Aug-14,2.40,2.47,2.33,2.39,482954
12-Aug-14,2.18,2.44,2.16,2.36,1090897
11-Aug-14,2.18,2.25,2.17,2.25,142742
8-Aug-14,2.18,2.21,2.05,2.18,226798
7-Aug-14,2.27,2.37,2.20,2.22,141741
6-Aug-14,2.26,2.30,2.23,2.27,160770
5-Aug-14,2.32,2.32,2.25,2.31,164809
4-Aug-14,2.29,2.32,2.21,2.32,189512
1-Aug-14,2.23,2.37,2.12,2.21,150376
31-Jul-14,2.32,2.41,2.14,2.22,395962
30-Jul-14,2.35,2.44,2.30,2.38,211541
29-Jul-14,2.26,2.40,2.21,2.35,414598
28-Jul-14,2.27,2.27,2.20,2.22,136584
25-Jul-14,2.20,2.30,2.18,2.25,153622
24-Jul-14,2.17,2.34,2.12,2.22,630580
23-Jul-14,2.12,2.19,2.08,2.18,497657
22-Jul-14,2.09,2.13,2.09,2.12,162297
21-Jul-14,1.93,2.14,1.91,2.09,604942
18-Jul-14,1.90,1.96,1.90,1.92,88989
17-Jul-14,1.93,1.96,1.90,1.92,120484
16-Jul-14,2.02,2.02,1.95,1.96,149572
15-Jul-14,2.04,2.04,1.99,1.99,61282
14-Jul-14,2.02,2.07,1.94,2.06,188221
11-Jul-14,1.97,2.00,1.95,1.97,76285
10-Jul-14,1.91,1.98,1.90,1.98,126775
9-Jul-14,1.92,1.99,1.91,1.99,220638
8-Jul-14,1.97,1.97,1.89,1.92,345554
7-Jul-14,2.01,2.05,1.97,1.99,232287
3-Jul-14,2.06,2.08,2.00,2.04,88840
2-Jul-14,2.19,2.19,2.06,2.06,215979
1-Jul-14,2.19,2.24,2.14,2.22,327662
30-Jun-14,2.04,2.28,2.01,2.20,761696
27-Jun-14,1.96,2.10,1.87,2.08,4476535
26-Jun-14,1.95,2.04,1.90,1.98,273749
25-Jun-14,1.95,2.00,1.90,1.94,279052
24-Jun-14,1.97,2.09,1.94,1.98,295454
23-Jun-14,2.07,2.07,1.96,1.97,220084
20-Jun-14,2.10,2.10,2.02,2.05,248461
19-Jun-14,2.12,2.20,2.02,2.08,238479
18-Jun-14,2.17,2.34,2.09,2.13,525651
17-Jun-14,1.99,2.44,1.97,2.25,1495496
16-Jun-14,2.01,2.08,1.87,1.88,255133
13-Jun-14,2.05,2.05,2.01,2.03,96652
12-Jun-14,2.13,2.13,2.00,2.03,183000
11-Jun-14,2.12,2.18,2.05,2.13,184434
10-Jun-14,2.10,2.17,2.07,2.13,118378
9-Jun-14,1.96,2.14,1.96,2.12,255774
