Date,Open,High,Low,Close,Volume
23-Oct-14,5.90,6.10,5.77,5.84,924448
22-Oct-14,6.06,6.17,5.82,5.82,831833
21-Oct-14,5.77,6.04,5.69,6.03,1231135
20-Oct-14,5.89,5.93,5.59,5.72,2163962
17-Oct-14,6.14,6.24,5.87,5.89,1410662
16-Oct-14,5.88,6.27,5.82,6.05,1889319
15-Oct-14,6.08,6.19,5.81,5.93,1464626
14-Oct-14,6.28,6.37,6.10,6.15,1026932
13-Oct-14,6.23,6.40,6.11,6.21,896728
10-Oct-14,6.46,6.61,6.17,6.20,1208699
9-Oct-14,6.64,6.66,6.46,6.50,940876
8-Oct-14,6.57,6.69,6.51,6.67,1350625
7-Oct-14,6.72,6.79,6.56,6.58,663180
6-Oct-14,6.88,6.95,6.72,6.76,845695
3-Oct-14,6.97,7.00,6.85,6.85,355271
2-Oct-14,6.79,6.91,6.69,6.88,598554
1-Oct-14,6.88,7.00,6.71,6.77,814826
30-Sep-14,6.90,7.00,6.87,6.91,1011301
29-Sep-14,6.80,7.00,6.75,6.91,1036404
26-Sep-14,6.96,6.99,6.78,6.85,981054
25-Sep-14,7.08,7.18,6.96,6.96,953136
24-Sep-14,7.19,7.22,7.02,7.11,1363953
23-Sep-14,7.32,7.32,7.07,7.20,1514242
22-Sep-14,7.67,7.77,7.40,7.41,977050
19-Sep-14,7.83,7.99,7.65,7.69,957384
18-Sep-14,7.79,7.89,7.74,7.82,541115
17-Sep-14,7.81,8.00,7.58,7.79,863851
16-Sep-14,7.90,7.94,7.74,7.84,523691
15-Sep-14,8.12,8.17,7.84,7.93,544039
12-Sep-14,8.26,8.26,8.04,8.11,427009
11-Sep-14,8.69,8.75,8.01,8.28,380359
10-Sep-14,8.25,8.29,8.03,8.06,843644
9-Sep-14,8.30,8.68,8.21,8.22,850838
8-Sep-14,8.43,8.44,8.29,8.33,626991
5-Sep-14,8.44,8.63,8.40,8.45,432476
4-Sep-14,8.43,8.73,8.41,8.49,1345103
3-Sep-14,8.39,8.66,8.38,8.42,733738
2-Sep-14,8.49,8.49,8.17,8.31,974165
29-Aug-14,8.47,8.56,8.44,8.46,395476
28-Aug-14,8.52,8.62,8.44,8.45,414134
27-Aug-14,8.47,8.69,8.43,8.55,721596
26-Aug-14,8.28,8.48,8.17,8.44,637773
25-Aug-14,8.32,8.38,8.13,8.26,655604
22-Aug-14,8.24,8.35,8.18,8.29,590342
21-Aug-14,8.10,8.32,8.07,8.26,743292
20-Aug-14,8.19,8.22,8.09,8.11,345000
19-Aug-14,8.18,8.28,8.10,8.23,481050
18-Aug-14,7.89,8.19,7.83,8.15,781092
15-Aug-14,8.04,8.05,7.82,7.85,470801
14-Aug-14,7.88,8.02,7.82,7.98,479455
13-Aug-14,7.65,7.89,7.64,7.88,465765
12-Aug-14,7.91,8.05,7.63,7.64,1027992
11-Aug-14,8.01,8.04,7.90,7.92,542594
8-Aug-14,8.03,8.20,7.97,7.99,1052267
7-Aug-14,7.48,8.37,7.48,8.05,2429473
6-Aug-14,7.28,7.44,7.21,7.44,1346085
5-Aug-14,7.42,7.48,7.26,7.29,1200457
4-Aug-14,7.51,7.64,7.36,7.40,802651
1-Aug-14,7.51,7.69,7.42,7.46,566455
31-Jul-14,7.56,7.65,7.49,7.49,543625
30-Jul-14,7.52,7.69,7.38,7.62,529249
29-Jul-14,7.33,7.48,7.30,7.45,651008
28-Jul-14,7.25,7.40,7.18,7.29,1143514
25-Jul-14,7.27,7.35,7.24,7.25,723563
24-Jul-14,7.49,7.50,7.27,7.34,637545
23-Jul-14,7.43,7.60,7.37,7.48,521607
22-Jul-14,7.41,7.45,7.29,7.41,494676
21-Jul-14,7.28,7.40,7.20,7.39,695890
18-Jul-14,7.15,7.35,7.13,7.33,677208
17-Jul-14,7.23,7.27,7.14,7.18,595611
16-Jul-14,7.30,7.40,7.21,7.26,551230
15-Jul-14,7.25,7.39,7.16,7.28,987691
14-Jul-14,7.44,7.44,7.23,7.27,849674
11-Jul-14,7.36,7.46,7.20,7.39,1255141
10-Jul-14,7.21,7.50,7.21,7.38,729291
9-Jul-14,7.42,7.43,7.09,7.35,1395731
