Date,Open,High,Low,Close,Volume
23-Oct-14,8.82,8.82,8.65,8.65,4379
22-Oct-14,8.96,8.96,8.53,8.54,9794
21-Oct-14,8.71,9.69,8.71,8.99,14360
20-Oct-14,8.61,9.09,8.61,9.09,2583
17-Oct-14,8.50,8.89,8.49,8.64,24745
16-Oct-14,8.75,8.75,8.75,8.75,1089
15-Oct-14,8.15,9.06,7.01,9.00,14317
14-Oct-14,9.44,9.48,8.93,8.93,16793
10-Oct-14,9.30,9.62,9.30,9.46,5975
9-Oct-14,9.38,9.45,9.31,9.31,2430
8-Oct-14,9.45,9.60,9.30,9.45,9039
7-Oct-14,9.45,9.45,9.45,9.45,1500
6-Oct-14,9.42,9.55,9.40,9.55,2280
3-Oct-14,9.32,9.66,9.30,9.66,4694
2-Oct-14,9.41,9.41,9.41,9.41,200
1-Oct-14,9.49,9.55,9.49,9.50,2761
30-Sep-14,9.60,9.60,9.60,9.60,2000
29-Sep-14,9.60,9.60,9.60,9.60,2302
26-Sep-14,9.30,9.51,9.30,9.50,1200
25-Sep-14,9.90,9.90,9.90,9.90,518
24-Sep-14,10.00,10.00,9.65,9.65,7720
23-Sep-14,9.71,9.71,9.71,9.71,290
22-Sep-14,9.95,9.95,9.95,9.95,300
18-Sep-14,9.64,9.94,9.45,9.70,24887
17-Sep-14,9.55,9.84,9.55,9.55,14145
16-Sep-14,9.76,9.93,9.30,9.74,47369
15-Sep-14,9.90,10.00,9.90,9.93,5674
12-Sep-14,9.98,10.00,9.98,10.00,1664
11-Sep-14,9.87,10.04,9.82,10.00,1749
10-Sep-14,10.04,10.05,10.01,10.04,8200
9-Sep-14,10.05,10.05,10.02,10.02,1073
8-Sep-14,10.00,10.05,10.00,10.04,5402
5-Sep-14,10.00,10.00,9.82,9.98,2600
4-Sep-14,10.05,10.05,9.84,10.00,2695
3-Sep-14,9.90,10.05,9.90,10.05,3200
2-Sep-14,9.97,9.97,9.97,9.97,600
29-Aug-14,10.02,10.30,9.98,10.06,13827
28-Aug-14,10.01,10.18,9.96,10.05,19433
26-Aug-14,10.07,10.07,10.07,10.07,4055
25-Aug-14,9.99,10.07,9.93,10.07,11799
22-Aug-14,9.92,9.92,9.90,9.90,405
21-Aug-14,10.00,10.02,10.00,10.00,4282
20-Aug-14,9.85,10.05,9.85,10.05,733
19-Aug-14,9.79,10.05,9.78,9.96,7198
15-Aug-14,10.04,10.05,10.04,10.05,769
14-Aug-14,9.97,10.00,9.97,10.00,15278
13-Aug-14,9.97,10.05,9.97,10.00,19342
12-Aug-14,10.20,10.20,9.84,10.00,15400
11-Aug-14,10.14,10.14,10.11,10.14,792
8-Aug-14,9.47,9.85,9.47,9.85,1168
6-Aug-14,9.75,9.85,9.73,9.85,22632
5-Aug-14,9.95,9.95,9.75,9.75,1176
31-Jul-14,10.05,10.05,9.75,9.75,2013
30-Jul-14,10.18,10.18,10.05,10.18,6857
24-Jul-14,10.17,10.17,10.16,10.16,2928
23-Jul-14,10.09,10.20,10.09,10.20,6710
21-Jul-14,9.90,9.90,9.83,9.90,3056
17-Jul-14,10.00,10.00,10.00,10.00,500
16-Jul-14,9.91,10.00,9.91,10.00,2100
14-Jul-14,10.03,10.03,9.90,9.91,5969
11-Jul-14,10.00,10.00,9.94,10.00,7748
10-Jul-14,9.66,9.67,9.65,9.66,2023
9-Jul-14,10.00,10.00,9.87,10.00,42242
8-Jul-14,9.71,10.00,9.69,10.00,11038
7-Jul-14,10.25,10.25,9.68,9.92,2377
2-Jul-14,10.28,10.28,10.20,10.25,14959
1-Jul-14,9.94,10.50,9.94,10.50,6875
30-Jun-14,9.99,9.99,9.99,9.99,122
26-Jun-14,9.95,9.98,9.85,9.85,1850
25-Jun-14,9.75,9.85,9.75,9.85,2450
24-Jun-14,9.80,9.85,9.66,9.66,3702
23-Jun-14,9.86,9.94,9.76,9.76,4621
20-Jun-14,9.80,9.80,9.80,9.80,111
19-Jun-14,9.76,9.76,9.75,9.75,554
18-Jun-14,9.75,9.75,9.75,9.75,789
17-Jun-14,9.76,9.85,9.75,9.76,3797
16-Jun-14,9.73,9.75,9.71,9.71,546
12-Jun-14,9.80,9.80,9.80,9.80,432
11-Jun-14,10.02,10.02,9.81,9.81,440
10-Jun-14,9.81,9.90,9.81,9.90,5997
9-Jun-14,9.77,9.78,9.75,9.75,2552
5-Jun-14,10.00,10.00,10.00,10.00,622
3-Jun-14,9.66,9.66,9.66,9.66,401
2-Jun-14,9.70,9.90,9.70,9.90,5227
30-May-14,9.80,10.00,9.70,9.71,19021
29-May-14,10.00,10.00,9.75,10.00,1600
28-May-14,9.83,10.00,9.83,10.00,55333
27-May-14,9.88,9.88,9.85,9.85,1200
20-May-14,9.65,9.85,9.65,9.85,1078
19-May-14,9.60,9.75,9.60,9.75,4543
16-May-14,9.86,9.86,9.36,9.37,7251
15-May-14,10.35,10.35,10.35,10.35,214
14-May-14,9.84,9.90,9.80,9.80,5566
13-May-14,9.88,9.90,9.85,9.90,1600
12-May-14,9.92,10.35,9.81,9.85,7746
9-May-14,9.36,9.75,9.04,9.69,56663
8-May-14,9.75,9.75,9.11,9.25,14100
7-May-14,9.80,9.94,9.67,9.90,24997
5-May-14,9.78,9.94,9.78,9.90,16400
2-May-14,9.81,9.81,9.79,9.80,1100
1-May-14,9.94,9.94,9.88,9.91,8100
30-Apr-14,10.15,10.15,10.00,10.00,31567
29-Apr-14,10.15,10.15,9.98,10.00,13060
28-Apr-14,9.96,10.00,9.96,10.00,2590
25-Apr-14,10.00,10.00,10.00,10.00,3000
24-Apr-14,10.00,10.00,10.00,10.00,1000
23-Apr-14,9.99,10.00,9.99,10.00,5696
22-Apr-14,10.00,10.00,10.00,10.00,1500
21-Apr-14,10.00,10.00,9.99,9.99,7730
17-Apr-14,9.96,10.00,9.90,10.00,1404
15-Apr-14,10.02,10.02,9.96,9.96,2700
11-Apr-14,10.10,10.40,9.96,10.15,28158
8-Apr-14,9.91,10.05,9.91,9.96,655
7-Apr-14,11.41,11.41,10.45,10.45,1383
4-Apr-14,9.89,9.89,9.89,9.89,1874
3-Apr-14,9.75,9.90,9.75,9.90,1286
2-Apr-14,9.96,10.00,9.96,10.00,4258
1-Apr-14,9.78,9.96,9.73,9.96,11786
31-Mar-14,9.90,9.97,9.89,9.94,23563
28-Mar-14,9.90,9.96,9.88,9.96,139338
27-Mar-14,9.91,10.01,9.91,9.92,1700
26-Mar-14,9.91,9.96,9.90,9.96,4906
24-Mar-14,9.90,9.90,9.90,9.90,1500
21-Mar-14,9.90,9.96,9.90,9.96,18990
20-Mar-14,9.91,9.91,9.90,9.90,34755
19-Mar-14,10.10,10.10,9.60,9.90,374958
18-Mar-14,10.05,10.19,9.90,9.90,28437
17-Mar-14,9.90,9.96,9.62,9.90,23995
14-Mar-14,9.67,10.20,9.62,9.95,24238
13-Mar-14,9.65,9.90,9.65,9.90,2726
12-Mar-14,9.81,9.92,9.73,9.92,3102
11-Mar-14,9.62,9.90,9.62,9.90,22980
10-Mar-14,10.00,10.00,9.90,9.96,37072
7-Mar-14,9.62,9.90,9.53,9.90,103918
6-Mar-14,9.83,9.90,9.60,9.78,37924
5-Mar-14,9.65,9.90,9.58,9.90,41434
4-Mar-14,9.62,9.90,9.50,9.62,41934
3-Mar-14,9.84,10.10,9.66,9.66,35443
27-Feb-14,9.75,9.75,9.75,9.75,600
26-Feb-14,9.75,9.75,9.75,9.75,100
25-Feb-14,9.59,9.80,9.59,9.76,2076
24-Feb-14,9.70,9.74,9.70,9.70,5815
21-Feb-14,9.63,9.75,9.63,9.70,4300
20-Feb-14,9.78,9.78,9.53,9.60,67890
19-Feb-14,9.70,9.75,9.60,9.70,7503
18-Feb-14,9.52,9.70,9.52,9.63,4682
14-Feb-14,9.74,9.74,9.52,9.70,4392
13-Feb-14,9.55,9.65,9.36,9.65,53782
12-Feb-14,9.46,9.65,9.41,9.50,29326
11-Feb-14,9.60,9.93,9.43,9.50,8613
10-Feb-14,9.59,9.84,9.41,9.64,1402
7-Feb-14,9.41,9.75,9.41,9.65,3702
6-Feb-14,9.39,9.66,9.39,9.65,3154
5-Feb-14,9.33,9.65,9.32,9.48,4061
4-Feb-14,9.34,9.70,9.26,9.65,15973
3-Feb-14,9.62,10.00,9.32,9.33,15009
31-Jan-14,9.15,9.65,9.15,9.46,6963
30-Jan-14,9.53,9.53,9.53,9.53,582
29-Jan-14,9.52,9.52,9.40,9.45,3830
28-Jan-14,9.50,9.54,9.30,9.42,2843
27-Jan-14,9.55,9.55,9.55,9.55,2000
22-Jan-14,9.50,9.54,9.49,9.54,2638
21-Jan-14,9.44,9.54,9.15,9.50,14185
17-Jan-14,9.26,9.40,9.26,9.36,1000
16-Jan-14,9.49,9.68,9.40,9.65,6380
15-Jan-14,9.36,9.36,9.35,9.35,514
14-Jan-14,9.35,9.35,9.34,9.35,5434
13-Jan-14,9.26,9.48,9.10,9.34,24892
9-Jan-14,9.47,9.48,9.45,9.48,9589
8-Jan-14,9.45,9.47,9.45,9.47,5541
7-Jan-14,9.43,9.45,9.34,9.42,5555
6-Jan-14,9.33,9.51,9.33,9.42,22480
3-Jan-14,9.16,9.65,9.16,9.32,11944
2-Jan-14,9.27,9.30,9.22,9.30,14902
31-Dec-13,9.17,9.20,9.15,9.19,4491
30-Dec-13,9.32,9.32,9.15,9.24,8262
27-Dec-13,9.15,9.38,9.15,9.38,22365
26-Dec-13,9.23,9.30,9.20,9.20,7746
24-Dec-13,9.20,9.20,9.20,9.20,3831
23-Dec-13,9.14,9.15,9.14,9.15,2019
19-Dec-13,9.11,9.13,8.90,9.13,9673
17-Dec-13,9.05,9.05,9.05,9.05,573
13-Dec-13,9.12,9.12,8.94,9.00,579
12-Dec-13,9.10,9.10,8.99,9.00,10825
11-Dec-13,9.17,9.17,8.84,8.90,30960
10-Dec-13,9.00,9.01,9.00,9.01,550
9-Dec-13,9.20,9.20,9.10,9.10,6638
6-Dec-13,9.18,9.18,9.18,9.18,100
5-Dec-13,9.20,9.20,9.17,9.17,2500
4-Dec-13,9.20,9.20,9.18,9.18,1132
3-Dec-13,9.10,9.10,9.10,9.10,100
2-Dec-13,9.15,9.20,9.15,9.20,13867
29-Nov-13,9.14,9.15,9.14,9.15,3523
27-Nov-13,9.14,9.14,9.14,9.14,400
26-Nov-13,9.10,9.15,9.01,9.01,8881
25-Nov-13,9.15,9.15,9.03,9.15,10609
22-Nov-13,9.15,9.25,9.15,9.15,23919
21-Nov-13,9.14,9.15,9.14,9.15,273
20-Nov-13,9.15,9.15,9.15,9.15,220
19-Nov-13,9.15,9.15,9.10,9.10,1400
18-Nov-13,9.22,9.22,9.22,9.22,241
15-Nov-13,9.17,9.25,9.15,9.15,23095
14-Nov-13,9.25,9.25,9.19,9.19,3686
13-Nov-13,9.39,9.39,9.39,9.39,1000
12-Nov-13,8.83,9.22,8.83,9.22,740
11-Nov-13,9.50,9.50,9.05,9.19,12350
8-Nov-13,9.11,9.24,9.10,9.14,39718
7-Nov-13,9.16,9.20,9.09,9.19,5948
6-Nov-13,9.10,9.24,9.10,9.24,16678
5-Nov-13,9.14,9.14,9.06,9.06,948
1-Nov-13,9.15,9.15,9.15,9.15,2400
31-Oct-13,9.00,9.13,8.87,9.13,3331
