Date,Open,High,Low,Close,Volume
23-Oct-14,2.84,2.93,2.79,2.87,810867
22-Oct-14,2.91,2.95,2.80,2.80,496189
21-Oct-14,2.93,2.93,2.85,2.87,649197
20-Oct-14,2.75,2.89,2.70,2.87,694540
17-Oct-14,2.94,2.98,2.74,2.78,803987
16-Oct-14,2.61,2.85,2.61,2.85,781868
15-Oct-14,2.64,2.75,2.61,2.71,1058266
14-Oct-14,2.55,2.83,2.50,2.74,1912173
13-Oct-14,2.65,2.73,2.50,2.50,935823
10-Oct-14,2.80,2.86,2.61,2.70,1591326
9-Oct-14,3.05,3.11,2.81,2.84,1915685
8-Oct-14,2.91,3.00,2.85,2.97,1411288
7-Oct-14,3.07,3.07,2.91,2.92,789455
6-Oct-14,3.15,3.15,3.01,3.10,602609
3-Oct-14,3.17,3.17,3.09,3.10,415641
2-Oct-14,3.05,3.14,2.99,3.14,861745
1-Oct-14,3.20,3.23,2.99,3.02,1336411
30-Sep-14,3.31,3.39,3.22,3.23,1299082
29-Sep-14,3.17,3.25,3.10,3.18,2518139
26-Sep-14,3.12,3.20,3.11,3.17,860393
25-Sep-14,3.14,3.16,3.09,3.09,1152382
24-Sep-14,3.12,3.17,3.04,3.16,1657869
23-Sep-14,2.97,3.15,2.88,3.10,3295636
22-Sep-14,3.15,3.17,2.95,2.99,2475536
19-Sep-14,3.25,3.27,3.13,3.17,2992944
18-Sep-14,3.22,3.29,3.22,3.26,995318
17-Sep-14,3.35,3.38,3.23,3.23,612348
16-Sep-14,3.22,3.32,3.17,3.28,1316440
15-Sep-14,3.40,3.44,3.02,3.14,3764448
12-Sep-14,3.46,3.48,3.40,3.41,768920
11-Sep-14,3.37,3.49,3.37,3.45,648868
10-Sep-14,3.43,3.45,3.37,3.41,728387
9-Sep-14,3.49,3.57,3.41,3.42,857914
8-Sep-14,3.51,3.63,3.50,3.56,1403183
5-Sep-14,3.54,3.64,3.40,3.54,1807686
4-Sep-14,3.72,3.78,3.56,3.59,1231651
3-Sep-14,3.84,3.84,3.71,3.72,629408
2-Sep-14,3.81,3.88,3.76,3.82,634694
29-Aug-14,3.80,3.84,3.74,3.79,619011
28-Aug-14,3.81,3.83,3.75,3.78,814331
27-Aug-14,3.87,3.91,3.83,3.86,768319
26-Aug-14,3.93,3.93,3.84,3.86,813659
25-Aug-14,3.87,3.95,3.84,3.89,1238033
22-Aug-14,3.77,3.86,3.72,3.80,1428797
21-Aug-14,3.85,3.86,3.70,3.76,1667459
20-Aug-14,3.96,3.96,3.83,3.87,1223580
19-Aug-14,3.99,4.02,3.91,3.92,1548618
18-Aug-14,4.02,4.04,3.96,3.97,1235440
15-Aug-14,4.10,4.10,3.92,3.99,1298295
14-Aug-14,4.17,4.19,4.04,4.08,2522661
13-Aug-14,3.96,4.01,3.91,4.00,1034505
12-Aug-14,3.99,4.05,3.90,3.94,1060305
11-Aug-14,4.01,4.05,3.98,4.01,1069768
8-Aug-14,3.95,4.02,3.93,3.95,1239746
7-Aug-14,3.94,4.08,3.91,3.93,1270208
6-Aug-14,3.89,3.96,3.87,3.93,973768
5-Aug-14,3.99,4.02,3.87,3.94,1279932
4-Aug-14,4.01,4.12,3.95,4.02,1131808
1-Aug-14,3.95,4.06,3.93,4.01,1857488
31-Jul-14,4.12,4.17,3.93,3.98,3055694
30-Jul-14,4.38,4.41,4.11,4.16,4000607
29-Jul-14,4.45,4.49,4.36,4.38,5062828
28-Jul-14,4.13,4.39,4.13,4.32,4930077
25-Jul-14,4.06,4.15,4.00,4.14,1465630
24-Jul-14,4.24,4.28,4.04,4.07,2610486
23-Jul-14,4.35,4.42,4.16,4.25,5572573
22-Jul-14,4.24,4.47,4.09,4.15,9951743
21-Jul-14,3.99,4.25,3.87,4.14,7056791
18-Jul-14,3.71,4.00,3.71,3.94,2479589
17-Jul-14,3.82,3.87,3.70,3.72,1357067
16-Jul-14,4.10,4.15,3.88,3.88,2079218
15-Jul-14,3.91,4.14,3.91,4.02,4856259
14-Jul-14,3.76,3.82,3.69,3.71,1095805
11-Jul-14,3.75,3.88,3.68,3.73,1333526
10-Jul-14,3.75,3.80,3.65,3.72,1518741
9-Jul-14,3.89,3.95,3.84,3.88,1028844
8-Jul-14,4.06,4.06,3.82,3.90,2331669
7-Jul-14,4.20,4.20,4.06,4.09,1298685
3-Jul-14,4.12,4.20,4.09,4.19,1273573
2-Jul-14,4.23,4.30,4.10,4.13,2237255
1-Jul-14,4.13,4.47,4.04,4.26,6630177
30-Jun-14,4.17,4.22,4.10,4.12,1782380
27-Jun-14,4.15,4.23,4.05,4.16,2317819
26-Jun-14,4.05,4.21,3.94,4.13,3543955
25-Jun-14,3.92,4.08,3.92,4.05,1924394
24-Jun-14,4.24,4.25,3.88,3.92,3446742
23-Jun-14,4.33,4.35,4.14,4.23,2746932
20-Jun-14,4.15,4.39,4.08,4.27,4867081
19-Jun-14,4.45,4.52,3.97,4.02,13832476
18-Jun-14,3.60,4.19,3.56,4.15,10467534
17-Jun-14,3.29,3.60,3.21,3.56,3673919
16-Jun-14,3.37,3.43,3.26,3.30,1534900
13-Jun-14,3.34,3.42,3.32,3.40,1012349
12-Jun-14,3.34,3.45,3.29,3.34,1727237
11-Jun-14,3.46,3.50,3.31,3.38,2656405
10-Jun-14,3.55,3.63,3.47,3.50,2056118
9-Jun-14,3.65,3.69,3.53,3.58,3190272
6-Jun-14,3.71,3.78,3.64,3.68,1934958
5-Jun-14,3.67,3.75,3.53,3.69,1756139
4-Jun-14,3.74,3.82,3.60,3.64,3777157
3-Jun-14,3.82,3.95,3.70,3.93,4239568
2-Jun-14,3.86,3.90,3.70,3.82,4091964
30-May-14,3.73,3.83,3.53,3.81,2864924
29-May-14,3.88,4.07,3.68,3.70,6311854
28-May-14,3.28,3.91,3.28,3.88,9735827
27-May-14,3.20,3.28,3.18,3.26,1091294
23-May-14,3.25,3.29,3.13,3.20,2489264
22-May-14,3.30,3.31,3.22,3.28,1621211
21-May-14,3.34,3.36,3.21,3.29,2020340
20-May-14,3.32,3.43,3.25,3.32,3118589
19-May-14,3.35,3.49,3.30,3.41,4738255
16-May-14,3.06,3.38,2.99,3.28,8241266
15-May-14,3.05,3.10,2.95,3.07,3477950
14-May-14,3.08,3.23,3.00,3.02,3864107
13-May-14,3.10,3.30,3.05,3.19,6061849
12-May-14,2.93,3.03,2.88,3.00,2178504
9-May-14,3.08,3.10,2.83,2.89,3082267
8-May-14,3.03,3.18,2.97,3.03,3277811
7-May-14,3.09,3.11,2.90,3.00,3974757
6-May-14,3.22,3.24,2.98,3.08,4771734
5-May-14,3.49,3.55,3.30,3.34,3261627
2-May-14,3.64,3.73,3.56,3.57,1845817
1-May-14,3.59,3.79,3.54,3.74,3014266
30-Apr-14,3.65,3.70,3.52,3.66,2592203
29-Apr-14,3.87,3.95,3.36,3.70,9932440
28-Apr-14,4.29,4.46,3.87,4.09,8395603
25-Apr-14,4.25,4.35,4.04,4.17,7081936
24-Apr-14,4.03,4.13,3.86,3.96,3306145
23-Apr-14,3.88,4.07,3.85,3.95,2365060
22-Apr-14,4.09,4.09,3.86,3.96,3173691
21-Apr-14,3.93,4.28,3.80,4.05,9184853
17-Apr-14,3.67,3.87,3.58,3.78,4036938
16-Apr-14,3.73,3.76,3.52,3.66,2460167
15-Apr-14,3.90,3.97,3.41,3.65,5711812
14-Apr-14,4.05,4.10,3.82,3.89,3784343
11-Apr-14,3.99,4.01,3.80,3.93,6110336
10-Apr-14,4.21,4.31,4.05,4.14,4438409
9-Apr-14,4.30,4.34,4.11,4.20,3674510
8-Apr-14,4.07,4.32,3.95,4.30,6618686
7-Apr-14,4.26,4.27,3.90,3.94,7362365
4-Apr-14,4.54,4.60,4.20,4.32,6905586
3-Apr-14,4.76,4.80,4.41,4.53,9247515
2-Apr-14,4.58,5.17,4.54,4.87,26375127
1-Apr-14,4.37,4.55,4.25,4.49,7313413
31-Mar-14,4.39,4.54,4.25,4.40,7888061
28-Mar-14,4.39,4.47,4.16,4.29,7151289
27-Mar-14,4.33,4.49,4.04,4.38,8225047
26-Mar-14,4.86,5.06,4.15,4.17,23224068
25-Mar-14,4.18,5.40,4.09,5.40,25674800
24-Mar-14,4.42,4.55,4.01,4.08,7629030
21-Mar-14,4.22,4.39,3.84,4.33,15524429
20-Mar-14,4.65,4.81,4.25,4.32,9220650
19-Mar-14,4.70,4.98,4.58,4.66,10944174
18-Mar-14,5.03,5.14,4.74,4.76,13773558
17-Mar-14,6.04,6.05,4.93,5.19,17121425
14-Mar-14,5.71,6.24,5.31,5.69,19760526
