Date,Open,High,Low,Close,Volume
23-Oct-14,2.15,2.19,2.11,2.16,15684
22-Oct-14,2.13,2.16,2.11,2.15,8316
21-Oct-14,2.10,2.19,2.10,2.16,9544
20-Oct-14,2.05,2.11,2.05,2.08,5171
17-Oct-14,2.10,2.15,2.05,2.08,13985
16-Oct-14,2.07,2.18,2.04,2.07,27902
15-Oct-14,2.10,2.14,2.04,2.06,5238
14-Oct-14,2.13,2.13,2.03,2.08,25701
13-Oct-14,2.05,2.24,2.05,2.16,4024
10-Oct-14,2.11,2.12,2.07,2.07,16704
9-Oct-14,2.15,2.19,2.12,2.13,18417
8-Oct-14,2.19,2.20,2.11,2.19,19415
7-Oct-14,2.25,2.25,2.18,2.19,46361
6-Oct-14,2.22,2.25,2.17,2.21,28122
3-Oct-14,2.20,2.25,2.16,2.20,35565
2-Oct-14,2.15,2.19,2.11,2.19,15896
1-Oct-14,2.13,2.17,2.08,2.12,6387
30-Sep-14,2.10,2.18,2.09,2.10,34137
29-Sep-14,2.15,2.18,2.07,2.08,14687
26-Sep-14,2.20,2.20,2.15,2.16,7889
25-Sep-14,2.20,2.20,2.19,2.20,3615
24-Sep-14,2.20,2.24,2.17,2.19,14376
23-Sep-14,2.16,2.19,2.15,2.18,4574
22-Sep-14,2.13,2.16,2.13,2.14,15748
19-Sep-14,2.19,2.19,2.15,2.18,29364
18-Sep-14,2.17,2.25,2.15,2.15,39144
17-Sep-14,2.18,2.22,2.11,2.17,43086
16-Sep-14,2.38,2.38,2.22,2.24,32996
15-Sep-14,2.40,2.44,2.35,2.36,10103
12-Sep-14,2.41,2.49,2.41,2.43,54465
11-Sep-14,2.38,2.51,2.38,2.46,30317
10-Sep-14,2.51,2.51,2.44,2.47,14131
9-Sep-14,2.45,2.49,2.44,2.48,44558
8-Sep-14,2.37,2.46,2.32,2.45,22348
5-Sep-14,2.39,2.43,2.26,2.31,27517
4-Sep-14,2.47,2.47,2.30,2.34,10516
3-Sep-14,2.64,2.68,2.43,2.47,70886
2-Sep-14,2.41,2.60,2.38,2.57,50998
29-Aug-14,2.38,2.41,2.33,2.37,22736
28-Aug-14,2.29,2.49,2.23,2.34,63027
27-Aug-14,2.21,2.29,2.21,2.27,24932
26-Aug-14,2.25,2.25,2.20,2.24,21024
25-Aug-14,2.16,2.24,2.11,2.23,55753
22-Aug-14,2.25,2.25,2.10,2.13,39944
21-Aug-14,2.18,2.24,2.12,2.22,18192
20-Aug-14,2.15,2.15,2.09,2.11,11253
19-Aug-14,2.27,2.27,2.04,2.06,103607
18-Aug-14,2.28,2.33,2.18,2.18,20914
15-Aug-14,2.41,2.41,2.16,2.22,54813
14-Aug-14,2.38,2.41,2.12,2.31,151885
13-Aug-14,2.45,2.45,2.31,2.38,34421
12-Aug-14,2.49,2.52,2.40,2.41,22607
11-Aug-14,2.50,2.60,2.40,2.48,69063
8-Aug-14,2.60,2.62,2.31,2.47,120095
7-Aug-14,2.61,2.73,2.60,2.62,32529
6-Aug-14,2.86,2.86,2.61,2.64,79954
5-Aug-14,2.80,2.98,2.73,2.83,68266
4-Aug-14,2.80,2.80,2.69,2.79,28673
1-Aug-14,2.70,2.74,2.65,2.65,28694
31-Jul-14,2.67,2.74,2.62,2.65,24521
30-Jul-14,2.68,2.81,2.65,2.71,8399
29-Jul-14,2.54,2.78,2.52,2.73,23560
28-Jul-14,2.54,2.59,2.43,2.57,30659
25-Jul-14,2.85,2.85,2.58,2.58,58490
24-Jul-14,2.58,2.95,2.58,2.85,108031
23-Jul-14,2.46,2.63,2.43,2.57,61494
22-Jul-14,2.41,2.52,2.41,2.43,36656
21-Jul-14,2.41,2.48,2.28,2.44,125352
18-Jul-14,2.70,2.70,2.43,2.50,285136
17-Jul-14,2.42,3.60,2.28,2.64,2390351
16-Jul-14,2.38,2.42,2.38,2.38,17972
15-Jul-14,2.38,2.40,2.33,2.36,6101
14-Jul-14,2.30,2.45,2.30,2.38,70679
11-Jul-14,2.35,2.38,2.28,2.34,3681
10-Jul-14,2.27,2.35,2.22,2.30,12730
9-Jul-14,2.40,2.40,2.16,2.35,42445
8-Jul-14,2.47,2.47,2.35,2.37,128313
7-Jul-14,2.36,2.49,2.36,2.45,97775
3-Jul-14,2.26,2.34,2.25,2.34,22969
2-Jul-14,2.29,2.30,2.15,2.28,24257
1-Jul-14,2.38,2.38,2.25,2.26,52319
30-Jun-14,2.20,2.32,2.07,2.28,122014
27-Jun-14,1.90,2.15,1.90,2.09,62151
26-Jun-14,1.97,2.04,1.75,1.89,119958
25-Jun-14,2.08,2.08,1.93,1.97,92340
24-Jun-14,2.13,2.13,2.02,2.02,38582
23-Jun-14,2.10,2.20,2.02,2.10,135119
20-Jun-14,2.40,2.47,2.00,2.00,202128
19-Jun-14,2.37,2.49,2.36,2.42,37445
18-Jun-14,2.43,2.47,2.38,2.40,19286
17-Jun-14,2.50,2.50,2.37,2.46,47564
16-Jun-14,2.48,2.49,2.35,2.48,76497
13-Jun-14,2.34,2.45,2.30,2.37,25427
12-Jun-14,2.30,2.35,2.30,2.34,43911
11-Jun-14,2.27,2.34,2.20,2.33,65156
10-Jun-14,2.35,2.35,2.24,2.27,34156
9-Jun-14,2.47,2.49,2.30,2.32,35392
6-Jun-14,2.30,2.30,2.20,2.24,24540
5-Jun-14,2.17,2.37,2.10,2.13,119935
4-Jun-14,2.23,2.35,2.17,2.19,124775
3-Jun-14,2.44,2.44,2.17,2.23,152247
2-Jun-14,2.35,2.36,2.27,2.34,21370
30-May-14,2.53,2.53,2.32,2.32,45988
29-May-14,2.53,2.53,2.41,2.44,27780
28-May-14,2.55,2.55,2.45,2.50,41896
27-May-14,2.45,2.45,2.35,2.41,56313
23-May-14,2.35,2.40,2.30,2.30,35498
22-May-14,2.36,2.37,2.25,2.32,19020
21-May-14,2.22,2.30,2.22,2.29,22555
20-May-14,2.50,2.51,2.22,2.27,103595
19-May-14,2.49,2.52,2.44,2.50,34501
16-May-14,2.60,2.60,2.40,2.49,44769
15-May-14,2.45,2.55,2.38,2.48,115573
14-May-14,2.56,2.56,2.29,2.42,134086
13-May-14,2.15,2.35,2.10,2.35,88847
12-May-14,2.00,2.20,1.86,2.10,50248
9-May-14,1.85,2.00,1.85,1.99,95471
8-May-14,2.39,2.39,1.91,2.00,128419
7-May-14,2.47,2.47,1.90,2.07,196681
6-May-14,2.65,2.74,2.38,2.41,102662
5-May-14,2.76,2.94,2.64,2.66,54444
2-May-14,2.75,2.82,2.75,2.75,63821
1-May-14,2.79,2.83,2.71,2.73,93278
30-Apr-14,3.00,3.03,2.82,2.89,54072
29-Apr-14,3.12,3.12,2.98,3.02,70397
28-Apr-14,3.30,3.35,3.09,3.12,51881
25-Apr-14,3.61,3.61,3.20,3.31,48879
24-Apr-14,3.80,3.80,3.32,3.39,42226
23-Apr-14,3.70,3.70,3.42,3.55,52197
22-Apr-14,3.89,3.89,3.66,3.66,49363
21-Apr-14,3.60,3.76,3.60,3.70,55190
17-Apr-14,3.70,3.70,3.50,3.52,33298
16-Apr-14,4.05,4.05,3.66,3.66,155351
15-Apr-14,3.97,3.97,3.74,3.90,152935
14-Apr-14,4.35,4.35,3.46,3.77,307318
11-Apr-14,3.40,3.80,3.30,3.64,394736
10-Apr-14,3.50,3.50,3.30,3.31,37301
9-Apr-14,3.49,3.49,3.27,3.35,65021
8-Apr-14,3.30,3.52,3.30,3.41,8336
7-Apr-14,3.60,3.60,3.30,3.32,18354
4-Apr-14,3.90,3.90,3.39,3.55,61290
3-Apr-14,3.90,3.90,3.73,3.82,68483
2-Apr-14,3.75,3.85,3.72,3.74,77043
1-Apr-14,3.90,3.90,3.65,3.68,42194
31-Mar-14,3.70,3.71,3.69,3.69,22792
28-Mar-14,3.95,3.95,3.66,3.71,16453
27-Mar-14,4.27,4.27,3.91,3.94,21378
26-Mar-14,4.10,4.50,3.89,4.02,84320
25-Mar-14,3.95,4.00,3.85,3.85,16921
24-Mar-14,4.00,4.00,3.76,3.85,10754
21-Mar-14,4.01,4.02,3.84,3.90,55395
20-Mar-14,4.01,4.27,3.98,4.00,156821
19-Mar-14,5.25,5.55,5.24,5.24,3163
18-Mar-14,4.55,6.00,4.30,5.50,4248
17-Mar-14,5.06,5.10,4.79,4.79,56870
14-Mar-14,5.60,5.60,4.90,5.00,22565
13-Mar-14,6.00,6.00,5.60,5.60,3184
12-Mar-14,5.70,6.00,5.70,6.00,555
11-Mar-14,6.00,6.10,5.00,5.75,6054
10-Mar-14,6.04,6.27,6.03,6.04,5671
7-Mar-14,6.10,6.28,5.90,6.25,12997
6-Mar-14,6.25,6.48,6.05,6.32,7421
5-Mar-14,6.55,6.55,6.25,6.25,3795
4-Mar-14,6.51,6.51,6.50,6.50,1449
3-Mar-14,6.94,6.94,6.50,6.55,3658
28-Feb-14,6.96,7.00,6.93,6.96,2282
27-Feb-14,6.96,7.00,6.93,6.96,1922
26-Feb-14,6.99,7.00,6.96,6.96,2039
25-Feb-14,6.87,6.93,6.75,6.93,1269
24-Feb-14,6.96,7.00,6.65,6.75,6281
21-Feb-14,6.95,7.00,6.95,7.00,502
20-Feb-14,7.00,7.00,6.95,7.00,1632
19-Feb-14,6.95,7.02,6.95,7.00,12253
18-Feb-14,7.00,7.00,6.95,6.95,3740
14-Feb-14,6.45,7.00,6.35,7.00,9611
13-Feb-14,6.68,6.68,6.25,6.45,4243
12-Feb-14,6.68,6.68,6.45,6.68,799
11-Feb-14,6.75,6.75,6.70,6.70,2225
10-Feb-14,6.68,7.00,6.68,7.00,2785
7-Feb-14,6.70,6.70,6.70,6.70,2946
6-Feb-14,6.26,6.70,6.00,6.70,5407
5-Feb-14,6.86,6.86,5.05,6.50,6436
4-Feb-14,6.86,7.15,6.85,7.00,8695
3-Feb-14,7.00,7.25,6.10,7.25,6405
31-Jan-14,7.75,7.75,6.00,7.20,3847
30-Jan-14,8.00,8.00,7.75,7.88,2463
29-Jan-14,9.00,9.00,9.00,9.00,107
28-Jan-14,0.58,0.60,0.55,0.58,67301
27-Jan-14,0.60,0.60,0.59,0.59,115345
24-Jan-14,0.60,0.60,0.58,0.60,117260
23-Jan-14,0.61,0.61,0.59,0.60,83298
22-Jan-14,0.62,0.63,0.59,0.60,526936
21-Jan-14,0.64,0.64,0.60,0.60,541711
17-Jan-14,0.61,0.65,0.60,0.60,685594
16-Jan-14,0.60,0.60,0.60,0.60,51775
15-Jan-14,0.60,0.60,0.59,0.60,88305
14-Jan-14,0.61,0.61,0.59,0.60,157318
13-Jan-14,0.60,0.61,0.60,0.60,191610
10-Jan-14,0.59,0.63,0.59,0.60,181851
9-Jan-14,0.60,0.60,0.59,0.59,217781
8-Jan-14,0.60,0.61,0.60,0.60,199102
7-Jan-14,0.61,0.61,0.60,0.60,495548
6-Jan-14,0.61,0.61,0.59,0.60,213010
3-Jan-14,0.60,0.61,0.60,0.60,108045
2-Jan-14,0.60,0.62,0.58,0.60,93260
31-Dec-13,0.60,0.60,0.60,0.60,22504
30-Dec-13,0.58,0.60,0.58,0.60,11907
27-Dec-13,0.59,0.60,0.59,0.60,21295
26-Dec-13,0.60,0.60,0.59,0.60,28473
24-Dec-13,0.60,0.61,0.59,0.60,70510
23-Dec-13,0.60,0.60,0.58,0.59,76445
20-Dec-13,0.60,0.62,0.57,0.60,50549
19-Dec-13,0.60,0.60,0.59,0.60,18650
18-Dec-13,0.60,0.60,0.56,0.60,23035
17-Dec-13,0.60,0.63,0.55,0.61,207649
16-Dec-13,0.59,0.59,0.56,0.56,59095
13-Dec-13,0.60,0.60,0.57,0.59,47876
12-Dec-13,0.58,0.60,0.46,0.60,62450
11-Dec-13,0.58,0.60,0.57,0.60,32422
10-Dec-13,0.60,0.62,0.60,0.61,29575
9-Dec-13,0.58,0.64,0.58,0.60,97752
6-Dec-13,0.62,0.63,0.58,0.58,98500
5-Dec-13,0.69,0.69,0.56,0.62,195827
4-Dec-13,0.75,0.75,0.64,0.70,27620
3-Dec-13,0.78,0.78,0.75,0.77,54766
2-Dec-13,0.78,0.79,0.77,0.78,18915
29-Nov-13,0.76,0.83,0.76,0.77,52462
27-Nov-13,0.80,0.83,0.80,0.82,28510
26-Nov-13,0.80,0.80,0.79,0.80,44375
