Date,Open,High,Low,Close,Volume
23-Oct-14,48.63,48.80,47.98,48.12,254690
22-Oct-14,48.71,49.13,47.79,48.46,330795
21-Oct-14,48.74,49.19,47.91,48.60,354382
20-Oct-14,47.85,48.97,47.77,48.78,422583
17-Oct-14,49.08,49.10,48.08,48.12,613305
16-Oct-14,46.94,48.82,46.84,48.72,708693
15-Oct-14,47.00,47.74,46.60,47.51,541054
14-Oct-14,46.94,47.69,46.78,47.41,533106
13-Oct-14,45.90,47.22,45.90,46.79,526307
10-Oct-14,46.04,46.88,45.55,46.01,344073
9-Oct-14,46.58,47.27,46.16,46.24,295390
8-Oct-14,45.50,46.72,45.50,46.66,358053
7-Oct-14,46.44,46.60,45.46,45.47,400609
6-Oct-14,46.67,47.26,46.46,46.71,211526
3-Oct-14,46.44,46.97,45.81,46.57,300072
2-Oct-14,46.14,46.50,45.57,46.02,313856
1-Oct-14,47.40,47.51,46.06,46.14,383006
30-Sep-14,47.95,48.05,47.32,47.34,326367
29-Sep-14,47.59,47.94,47.45,47.90,387760
26-Sep-14,47.52,48.20,47.28,47.92,470224
25-Sep-14,47.72,48.01,47.07,47.40,467469
24-Sep-14,45.98,48.03,45.78,47.53,1002724
23-Sep-14,46.15,46.39,45.72,45.94,590432
22-Sep-14,45.10,46.15,45.06,46.13,710431
19-Sep-14,45.39,45.94,45.07,45.24,837998
18-Sep-14,45.30,45.82,45.00,45.43,585746
17-Sep-14,45.08,45.80,44.85,45.16,523553
16-Sep-14,44.08,45.06,44.02,45.00,433009
15-Sep-14,44.84,45.00,44.06,44.20,475746
12-Sep-14,45.02,45.43,44.60,44.74,477730
11-Sep-14,44.70,45.51,44.70,45.23,402304
10-Sep-14,44.79,45.02,44.48,44.84,348435
9-Sep-14,45.00,45.41,44.56,44.72,571132
8-Sep-14,43.86,44.64,43.66,44.52,580090
5-Sep-14,43.30,43.98,43.05,43.81,568784
4-Sep-14,43.00,43.92,43.00,43.26,468814
3-Sep-14,42.69,44.45,42.28,43.05,771850
2-Sep-14,43.39,43.54,42.50,42.70,716739
29-Aug-14,44.04,44.04,42.81,43.42,539788
28-Aug-14,45.00,45.44,43.63,43.78,992405
27-Aug-14,46.94,47.48,45.64,45.77,1079122
26-Aug-14,49.18,49.45,47.74,47.76,765669
25-Aug-14,48.96,49.35,48.44,49.10,592716
22-Aug-14,48.74,49.16,48.42,48.87,587326
21-Aug-14,48.75,49.41,48.22,48.85,883981
20-Aug-14,49.00,49.71,48.22,48.49,892024
19-Aug-14,47.51,48.21,47.36,48.17,332698
18-Aug-14,47.74,48.10,47.24,47.50,345566
15-Aug-14,47.98,48.10,47.20,47.43,285168
14-Aug-14,47.63,47.90,47.24,47.65,208540
13-Aug-14,47.26,47.76,47.09,47.54,191748
12-Aug-14,47.65,47.82,46.87,47.15,313859
11-Aug-14,47.98,48.16,47.62,47.73,253953
