Date,Open,High,Low,Close,Volume
23-Oct-14,65.68,66.75,65.68,66.14,95837
22-Oct-14,66.11,66.59,65.82,65.88,73614
21-Oct-14,65.24,66.18,64.27,66.08,79552
20-Oct-14,64.61,64.99,64.16,64.85,88562
17-Oct-14,64.77,65.27,64.18,64.96,108873
16-Oct-14,62.37,64.41,62.37,64.08,127941
15-Oct-14,65.00,65.00,62.73,63.14,188995
14-Oct-14,65.71,66.54,65.33,65.51,142560
13-Oct-14,65.29,66.16,65.29,65.45,117471
10-Oct-14,65.39,65.87,65.03,65.36,154516
9-Oct-14,65.99,66.32,65.08,65.32,111851
8-Oct-14,65.20,66.30,65.20,66.20,89625
7-Oct-14,65.65,65.79,65.01,65.39,110141
6-Oct-14,66.90,67.03,65.69,65.80,77325
3-Oct-14,66.24,66.90,66.24,66.70,75150
2-Oct-14,65.74,66.31,65.14,65.84,85998
1-Oct-14,66.34,66.51,65.61,65.83,75748
30-Sep-14,66.97,67.07,66.43,66.48,55666
29-Sep-14,66.59,67.07,66.06,66.83,64462
26-Sep-14,67.05,67.54,66.55,66.88,62628
25-Sep-14,67.45,67.55,66.83,67.05,100770
24-Sep-14,67.54,68.10,67.08,67.63,127797
23-Sep-14,67.33,68.00,67.06,67.49,174876
22-Sep-14,67.87,68.20,67.24,67.45,105307
19-Sep-14,68.85,69.45,67.74,67.96,406413
18-Sep-14,67.94,69.56,67.94,68.71,94964
17-Sep-14,67.61,68.62,67.54,68.04,75475
16-Sep-14,68.17,68.33,67.48,67.72,79454
15-Sep-14,68.68,68.68,67.92,68.09,71162
12-Sep-14,68.15,69.08,68.15,68.68,89882
11-Sep-14,67.84,68.33,67.52,68.23,116754
10-Sep-14,67.69,68.48,67.69,68.19,87165
9-Sep-14,68.33,68.33,67.60,67.77,48894
8-Sep-14,67.97,68.46,67.30,68.31,75552
5-Sep-14,67.10,68.03,67.03,67.80,83794
4-Sep-14,67.38,67.98,67.22,67.50,100655
3-Sep-14,67.75,67.98,67.18,67.46,99885
2-Sep-14,67.37,67.98,67.22,67.54,90490
29-Aug-14,67.15,67.46,66.78,67.38,42406
28-Aug-14,67.39,67.51,66.77,67.06,54201
27-Aug-14,67.76,68.35,67.32,67.55,73652
26-Aug-14,67.62,68.02,67.09,67.88,48095
25-Aug-14,67.43,67.86,67.12,67.47,37385
22-Aug-14,67.22,67.96,66.71,67.23,33253
21-Aug-14,66.79,67.70,66.06,67.40,67387
