Date,Open,High,Low,Close,Volume
23-Oct-14,9.01,9.01,9.01,9.01,250
22-Oct-14,9.00,9.08,9.00,9.08,10016
17-Oct-14,8.90,8.90,8.89,8.90,1200
15-Oct-14,9.00,9.00,9.00,9.00,100
14-Oct-14,8.90,8.90,8.90,8.90,304
9-Oct-14,8.90,9.00,8.90,9.00,1569
8-Oct-14,8.99,9.00,8.99,9.00,600
6-Oct-14,9.00,9.00,9.00,9.00,211
2-Oct-14,9.00,9.00,9.00,9.00,140
29-Sep-14,9.00,9.00,9.00,9.00,10000
26-Sep-14,8.95,9.00,8.95,9.00,900
25-Sep-14,9.00,9.01,9.00,9.01,498
24-Sep-14,9.02,9.07,9.00,9.02,2158
23-Sep-14,9.00,9.00,9.00,9.00,309
22-Sep-14,9.00,9.00,8.90,8.90,2120
19-Sep-14,9.00,9.05,8.90,9.00,3855
18-Sep-14,9.00,9.00,9.00,9.00,205
15-Sep-14,8.92,8.92,8.90,8.90,351
12-Sep-14,9.05,9.05,9.00,9.00,6609
11-Sep-14,9.00,9.00,9.00,9.00,904
10-Sep-14,8.98,9.03,8.98,9.00,7431
8-Sep-14,8.95,8.95,8.95,8.95,417
5-Sep-14,8.90,8.98,8.90,8.97,1630
4-Sep-14,8.90,8.90,8.90,8.90,521
3-Sep-14,8.92,8.92,8.92,8.92,100
2-Sep-14,8.90,8.90,8.90,8.90,140
29-Aug-14,8.95,8.97,8.95,8.97,330
27-Aug-14,8.95,8.99,8.90,8.95,3593
26-Aug-14,9.00,9.00,9.00,9.00,100
25-Aug-14,9.10,9.10,9.10,9.10,1751
22-Aug-14,8.95,9.25,8.95,9.14,702
21-Aug-14,8.97,8.97,8.97,8.97,100
20-Aug-14,8.97,9.03,8.95,9.03,1303
19-Aug-14,9.06,9.07,8.93,8.95,6419
18-Aug-14,9.10,9.10,9.00,9.05,5031
15-Aug-14,9.00,9.09,8.99,9.02,7836
13-Aug-14,9.00,9.07,9.00,9.00,562
12-Aug-14,8.91,9.00,8.91,9.00,200
11-Aug-14,9.00,9.00,9.00,9.00,1075
8-Aug-14,9.00,9.00,9.00,9.00,225
7-Aug-14,9.00,9.00,9.00,9.00,479
6-Aug-14,9.00,9.00,9.00,9.00,300
5-Aug-14,8.90,9.05,8.90,9.05,1413
4-Aug-14,9.05,9.15,9.02,9.09,4026
1-Aug-14,9.10,9.23,9.00,9.01,10812
31-Jul-14,9.10,9.10,9.10,9.10,101
30-Jul-14,9.08,9.09,9.08,9.09,1100
29-Jul-14,9.08,9.50,8.90,9.04,32576
28-Jul-14,9.30,9.30,9.05,9.05,289
25-Jul-14,9.35,9.35,9.35,9.35,635
24-Jul-14,9.00,9.40,9.00,9.40,2320
23-Jul-14,9.00,9.00,9.00,9.00,100
22-Jul-14,9.20,9.20,9.00,9.00,2201
21-Jul-14,9.00,9.00,8.90,8.93,1103
18-Jul-14,9.02,9.03,8.91,9.00,1044
17-Jul-14,9.10,9.19,9.10,9.18,301
16-Jul-14,8.99,9.01,8.99,9.00,1313
15-Jul-14,9.00,9.20,8.97,9.00,6007
14-Jul-14,9.02,9.02,9.00,9.00,700
10-Jul-14,9.09,9.45,9.03,9.03,5190
9-Jul-14,8.92,9.20,8.80,9.01,16759
8-Jul-14,8.87,9.38,8.87,9.00,17220
7-Jul-14,9.06,9.06,8.90,8.90,1944
2-Jul-14,8.95,8.95,8.95,8.95,265
1-Jul-14,8.95,8.95,8.95,8.95,1050
30-Jun-14,9.05,9.05,8.90,8.90,980
27-Jun-14,9.00,9.15,9.00,9.04,2920
25-Jun-14,8.85,8.86,8.85,8.86,1175
24-Jun-14,8.82,8.90,8.82,8.90,1716
23-Jun-14,8.85,8.85,8.85,8.85,118
19-Jun-14,8.84,8.85,8.84,8.85,2300
18-Jun-14,8.81,8.85,8.79,8.85,2220
17-Jun-14,8.81,8.81,8.75,8.80,600
16-Jun-14,8.84,8.84,8.82,8.82,400
13-Jun-14,8.72,8.72,8.72,8.72,500
12-Jun-14,8.75,8.75,8.75,8.75,1240
11-Jun-14,8.69,8.78,8.69,8.69,1519
10-Jun-14,8.75,8.75,8.69,8.75,1458
9-Jun-14,8.75,8.95,8.75,8.75,1769
6-Jun-14,8.75,8.80,8.66,8.66,4972
5-Jun-14,8.70,8.75,8.70,8.75,8827
4-Jun-14,8.65,8.75,8.65,8.75,2814
3-Jun-14,8.71,8.75,8.60,8.60,1071
2-Jun-14,8.72,8.75,8.58,8.75,4270
30-May-14,8.80,8.88,8.80,8.88,3581
29-May-14,8.88,8.90,8.88,8.90,635
28-May-14,8.90,8.90,8.90,8.90,100
27-May-14,8.90,8.90,8.90,8.90,302
23-May-14,8.87,8.87,8.85,8.85,300
22-May-14,8.88,8.90,8.83,8.90,4617
20-May-14,8.45,8.89,8.45,8.89,3211
19-May-14,8.75,8.75,8.50,8.50,1950
16-May-14,8.85,8.85,8.50,8.70,1818
15-May-14,8.85,8.95,8.85,8.95,3488
14-May-14,8.86,8.86,8.86,8.86,232
13-May-14,8.85,8.95,8.85,8.95,3004
12-May-14,8.85,8.90,8.85,8.90,1968
9-May-14,8.90,8.90,8.85,8.85,1217
8-May-14,8.85,8.85,8.85,8.85,8016
7-May-14,8.95,8.95,8.95,8.95,264
6-May-14,8.82,8.85,8.82,8.85,676
2-May-14,8.79,8.79,8.79,8.79,400
1-May-14,8.72,8.95,8.70,8.95,1924
30-Apr-14,8.90,9.10,8.87,8.95,1907
29-Apr-14,8.88,8.89,8.88,8.89,1602
28-Apr-14,8.97,8.97,8.97,8.97,1200
25-Apr-14,8.99,8.99,8.99,8.99,166
24-Apr-14,9.00,9.10,9.00,9.10,243
23-Apr-14,9.00,9.02,9.00,9.02,1154
22-Apr-14,9.00,9.10,8.90,9.10,8579
17-Apr-14,9.10,9.10,9.00,9.00,590
16-Apr-14,9.09,9.09,9.09,9.09,171
15-Apr-14,9.10,9.10,9.10,9.10,106
14-Apr-14,9.02,9.02,9.02,9.02,460
11-Apr-14,9.01,9.01,9.01,9.01,240
8-Apr-14,9.10,9.24,9.10,9.24,3674
7-Apr-14,9.10,9.24,8.93,9.24,4395
4-Apr-14,9.10,9.17,9.10,9.14,610
3-Apr-14,9.20,9.20,9.20,9.20,500
2-Apr-14,9.12,9.12,9.11,9.11,331
31-Mar-14,9.24,9.24,9.24,9.24,100
28-Mar-14,9.25,9.25,9.10,9.10,1760
27-Mar-14,9.09,9.23,9.09,9.23,3101
26-Mar-14,9.01,9.09,9.01,9.09,1378
25-Mar-14,9.09,9.13,9.09,9.10,6757
24-Mar-14,9.10,9.10,9.10,9.10,2006
21-Mar-14,9.12,9.12,9.02,9.10,6513
20-Mar-14,9.19,9.19,9.19,9.19,100
19-Mar-14,9.14,9.24,9.14,9.23,1286
18-Mar-14,8.81,9.25,8.81,9.25,6527
14-Mar-14,9.10,9.10,9.10,9.10,2800
13-Mar-14,9.10,9.15,9.10,9.10,2170
12-Mar-14,9.14,9.24,9.10,9.10,12530
11-Mar-14,9.11,9.25,9.10,9.10,6032
10-Mar-14,9.14,9.25,9.05,9.07,4262
7-Mar-14,9.15,9.15,9.11,9.12,1396
6-Mar-14,9.12,9.17,9.05,9.15,6544
4-Mar-14,9.15,9.15,9.15,9.15,300
27-Feb-14,9.00,9.00,9.00,9.00,279
26-Feb-14,9.14,9.14,9.14,9.14,100
25-Feb-14,9.15,9.25,9.05,9.05,1448
24-Feb-14,9.19,9.19,9.19,9.19,100
21-Feb-14,8.66,9.25,8.66,9.00,6977
20-Feb-14,8.95,9.05,8.95,8.99,3975
19-Feb-14,8.95,9.05,8.95,8.95,1585
18-Feb-14,9.22,9.22,9.00,9.05,2160
14-Feb-14,9.04,9.16,9.04,9.11,4866
12-Feb-14,9.05,9.05,9.05,9.05,200
11-Feb-14,8.94,8.98,8.94,8.95,3200
10-Feb-14,8.76,8.97,8.76,8.90,1022
7-Feb-14,8.95,8.95,8.95,8.95,345
6-Feb-14,9.02,9.02,8.95,8.95,1955
5-Feb-14,8.90,9.05,8.65,8.95,40845
4-Feb-14,8.90,8.91,8.90,8.91,818
3-Feb-14,8.86,8.95,8.86,8.95,8047
31-Jan-14,8.90,9.05,8.90,9.05,1445
30-Jan-14,9.05,9.05,8.95,8.95,765
29-Jan-14,9.00,9.05,9.00,9.05,1984
28-Jan-14,8.90,9.02,8.90,8.95,12606
27-Jan-14,8.90,9.00,8.90,8.99,1205
24-Jan-14,8.99,8.99,8.88,8.88,538
23-Jan-14,9.05,9.05,8.90,8.90,1000
22-Jan-14,9.00,9.13,8.90,9.13,3067
21-Jan-14,9.19,9.19,8.86,8.92,6305
17-Jan-14,9.18,9.23,9.18,9.18,1900
16-Jan-14,9.19,9.19,8.85,8.90,1860
15-Jan-14,8.85,9.19,8.85,9.19,545
14-Jan-14,9.19,9.24,8.99,9.00,2051
10-Jan-14,8.87,9.24,8.87,8.91,4029
8-Jan-14,9.19,9.19,9.08,9.08,200
7-Jan-14,9.11,9.17,9.07,9.07,600
6-Jan-14,9.25,9.25,9.08,9.08,3816
3-Jan-14,9.20,9.20,9.20,9.20,420
2-Jan-14,9.23,9.23,8.75,9.21,11629
31-Dec-13,8.82,9.29,8.70,9.29,16060
30-Dec-13,8.94,8.95,8.90,8.90,2545
27-Dec-13,8.90,8.90,8.63,8.74,836
24-Dec-13,8.60,8.95,8.60,8.95,240
23-Dec-13,8.57,9.00,8.57,9.00,3730
20-Dec-13,8.67,8.67,8.50,8.50,1515
19-Dec-13,8.68,8.68,8.55,8.55,761
18-Dec-13,8.44,8.85,8.44,8.56,9200
17-Dec-13,8.44,8.44,8.41,8.44,2720
16-Dec-13,8.41,8.45,8.41,8.44,9133
13-Dec-13,8.41,8.41,8.39,8.40,5983
12-Dec-13,8.25,8.40,8.25,8.40,7755
11-Dec-13,8.39,8.48,8.39,8.41,2134
10-Dec-13,8.37,8.39,8.25,8.39,1693
9-Dec-13,8.36,8.36,8.25,8.29,6031
6-Dec-13,8.39,8.39,8.35,8.35,2000
5-Dec-13,8.40,8.40,8.24,8.25,6200
4-Dec-13,8.39,8.39,8.39,8.39,750
3-Dec-13,8.30,8.45,8.30,8.45,700
2-Dec-13,8.37,8.37,8.20,8.34,630
26-Nov-13,8.25,8.40,8.07,8.18,2032
25-Nov-13,8.15,8.33,8.15,8.21,1300
21-Nov-13,8.17,8.29,8.17,8.29,700
20-Nov-13,8.24,8.24,8.19,8.23,400
