Date,Open,High,Low,Close,Volume
23-Oct-14,9.81,9.97,9.79,9.83,2332533
22-Oct-14,9.68,9.94,9.61,9.63,3065964
21-Oct-14,9.53,9.74,9.48,9.65,4132712
20-Oct-14,9.53,9.58,9.34,9.51,5101664
17-Oct-14,9.33,9.74,9.27,9.50,12043014
16-Oct-14,9.07,9.19,8.92,9.16,10153359
15-Oct-14,9.18,9.35,8.91,9.22,5633658
14-Oct-14,9.24,9.38,9.10,9.30,7304121
13-Oct-14,9.31,9.40,9.08,9.20,7097526
10-Oct-14,9.96,9.96,9.35,9.35,6014512
9-Oct-14,10.32,10.37,9.97,10.01,3662598
8-Oct-14,10.16,10.38,10.02,10.37,5845096
7-Oct-14,10.34,10.39,10.15,10.23,5883687
6-Oct-14,10.65,10.68,10.23,10.38,5914341
3-Oct-14,10.72,10.79,10.59,10.61,5397285
2-Oct-14,10.79,10.86,10.45,10.66,7341057
1-Oct-14,10.88,10.88,10.72,10.82,10331941
30-Sep-14,10.80,10.98,10.76,10.87,4846130
29-Sep-14,10.85,10.99,10.76,10.88,8722546
26-Sep-14,10.76,10.84,10.64,10.80,9420709
25-Sep-14,10.48,10.74,10.40,10.72,12938746
24-Sep-14,10.13,10.52,10.11,10.48,6627914
23-Sep-14,10.12,10.35,10.10,10.13,5360031
22-Sep-14,10.28,10.29,10.03,10.14,3492653
19-Sep-14,10.57,10.59,10.29,10.30,5044174
18-Sep-14,10.39,10.58,10.27,10.54,4101107
17-Sep-14,10.31,10.40,10.27,10.33,2897607
16-Sep-14,10.03,10.39,10.03,10.31,5999954
15-Sep-14,10.27,10.33,10.06,10.09,3517447
12-Sep-14,10.48,10.50,10.23,10.26,3428672
11-Sep-14,10.38,10.53,10.37,10.46,3105451
10-Sep-14,10.29,10.46,10.22,10.43,4329334
9-Sep-14,10.38,10.40,10.22,10.26,3922861
8-Sep-14,10.27,10.42,10.22,10.41,3968544
5-Sep-14,10.27,10.36,10.18,10.31,3448823
4-Sep-14,10.45,10.53,10.26,10.30,3193217
3-Sep-14,10.60,10.71,10.38,10.40,6389035
2-Sep-14,10.57,10.65,10.49,10.53,5997517
29-Aug-14,10.48,10.62,10.42,10.55,4812497
28-Aug-14,10.31,10.49,10.25,10.44,5642935
27-Aug-14,10.27,10.38,10.26,10.35,6873057
26-Aug-14,10.10,10.40,10.06,10.32,7059267
25-Aug-14,9.86,10.16,9.86,10.08,7706285
22-Aug-14,9.59,9.96,9.52,9.74,9852273
21-Aug-14,9.32,9.48,9.18,9.41,7782926
20-Aug-14,9.36,9.40,9.32,9.35,3176019
19-Aug-14,9.29,9.42,9.28,9.37,1925817
18-Aug-14,9.38,9.43,9.27,9.29,2200725
15-Aug-14,9.26,9.36,9.19,9.33,2940791
14-Aug-14,9.30,9.34,9.18,9.26,2103583
13-Aug-14,9.24,9.39,9.19,9.26,1561024
12-Aug-14,9.27,9.33,9.16,9.20,2780531
11-Aug-14,9.18,9.30,9.10,9.27,2339865
8-Aug-14,9.06,9.17,9.02,9.12,2985003
7-Aug-14,9.19,9.20,9.05,9.06,1647866
6-Aug-14,9.06,9.19,9.05,9.12,2477909
5-Aug-14,9.16,9.22,9.04,9.11,2635856
4-Aug-14,9.11,9.24,9.05,9.21,3454673
1-Aug-14,9.20,9.30,9.02,9.07,3495223
31-Jul-14,9.44,9.51,9.16,9.21,3900377
30-Jul-14,9.49,9.56,9.31,9.52,6298763
29-Jul-14,9.47,9.50,9.40,9.45,2265547
28-Jul-14,9.37,9.46,9.31,9.45,2348491
25-Jul-14,9.50,9.54,9.33,9.38,2823701
24-Jul-14,9.38,9.57,9.36,9.54,3138304
23-Jul-14,9.38,9.49,9.34,9.37,2549288
22-Jul-14,9.22,9.46,9.20,9.40,3197586
21-Jul-14,9.22,9.28,9.13,9.20,3128516
18-Jul-14,9.06,9.19,9.01,9.19,2598634
17-Jul-14,9.08,9.16,8.98,9.02,2080579
16-Jul-14,9.12,9.18,9.05,9.11,2150028
15-Jul-14,9.03,9.12,8.94,9.06,3113092
14-Jul-14,9.17,9.25,9.00,9.03,4439878
11-Jul-14,9.21,9.32,9.05,9.14,2547945
10-Jul-14,8.96,9.15,8.89,9.05,4076176
9-Jul-14,9.30,9.30,9.03,9.09,3477339
8-Jul-14,9.36,9.40,9.06,9.08,4368433
7-Jul-14,9.55,9.55,9.34,9.34,5256535
3-Jul-14,9.61,9.68,9.53,9.54,3653751
2-Jul-14,9.63,9.73,9.57,9.59,6699640
1-Jul-14,9.26,9.75,9.21,9.64,12304836
30-Jun-14,9.24,9.27,9.16,9.20,7702783
27-Jun-14,9.24,9.32,9.17,9.23,4321872
26-Jun-14,9.24,9.35,9.21,9.27,4934475
25-Jun-14,9.00,9.26,8.98,9.25,3507039
24-Jun-14,9.23,9.26,8.98,9.02,5284583
23-Jun-14,9.15,9.29,9.14,9.26,3329360
20-Jun-14,9.32,9.36,9.20,9.21,4726096
19-Jun-14,9.35,9.41,9.18,9.28,3899333
18-Jun-14,9.43,9.48,9.29,9.35,5867310
