Date,Open,High,Low,Close,Volume
23-Oct-14,20.43,20.43,20.07,20.24,259811
22-Oct-14,20.27,20.51,20.04,20.18,331113
21-Oct-14,20.60,20.67,20.09,20.30,191441
20-Oct-14,20.00,20.52,19.92,20.51,287214
17-Oct-14,20.52,20.52,19.64,20.12,509996
16-Oct-14,19.66,20.63,19.66,20.24,165644
15-Oct-14,19.55,20.12,19.12,19.97,227730
14-Oct-14,19.97,20.22,19.72,19.76,305742
13-Oct-14,19.89,20.27,19.70,19.74,224785
10-Oct-14,19.94,20.23,19.70,19.84,321214
9-Oct-14,20.41,20.47,19.89,20.01,194635
8-Oct-14,20.25,20.66,19.97,20.48,339877
7-Oct-14,20.28,20.28,19.73,20.16,352470
6-Oct-14,21.27,21.45,20.14,20.41,237296
3-Oct-14,21.07,21.43,21.02,21.23,173214
2-Oct-14,20.95,21.25,20.82,20.99,190057
1-Oct-14,21.05,21.30,20.80,20.96,204722
30-Sep-14,21.59,21.79,21.04,21.04,362789
29-Sep-14,21.72,21.95,21.30,21.63,116256
26-Sep-14,21.86,22.11,21.00,21.85,189470
25-Sep-14,22.37,22.60,21.06,21.82,674625
24-Sep-14,22.89,22.92,22.32,22.48,680962
23-Sep-14,23.15,23.66,23.02,23.10,210733
22-Sep-14,23.32,23.89,23.13,23.25,173695
19-Sep-14,23.80,23.93,23.44,23.52,323994
18-Sep-14,23.69,23.87,23.60,23.78,175978
17-Sep-14,23.28,23.68,23.28,23.51,120470
16-Sep-14,23.19,23.52,22.93,23.35,297096
15-Sep-14,23.64,23.70,22.92,23.20,202579
12-Sep-14,23.70,23.79,23.07,23.67,277205
11-Sep-14,22.90,23.75,22.90,23.74,212276
10-Sep-14,22.88,23.17,22.76,23.00,157603
9-Sep-14,23.34,23.50,22.78,22.91,249544
8-Sep-14,22.86,23.21,22.81,22.96,85311
5-Sep-14,22.97,23.15,22.61,22.88,109268
4-Sep-14,23.07,23.33,22.61,23.08,140188
3-Sep-14,23.93,23.93,22.96,23.07,124098
2-Sep-14,23.86,24.16,23.14,23.88,483210
29-Aug-14,23.80,24.00,23.74,23.86,122406
28-Aug-14,23.80,23.96,23.51,23.80,111439
27-Aug-14,24.05,24.19,23.81,24.01,164756
26-Aug-14,23.69,24.15,23.60,24.08,171834
25-Aug-14,23.82,24.20,23.60,23.63,151293
22-Aug-14,23.52,24.25,23.32,23.65,350452
21-Aug-14,23.42,23.74,23.04,23.45,270125
20-Aug-14,23.89,23.90,23.47,23.52,100822
19-Aug-14,23.98,24.22,23.98,24.01,115964
18-Aug-14,24.04,24.20,23.84,23.98,97143
15-Aug-14,24.20,24.20,23.33,23.81,189827
14-Aug-14,23.87,24.17,23.75,23.95,99430
13-Aug-14,24.02,24.15,23.83,23.91,96133
12-Aug-14,24.02,24.10,23.74,23.90,122598
11-Aug-14,23.80,24.16,23.60,24.08,140018
8-Aug-14,23.86,24.00,23.61,23.66,158260
7-Aug-14,24.33,24.33,23.77,23.88,125033
6-Aug-14,24.05,24.99,23.95,24.27,348790
5-Aug-14,25.00,25.21,23.85,24.26,427392
4-Aug-14,25.00,26.72,24.01,24.08,812416
1-Aug-14,24.49,24.56,23.61,23.72,189044
31-Jul-14,24.55,24.74,23.94,24.40,168736
30-Jul-14,24.48,25.08,24.19,24.87,201211
29-Jul-14,24.23,24.67,23.99,24.35,101656
28-Jul-14,24.40,24.65,23.79,24.21,147137
25-Jul-14,24.15,24.71,24.04,24.46,210686
24-Jul-14,23.80,24.68,23.80,24.40,182094
23-Jul-14,23.78,23.84,23.13,23.67,169066
22-Jul-14,24.06,24.17,23.73,23.80,125080
21-Jul-14,23.28,23.95,23.19,23.86,217888
18-Jul-14,22.67,23.20,22.60,23.18,134371
17-Jul-14,22.88,23.22,22.63,22.71,129509
16-Jul-14,23.38,23.38,22.99,23.00,175998
15-Jul-14,23.60,23.73,23.02,23.19,239144
14-Jul-14,23.94,24.96,23.56,23.63,131330
11-Jul-14,23.70,24.08,23.64,23.75,83346
10-Jul-14,23.22,24.02,23.12,23.81,285495
9-Jul-14,23.42,24.03,23.35,23.78,232078
8-Jul-14,23.77,23.89,22.96,23.35,449228
7-Jul-14,24.54,24.55,23.67,23.76,352844
3-Jul-14,25.22,25.46,24.59,24.62,190260
2-Jul-14,26.15,26.15,25.06,25.19,288980
1-Jul-14,26.48,26.79,26.12,26.18,369435
30-Jun-14,25.85,26.44,25.46,26.39,331866
27-Jun-14,25.18,26.00,25.11,25.95,252563
26-Jun-14,24.85,25.14,24.50,25.13,159752
25-Jun-14,24.29,24.95,24.19,24.74,181498
24-Jun-14,25.26,25.43,24.23,24.37,251914
23-Jun-14,24.86,25.56,24.74,25.27,247429
20-Jun-14,25.60,25.75,24.45,24.82,488757
19-Jun-14,25.51,25.63,24.87,25.50,325465
18-Jun-14,25.06,25.43,24.93,25.37,269373
17-Jun-14,24.85,25.20,24.66,24.97,314941
16-Jun-14,24.47,25.15,24.42,24.92,273847
13-Jun-14,24.06,24.93,23.93,24.47,277225
12-Jun-14,23.54,24.18,23.10,24.16,394464
11-Jun-14,23.47,23.78,23.07,23.50,312953
10-Jun-14,23.28,23.58,23.28,23.57,232934
9-Jun-14,23.37,23.77,23.17,23.38,334048
6-Jun-14,22.36,23.50,22.31,23.46,686459
5-Jun-14,21.95,22.46,21.50,22.23,328439
4-Jun-14,21.73,22.15,21.45,21.75,324123
3-Jun-14,21.84,22.11,21.68,21.91,316167
2-Jun-14,21.58,22.03,21.44,21.94,305412
30-May-14,21.80,21.97,21.15,21.57,151320
29-May-14,21.72,21.87,21.67,21.80,135646
28-May-14,21.85,22.07,21.41,21.69,152542
27-May-14,21.89,22.10,21.82,22.00,178292
23-May-14,21.61,21.81,21.26,21.71,188420
22-May-14,21.43,21.81,21.30,21.57,182908
21-May-14,21.23,21.55,21.03,21.41,222669
20-May-14,21.83,22.02,20.96,21.16,280731
19-May-14,21.47,22.01,21.28,21.97,287965
16-May-14,21.87,21.87,21.06,21.53,321889
15-May-14,21.85,22.14,21.70,21.87,538120
14-May-14,22.08,22.47,21.78,21.87,434552
13-May-14,22.77,22.77,21.84,22.16,468644
12-May-14,21.65,23.15,21.54,22.72,819338
9-May-14,20.74,21.56,20.56,21.55,386956
8-May-14,20.52,21.72,20.18,20.86,575436
7-May-14,20.50,20.68,19.88,20.54,892954
6-May-14,20.75,21.00,20.16,20.36,1281535
5-May-14,20.40,21.98,18.88,20.16,4984034
2-May-14,25.16,25.56,24.64,25.00,373107
1-May-14,25.33,25.59,24.59,25.14,268529
30-Apr-14,24.52,25.44,24.14,25.38,133650
29-Apr-14,24.25,24.80,24.18,24.60,160623
28-Apr-14,24.55,25.23,23.61,24.14,212692
25-Apr-14,25.61,25.90,24.36,24.49,235037
24-Apr-14,25.86,26.22,25.26,25.76,170157
23-Apr-14,25.59,25.67,25.01,25.62,169747
22-Apr-14,25.54,26.08,25.37,25.72,130883
21-Apr-14,25.69,25.89,25.26,25.56,168192
17-Apr-14,24.75,25.70,24.57,25.65,157040
16-Apr-14,24.86,25.00,24.59,24.83,218026
15-Apr-14,25.11,25.36,24.19,24.68,411761
14-Apr-14,25.76,25.97,23.58,25.06,653399
11-Apr-14,26.20,26.53,25.26,25.48,259628
10-Apr-14,27.53,27.53,26.30,26.47,307293
9-Apr-14,27.11,27.61,26.93,27.55,201238
8-Apr-14,26.50,27.14,26.06,27.00,204096
7-Apr-14,27.03,27.31,26.18,26.48,234638
4-Apr-14,27.67,28.10,26.70,27.12,347571
3-Apr-14,27.98,28.23,27.08,27.42,264162
2-Apr-14,27.00,27.90,26.90,27.89,565060
1-Apr-14,26.85,27.77,26.68,26.85,240012
31-Mar-14,26.24,26.90,25.99,26.73,464579
28-Mar-14,26.08,26.43,25.65,26.01,733868
27-Mar-14,25.52,26.01,25.24,25.97,562342
26-Mar-14,26.64,27.04,25.52,25.54,395915
25-Mar-14,26.66,26.93,25.70,26.40,791859
24-Mar-14,28.06,28.18,26.54,26.55,412346
21-Mar-14,29.42,29.42,27.76,27.88,486012
20-Mar-14,29.15,29.90,28.80,29.21,243796
19-Mar-14,29.20,29.45,28.63,29.16,242973
18-Mar-14,28.42,29.43,28.42,29.33,279248
17-Mar-14,27.94,28.48,27.94,28.42,186465
14-Mar-14,27.55,28.16,27.55,27.85,156062
13-Mar-14,28.78,28.78,27.57,27.70,297666
12-Mar-14,28.53,28.73,28.22,28.41,294922
11-Mar-14,29.27,29.57,28.51,28.57,378577
10-Mar-14,28.85,29.49,28.74,29.32,417220
7-Mar-14,29.69,29.69,28.83,29.01,256294
6-Mar-14,29.96,30.33,29.41,29.62,344117
5-Mar-14,30.15,30.97,29.93,30.08,443582
4-Mar-14,31.26,31.74,30.29,30.36,488245
3-Mar-14,29.80,31.20,29.31,30.94,668774
28-Feb-14,30.98,31.93,28.66,30.01,1017375
27-Feb-14,31.34,31.48,30.68,30.88,373448
26-Feb-14,30.85,31.75,30.67,31.41,291374
25-Feb-14,31.13,31.13,30.49,30.83,187537
24-Feb-14,30.69,31.47,30.20,31.12,224105
21-Feb-14,30.29,30.94,29.83,30.57,294707
20-Feb-14,30.28,30.48,29.26,30.09,374509
19-Feb-14,30.80,31.12,30.23,30.24,184193
18-Feb-14,30.08,31.24,30.03,31.00,349694
14-Feb-14,29.80,30.89,29.71,30.06,275258
13-Feb-14,28.63,29.94,28.12,29.83,353594
12-Feb-14,29.34,29.55,28.67,28.93,290790
11-Feb-14,29.87,30.12,29.23,29.40,205107
10-Feb-14,29.72,29.96,29.29,29.83,182453
7-Feb-14,29.62,30.04,29.47,29.69,146884
6-Feb-14,30.02,30.39,29.37,29.60,264430
5-Feb-14,30.07,30.62,29.23,29.94,248716
4-Feb-14,30.37,30.77,29.97,30.17,237590
3-Feb-14,30.61,30.88,29.73,30.27,525000
31-Jan-14,29.98,31.12,29.91,30.61,306257
30-Jan-14,30.33,31.32,29.90,30.66,490091
29-Jan-14,28.06,30.20,28.05,29.96,861171
28-Jan-14,27.53,28.33,27.11,28.07,220858
27-Jan-14,28.12,28.32,26.90,27.54,291088
24-Jan-14,28.28,28.44,27.96,28.02,320495
23-Jan-14,28.50,28.62,28.11,28.53,314490
22-Jan-14,28.43,28.88,28.07,28.69,201469
21-Jan-14,28.79,28.85,28.22,28.42,303275
17-Jan-14,28.58,28.75,28.12,28.20,213825
16-Jan-14,28.12,28.98,27.71,28.67,296793
15-Jan-14,27.29,28.29,27.06,28.22,282254
14-Jan-14,26.67,27.32,26.31,27.21,220669
13-Jan-14,26.49,27.16,26.34,26.48,413886
10-Jan-14,26.92,26.92,26.16,26.65,400161
9-Jan-14,28.87,29.07,26.81,26.98,673839
8-Jan-14,28.86,29.44,28.11,28.89,475877
7-Jan-14,27.89,28.88,27.36,28.84,398836
6-Jan-14,26.66,28.10,26.61,27.65,397690
3-Jan-14,26.45,26.56,26.07,26.50,354428
2-Jan-14,27.30,27.30,26.34,26.43,255733
31-Dec-13,27.20,27.44,26.74,27.32,277618
30-Dec-13,26.47,27.64,26.01,27.08,373142
27-Dec-13,26.29,26.60,25.94,26.46,340172
26-Dec-13,26.54,26.65,26.02,26.26,114279
24-Dec-13,25.88,26.71,25.88,26.43,144771
23-Dec-13,26.59,26.76,25.69,25.92,333982
20-Dec-13,25.00,26.69,25.00,26.33,592337
19-Dec-13,25.41,25.87,24.93,25.03,288658
18-Dec-13,25.01,25.59,24.87,25.50,307719
17-Dec-13,24.71,25.19,24.71,25.01,413310
16-Dec-13,24.49,24.88,24.30,24.79,435279
13-Dec-13,23.59,24.63,23.48,24.41,363082
12-Dec-13,23.83,23.90,23.01,23.57,552736
11-Dec-13,24.79,24.82,23.71,23.99,416533
10-Dec-13,25.07,25.22,24.70,24.83,310328
9-Dec-13,25.07,25.27,25.00,25.20,441310
6-Dec-13,25.67,25.67,25.00,25.10,439697
5-Dec-13,26.03,26.03,25.17,25.40,292645
4-Dec-13,25.17,26.22,25.15,26.02,346278
3-Dec-13,25.66,25.86,24.90,25.24,288475
2-Dec-13,26.52,26.57,25.65,25.76,299965
29-Nov-13,26.70,26.97,26.43,26.57,164139
27-Nov-13,25.87,26.61,25.75,26.54,367107
26-Nov-13,25.72,25.92,25.60,25.86,362014
25-Nov-13,25.98,26.18,25.65,25.76,271969
22-Nov-13,25.99,26.13,25.62,25.97,178323
21-Nov-13,26.00,26.30,25.59,26.01,200634
20-Nov-13,25.74,26.29,25.53,25.91,420590
19-Nov-13,26.24,26.29,25.29,25.62,469108
18-Nov-13,26.60,26.64,26.08,26.29,585748
15-Nov-13,26.69,26.85,26.23,26.60,1168687
14-Nov-13,25.86,26.74,25.51,26.68,691920
13-Nov-13,25.72,26.05,25.65,25.98,606601
12-Nov-13,25.15,25.99,25.03,25.92,518159
11-Nov-13,25.04,25.36,24.79,25.18,440001
8-Nov-13,25.44,25.95,24.94,25.09,658656
7-Nov-13,25.95,26.00,25.29,25.45,780029
6-Nov-13,25.43,25.85,24.76,25.79,1179216
5-Nov-13,25.86,26.09,24.91,25.18,4734940
4-Nov-13,33.32,33.51,32.05,33.14,1025227
1-Nov-13,32.60,33.09,31.80,32.97,706728
31-Oct-13,34.11,34.31,32.68,32.72,663242
30-Oct-13,35.91,36.28,34.19,34.20,372213
29-Oct-13,35.48,35.99,35.11,35.99,261080
28-Oct-13,35.16,35.69,34.50,35.29,310125
25-Oct-13,35.76,36.02,34.73,34.87,394028
24-Oct-13,36.41,36.82,35.58,35.67,301540
23-Oct-13,37.28,37.28,35.85,36.33,236239
22-Oct-13,37.45,37.87,37.00,37.47,395124
21-Oct-13,36.81,37.40,36.81,37.15,233440
18-Oct-13,36.45,36.96,35.90,36.87,354671
17-Oct-13,35.84,36.52,35.64,36.20,268105
16-Oct-13,37.13,37.47,35.91,36.16,405707
15-Oct-13,37.25,37.45,35.46,36.76,462548
14-Oct-13,35.18,37.35,35.04,37.24,523723
11-Oct-13,35.13,35.92,34.98,35.32,605580
10-Oct-13,34.69,35.61,34.69,35.11,464215
9-Oct-13,34.26,34.60,33.62,34.25,295672
8-Oct-13,36.07,36.21,33.98,34.21,498939
7-Oct-13,36.07,36.49,35.52,35.76,226989
4-Oct-13,36.47,37.23,36.20,36.43,490173
3-Oct-13,37.33,37.54,35.73,36.28,625741
2-Oct-13,37.00,37.65,37.00,37.28,253558
1-Oct-13,35.96,37.60,35.96,37.42,228286
30-Sep-13,36.27,36.44,35.81,36.08,215103
27-Sep-13,36.87,36.87,36.36,36.58,186722
26-Sep-13,36.85,37.93,36.70,37.00,318708
25-Sep-13,36.07,36.80,35.43,36.76,242246
24-Sep-13,35.25,36.98,35.13,36.10,268619
23-Sep-13,36.27,36.55,34.95,35.20,491163
20-Sep-13,36.61,36.70,35.88,36.24,502871
19-Sep-13,36.60,36.77,36.48,36.61,188834
18-Sep-13,36.45,36.80,36.43,36.61,413514
17-Sep-13,36.50,36.80,36.30,36.46,246849
16-Sep-13,37.06,37.14,36.45,36.57,237785
13-Sep-13,37.07,37.09,36.40,36.56,385407
12-Sep-13,36.51,37.13,35.61,37.04,455747
11-Sep-13,35.70,36.77,35.48,36.69,394341
10-Sep-13,35.02,35.79,35.02,35.76,298940
9-Sep-13,34.13,35.18,34.13,35.00,445785
6-Sep-13,33.89,34.33,33.07,33.64,155782
5-Sep-13,33.78,33.98,33.46,33.57,110128
4-Sep-13,33.14,34.01,32.93,33.83,337184
3-Sep-13,32.67,33.46,32.64,32.99,199420
30-Aug-13,32.83,32.83,31.94,32.19,180236
29-Aug-13,32.15,33.09,32.15,32.90,257699
28-Aug-13,32.11,32.82,32.09,32.23,145743
27-Aug-13,33.30,33.35,31.92,32.10,298939
26-Aug-13,33.90,34.05,33.46,33.72,214206
23-Aug-13,32.81,33.88,32.69,33.88,259214
22-Aug-13,32.27,33.16,32.27,32.52,125572
21-Aug-13,31.91,32.58,31.91,32.28,258512
20-Aug-13,31.33,32.14,31.20,32.04,238254
19-Aug-13,32.51,32.52,31.37,31.37,247543
16-Aug-13,32.14,32.66,32.00,32.55,218064
15-Aug-13,33.03,33.38,32.29,32.35,345118
14-Aug-13,33.23,33.62,32.84,33.47,605228
13-Aug-13,31.32,33.31,30.82,33.20,475656
12-Aug-13,30.12,31.42,30.00,31.36,411186
9-Aug-13,29.70,30.39,29.65,30.37,337803
8-Aug-13,30.06,30.14,29.02,29.70,561303
7-Aug-13,30.46,30.46,29.53,30.01,840764
6-Aug-13,32.21,32.30,29.57,30.52,1594865
5-Aug-13,29.50,30.83,29.47,30.35,1322336
2-Aug-13,30.00,30.00,28.44,29.41,1272965
1-Aug-13,30.10,30.27,29.52,29.95,832901
31-Jul-13,30.22,30.77,29.81,29.84,170784
30-Jul-13,30.53,30.53,29.98,30.24,151015
29-Jul-13,30.78,30.99,30.16,30.52,203438
26-Jul-13,30.75,31.03,30.26,30.58,207636
25-Jul-13,30.97,31.43,30.55,31.00,203055
24-Jul-13,30.88,31.40,30.54,30.92,197641
23-Jul-13,30.50,30.92,30.16,30.60,219527
22-Jul-13,30.47,30.72,30.15,30.72,112897
19-Jul-13,30.40,30.89,30.00,30.62,150008
18-Jul-13,31.19,31.45,30.19,30.58,254592
17-Jul-13,31.05,31.32,30.78,31.11,221972
16-Jul-13,31.41,31.54,30.28,30.92,449481
15-Jul-13,30.40,31.47,30.11,31.39,189115
12-Jul-13,29.31,30.71,29.23,30.47,357288
11-Jul-13,28.75,29.29,28.53,29.29,417023
10-Jul-13,28.36,28.85,28.05,28.58,197772
9-Jul-13,29.65,29.65,28.23,28.45,298221
8-Jul-13,29.79,30.32,29.47,29.49,343054
