Date,Open,High,Low,Close,Volume
23-Oct-14,40.17,41.35,39.65,40.11,83378
22-Oct-14,38.53,39.81,37.77,39.01,93610
21-Oct-14,35.50,38.97,35.01,38.05,108652
20-Oct-14,34.77,35.50,33.65,35.48,31125
17-Oct-14,35.93,36.00,34.64,34.89,34858
16-Oct-14,34.09,35.52,34.09,35.32,41503
15-Oct-14,33.83,34.78,32.88,34.59,87142
14-Oct-14,34.64,35.37,33.16,34.16,51314
13-Oct-14,34.08,35.53,33.57,34.50,39896
10-Oct-14,34.58,35.82,34.02,34.25,55113
9-Oct-14,36.11,36.11,34.56,34.81,43097
8-Oct-14,35.27,36.25,34.75,36.00,51768
7-Oct-14,35.22,35.60,34.71,35.13,27283
6-Oct-14,36.59,36.59,34.87,35.26,29460
3-Oct-14,37.03,37.48,35.58,36.08,71803
2-Oct-14,35.35,37.20,35.28,36.53,62949
1-Oct-14,34.99,35.23,34.20,35.20,40605
30-Sep-14,34.61,35.37,34.38,35.30,101852
29-Sep-14,33.57,34.65,33.57,34.44,36041
26-Sep-14,33.69,33.99,33.43,33.95,29592
25-Sep-14,33.68,33.99,33.25,33.39,18421
24-Sep-14,33.83,34.09,33.46,33.68,35280
23-Sep-14,33.56,34.06,33.23,33.50,24201
22-Sep-14,33.36,34.49,33.33,33.85,62088
19-Sep-14,33.81,34.58,33.26,33.41,60934
18-Sep-14,33.58,33.93,32.22,33.61,43774
17-Sep-14,31.39,33.86,31.39,33.42,90847
16-Sep-14,30.97,31.57,30.97,31.36,31068
15-Sep-14,31.15,31.56,30.76,31.00,34785
12-Sep-14,31.43,31.60,31.32,31.32,6855
11-Sep-14,31.30,31.75,31.20,31.56,13672
10-Sep-14,31.31,31.49,31.22,31.37,21153
9-Sep-14,31.35,31.50,31.16,31.30,18735
8-Sep-14,31.15,31.39,31.15,31.31,19003
5-Sep-14,30.97,31.45,30.39,31.30,54897
4-Sep-14,30.77,31.40,30.65,31.19,27249
3-Sep-14,30.86,31.03,30.42,30.64,18757
2-Sep-14,31.40,31.43,29.99,30.68,43347
29-Aug-14,30.83,31.44,30.51,31.28,13193
28-Aug-14,31.63,31.65,30.53,30.76,16991
27-Aug-14,31.50,31.68,31.34,31.61,22030
26-Aug-14,31.39,31.50,30.84,31.47,17851
25-Aug-14,31.23,32.00,31.23,31.39,28786
22-Aug-14,30.80,31.25,30.70,30.82,22017
21-Aug-14,29.16,30.94,29.00,30.92,79678
20-Aug-14,29.36,29.36,28.82,29.04,10567
19-Aug-14,29.44,29.80,29.19,29.33,31732
18-Aug-14,29.82,29.82,29.00,29.35,24122
15-Aug-14,30.07,30.97,29.15,29.55,28057
14-Aug-14,28.85,29.89,27.49,29.45,42797
13-Aug-14,28.95,28.95,27.16,28.85,37461
12-Aug-14,28.29,28.90,26.89,28.89,39224
11-Aug-14,27.60,28.95,27.60,28.94,51204
8-Aug-14,26.50,27.99,26.37,27.70,14643
7-Aug-14,26.67,26.91,26.20,26.60,33227
6-Aug-14,26.35,26.99,26.35,26.53,16551
5-Aug-14,26.45,27.42,26.26,26.62,38413
4-Aug-14,26.44,26.98,26.01,26.48,41018
1-Aug-14,26.21,27.04,25.77,26.19,48486
31-Jul-14,26.35,26.76,26.07,26.14,25998
30-Jul-14,26.67,26.76,26.26,26.66,24704
29-Jul-14,26.08,26.99,26.01,26.39,31740
28-Jul-14,26.82,26.82,25.80,25.95,14770
25-Jul-14,25.93,27.23,25.93,26.64,15750
24-Jul-14,26.76,27.37,26.06,26.23,40606
23-Jul-14,27.01,27.39,26.87,27.07,46288
22-Jul-14,26.85,27.25,26.85,27.08,10662
21-Jul-14,25.93,26.97,25.15,26.77,35338
18-Jul-14,25.10,25.99,25.05,25.99,27412
17-Jul-14,25.78,25.99,25.00,25.28,30903
16-Jul-14,26.48,26.88,25.95,26.00,22353
15-Jul-14,27.13,27.40,26.49,26.55,26176
14-Jul-14,26.38,27.42,26.33,26.98,27810
11-Jul-14,26.51,26.86,26.24,26.29,9330
10-Jul-14,26.50,26.99,26.50,26.59,18109
9-Jul-14,27.40,27.40,26.65,26.83,14210
8-Jul-14,27.51,27.51,26.98,27.00,22804
7-Jul-14,27.46,27.73,27.23,27.23,16476
3-Jul-14,27.36,27.74,27.35,27.53,16496
2-Jul-14,27.66,27.73,27.15,27.30,27089
1-Jul-14,26.98,27.82,26.65,27.29,43618
30-Jun-14,26.91,27.36,26.69,26.96,42759
27-Jun-14,27.33,28.00,26.92,26.92,457254
26-Jun-14,26.96,27.64,26.85,27.28,17197
25-Jun-14,27.90,27.90,26.50,27.18,56717
24-Jun-14,27.74,27.90,27.41,27.75,22159
23-Jun-14,27.87,27.95,27.55,27.63,23644
20-Jun-14,27.99,28.07,27.50,27.85,29366
19-Jun-14,27.41,27.89,27.35,27.75,16844
18-Jun-14,27.88,28.11,27.43,27.72,33778
17-Jun-14,28.15,28.15,27.52,27.76,22211
16-Jun-14,28.28,28.45,27.90,28.15,26943
13-Jun-14,27.96,28.36,27.65,28.18,27170
12-Jun-14,27.58,28.44,27.33,27.78,80561
11-Jun-14,27.39,27.90,27.23,27.84,28994
10-Jun-14,27.24,27.60,27.09,27.28,25983
9-Jun-14,26.79,27.25,26.79,27.10,42504
6-Jun-14,27.17,27.26,26.52,27.03,30284
5-Jun-14,27.15,27.15,26.87,27.02,43674
4-Jun-14,27.00,27.22,26.88,27.06,56117
3-Jun-14,26.99,27.00,26.76,26.98,19943
2-Jun-14,27.20,27.27,26.76,26.99,21177
30-May-14,27.05,27.05,26.65,26.98,19994
29-May-14,27.27,27.28,26.90,27.05,33978
28-May-14,27.67,27.67,26.70,27.06,21443
27-May-14,27.00,27.89,26.50,27.51,32042
23-May-14,26.14,27.00,26.12,26.82,13317
22-May-14,26.19,26.45,26.00,26.28,37797
21-May-14,26.17,26.40,25.96,26.28,24398
20-May-14,25.92,26.40,25.29,26.00,31150
19-May-14,26.26,26.26,25.48,25.62,60801
16-May-14,26.94,26.94,26.00,26.00,8709
15-May-14,26.11,26.58,25.89,26.18,40588
14-May-14,25.25,26.62,25.15,26.11,51397
13-May-14,25.53,26.03,25.09,25.36,8079
12-May-14,25.23,26.21,24.49,25.66,37962
9-May-14,24.87,25.29,24.87,25.20,13196
8-May-14,24.00,25.59,23.22,25.15,40597
7-May-14,25.36,25.76,24.98,25.27,36093
6-May-14,24.34,25.30,23.45,25.15,33941
5-May-14,23.46,24.35,22.64,24.24,26973
2-May-14,24.04,24.28,22.84,24.15,32010
1-May-14,23.55,24.22,22.96,23.49,32247
30-Apr-14,23.04,23.73,22.23,23.73,57866
29-Apr-14,23.26,23.50,22.71,23.31,24459
28-Apr-14,23.79,23.87,23.09,23.26,9948
25-Apr-14,24.25,24.33,23.15,23.69,9955
24-Apr-14,24.95,24.95,24.03,24.40,20799
23-Apr-14,24.11,25.04,24.11,24.66,8997
22-Apr-14,23.67,24.70,23.67,24.35,27195
21-Apr-14,23.94,24.31,23.94,23.97,13050
17-Apr-14,24.00,24.53,23.54,23.90,18976
16-Apr-14,23.70,24.84,23.25,24.00,22778
15-Apr-14,24.66,24.66,22.81,23.47,31519
14-Apr-14,24.92,25.37,23.32,23.85,41319
11-Apr-14,25.76,25.76,23.72,24.93,26175
10-Apr-14,26.05,26.24,25.35,25.57,41539
9-Apr-14,26.40,26.40,25.91,26.04,25721
8-Apr-14,26.46,26.99,26.19,26.20,67276
7-Apr-14,26.60,27.34,26.23,26.52,21718
4-Apr-14,27.45,27.45,26.17,26.77,42683
3-Apr-14,27.03,27.39,26.74,27.20,45737
2-Apr-14,26.58,27.30,25.78,27.11,22553
1-Apr-14,25.91,27.00,25.91,26.37,21771
31-Mar-14,25.40,25.94,24.00,25.92,36637
28-Mar-14,26.68,27.31,25.22,25.50,50755
27-Mar-14,26.81,27.44,26.25,26.68,35904
26-Mar-14,27.42,27.80,26.51,26.76,24048
25-Mar-14,27.01,27.19,26.76,27.12,21681
24-Mar-14,27.10,27.50,26.32,26.98,48067
21-Mar-14,27.30,27.33,26.92,26.96,15842
20-Mar-14,27.15,27.15,26.62,27.07,15202
19-Mar-14,27.45,27.75,27.12,27.12,20063
18-Mar-14,26.94,27.86,26.94,27.16,61391
