Date,Open,High,Low,Close,Volume
23-Oct-14,4.46,4.49,4.46,4.46,2181
22-Oct-14,4.60,4.60,4.54,4.54,600
17-Oct-14,4.56,4.57,4.53,4.55,1429
16-Oct-14,4.62,4.62,4.62,4.62,250
15-Oct-14,4.63,4.63,4.63,4.63,250
14-Oct-14,4.62,4.62,4.62,4.62,105
13-Oct-14,4.40,4.60,4.40,4.40,1400
10-Oct-14,4.49,4.53,4.40,4.48,4226
9-Oct-14,4.42,4.69,4.41,4.63,1218
8-Oct-14,4.31,4.68,4.30,4.67,8338
7-Oct-14,4.38,4.38,4.35,4.36,5671
6-Oct-14,4.50,4.50,4.50,4.50,298
3-Oct-14,4.36,4.57,4.36,4.56,4772
2-Oct-14,4.85,4.85,4.23,4.35,44575
1-Oct-14,4.63,4.73,4.57,4.73,43801
30-Sep-14,4.59,4.65,4.59,4.62,3800
29-Sep-14,4.57,4.57,4.57,4.57,300
24-Sep-14,4.55,4.65,4.55,4.61,5273
23-Sep-14,4.64,4.65,4.56,4.63,4058
22-Sep-14,4.60,4.85,4.50,4.54,22566
19-Sep-14,4.90,4.90,4.54,4.54,25324
18-Sep-14,4.90,4.90,4.71,4.73,5995
17-Sep-14,4.90,4.90,4.71,4.71,4480
16-Sep-14,4.89,4.90,4.75,4.75,4953
15-Sep-14,4.90,4.90,4.84,4.84,1918
12-Sep-14,4.84,4.90,4.84,4.90,8744
11-Sep-14,4.85,4.85,4.82,4.84,5699
10-Sep-14,4.85,4.89,4.80,4.84,21424
9-Sep-14,4.80,4.86,4.80,4.85,9606
8-Sep-14,4.75,4.88,4.75,4.84,57130
5-Sep-14,4.74,4.75,4.71,4.75,3822
29-Aug-14,4.70,4.80,4.65,4.80,9077
28-Aug-14,4.67,4.80,4.66,4.70,11415
27-Aug-14,4.58,4.67,4.55,4.67,12700
26-Aug-14,4.62,4.62,4.62,4.62,109
25-Aug-14,4.56,4.67,4.56,4.67,1100
22-Aug-14,4.57,4.70,4.50,4.70,23109
21-Aug-14,4.61,4.78,4.60,4.65,17487
20-Aug-14,4.67,4.70,4.67,4.70,1900
19-Aug-14,4.62,4.82,4.62,4.82,3201
18-Aug-14,4.77,4.80,4.75,4.80,12540
15-Aug-14,4.60,4.82,4.60,4.70,9609
