Date,Open,High,Low,Close,Volume
23-Oct-14,9.75,9.75,9.69,9.69,200
22-Oct-14,9.70,9.70,9.70,9.70,1606278
10-Oct-14,9.75,9.82,9.75,9.82,800
7-Oct-14,9.70,9.70,9.70,9.70,100
6-Oct-14,9.79,9.79,9.72,9.73,2549
2-Oct-14,9.80,9.80,9.80,9.80,500
29-Sep-14,9.70,9.79,9.70,9.79,1600
23-Sep-14,9.74,9.74,9.74,9.74,176000
19-Sep-14,9.75,9.75,9.75,9.75,100
17-Sep-14,9.81,9.82,9.80,9.82,3000
12-Sep-14,9.80,9.80,9.78,9.79,500
8-Sep-14,9.79,9.81,9.79,9.81,2100
5-Sep-14,9.76,9.80,9.76,9.79,500
2-Sep-14,9.75,9.75,9.75,9.75,160
28-Aug-14,9.81,9.81,9.79,9.79,1739
11-Aug-14,9.75,9.75,9.75,9.75,1000
8-Aug-14,9.89,9.89,9.82,9.82,700
5-Aug-14,9.76,9.76,9.76,9.76,200
1-Aug-14,9.81,9.81,9.81,9.81,100
23-Jul-14,9.77,9.79,9.77,9.79,200
22-Jul-14,9.76,9.80,9.75,9.78,6700
18-Jul-14,9.76,9.79,9.75,9.75,9100
15-Jul-14,9.76,9.79,9.76,9.78,9800
7-Jul-14,9.76,9.76,9.76,9.76,377
30-Jun-14,9.76,9.80,9.76,9.76,399
27-Jun-14,9.79,9.86,9.77,9.79,20801
26-Jun-14,9.75,9.76,9.75,9.76,878
25-Jun-14,9.75,9.75,9.75,9.75,355
24-Jun-14,9.76,9.76,9.76,9.76,153
23-Jun-14,9.75,9.76,9.75,9.75,848
13-Jun-14,9.75,9.75,9.75,9.75,3435
12-Jun-14,9.75,9.75,9.75,9.75,349
10-Jun-14,9.75,9.75,9.75,9.75,272
9-Jun-14,9.75,9.75,9.75,9.75,2000
6-Jun-14,9.77,9.77,9.70,9.70,1555
5-Jun-14,9.78,9.78,9.67,9.72,54980
4-Jun-14,9.69,10.00,9.67,9.75,20555
2-Jun-14,9.66,9.66,9.66,9.66,248
30-May-14,9.77,9.77,9.77,9.77,200
29-May-14,9.77,9.77,9.77,9.77,272
28-May-14,9.77,9.77,9.77,9.77,232
27-May-14,9.78,9.78,9.78,9.78,245
23-May-14,9.80,9.96,9.77,9.77,11196
22-May-14,9.75,9.78,9.75,9.76,3170
21-May-14,9.73,9.78,9.73,9.75,3501
20-May-14,9.71,9.71,9.70,9.70,400
19-May-14,9.70,9.85,9.69,9.74,85828
16-May-14,9.74,9.74,9.74,9.74,100
15-May-14,9.65,9.65,9.64,9.64,614
14-May-14,9.75,9.79,9.75,9.79,11000
13-May-14,9.74,9.78,9.65,9.65,11847
12-May-14,9.73,9.80,9.73,9.77,17648
7-May-14,9.70,9.72,9.69,9.72,1302
6-May-14,9.74,9.80,9.74,9.76,800
5-May-14,9.73,9.83,9.73,9.76,14440
2-May-14,9.71,9.79,9.71,9.76,17400
1-May-14,9.74,9.85,9.72,9.76,89499
30-Apr-14,9.65,9.79,9.65,9.70,42600
29-Apr-14,9.70,9.86,9.65,9.70,40588
28-Apr-14,9.70,9.85,9.66,9.70,186779
25-Apr-14,9.65,9.79,9.63,9.72,81652
24-Apr-14,9.64,9.64,9.64,9.64,247
22-Apr-14,9.65,9.68,9.64,9.64,1337
21-Apr-14,9.56,9.74,9.56,9.65,46700
17-Apr-14,9.69,9.84,9.63,9.64,78186
16-Apr-14,9.70,9.85,9.63,9.63,51857
15-Apr-14,9.63,9.67,9.60,9.63,1800
14-Apr-14,9.64,9.64,9.64,9.64,496
11-Apr-14,9.65,9.65,9.64,9.64,804
10-Apr-14,9.65,9.65,9.65,9.65,458
9-Apr-14,9.75,9.75,9.65,9.66,6800
8-Apr-14,9.65,9.65,9.64,9.64,525
7-Apr-14,9.63,9.75,9.63,9.69,12733
4-Apr-14,9.68,9.90,9.64,9.64,17800
3-Apr-14,9.65,9.73,9.65,9.66,1540
2-Apr-14,9.68,9.99,9.67,9.71,34242
1-Apr-14,9.64,9.89,9.64,9.71,57321
27-Mar-14,9.64,9.64,9.60,9.63,2704
25-Mar-14,9.64,9.64,9.64,9.64,265
24-Mar-14,9.62,9.62,9.62,9.62,215
21-Mar-14,9.62,9.73,9.62,9.67,5568
20-Mar-14,9.64,9.71,9.64,9.69,2144
19-Mar-14,9.63,9.71,9.62,9.64,892
18-Mar-14,9.67,9.73,9.62,9.62,2400
17-Mar-14,9.71,9.71,9.64,9.64,1000
14-Mar-14,9.64,9.64,9.63,9.63,400
13-Mar-14,9.66,9.70,9.64,9.64,10300
12-Mar-14,9.63,9.70,9.62,9.65,20570
11-Mar-14,9.62,9.62,9.62,9.62,494
10-Mar-14,9.62,9.62,9.62,9.62,138
7-Mar-14,9.60,9.69,9.60,9.69,1784
