Date,Open,High,Low,Close,Volume
23-Oct-14,25.17,25.25,25.07,25.08,6445
22-Oct-14,25.20,25.22,24.95,25.03,13909
21-Oct-14,25.38,25.38,25.00,25.09,24372
20-Oct-14,24.92,25.18,24.79,25.03,18691
17-Oct-14,24.75,24.92,24.55,24.92,23484
16-Oct-14,24.70,24.70,24.59,24.60,22615
15-Oct-14,24.66,24.70,24.50,24.51,16128
14-Oct-14,24.68,24.80,24.60,24.64,19760
13-Oct-14,24.67,24.73,24.50,24.50,4254
10-Oct-14,24.65,24.72,24.40,24.61,13694
9-Oct-14,24.60,24.79,24.53,24.67,12921
8-Oct-14,24.66,24.77,24.40,24.65,20210
7-Oct-14,24.72,24.90,24.50,24.54,19906
6-Oct-14,24.79,24.85,24.68,24.70,10056
3-Oct-14,24.89,24.92,24.70,24.74,23790
2-Oct-14,24.88,24.90,24.75,24.82,9415
1-Oct-14,24.92,24.92,24.73,24.79,9814
30-Sep-14,24.92,24.92,24.75,24.91,15505
29-Sep-14,24.81,24.97,24.72,24.87,17194
26-Sep-14,24.89,24.96,24.75,24.82,23180
25-Sep-14,24.74,24.88,24.70,24.86,25850
24-Sep-14,24.80,24.86,24.66,24.74,9494
23-Sep-14,24.85,24.86,24.60,24.72,33364
22-Sep-14,24.85,24.89,24.71,24.83,33600
19-Sep-14,24.89,24.89,24.61,24.89,8368
18-Sep-14,24.80,24.89,24.67,24.74,51285
17-Sep-14,24.68,24.88,24.55,24.70,23935
16-Sep-14,24.69,24.72,24.51,24.60,20434
15-Sep-14,24.52,24.70,24.40,24.69,17659
12-Sep-14,24.77,24.77,24.40,24.71,59283
11-Sep-14,24.85,24.85,24.70,24.80,15411
10-Sep-14,24.77,24.80,24.45,24.80,22032
9-Sep-14,24.73,24.75,24.55,24.65,39501
8-Sep-14,24.89,24.89,24.63,24.69,30456
5-Sep-14,24.78,24.82,24.59,24.81,27101
4-Sep-14,25.00,25.00,24.62,24.65,49031
3-Sep-14,24.84,24.90,24.80,24.82,46076
2-Sep-14,25.00,25.01,24.77,24.89,93210
29-Aug-14,25.02,25.08,24.98,25.01,260744
28-Aug-14,25.03,25.04,24.95,24.96,31340
27-Aug-14,24.91,25.00,24.91,24.98,33540
26-Aug-14,24.96,25.05,24.96,24.98,27989
25-Aug-14,25.10,25.10,24.92,24.94,34204
22-Aug-14,25.25,25.25,25.02,25.02,10651
21-Aug-14,25.07,25.23,25.05,25.10,11411
20-Aug-14,25.07,25.07,25.00,25.04,35359
19-Aug-14,25.00,25.12,25.00,25.03,19219
18-Aug-14,25.25,25.25,25.02,25.03,36468
15-Aug-14,24.99,25.00,24.95,24.95,44436
14-Aug-14,24.99,24.99,24.90,24.97,77612
13-Aug-14,25.00,25.04,24.90,24.98,85970
12-Aug-14,25.15,25.20,25.02,25.11,82412
11-Aug-14,24.84,25.13,24.83,25.06,100289
8-Aug-14,24.85,24.85,24.79,24.84,109280
7-Aug-14,24.85,24.86,24.65,24.85,14477
6-Aug-14,24.73,24.84,24.60,24.84,15481
5-Aug-14,24.86,24.86,24.50,24.74,73480
4-Aug-14,24.85,24.85,24.55,24.84,28678
1-Aug-14,24.80,24.87,24.61,24.85,29874
31-Jul-14,24.97,24.97,24.57,24.85,47588
30-Jul-14,25.10,25.10,24.95,25.00,59515
29-Jul-14,25.17,25.32,25.03,25.05,101581
28-Jul-14,25.18,25.18,25.06,25.07,45503
25-Jul-14,24.96,25.74,24.96,25.21,70941
24-Jul-14,25.08,25.08,25.00,25.05,31685
23-Jul-14,25.05,25.15,25.00,25.05,44515
22-Jul-14,25.05,25.63,24.95,25.04,80189
21-Jul-14,25.10,25.12,25.02,25.05,21553
18-Jul-14,25.20,25.22,25.10,25.15,588849
17-Jul-14,25.18,25.28,25.13,25.18,86682
16-Jul-14,25.20,25.25,25.15,25.20,43102
15-Jul-14,25.17,25.23,25.11,25.16,113192
14-Jul-14,25.20,25.20,25.14,25.19,162604
11-Jul-14,25.15,25.19,25.15,25.19,49301
10-Jul-14,25.15,25.20,25.10,25.15,72823
9-Jul-14,25.08,25.18,25.07,25.18,93871
8-Jul-14,25.08,25.12,25.05,25.08,104716
7-Jul-14,25.01,25.15,25.01,25.08,152567
3-Jul-14,24.94,25.00,24.90,25.00,106214
2-Jul-14,25.05,25.05,24.94,25.03,30935
1-Jul-14,25.15,25.15,24.92,25.00,50433
30-Jun-14,25.02,25.07,24.96,25.00,45361
27-Jun-14,25.00,25.25,24.95,25.02,45311
26-Jun-14,25.04,25.08,24.85,24.85,33709
25-Jun-14,24.95,25.19,24.85,25.02,254755
24-Jun-14,24.90,25.10,24.90,25.00,104050
23-Jun-14,25.00,25.10,24.93,25.04,213860
20-Jun-14,24.95,25.10,24.95,25.10,72090
19-Jun-14,24.81,25.30,24.81,25.00,342312
18-Jun-14,24.90,25.04,24.80,24.85,230279
17-Jun-14,24.85,25.10,24.65,25.10,1296527
16-Jun-14,24.90,25.00,24.78,24.96,1206399
