Date,Open,High,Low,Close,Volume
23-Oct-14,3.86,3.95,3.79,3.83,25963
22-Oct-14,3.96,3.98,3.82,3.83,15913
21-Oct-14,3.83,4.05,3.76,4.04,48344
20-Oct-14,3.81,3.94,3.79,3.83,61276
17-Oct-14,4.04,4.04,3.80,3.80,63853
16-Oct-14,3.90,4.18,3.90,3.95,171807
15-Oct-14,3.85,4.05,3.81,3.95,130369
14-Oct-14,4.50,4.54,3.83,3.85,353018
13-Oct-14,4.39,4.66,4.01,4.63,686276
10-Oct-14,3.77,4.09,3.64,3.95,305932
9-Oct-14,3.65,3.71,3.61,3.62,17278
8-Oct-14,3.62,3.66,3.60,3.62,7879
7-Oct-14,3.72,3.78,3.62,3.70,10748
6-Oct-14,3.74,3.74,3.58,3.72,22159
3-Oct-14,3.70,3.76,3.70,3.74,21632
2-Oct-14,3.55,3.73,3.55,3.70,17400
1-Oct-14,3.63,3.72,3.62,3.64,22216
30-Sep-14,3.69,3.72,3.62,3.72,7759
29-Sep-14,3.65,3.75,3.54,3.65,15153
26-Sep-14,3.56,3.69,3.56,3.64,1875
25-Sep-14,3.69,3.69,3.62,3.65,16329
24-Sep-14,3.56,3.69,3.54,3.69,8509
23-Sep-14,3.55,3.64,3.54,3.59,3228
22-Sep-14,3.71,3.71,3.58,3.60,3562
19-Sep-14,3.55,3.77,3.53,3.77,12166
18-Sep-14,3.57,3.58,3.56,3.58,9718
17-Sep-14,3.54,3.57,3.50,3.56,9910
16-Sep-14,3.46,3.52,3.45,3.52,5052
15-Sep-14,3.46,3.46,3.45,3.46,4934
12-Sep-14,3.46,3.52,3.46,3.50,7122
11-Sep-14,3.42,3.54,3.41,3.41,8790
10-Sep-14,3.41,3.49,3.40,3.41,1307
9-Sep-14,3.40,3.50,3.40,3.40,29433
8-Sep-14,3.54,3.57,3.34,3.40,84510
5-Sep-14,3.50,3.55,3.48,3.50,9400
4-Sep-14,3.43,3.52,3.43,3.45,8027
3-Sep-14,3.66,3.66,3.44,3.49,32962
2-Sep-14,3.76,3.77,3.60,3.61,31245
29-Aug-14,3.68,3.71,3.59,3.60,31632
28-Aug-14,3.62,3.70,3.60,3.68,34000
27-Aug-14,3.79,3.80,3.61,3.70,23580
