Date,Open,High,Low,Close,Volume
23-Oct-14,7.91,7.93,7.76,7.88,106880
22-Oct-14,7.85,7.92,7.81,7.84,87488
21-Oct-14,7.76,7.93,7.70,7.85,66352
20-Oct-14,7.28,7.74,7.28,7.71,134042
17-Oct-14,7.16,7.39,7.05,7.33,354138
16-Oct-14,6.97,7.11,6.95,7.04,222055
15-Oct-14,7.72,7.72,6.98,7.05,273624
14-Oct-14,7.83,7.98,7.68,7.77,118360
13-Oct-14,7.63,7.81,7.56,7.74,150379
10-Oct-14,7.63,7.76,7.57,7.60,160666
9-Oct-14,7.92,7.92,7.65,7.69,124677
8-Oct-14,7.61,7.99,7.60,7.92,165592
7-Oct-14,7.79,7.89,7.64,7.65,215773
6-Oct-14,7.96,7.96,7.76,7.82,150005
3-Oct-14,8.13,8.13,7.91,7.97,70759
2-Oct-14,8.08,8.19,7.99,8.03,199898
1-Oct-14,8.06,8.12,7.93,8.10,151704
30-Sep-14,8.10,8.20,7.95,8.04,191539
29-Sep-14,7.97,8.17,7.93,8.14,124799
26-Sep-14,8.04,8.22,7.95,8.04,166294
25-Sep-14,8.08,8.12,7.82,8.05,190294
24-Sep-14,8.20,8.27,8.02,8.12,221465
23-Sep-14,8.40,8.51,8.10,8.17,196485
22-Sep-14,8.42,8.59,8.34,8.45,102728
19-Sep-14,8.36,8.56,8.22,8.52,307225
18-Sep-14,8.56,8.59,8.32,8.38,176556
17-Sep-14,8.46,8.61,8.45,8.52,134600
16-Sep-14,8.38,8.54,8.32,8.48,200087
15-Sep-14,8.53,8.58,8.33,8.39,184120
12-Sep-14,8.83,8.94,8.53,8.56,109210
11-Sep-14,8.69,8.83,8.59,8.81,129713
10-Sep-14,8.74,8.88,8.60,8.73,137251
9-Sep-14,8.82,8.91,8.67,8.72,111704
8-Sep-14,9.08,9.08,8.83,8.88,104834
5-Sep-14,9.13,9.28,8.84,9.09,188336
4-Sep-14,9.19,9.22,8.97,9.18,143769
