Date,Open,High,Low,Close,Volume
23-Oct-14,13.34,13.49,13.29,13.40,38676
22-Oct-14,13.12,13.35,13.12,13.18,32107
21-Oct-14,13.00,13.12,13.00,13.12,19287
20-Oct-14,12.80,12.94,12.79,12.90,32264
17-Oct-14,12.53,13.09,12.53,12.82,41720
16-Oct-14,12.18,12.58,11.99,12.55,53538
15-Oct-14,12.38,12.41,11.52,12.27,72988
14-Oct-14,12.57,12.66,12.37,12.52,38341
13-Oct-14,12.80,12.95,12.30,12.47,54236
10-Oct-14,13.10,13.16,12.73,12.90,69157
9-Oct-14,13.32,13.32,13.10,13.16,29424
8-Oct-14,13.17,13.35,13.13,13.34,42446
7-Oct-14,13.36,13.39,13.21,13.25,48095
6-Oct-14,13.42,13.59,13.42,13.59,23966
3-Oct-14,13.38,13.48,13.36,13.42,32564
2-Oct-14,13.60,13.60,13.26,13.45,27751
1-Oct-14,13.80,13.86,13.57,13.58,35107
30-Sep-14,13.84,13.95,13.77,13.88,22716
29-Sep-14,13.85,13.90,13.77,13.88,25514
26-Sep-14,13.95,14.00,13.88,14.00,22881
25-Sep-14,14.15,14.16,13.90,13.99,37953
24-Sep-14,13.96,14.14,13.92,14.14,10747
23-Sep-14,14.04,14.09,13.91,14.01,17048
22-Sep-14,14.11,14.12,14.00,14.03,19518
19-Sep-14,14.24,14.28,14.09,14.19,25304
18-Sep-14,14.12,14.28,14.12,14.16,29195
17-Sep-14,14.30,14.33,14.12,14.13,25144
16-Sep-14,14.13,14.34,14.05,14.27,33855
15-Sep-14,14.11,14.39,14.04,14.11,84125
12-Sep-14,14.20,14.25,13.97,14.04,23129
11-Sep-14,14.27,14.27,14.20,14.25,16545
10-Sep-14,14.25,14.28,14.19,14.27,18571
9-Sep-14,14.26,14.26,14.15,14.17,9456
8-Sep-14,14.36,14.40,14.24,14.33,18231
5-Sep-14,14.45,14.47,14.40,14.44,9089
4-Sep-14,14.49,14.54,14.45,14.46,11636
3-Sep-14,14.50,14.58,14.49,14.53,22731
2-Sep-14,14.52,14.57,14.47,14.57,19493
29-Aug-14,14.40,14.47,14.38,14.47,17365
28-Aug-14,14.41,14.48,14.38,14.39,18508
27-Aug-14,14.54,14.54,14.45,14.50,7675
26-Aug-14,14.53,14.53,14.43,14.47,27996
25-Aug-14,14.43,14.54,14.36,14.54,17431
22-Aug-14,14.41,14.43,14.38,14.38,7639
21-Aug-14,14.41,14.48,14.36,14.47,30630
20-Aug-14,14.32,14.47,14.32,14.41,10212
19-Aug-14,14.25,14.41,14.25,14.36,10871
18-Aug-14,14.30,14.38,14.28,14.28,26595
15-Aug-14,14.45,14.45,14.21,14.29,22488
14-Aug-14,14.25,14.52,14.24,14.52,13636
13-Aug-14,14.17,14.25,14.09,14.21,20179
12-Aug-14,14.02,14.14,14.02,14.10,16213
11-Aug-14,14.00,14.10,13.91,14.10,8139
8-Aug-14,13.83,13.99,13.81,13.93,21359
7-Aug-14,14.09,14.16,13.96,14.00,22942
6-Aug-14,14.13,14.14,14.00,14.14,17260
5-Aug-14,14.09,14.23,13.91,14.23,21977
4-Aug-14,14.06,14.10,14.03,14.05,12070
1-Aug-14,14.10,14.21,14.03,14.04,35880
31-Jul-14,14.50,14.55,14.09,14.14,41114
30-Jul-14,14.77,14.77,14.55,14.58,15101
29-Jul-14,14.66,14.69,14.64,14.69,11192
28-Jul-14,14.76,14.76,14.64,14.65,7024
25-Jul-14,14.69,14.72,14.65,14.71,10284
24-Jul-14,14.75,14.75,14.72,14.72,11015
23-Jul-14,14.67,14.76,14.61,14.76,18685
22-Jul-14,14.50,14.61,14.50,14.60,10951
21-Jul-14,14.43,14.56,14.42,14.54,32155
18-Jul-14,14.59,14.63,14.42,14.51,54841
17-Jul-14,14.76,14.76,14.53,14.53,15567
16-Jul-14,14.78,14.86,14.72,14.74,30276
15-Jul-14,14.95,14.95,14.73,14.74,29648
14-Jul-14,14.76,15.00,14.76,15.00,9918
11-Jul-14,14.73,14.82,14.69,14.78,14463
10-Jul-14,14.74,14.74,14.67,14.69,16081
9-Jul-14,14.72,14.80,14.72,14.78,13201
8-Jul-14,14.84,14.85,14.70,14.72,8183
7-Jul-14,14.86,14.95,14.86,14.94,24674
3-Jul-14,14.95,14.95,14.85,14.94,7251
2-Jul-14,14.87,14.95,14.85,14.90,12241
1-Jul-14,14.83,14.93,14.66,14.92,18823
30-Jun-14,14.84,14.92,14.84,14.85,12342
27-Jun-14,14.84,14.94,14.83,14.85,31913
26-Jun-14,14.79,14.94,14.70,14.88,40265
25-Jun-14,14.75,14.76,14.71,14.76,13431
24-Jun-14,14.75,14.79,14.69,14.75,22047
23-Jun-14,14.79,14.80,14.66,14.71,12584
20-Jun-14,14.87,14.87,14.65,14.78,32149
19-Jun-14,14.75,14.80,14.72,14.80,13371
18-Jun-14,14.71,14.82,14.65,14.82,16297
17-Jun-14,14.70,14.70,14.57,14.66,16452
16-Jun-14,14.70,14.70,14.61,14.63,18930
13-Jun-14,14.71,14.71,14.55,14.64,25131
12-Jun-14,14.72,14.72,14.52,14.55,19957
11-Jun-14,14.58,14.72,14.58,14.62,19507
10-Jun-14,14.63,14.72,14.59,14.65,18606
9-Jun-14,14.89,14.89,14.56,14.60,39257
6-Jun-14,14.69,14.89,14.69,14.88,26314
5-Jun-14,14.64,14.70,14.48,14.70,26992
4-Jun-14,14.66,14.68,14.51,14.65,16091
3-Jun-14,14.73,14.78,14.67,14.72,18205
2-Jun-14,14.78,14.78,14.70,14.72,25276
30-May-14,14.81,14.83,14.67,14.79,38066
29-May-14,14.86,14.89,14.66,14.89,33150
28-May-14,14.84,14.88,14.71,14.87,22948
27-May-14,14.88,14.90,14.83,14.89,27729
23-May-14,14.90,14.90,14.85,14.87,20042
22-May-14,14.68,14.83,14.66,14.83,28862
21-May-14,14.60,14.65,14.54,14.65,8621
20-May-14,14.46,14.55,14.46,14.51,10998
19-May-14,14.43,14.59,14.43,14.47,24653
16-May-14,14.59,14.59,14.45,14.47,15993
15-May-14,14.74,14.74,14.48,14.48,23737
14-May-14,14.71,14.71,14.63,14.66,12737
13-May-14,14.66,14.73,14.64,14.67,23601
12-May-14,14.69,14.70,14.62,14.66,11777
9-May-14,14.62,14.63,14.57,14.62,13968
8-May-14,14.77,14.77,14.61,14.61,24689
7-May-14,14.81,14.82,14.72,14.79,13952
6-May-14,14.83,14.86,14.74,14.80,19346
5-May-14,14.72,14.86,14.70,14.86,26529
2-May-14,14.84,14.84,14.77,14.83,21848
1-May-14,14.79,14.82,14.76,14.77,11263
30-Apr-14,14.81,14.81,14.73,14.80,22448
29-Apr-14,14.77,14.81,14.73,14.75,10774
28-Apr-14,14.87,14.87,14.72,14.81,12852
25-Apr-14,14.73,14.79,14.67,14.79,32978
24-Apr-14,14.83,14.83,14.60,14.73,47618
23-Apr-14,14.79,14.86,14.74,14.84,26051
22-Apr-14,14.80,14.89,14.77,14.80,19745
21-Apr-14,14.63,14.83,14.62,14.80,38077
17-Apr-14,14.75,14.80,14.71,14.75,14350
16-Apr-14,14.70,14.83,14.60,14.75,30525
15-Apr-14,14.58,14.63,14.46,14.61,16215
14-Apr-14,14.50,14.52,14.35,14.49,17601
11-Apr-14,14.55,14.63,14.46,14.48,21252
10-Apr-14,14.50,14.65,14.46,14.53,18397
9-Apr-14,14.56,14.56,14.43,14.49,21750
8-Apr-14,14.49,14.60,14.30,14.60,23190
7-Apr-14,14.63,14.63,14.51,14.53,19166
4-Apr-14,14.76,14.80,14.62,14.71,17295
3-Apr-14,14.93,14.93,14.72,14.76,16333
2-Apr-14,14.89,14.91,14.82,14.89,30465
1-Apr-14,14.85,14.86,14.75,14.82,16115
31-Mar-14,14.83,14.90,14.70,14.90,24614
28-Mar-14,14.72,14.74,14.66,14.72,24258
27-Mar-14,14.61,14.72,14.60,14.69,21360
26-Mar-14,14.71,14.71,14.53,14.56,13886
25-Mar-14,14.65,14.73,14.56,14.67,11593
24-Mar-14,14.73,14.73,14.55,14.60,14461
21-Mar-14,14.65,14.80,14.64,14.70,22193
20-Mar-14,14.64,14.65,14.58,14.65,15833
19-Mar-14,14.68,14.68,14.60,14.60,16511
18-Mar-14,14.47,14.74,14.42,14.68,35529
17-Mar-14,14.65,14.65,14.50,14.50,19689
14-Mar-14,14.72,14.72,14.64,14.64,10367
13-Mar-14,14.80,14.90,14.66,14.67,20839
12-Mar-14,14.64,14.80,14.64,14.71,12601
11-Mar-14,14.93,14.93,14.62,14.67,13902
10-Mar-14,14.79,15.02,14.77,14.85,8843
7-Mar-14,14.96,14.96,14.76,14.85,26569
6-Mar-14,14.98,15.07,14.95,14.99,32517
5-Mar-14,14.88,15.04,14.88,15.00,28011
4-Mar-14,14.93,15.12,14.87,14.94,29024
3-Mar-14,15.00,15.04,14.83,14.89,16343
28-Feb-14,15.04,15.11,14.95,15.08,22935
27-Feb-14,15.01,15.08,14.91,15.04,22136
26-Feb-14,15.04,15.10,14.96,15.09,24133
25-Feb-14,14.87,15.14,14.78,15.10,40585
24-Feb-14,14.82,15.00,14.74,14.93,37521
21-Feb-14,14.74,14.90,14.67,14.88,16824
20-Feb-14,14.70,14.82,14.62,14.74,20226
19-Feb-14,14.66,14.72,14.64,14.69,13370
18-Feb-14,14.71,14.74,14.46,14.68,22810
14-Feb-14,14.50,14.64,14.50,14.64,32469
13-Feb-14,14.37,14.51,14.22,14.45,16605
12-Feb-14,14.40,14.58,14.40,14.47,30158
11-Feb-14,14.28,14.42,14.15,14.40,30260
10-Feb-14,14.15,14.25,14.15,14.22,16088
7-Feb-14,14.02,14.17,14.02,14.16,17891
6-Feb-14,13.96,14.14,13.87,14.08,31936
5-Feb-14,13.89,13.95,13.80,13.94,37185
4-Feb-14,13.87,13.87,13.78,13.85,15620
3-Feb-14,13.96,13.96,13.80,13.81,53493
31-Jan-14,14.01,14.14,13.90,13.99,17958
30-Jan-14,14.17,14.21,14.00,14.06,17037
29-Jan-14,14.02,14.04,13.85,14.03,20346
28-Jan-14,14.02,14.07,13.91,14.05,31103
27-Jan-14,14.32,14.32,13.84,13.91,34334
24-Jan-14,14.41,14.43,14.20,14.31,28319
23-Jan-14,14.39,14.47,14.33,14.44,43060
22-Jan-14,14.40,14.51,14.40,14.48,34018
21-Jan-14,14.39,14.39,14.25,14.36,37729
17-Jan-14,14.29,14.39,14.23,14.30,34474
16-Jan-14,14.23,14.27,14.11,14.24,22751
15-Jan-14,14.19,14.27,14.14,14.19,27366
