Date,Open,High,Low,Close,Volume
17-Jan-12,-,-,-,7.15,0
13-Jan-12,-,-,-,7.33,0
12-Jan-12,7.60,7.65,7.60,7.65,200
11-Jan-12,7.67,7.73,7.65,7.65,10499
10-Jan-12,7.73,7.80,7.51,7.73,4000
9-Jan-12,7.45,7.60,7.40,7.60,1600
6-Jan-12,7.45,7.95,7.45,7.95,1225
5-Jan-12,7.67,7.75,7.47,7.48,4375
4-Jan-12,7.55,7.69,7.47,7.47,12211
3-Jan-12,7.45,7.69,7.45,7.55,2860
30-Dec-11,-,-,-,7.44,0
29-Dec-11,7.34,7.75,7.20,7.69,6100
28-Dec-11,7.63,7.63,7.30,7.35,33463
27-Dec-11,7.79,7.79,7.65,7.75,3084
23-Dec-11,-,-,-,7.93,0
22-Dec-11,7.73,8.10,7.73,8.10,1050
21-Dec-11,7.94,7.98,7.73,7.73,5701
20-Dec-11,7.98,7.99,7.60,7.89,8611
19-Dec-11,8.02,8.02,7.70,7.90,3007
16-Dec-11,8.02,8.03,7.99,7.99,1899
15-Dec-11,8.01,8.04,7.88,8.00,5671
14-Dec-11,8.01,8.18,7.98,8.10,1684
13-Dec-11,8.02,8.13,7.89,7.96,4362
12-Dec-11,8.01,8.40,8.01,8.06,949
9-Dec-11,8.21,8.49,8.12,8.18,9814
8-Dec-11,8.21,8.47,8.19,8.19,4100
7-Dec-11,8.21,8.23,8.21,8.21,8052
6-Dec-11,8.30,8.49,8.23,8.30,5510
5-Dec-11,8.16,8.50,8.16,8.20,3830
2-Dec-11,8.17,8.17,7.91,7.91,2500
1-Dec-11,8.20,8.50,7.71,8.18,19408
30-Nov-11,8.22,8.43,8.18,8.43,2176
29-Nov-11,8.10,8.10,8.10,8.10,2600
28-Nov-11,7.98,8.09,7.95,8.09,18848
23-Nov-11,-,-,-,8.03,0
22-Nov-11,8.01,8.04,7.56,7.98,1800
21-Nov-11,8.20,8.20,8.20,8.20,100
18-Nov-11,-,-,-,8.24,0
17-Nov-11,-,-,-,8.25,0
16-Nov-11,8.47,8.47,8.00,8.30,3403
14-Nov-11,-,-,-,8.49,0
11-Nov-11,8.48,8.48,8.04,8.04,556
10-Nov-11,-,-,-,8.04,0
9-Nov-11,8.39,8.50,8.39,8.50,4595
8-Nov-11,8.39,8.39,8.27,8.27,1377
7-Nov-11,8.21,8.38,8.21,8.38,1303
4-Nov-11,8.31,8.39,8.31,8.39,400
3-Nov-11,8.33,8.41,8.31,8.31,4070
2-Nov-11,8.30,8.41,8.24,8.24,4157
1-Nov-11,-,-,-,8.05,0
31-Oct-11,-,-,-,8.40,0
28-Oct-11,8.39,8.39,8.35,8.35,262
27-Oct-11,8.41,8.41,8.41,8.41,100
26-Oct-11,-,-,-,8.51,0
25-Oct-11,8.46,8.50,8.46,8.50,455
24-Oct-11,8.53,8.58,8.53,8.58,281
21-Oct-11,8.75,8.75,8.09,8.28,1862
20-Oct-11,8.25,8.25,8.25,8.25,204
19-Oct-11,8.25,8.38,8.25,8.38,510
18-Oct-11,8.35,8.35,8.01,8.25,4784
17-Oct-11,8.50,8.50,8.47,8.47,397
13-Oct-11,-,-,-,8.50,0
12-Oct-11,8.33,8.37,8.27,8.30,600
11-Oct-11,8.16,8.50,8.16,8.50,600
10-Oct-11,8.13,8.50,8.10,8.16,2400
5-Oct-11,-,-,-,8.44,0
4-Oct-11,8.50,8.50,8.43,8.46,919
3-Oct-11,8.71,8.72,8.43,8.43,3200
30-Sep-11,8.67,8.67,8.35,8.58,1765
28-Sep-11,-,-,-,8.60,0
27-Sep-11,8.35,8.68,8.35,8.67,1487
26-Sep-11,8.12,8.43,8.12,8.35,2501
23-Sep-11,8.28,8.42,8.10,8.35,1850
22-Sep-11,8.11,8.11,8.11,8.11,500
21-Sep-11,8.24,8.24,8.22,8.22,301
19-Sep-11,-,-,-,8.48,0
16-Sep-11,8.52,8.87,8.52,8.87,411
15-Sep-11,8.51,8.51,8.51,8.51,250
14-Sep-11,8.90,8.95,8.21,8.89,1605
13-Sep-11,8.50,8.50,8.50,8.50,469
12-Sep-11,9.00,9.00,8.66,8.66,900
9-Sep-11,9.00,9.00,8.90,9.00,3041
8-Sep-11,8.91,9.00,8.91,8.93,500
7-Sep-11,8.75,8.75,8.66,8.66,603
6-Sep-11,8.96,8.96,8.96,8.96,200
1-Sep-11,-,-,-,8.62,0
31-Aug-11,8.64,8.66,8.64,8.66,318
