Date,Open,High,Low,Close,Volume
23-Oct-14,28.14,28.14,27.94,28.06,23468
22-Oct-14,27.99,28.14,27.96,28.09,24523
21-Oct-14,27.93,27.97,27.90,27.93,25367
20-Oct-14,27.80,28.06,27.75,27.78,55608
17-Oct-14,28.00,28.26,27.90,27.90,56778
16-Oct-14,27.51,28.27,27.51,28.03,26588
15-Oct-14,27.68,28.14,27.68,27.70,33708
14-Oct-14,27.79,27.94,27.57,27.82,24572
13-Oct-14,27.47,27.81,27.47,27.54,20029
10-Oct-14,27.80,27.80,27.42,27.61,108739
9-Oct-14,27.95,27.95,27.77,27.80,15244
8-Oct-14,27.85,27.96,27.63,27.95,148327
7-Oct-14,27.90,27.98,27.82,27.93,47012
6-Oct-14,28.00,28.14,27.92,27.94,79950
3-Oct-14,28.02,28.11,27.93,27.99,32180
2-Oct-14,28.08,28.12,27.99,28.07,16593
1-Oct-14,28.05,28.09,27.92,28.02,40107
30-Sep-14,28.00,28.14,27.91,27.95,80889
29-Sep-14,28.12,28.29,27.94,27.97,28829
26-Sep-14,28.13,28.27,28.10,28.24,7581
25-Sep-14,27.85,28.10,27.85,28.08,15906
24-Sep-14,27.80,28.02,27.62,27.79,45414
23-Sep-14,28.11,28.11,27.71,27.90,63341
22-Sep-14,28.13,28.27,28.05,28.11,24729
19-Sep-14,28.40,28.75,28.13,28.26,56773
18-Sep-14,28.30,28.50,28.20,28.35,18556
17-Sep-14,28.28,28.40,28.08,28.16,24578
16-Sep-14,28.35,28.54,28.29,28.35,28798
15-Sep-14,28.37,28.37,28.12,28.29,28251
12-Sep-14,28.65,28.65,28.10,28.37,51383
11-Sep-14,29.34,29.34,28.82,28.92,14899
10-Sep-14,28.80,29.30,28.75,28.82,22910
9-Sep-14,28.85,28.85,28.66,28.66,41343
8-Sep-14,29.46,29.46,28.81,28.90,38359
5-Sep-14,28.80,29.63,28.80,29.58,9824
4-Sep-14,29.21,29.35,28.82,28.93,45236
3-Sep-14,29.25,29.43,29.21,29.22,14906
2-Sep-14,29.38,29.38,29.27,29.28,8255
29-Aug-14,29.37,29.37,29.24,29.25,22932
28-Aug-14,29.64,29.64,29.34,29.35,18805
27-Aug-14,29.50,29.61,29.50,29.55,3375
26-Aug-14,29.27,29.49,29.27,29.49,10785
25-Aug-14,29.58,29.61,29.34,29.39,121230
22-Aug-14,29.59,29.59,29.50,29.55,3668
21-Aug-14,29.13,29.46,29.12,29.46,20735
20-Aug-14,29.56,29.60,29.16,29.36,27100
19-Aug-14,29.64,29.64,29.52,29.63,6673
18-Aug-14,29.64,29.64,29.60,29.62,5477
15-Aug-14,29.64,29.64,29.53,29.53,6828
14-Aug-14,29.64,29.64,29.54,29.62,2558
13-Aug-14,29.58,29.64,29.58,29.63,5858
12-Aug-14,29.40,29.64,29.40,29.63,14861
11-Aug-14,29.50,29.53,29.49,29.50,6443
8-Aug-14,29.48,29.50,29.35,29.45,5165
7-Aug-14,29.41,29.49,29.24,29.42,13557
6-Aug-14,29.03,29.22,29.00,29.16,11117
5-Aug-14,29.38,29.38,29.02,29.06,23676
4-Aug-14,29.26,29.47,29.26,29.45,10768
1-Aug-14,29.25,29.46,29.25,29.26,13216
31-Jul-14,29.62,29.62,29.25,29.25,21267
30-Jul-14,29.55,29.58,29.50,29.52,3519
29-Jul-14,29.60,29.60,29.45,29.50,17407
28-Jul-14,29.50,29.60,29.50,29.55,25154
25-Jul-14,29.60,29.60,29.50,29.59,9033
24-Jul-14,29.56,29.59,29.42,29.50,6478
23-Jul-14,29.60,29.60,29.33,29.58,13341
22-Jul-14,29.55,29.59,29.50,29.59,2279
21-Jul-14,29.40,29.56,29.38,29.55,2492
18-Jul-14,29.40,29.57,29.33,29.57,21913
17-Jul-14,29.60,29.60,29.36,29.36,5637
16-Jul-14,29.54,29.60,29.50,29.55,7580
15-Jul-14,29.59,29.59,29.44,29.55,11945
14-Jul-14,29.30,29.60,29.30,29.60,7444
11-Jul-14,29.40,29.50,29.23,29.26,16912
10-Jul-14,29.50,29.50,29.13,29.13,38000
9-Jul-14,29.47,29.50,29.47,29.50,6929
8-Jul-14,29.47,29.48,29.41,29.48,10630
7-Jul-14,29.40,29.48,29.40,29.41,4258
3-Jul-14,29.50,29.53,29.40,29.41,8865
2-Jul-14,29.48,29.50,29.43,29.50,22397
1-Jul-14,29.55,29.64,29.48,29.48,42249
30-Jun-14,29.64,29.64,29.41,29.56,9017
27-Jun-14,29.64,29.64,29.41,29.41,5685
26-Jun-14,29.50,29.64,29.50,29.55,13222
25-Jun-14,29.40,29.50,29.37,29.50,3779
24-Jun-14,29.49,29.50,29.47,29.50,10221
23-Jun-14,29.26,29.49,29.26,29.48,12291
20-Jun-14,29.48,29.48,29.25,29.29,5201
19-Jun-14,29.50,29.51,29.40,29.49,5325
18-Jun-14,29.40,29.50,29.31,29.46,11804
17-Jun-14,29.30,29.35,29.23,29.31,17911
16-Jun-14,29.27,29.48,29.27,29.27,11053
13-Jun-14,29.35,29.35,29.12,29.23,5439
12-Jun-14,29.56,29.56,29.15,29.53,25788
11-Jun-14,29.60,29.67,29.58,29.64,13550
10-Jun-14,29.86,29.92,29.51,29.58,25639
9-Jun-14,29.70,29.95,29.70,29.72,17974
6-Jun-14,29.68,29.86,29.65,29.65,12678
5-Jun-14,29.76,30.24,28.97,29.60,60411
4-Jun-14,30.11,30.11,29.35,29.77,33005
3-Jun-14,30.25,30.30,30.10,30.10,19532
2-Jun-14,30.25,30.30,30.22,30.25,7721
30-May-14,30.21,30.35,30.21,30.34,4936
29-May-14,30.30,30.35,30.20,30.35,2322
28-May-14,30.18,30.43,30.18,30.34,6155
27-May-14,30.35,30.49,30.11,30.39,10765
23-May-14,30.20,30.30,30.20,30.30,4066
22-May-14,30.20,30.35,30.20,30.20,1128
21-May-14,30.40,30.57,30.27,30.27,2531
20-May-14,30.52,30.61,30.18,30.26,5147
19-May-14,30.16,30.53,30.16,30.51,13288
16-May-14,30.26,30.34,30.00,30.34,13283
15-May-14,30.05,30.20,29.84,30.18,4496
14-May-14,29.75,30.50,29.75,30.21,26720
13-May-14,29.78,29.84,29.77,29.84,17603
12-May-14,29.76,29.80,29.64,29.80,17879
9-May-14,29.58,29.75,29.58,29.75,5926
8-May-14,29.60,29.60,29.45,29.60,22381
7-May-14,29.55,29.55,29.22,29.47,11362
6-May-14,29.60,29.60,29.35,29.49,7997
5-May-14,29.49,29.49,29.28,29.43,13276
2-May-14,29.59,29.59,29.47,29.47,2870
1-May-14,29.55,29.56,29.37,29.49,20373
30-Apr-14,29.67,29.68,29.40,29.54,11006
29-Apr-14,29.24,29.68,29.15,29.52,18134
28-Apr-14,29.25,29.38,28.98,29.25,26126
25-Apr-14,28.95,29.26,28.95,29.26,34461
24-Apr-14,29.07,29.16,29.00,29.00,12121
23-Apr-14,28.92,29.08,28.87,29.07,18398
22-Apr-14,28.84,28.89,28.72,28.83,13162
21-Apr-14,28.60,28.88,28.54,28.73,37490
17-Apr-14,29.21,29.46,28.26,28.26,148373
16-Apr-14,29.51,29.72,29.13,29.18,29170
15-Apr-14,29.43,29.79,29.41,29.52,4060
14-Apr-14,29.28,29.71,29.28,29.42,24083
11-Apr-14,29.51,29.60,29.41,29.42,9035
10-Apr-14,29.66,29.66,29.35,29.43,10168
9-Apr-14,29.44,29.57,29.42,29.44,8394
8-Apr-14,29.48,29.50,29.42,29.42,12393
7-Apr-14,29.51,29.71,29.45,29.45,20737
4-Apr-14,29.60,29.67,29.51,29.51,12791
3-Apr-14,29.50,29.59,29.45,29.52,4627
2-Apr-14,29.46,29.48,29.37,29.42,8258
1-Apr-14,29.05,29.50,29.05,29.48,28303
31-Mar-14,29.40,29.40,29.21,29.23,12367
28-Mar-14,29.30,29.70,29.00,29.25,12858
27-Mar-14,29.19,29.30,29.07,29.23,10298
26-Mar-14,29.20,29.20,29.05,29.17,10494
