Date,Open,High,Low,Close,Volume
23-Oct-14,8.90,8.99,8.85,8.86,206895
22-Oct-14,8.81,8.93,8.76,8.82,212144
21-Oct-14,8.60,8.79,8.59,8.78,221674
20-Oct-14,8.49,8.52,8.46,8.51,162977
17-Oct-14,8.36,8.56,8.36,8.47,240243
16-Oct-14,7.99,8.38,7.99,8.32,280129
15-Oct-14,8.11,8.20,7.76,8.08,661199
14-Oct-14,8.30,8.35,8.16,8.24,438891
13-Oct-14,8.63,8.66,8.27,8.29,304140
10-Oct-14,8.92,8.99,8.58,8.61,336678
9-Oct-14,9.02,9.11,8.88,8.91,167177
8-Oct-14,9.01,9.07,8.93,9.06,168988
7-Oct-14,9.03,9.12,8.98,9.03,130688
6-Oct-14,9.09,9.17,9.08,9.14,107092
3-Oct-14,9.06,9.13,9.04,9.08,145721
2-Oct-14,9.16,9.16,8.90,9.04,326908
1-Oct-14,9.22,9.23,9.17,9.17,130042
30-Sep-14,9.20,9.27,9.19,9.27,158363
29-Sep-14,9.27,9.27,9.18,9.22,124228
26-Sep-14,9.28,9.35,9.25,9.32,122286
25-Sep-14,9.37,9.40,9.27,9.30,157307
24-Sep-14,9.34,9.43,9.34,9.43,117267
23-Sep-14,9.36,9.45,9.34,9.36,118148
22-Sep-14,9.58,9.61,9.39,9.41,213620
19-Sep-14,9.58,9.63,9.55,9.57,115005
18-Sep-14,9.54,9.60,9.48,9.60,113487
17-Sep-14,9.48,9.53,9.47,9.53,117185
16-Sep-14,9.36,9.47,9.34,9.46,141982
15-Sep-14,9.39,9.43,9.35,9.38,247960
12-Sep-14,9.50,9.50,9.33,9.37,165037
11-Sep-14,9.46,9.48,9.43,9.48,129530
10-Sep-14,9.45,9.47,9.39,9.46,217893
9-Sep-14,9.55,9.55,9.40,9.44,273542
8-Sep-14,9.57,9.64,9.52,9.52,199567
5-Sep-14,9.69,9.70,9.65,9.66,137690
4-Sep-14,9.67,9.73,9.67,9.68,231940
3-Sep-14,9.66,9.70,9.63,9.69,169248
2-Sep-14,9.60,9.66,9.59,9.63,200009
29-Aug-14,9.60,9.66,9.60,9.62,129243
28-Aug-14,9.67,9.70,9.59,9.62,203972
27-Aug-14,9.69,9.73,9.66,9.71,172022
26-Aug-14,9.65,9.70,9.63,9.70,147380
25-Aug-14,9.60,9.66,9.59,9.65,160144
22-Aug-14,9.75,9.75,9.50,9.57,421063
21-Aug-14,9.73,9.76,9.66,9.74,196440
20-Aug-14,9.64,9.73,9.61,9.72,221947
19-Aug-14,9.56,9.66,9.52,9.63,181025
18-Aug-14,9.51,9.60,9.47,9.53,191690
15-Aug-14,9.54,9.55,9.40,9.48,159899
14-Aug-14,9.44,9.52,9.40,9.48,148434
13-Aug-14,9.30,9.42,9.27,9.41,222891
12-Aug-14,9.30,9.32,9.22,9.24,154670
11-Aug-14,9.26,9.32,9.24,9.29,140029
8-Aug-14,9.18,9.25,9.11,9.24,154767
7-Aug-14,9.22,9.30,9.20,9.23,169735
6-Aug-14,9.26,9.30,9.02,9.24,375105
5-Aug-14,9.33,9.38,9.25,9.28,148616
4-Aug-14,9.27,9.37,9.25,9.31,159822
1-Aug-14,9.48,9.50,9.24,9.29,375727
31-Jul-14,9.71,9.71,9.43,9.46,408442
30-Jul-14,9.75,9.83,9.70,9.72,166016
29-Jul-14,9.84,9.85,9.75,9.75,133915
28-Jul-14,10.16,10.16,9.79,9.81,136336
25-Jul-14,9.91,9.92,9.86,9.88,132064
24-Jul-14,9.88,9.91,9.85,9.91,247234
23-Jul-14,9.76,9.88,9.76,9.85,170755
22-Jul-14,9.74,9.80,9.73,9.79,165170
21-Jul-14,9.75,9.76,9.70,9.70,169289
18-Jul-14,9.79,9.79,9.71,9.77,116215
17-Jul-14,9.84,9.85,9.75,9.77,158402
16-Jul-14,9.80,9.85,9.78,9.84,174296
15-Jul-14,9.84,9.84,9.75,9.80,174944
14-Jul-14,9.80,9.82,9.76,9.80,131236
11-Jul-14,9.82,9.84,9.72,9.76,147453
10-Jul-14,9.76,9.78,9.67,9.78,251424
9-Jul-14,9.78,9.79,9.71,9.76,110072
8-Jul-14,9.80,9.85,9.68,9.73,214819
7-Jul-14,9.81,9.83,9.80,9.83,130636
3-Jul-14,9.81,9.83,9.77,9.81,104008
2-Jul-14,9.87,9.89,9.76,9.78,152694
1-Jul-14,9.84,9.89,9.81,9.83,148473
30-Jun-14,9.79,9.83,9.76,9.80,129638
27-Jun-14,9.71,9.78,9.71,9.76,109325
26-Jun-14,9.73,9.76,9.66,9.76,156604
25-Jun-14,9.63,9.73,9.60,9.73,207337
24-Jun-14,9.65,9.68,9.56,9.62,143494
23-Jun-14,9.68,9.69,9.63,9.65,139121
20-Jun-14,9.70,9.74,9.62,9.65,200163
19-Jun-14,9.73,9.78,9.63,9.66,178459
18-Jun-14,9.68,9.75,9.66,9.71,179855
17-Jun-14,9.65,9.68,9.60,9.68,172712
16-Jun-14,9.65,9.66,9.55,9.63,187289
13-Jun-14,9.52,9.60,9.52,9.60,191012
12-Jun-14,9.62,9.66,9.51,9.54,144418
11-Jun-14,9.60,9.63,9.57,9.59,172625
10-Jun-14,9.58,9.63,9.56,9.63,179427
9-Jun-14,9.60,9.63,9.52,9.53,183479
6-Jun-14,9.62,9.68,9.61,9.63,196401
5-Jun-14,9.68,9.71,9.60,9.63,209552
4-Jun-14,9.60,9.66,9.58,9.66,199704
3-Jun-14,9.60,9.63,9.57,9.60,202084
2-Jun-14,9.58,9.63,9.56,9.63,252388
30-May-14,9.55,9.58,9.54,9.58,181756
29-May-14,9.55,9.58,9.52,9.56,225499
28-May-14,9.49,9.56,9.47,9.55,222615
27-May-14,9.47,9.52,9.42,9.50,298632
23-May-14,9.42,9.48,9.38,9.40,154805
22-May-14,9.36,9.43,9.36,9.41,174170
21-May-14,9.30,9.38,9.27,9.36,283443
20-May-14,9.24,9.27,9.22,9.26,174638
19-May-14,9.25,9.25,9.20,9.25,104437
16-May-14,9.19,9.25,9.16,9.24,189649
15-May-14,9.25,9.25,9.16,9.19,182588
14-May-14,9.24,9.25,9.23,9.25,146549
13-May-14,9.26,9.26,9.22,9.25,133291
12-May-14,9.24,9.25,9.20,9.23,158942
9-May-14,9.20,9.21,9.16,9.21,99880
8-May-14,9.21,9.22,9.17,9.19,97871
7-May-14,9.23,9.25,9.22,9.25,144798
6-May-14,9.24,9.25,9.21,9.25,170575
5-May-14,9.23,9.25,9.16,9.24,135512
2-May-14,9.18,9.24,9.18,9.24,100223
1-May-14,9.18,9.19,9.13,9.19,119785
30-Apr-14,9.14,9.16,9.12,9.16,199244
29-Apr-14,9.10,9.14,9.10,9.13,125494
28-Apr-14,9.16,9.16,9.06,9.13,119076
25-Apr-14,9.14,9.16,9.09,9.15,154717
24-Apr-14,9.16,9.17,9.11,9.15,154950
23-Apr-14,9.17,9.18,9.14,9.17,160087
22-Apr-14,9.10,9.18,9.10,9.17,237025
21-Apr-14,9.05,9.11,9.05,9.09,177622
17-Apr-14,9.03,9.10,9.02,9.10,121531
16-Apr-14,8.98,9.07,8.98,9.07,223240
15-Apr-14,8.93,8.96,8.86,8.95,244511
14-Apr-14,8.93,8.93,8.85,8.92,206518
11-Apr-14,8.96,8.98,8.86,8.89,159188
10-Apr-14,9.01,9.05,8.92,8.94,296418
9-Apr-14,8.95,9.04,8.95,9.03,211073
8-Apr-14,8.93,8.97,8.89,8.96,273537
7-Apr-14,9.10,9.10,9.01,9.03,265989
4-Apr-14,9.16,9.19,9.10,9.11,175163
3-Apr-14,9.23,9.23,9.13,9.16,157653
2-Apr-14,9.15,9.19,9.14,9.19,196763
1-Apr-14,9.06,9.15,9.04,9.15,254086
31-Mar-14,9.00,9.03,8.98,9.00,88663
28-Mar-14,8.91,9.01,8.91,8.98,105918
27-Mar-14,9.01,9.01,8.89,8.90,173134
26-Mar-14,9.04,9.05,8.97,8.99,123730
25-Mar-14,9.02,9.04,8.98,9.01,118921
24-Mar-14,9.05,9.05,8.93,8.98,122498
21-Mar-14,9.00,9.07,9.00,9.03,95081
20-Mar-14,9.04,9.05,8.98,9.00,149682
19-Mar-14,9.09,9.12,9.01,9.04,104474
18-Mar-14,9.05,9.10,9.01,9.06,159183
17-Mar-14,9.01,9.05,8.95,9.02,112818
14-Mar-14,9.04,9.07,8.95,8.96,178307
13-Mar-14,9.07,9.11,8.99,9.04,235015
12-Mar-14,9.00,9.06,8.96,9.06,104575
11-Mar-14,9.11,9.13,8.99,9.01,362609
10-Mar-14,9.12,9.15,9.06,9.11,110278
7-Mar-14,9.19,9.20,9.08,9.09,154317
6-Mar-14,9.16,9.25,9.16,9.24,164764
5-Mar-14,9.12,9.17,9.11,9.13,150683
4-Mar-14,9.07,9.15,9.07,9.14,192831
3-Mar-14,9.05,9.09,9.02,9.04,134013
28-Feb-14,9.07,9.16,9.07,9.13,222672
27-Feb-14,9.08,9.12,9.05,9.10,152281
26-Feb-14,9.11,9.14,9.07,9.12,169583
25-Feb-14,9.04,9.11,9.04,9.11,194924
24-Feb-14,9.05,9.12,9.04,9.07,177127
21-Feb-14,9.04,9.07,8.99,9.05,170492
20-Feb-14,8.97,9.03,8.96,9.02,100578
19-Feb-14,9.05,9.06,8.97,9.00,120261
18-Feb-14,9.00,9.08,8.98,9.04,226663
14-Feb-14,9.03,9.04,8.96,9.00,202353
13-Feb-14,8.92,9.00,8.92,8.98,119685
12-Feb-14,8.92,8.98,8.92,8.97,140395
11-Feb-14,8.86,8.94,8.85,8.91,101267
10-Feb-14,8.78,8.86,8.78,8.85,117190
