Date,Open,High,Low,Close,Volume
23-Oct-14,1.62,1.66,1.60,1.65,118701
22-Oct-14,1.62,1.65,1.57,1.61,249906
21-Oct-14,1.57,1.63,1.52,1.63,383310
20-Oct-14,1.54,1.57,1.52,1.57,118286
17-Oct-14,1.66,1.66,1.56,1.56,246421
16-Oct-14,1.54,1.67,1.43,1.63,174769
15-Oct-14,1.51,1.62,1.41,1.57,234889
14-Oct-14,1.57,1.57,1.50,1.54,367477
13-Oct-14,1.54,1.64,1.46,1.55,278263
10-Oct-14,1.43,1.58,1.38,1.55,349949
9-Oct-14,1.58,1.58,1.43,1.46,826860
8-Oct-14,1.38,1.51,1.33,1.50,773117
7-Oct-14,1.43,1.43,1.35,1.39,384205
6-Oct-14,1.49,1.52,1.45,1.45,402430
3-Oct-14,1.54,1.54,1.49,1.50,263551
2-Oct-14,1.50,1.55,1.44,1.51,681564
1-Oct-14,1.56,1.56,1.47,1.50,203491
30-Sep-14,1.59,1.59,1.54,1.55,494666
29-Sep-14,1.50,1.60,1.45,1.59,569461
26-Sep-14,1.52,1.58,1.50,1.53,109417
25-Sep-14,1.63,1.63,1.52,1.52,272866
24-Sep-14,1.56,1.72,1.53,1.62,218114
23-Sep-14,1.70,1.75,1.55,1.57,299759
22-Sep-14,1.81,1.93,1.69,1.70,187855
19-Sep-14,1.95,1.98,1.73,1.81,558517
18-Sep-14,2.03,2.37,1.93,2.00,1697122
17-Sep-14,1.83,1.87,1.79,1.86,150726
16-Sep-14,1.80,1.85,1.77,1.83,174602
15-Sep-14,1.86,1.86,1.78,1.81,240777
12-Sep-14,1.78,1.99,1.78,1.88,339819
11-Sep-14,1.74,1.97,1.72,1.79,177713
10-Sep-14,1.72,1.77,1.66,1.74,181723
9-Sep-14,1.73,1.76,1.65,1.71,280127
8-Sep-14,1.75,1.80,1.71,1.76,145223
5-Sep-14,1.78,1.81,1.74,1.76,249181
4-Sep-14,1.80,1.84,1.76,1.78,346662
3-Sep-14,1.81,1.91,1.79,1.79,102645
2-Sep-14,1.88,1.90,1.79,1.81,223092
29-Aug-14,1.85,1.89,1.82,1.87,203433
28-Aug-14,1.96,1.96,1.82,1.86,307577
27-Aug-14,2.00,2.01,1.87,1.95,207888
26-Aug-14,2.14,2.14,1.91,2.01,627981
25-Aug-14,2.15,2.16,2.05,2.08,456744
22-Aug-14,2.19,2.24,2.08,2.15,197645
21-Aug-14,2.15,2.24,2.08,2.18,311764
20-Aug-14,2.19,2.19,2.07,2.13,204415
19-Aug-14,2.05,2.17,2.05,2.16,431186
18-Aug-14,2.00,2.19,2.00,2.06,499890
15-Aug-14,2.23,2.23,2.13,2.17,331355
14-Aug-14,2.31,2.31,2.13,2.20,413361
13-Aug-14,2.26,2.34,2.19,2.34,223782
12-Aug-14,2.35,2.35,2.18,2.26,218724
11-Aug-14,2.20,2.29,2.10,2.25,167068
8-Aug-14,2.16,2.19,2.04,2.19,178745
7-Aug-14,2.20,2.20,2.10,2.17,146474
6-Aug-14,2.26,2.26,2.16,2.19,103478
5-Aug-14,2.20,2.30,2.20,2.23,256002
4-Aug-14,2.23,2.25,2.11,2.22,272013
1-Aug-14,2.27,2.34,2.16,2.24,189141
31-Jul-14,2.29,2.43,2.05,2.27,612594
30-Jul-14,2.30,2.35,2.14,2.33,346998
29-Jul-14,2.32,2.34,2.24,2.28,225803
28-Jul-14,2.45,2.45,2.28,2.33,362939
25-Jul-14,2.52,2.54,2.45,2.45,185486
24-Jul-14,2.53,2.58,2.45,2.55,371932
23-Jul-14,2.49,2.57,2.46,2.49,233947
22-Jul-14,2.46,2.59,2.45,2.50,233431
21-Jul-14,2.44,2.47,2.40,2.44,171982
18-Jul-14,2.39,2.48,2.39,2.47,204808
17-Jul-14,2.51,2.56,2.37,2.42,330716
16-Jul-14,2.45,2.60,2.37,2.53,735025
15-Jul-14,2.35,2.47,2.30,2.43,360750
14-Jul-14,2.29,2.36,2.26,2.34,261342
11-Jul-14,2.29,2.34,2.29,2.30,174712
10-Jul-14,2.30,2.34,2.24,2.30,170355
9-Jul-14,2.35,2.40,2.31,2.32,130439
8-Jul-14,2.39,2.40,2.27,2.35,372794
7-Jul-14,2.44,2.45,2.38,2.38,393487
3-Jul-14,2.49,2.51,2.43,2.43,206628
2-Jul-14,2.49,2.54,2.39,2.49,951681
1-Jul-14,2.51,2.59,2.46,2.52,382551
30-Jun-14,2.65,2.67,2.35,2.49,822488
27-Jun-14,2.62,2.73,2.57,2.65,8656088
26-Jun-14,2.55,2.82,2.45,2.65,1157217
25-Jun-14,2.89,2.95,2.81,2.90,348215
24-Jun-14,3.00,3.00,2.85,2.91,325140
23-Jun-14,2.99,3.05,2.89,2.97,413015
20-Jun-14,2.81,2.96,2.80,2.95,451418
19-Jun-14,2.79,2.86,2.76,2.86,208867
18-Jun-14,2.79,2.84,2.68,2.83,258949
17-Jun-14,2.66,2.80,2.57,2.80,611835
16-Jun-14,2.70,2.70,2.64,2.69,230683
13-Jun-14,2.69,2.73,2.62,2.70,164113
12-Jun-14,2.60,2.74,2.57,2.69,190058
11-Jun-14,2.61,2.65,2.56,2.59,197260
10-Jun-14,2.66,2.70,2.58,2.64,187562
9-Jun-14,2.72,2.72,2.60,2.66,217097
6-Jun-14,2.73,2.79,2.68,2.72,102984
5-Jun-14,2.40,2.75,2.40,2.73,633181
4-Jun-14,2.45,2.47,2.42,2.45,123094
3-Jun-14,2.42,2.48,2.36,2.44,147129
2-Jun-14,2.45,2.46,2.35,2.40,200184
30-May-14,2.36,2.48,2.35,2.44,181601
29-May-14,2.44,2.49,2.34,2.42,78674
28-May-14,2.45,2.48,2.40,2.40,93298
27-May-14,2.43,2.45,2.29,2.45,117572
23-May-14,2.37,2.45,2.32,2.40,81952
22-May-14,2.39,2.40,2.31,2.32,122398
21-May-14,2.41,2.51,2.38,2.42,487355
20-May-14,2.44,2.54,2.39,2.43,124861
19-May-14,2.30,2.49,2.30,2.44,169631
16-May-14,2.39,2.39,2.23,2.33,65341
15-May-14,2.31,2.37,2.23,2.34,127336
14-May-14,2.37,2.37,2.30,2.33,44265
13-May-14,2.33,2.42,2.30,2.38,70157
12-May-14,2.34,2.40,2.32,2.35,166703
9-May-14,2.32,2.38,2.20,2.34,320760
8-May-14,2.41,2.45,2.38,2.38,186204
7-May-14,2.40,2.46,2.38,2.44,164723
6-May-14,2.48,2.48,2.39,2.41,69445
5-May-14,2.47,2.48,2.43,2.47,74397
2-May-14,2.49,2.51,2.44,2.50,83481
1-May-14,2.48,2.50,2.41,2.49,65296
30-Apr-14,2.43,2.52,2.39,2.50,116825
29-Apr-14,2.42,2.54,2.42,2.44,148647
28-Apr-14,2.43,2.51,2.39,2.43,178623
25-Apr-14,2.48,2.50,2.38,2.43,226502
24-Apr-14,2.60,2.60,2.40,2.46,288793
23-Apr-14,2.68,2.72,2.57,2.58,156227
22-Apr-14,2.68,2.72,2.67,2.70,111644
21-Apr-14,2.72,2.73,2.59,2.69,166388
17-Apr-14,2.54,2.75,2.54,2.74,261601
16-Apr-14,2.49,2.58,2.45,2.56,217007
15-Apr-14,2.48,2.49,2.37,2.43,241138
14-Apr-14,2.50,2.54,2.46,2.49,124755
11-Apr-14,2.44,2.50,2.42,2.50,238320
10-Apr-14,2.56,2.56,2.45,2.47,262178
9-Apr-14,2.58,2.60,2.46,2.55,230695
8-Apr-14,2.60,2.66,2.49,2.56,227320
7-Apr-14,2.52,2.63,2.49,2.56,226959
4-Apr-14,2.66,2.69,2.54,2.55,272093
3-Apr-14,2.70,2.70,2.62,2.63,151405
2-Apr-14,2.70,2.75,2.61,2.70,226822
1-Apr-14,2.73,2.78,2.64,2.68,431746
31-Mar-14,2.51,2.62,2.42,2.56,776511
28-Mar-14,2.59,2.76,2.47,2.52,532901
27-Mar-14,2.73,2.83,2.56,2.60,716672
26-Mar-14,2.78,2.84,2.73,2.75,456122
25-Mar-14,2.80,2.85,2.71,2.77,534744
24-Mar-14,2.80,2.85,2.70,2.80,476972
21-Mar-14,2.75,2.85,2.70,2.83,1044958
20-Mar-14,2.77,2.84,2.66,2.80,3732337
19-Mar-14,3.17,3.22,3.12,3.16,427499
18-Mar-14,3.11,3.24,3.11,3.19,370878
17-Mar-14,3.06,3.10,3.00,3.10,170850
14-Mar-14,2.95,3.10,2.90,3.06,485382
13-Mar-14,2.96,2.97,2.84,2.93,126537
12-Mar-14,2.94,3.00,2.91,2.92,98408
11-Mar-14,2.77,3.00,2.77,2.97,303075
10-Mar-14,2.90,2.90,2.71,2.76,322970
7-Mar-14,2.97,2.99,2.88,2.91,325826
6-Mar-14,3.15,3.17,2.96,2.99,297992
5-Mar-14,3.07,3.25,3.01,3.17,249011
4-Mar-14,2.94,3.20,2.94,3.10,441824
3-Mar-14,2.86,2.98,2.77,2.95,298396
28-Feb-14,2.92,2.98,2.92,2.94,217732
27-Feb-14,2.90,2.95,2.87,2.92,266683
26-Feb-14,2.90,2.95,2.84,2.92,235581
25-Feb-14,2.90,2.92,2.78,2.89,247378
24-Feb-14,2.75,2.92,2.71,2.92,442625
21-Feb-14,2.85,2.88,2.80,2.82,413314
20-Feb-14,2.82,2.88,2.77,2.86,360586
19-Feb-14,2.88,2.90,2.75,2.84,328761
18-Feb-14,2.72,2.94,2.61,2.91,785578
14-Feb-14,2.72,2.85,2.40,2.77,1613930
13-Feb-14,2.89,2.95,2.88,2.93,568405
12-Feb-14,2.85,3.01,2.85,2.89,431981
11-Feb-14,2.90,3.01,2.76,2.84,777710
10-Feb-14,2.91,2.94,2.81,2.94,235163
7-Feb-14,2.85,3.06,2.85,2.89,429870
6-Feb-14,2.78,2.90,2.78,2.85,239192
5-Feb-14,2.84,2.88,2.72,2.80,284965
4-Feb-14,2.76,2.94,2.64,2.81,469417
3-Feb-14,2.70,2.90,2.62,2.76,610974
31-Jan-14,2.58,2.68,2.58,2.64,250550
30-Jan-14,2.59,2.70,2.55,2.65,392844
29-Jan-14,2.42,2.56,2.32,2.55,245743
28-Jan-14,2.43,2.49,2.35,2.41,246939
27-Jan-14,2.45,2.51,2.40,2.40,318724
24-Jan-14,2.59,2.59,2.42,2.43,227215
23-Jan-14,2.49,2.63,2.42,2.59,532588
22-Jan-14,2.32,2.54,2.30,2.52,740971
21-Jan-14,2.32,2.36,2.28,2.34,121966
17-Jan-14,2.37,2.37,2.28,2.30,95012
16-Jan-14,2.35,2.41,2.25,2.31,80904
15-Jan-14,2.32,2.40,2.30,2.35,123454
14-Jan-14,2.37,2.42,2.25,2.29,117494
13-Jan-14,2.32,2.42,2.30,2.34,343014
10-Jan-14,2.15,2.38,2.13,2.31,886156
9-Jan-14,2.15,2.17,2.12,2.17,312721
8-Jan-14,2.18,2.20,2.12,2.16,128226
7-Jan-14,2.28,2.34,2.16,2.16,168796
6-Jan-14,2.14,2.26,2.12,2.24,313299
3-Jan-14,2.05,2.20,2.05,2.12,199860
2-Jan-14,1.99,2.08,1.98,2.05,361426
31-Dec-13,1.98,2.05,1.98,2.02,89491
30-Dec-13,2.01,2.05,1.99,1.99,82061
27-Dec-13,2.02,2.03,1.98,2.00,97867
26-Dec-13,2.06,2.09,2.00,2.03,36625
24-Dec-13,2.03,2.07,1.99,2.07,34533
23-Dec-13,2.04,2.10,2.00,2.02,225201
20-Dec-13,2.10,2.15,2.02,2.02,552971
19-Dec-13,2.13,2.17,1.98,2.11,1897944
18-Dec-13,2.11,2.20,2.10,2.15,104927
