Date,Open,High,Low,Close,Volume
23-Oct-14,8.90,9.04,8.90,8.98,11758
22-Oct-14,8.85,8.98,8.82,8.85,8685
21-Oct-14,8.96,9.05,8.83,8.99,9700
20-Oct-14,8.96,9.14,8.96,9.09,4481
17-Oct-14,9.09,9.09,8.83,9.00,7488
16-Oct-14,8.89,9.12,8.89,8.96,6611
15-Oct-14,9.00,9.09,8.84,9.01,16643
14-Oct-14,9.00,9.09,8.91,9.05,17808
13-Oct-14,8.86,9.20,8.86,8.88,8882
10-Oct-14,8.88,9.03,8.86,8.87,7278
9-Oct-14,9.00,9.00,8.88,8.91,4150
8-Oct-14,9.00,9.10,9.00,9.04,11510
7-Oct-14,9.01,9.01,9.01,9.01,2336
6-Oct-14,9.06,9.35,9.02,9.13,5809
3-Oct-14,9.24,9.24,8.95,9.07,4058
2-Oct-14,8.93,9.35,8.93,9.14,15940
1-Oct-14,9.01,9.36,8.92,8.98,24541
30-Sep-14,8.92,9.15,8.92,9.05,10885
29-Sep-14,8.90,9.06,8.90,9.04,3171
26-Sep-14,8.97,9.22,8.92,9.13,6186
25-Sep-14,9.02,9.15,8.96,8.96,16406
24-Sep-14,9.05,9.21,9.05,9.21,4139
23-Sep-14,9.13,9.40,9.02,9.05,14754
22-Sep-14,9.18,9.25,8.99,9.21,5978
19-Sep-14,9.39,9.45,9.16,9.16,23294
18-Sep-14,9.32,9.46,9.26,9.35,12371
17-Sep-14,9.84,9.84,9.18,9.26,11186
16-Sep-14,9.26,9.84,9.09,9.24,7339
15-Sep-14,9.34,9.43,9.30,9.31,5453
12-Sep-14,9.40,9.41,9.13,9.34,12621
11-Sep-14,9.50,9.80,9.25,9.31,10299
10-Sep-14,9.53,9.61,9.40,9.59,6659
9-Sep-14,9.38,9.57,9.36,9.39,6636
8-Sep-14,9.65,9.65,9.30,9.36,5466
5-Sep-14,9.16,9.42,9.16,9.37,6213
4-Sep-14,9.62,9.69,9.15,9.15,4857
3-Sep-14,9.83,9.84,9.57,9.57,5646
2-Sep-14,9.96,9.96,9.76,9.83,14101
29-Aug-14,9.91,10.00,9.85,9.91,2994
28-Aug-14,9.85,10.12,9.85,9.87,3429
27-Aug-14,9.97,10.16,9.85,9.94,5183
26-Aug-14,9.65,9.99,9.65,9.99,8807
25-Aug-14,9.49,9.72,9.37,9.66,3057
22-Aug-14,9.44,9.66,9.44,9.48,7796
21-Aug-14,9.06,9.52,9.06,9.43,4376
20-Aug-14,9.05,9.27,9.00,9.12,8852
19-Aug-14,9.45,9.70,9.08,9.17,5859
18-Aug-14,8.96,9.06,8.86,9.05,8366
15-Aug-14,8.61,9.46,8.61,8.85,27422
14-Aug-14,8.59,8.65,8.51,8.52,5695
13-Aug-14,8.54,8.68,8.50,8.56,4711
12-Aug-14,8.62,8.62,8.51,8.52,10995
11-Aug-14,8.37,8.77,8.30,8.70,15575
8-Aug-14,8.16,8.41,8.16,8.41,6260
7-Aug-14,8.35,8.35,8.15,8.15,7644
6-Aug-14,8.14,8.35,8.14,8.29,8709
5-Aug-14,8.26,8.28,8.15,8.15,22237
4-Aug-14,8.29,8.38,8.20,8.22,14602
1-Aug-14,8.56,8.56,8.26,8.30,18385
31-Jul-14,8.60,8.74,8.53,8.54,20767
30-Jul-14,8.61,8.71,8.61,8.69,9786
29-Jul-14,8.93,8.93,8.60,8.61,9160
28-Jul-14,8.86,8.98,8.76,8.91,16304
25-Jul-14,8.75,9.01,8.75,8.81,9981
24-Jul-14,9.14,9.40,8.70,8.77,17621
23-Jul-14,8.99,9.30,8.96,9.07,14992
22-Jul-14,8.75,9.04,8.75,8.99,16145
21-Jul-14,8.66,8.92,8.66,8.74,10565
