Date,Open,High,Low,Close,Volume
23-Oct-14,1.40,1.45,1.40,1.41,10250
22-Oct-14,1.54,1.56,1.42,1.43,4104
21-Oct-14,1.52,1.56,1.47,1.51,12322
20-Oct-14,1.47,1.52,1.44,1.52,5127
17-Oct-14,1.56,1.56,1.43,1.45,10942
16-Oct-14,1.48,1.58,1.48,1.50,10496
15-Oct-14,1.44,1.52,1.43,1.43,10696
14-Oct-14,1.52,1.52,1.40,1.43,40017
13-Oct-14,1.73,1.75,1.50,1.56,25280
10-Oct-14,1.79,1.82,1.75,1.75,11377
9-Oct-14,1.76,1.90,1.76,1.82,30396
8-Oct-14,1.83,1.89,1.77,1.86,32316
7-Oct-14,1.77,1.86,1.73,1.78,23910
6-Oct-14,1.89,1.94,1.73,1.77,25259
3-Oct-14,1.90,1.95,1.88,1.91,8654
2-Oct-14,1.81,1.96,1.80,1.95,10579
1-Oct-14,1.90,2.06,1.82,1.82,42092
30-Sep-14,1.94,2.10,1.73,1.94,88759
29-Sep-14,1.85,1.99,1.84,1.96,27965
26-Sep-14,1.72,1.92,1.71,1.89,72884
25-Sep-14,1.70,1.89,1.64,1.75,98373
24-Sep-14,2.16,2.16,1.68,1.68,196868
23-Sep-14,2.43,2.43,1.92,2.16,724567
22-Sep-14,1.49,1.98,1.46,1.89,479249
19-Sep-14,1.35,1.59,1.31,1.41,240440
18-Sep-14,1.41,1.41,1.30,1.31,20390
17-Sep-14,1.44,1.44,1.35,1.35,13010
16-Sep-14,1.34,1.45,1.31,1.45,134000
15-Sep-14,1.39,1.39,1.30,1.34,29320
12-Sep-14,1.39,1.45,1.35,1.37,11152
11-Sep-14,1.44,1.53,1.33,1.34,36780
10-Sep-14,1.44,1.46,1.41,1.41,32524
9-Sep-14,1.43,1.53,1.40,1.50,28532
8-Sep-14,1.40,1.60,1.30,1.45,287831
5-Sep-14,1.40,1.40,1.38,1.40,3800
4-Sep-14,1.42,1.49,1.38,1.40,12980
