Date,Open,High,Low,Close,Volume
23-Oct-14,22.59,23.26,22.59,22.86,15495
22-Oct-14,23.08,23.23,22.40,22.61,16742
21-Oct-14,22.94,23.11,22.49,23.05,24596
20-Oct-14,23.42,23.48,22.43,22.61,41398
17-Oct-14,23.73,23.73,23.36,23.39,46665
16-Oct-14,22.38,23.46,22.00,23.29,43886
15-Oct-14,22.60,22.89,21.96,22.54,59743
14-Oct-14,22.77,23.29,22.62,22.70,35515
13-Oct-14,22.57,23.10,22.19,22.51,39552
10-Oct-14,22.32,23.24,22.01,22.44,70825
9-Oct-14,22.99,23.32,22.36,22.40,49589
8-Oct-14,22.46,23.00,22.31,22.92,34547
7-Oct-14,22.44,22.64,22.16,22.44,62099
6-Oct-14,22.85,22.95,22.16,22.65,75890
3-Oct-14,22.45,22.80,22.34,22.67,88812
2-Oct-14,21.78,22.40,21.78,22.38,64313
1-Oct-14,21.91,22.20,21.75,21.86,77077
30-Sep-14,21.53,22.00,21.28,22.00,131591
29-Sep-14,21.04,21.59,20.96,21.58,68495
26-Sep-14,20.64,21.49,20.27,21.40,105804
25-Sep-14,21.66,21.73,20.37,20.61,111845
24-Sep-14,21.31,21.89,21.25,21.78,38167
23-Sep-14,21.00,21.50,20.80,21.34,52042
22-Sep-14,21.10,21.10,20.60,21.03,34044
19-Sep-14,21.36,21.47,20.86,21.15,58319
18-Sep-14,21.03,21.50,21.03,21.32,39057
17-Sep-14,21.01,21.25,20.93,21.08,43437
16-Sep-14,20.33,21.25,20.32,21.07,62637
15-Sep-14,20.92,20.92,20.23,20.24,40349
12-Sep-14,20.76,20.92,20.33,20.87,41476
11-Sep-14,20.47,20.80,20.22,20.71,50522
10-Sep-14,20.08,20.62,20.06,20.48,17173
9-Sep-14,20.57,20.74,20.04,20.14,32346
8-Sep-14,20.42,20.88,20.26,20.54,60966
5-Sep-14,20.00,20.69,19.99,20.39,72260
4-Sep-14,19.84,20.23,19.84,20.14,45272
3-Sep-14,20.48,20.48,19.86,19.86,49792
2-Sep-14,20.12,20.65,20.12,20.51,76186
29-Aug-14,20.00,20.58,19.71,20.15,75680
28-Aug-14,19.62,19.90,19.61,19.88,22053
27-Aug-14,19.81,19.97,19.70,19.79,19594
26-Aug-14,20.06,20.35,19.61,19.71,75536
25-Aug-14,20.60,20.72,19.87,19.89,42344
22-Aug-14,20.84,21.00,20.37,20.53,46843
21-Aug-14,20.86,20.93,20.72,20.85,11448
20-Aug-14,20.84,21.00,20.71,20.81,18094
19-Aug-14,20.82,21.00,20.75,20.92,54942
18-Aug-14,20.50,20.88,20.41,20.76,54555
15-Aug-14,20.26,20.49,20.14,20.49,30041
14-Aug-14,20.12,20.19,20.02,20.09,21120
13-Aug-14,19.76,20.14,19.68,20.07,38843
12-Aug-14,20.31,20.33,19.92,20.11,39827
11-Aug-14,19.78,20.45,19.70,20.33,58577
8-Aug-14,19.74,19.93,19.62,19.67,34678
7-Aug-14,19.65,19.98,19.54,19.75,21315
6-Aug-14,19.70,20.24,19.63,19.67,22011
5-Aug-14,20.05,20.25,19.75,19.77,34924
4-Aug-14,20.05,20.25,20.00,20.18,35590
1-Aug-14,20.02,20.23,20.00,20.05,43446
31-Jul-14,19.90,20.23,19.71,20.02,35909
30-Jul-14,19.81,20.00,19.78,19.90,17095
29-Jul-14,19.96,19.96,19.54,19.79,51774
28-Jul-14,19.59,19.98,19.50,19.66,26555
25-Jul-14,19.50,19.97,19.50,19.66,52110
24-Jul-14,19.73,19.98,19.37,19.57,28682
23-Jul-14,19.79,20.16,19.20,19.74,14630
22-Jul-14,19.44,19.97,19.44,19.84,17110
21-Jul-14,19.79,20.08,19.47,19.54,32145
18-Jul-14,19.30,19.98,19.28,19.88,19066
17-Jul-14,19.90,20.23,19.28,19.39,33503
16-Jul-14,20.08,20.23,19.90,19.91,25106
15-Jul-14,19.75,20.12,19.62,20.00,40100
14-Jul-14,19.03,20.06,18.96,19.74,57331
11-Jul-14,18.87,19.09,18.85,18.90,31959
10-Jul-14,19.07,19.13,18.78,18.85,54187
9-Jul-14,19.24,19.50,19.17,19.22,19380
8-Jul-14,19.67,19.71,19.22,19.24,51419
7-Jul-14,19.78,19.79,19.57,19.69,54123
3-Jul-14,20.03,20.03,19.75,19.82,12813
2-Jul-14,19.94,20.39,19.54,19.95,43942
1-Jul-14,19.67,20.38,19.64,19.97,68412
30-Jun-14,20.39,20.79,19.06,19.59,133253
27-Jun-14,21.28,21.50,20.28,20.28,858384
26-Jun-14,20.59,21.58,20.40,21.24,79861
25-Jun-14,20.53,21.14,20.30,20.66,43830
24-Jun-14,20.43,20.97,20.34,20.50,53863
23-Jun-14,19.83,20.67,19.67,20.64,60743
20-Jun-14,20.43,20.72,19.61,20.02,88592
19-Jun-14,20.40,20.69,20.17,20.37,33483
18-Jun-14,20.57,20.63,20.40,20.43,26205
17-Jun-14,20.68,20.68,20.17,20.48,43146
16-Jun-14,20.60,20.90,20.50,20.65,20298
13-Jun-14,20.75,21.02,20.40,20.44,44376
12-Jun-14,20.81,20.92,20.60,20.90,27764
11-Jun-14,21.95,21.95,20.40,20.81,61913
10-Jun-14,21.89,22.16,21.11,21.96,19486
9-Jun-14,20.97,22.03,20.97,21.99,34245
6-Jun-14,20.55,22.00,20.55,21.05,60239
5-Jun-14,20.40,21.21,20.31,20.79,62379
4-Jun-14,20.49,20.69,20.33,20.50,20638
3-Jun-14,20.64,20.79,20.39,20.70,37040
2-Jun-14,20.89,20.89,20.30,20.56,38916
30-May-14,21.00,21.00,20.30,20.68,72749
29-May-14,20.94,20.95,20.48,20.90,19660
28-May-14,20.95,20.97,20.22,20.71,41792
27-May-14,20.82,21.18,20.79,20.87,42461
23-May-14,20.01,20.90,19.86,20.90,33645
22-May-14,19.86,20.18,19.63,19.99,32824
21-May-14,19.69,20.18,19.56,19.98,50690
20-May-14,19.06,19.67,19.06,19.57,32357
19-May-14,19.55,19.59,19.00,19.24,40669
16-May-14,19.03,20.00,19.01,19.93,65374
15-May-14,20.31,20.37,18.21,19.18,299987
14-May-14,20.49,21.01,20.20,20.53,80592
13-May-14,21.76,21.76,20.76,20.90,83629
12-May-14,22.05,22.49,21.50,21.55,81530
9-May-14,22.42,23.22,22.07,22.15,56429
8-May-14,23.00,23.16,21.88,22.61,85903
7-May-14,23.55,23.55,23.00,23.08,50619
6-May-14,22.11,23.64,22.11,23.52,61095
5-May-14,22.47,22.88,21.85,21.94,75155
2-May-14,23.02,23.35,22.53,22.68,44296
1-May-14,23.48,23.67,22.67,22.88,39511
30-Apr-14,23.49,23.64,23.02,23.48,44550
