Date,Open,High,Low,Close,Volume
23-Oct-14,6.64,6.85,6.46,6.68,2021324
22-Oct-14,6.89,7.08,6.27,6.35,2292606
21-Oct-14,6.41,6.89,6.41,6.87,2045164
20-Oct-14,6.49,6.57,6.30,6.37,1527247
17-Oct-14,7.39,7.47,6.30,6.35,2589221
16-Oct-14,6.55,7.48,6.49,7.15,3567969
15-Oct-14,5.99,6.73,5.82,6.72,3211027
14-Oct-14,5.83,6.30,5.63,5.99,2224988
13-Oct-14,5.99,6.22,5.65,5.75,1973750
10-Oct-14,5.80,6.38,5.71,5.96,3277801
9-Oct-14,6.23,6.26,5.81,5.83,1946875
8-Oct-14,6.40,6.43,5.98,6.28,3560508
7-Oct-14,6.96,6.99,6.35,6.35,2825147
6-Oct-14,7.18,7.27,6.83,6.96,1545948
3-Oct-14,7.26,7.31,7.07,7.14,1102473
2-Oct-14,7.35,7.50,7.05,7.17,2277077
1-Oct-14,7.51,7.56,7.16,7.43,3712698
30-Sep-14,8.37,8.44,7.80,7.80,2368299
29-Sep-14,8.52,8.70,8.25,8.39,1636465
26-Sep-14,8.50,8.70,8.42,8.66,811736
25-Sep-14,8.81,8.82,8.41,8.50,1153327
24-Sep-14,8.42,8.88,8.32,8.81,1288000
23-Sep-14,8.33,8.55,8.25,8.40,1268121
22-Sep-14,8.77,8.79,8.32,8.33,1660672
19-Sep-14,8.86,9.04,8.75,8.81,1564452
18-Sep-14,9.17,9.23,8.83,8.84,1009417
17-Sep-14,8.93,9.45,8.93,9.16,1938967
16-Sep-14,8.77,9.10,8.76,8.94,1094165
15-Sep-14,8.96,8.98,8.66,8.77,1078344
12-Sep-14,9.12,9.16,8.90,8.99,1045868
11-Sep-14,8.99,9.18,8.91,9.16,845441
10-Sep-14,9.11,9.13,8.90,8.97,1318948
9-Sep-14,9.29,9.29,9.02,9.11,1297356
8-Sep-14,9.45,9.49,9.26,9.29,778454
5-Sep-14,9.40,9.60,9.40,9.50,539159
4-Sep-14,9.69,9.78,9.42,9.46,897395
3-Sep-14,9.87,9.96,9.68,9.69,529664
2-Sep-14,9.99,9.99,9.70,9.87,612285
29-Aug-14,9.89,10.00,9.89,9.97,452886
28-Aug-14,10.00,10.05,9.81,9.90,739099
27-Aug-14,10.16,10.20,10.02,10.06,545592
26-Aug-14,9.84,10.18,9.83,10.18,1089830
25-Aug-14,9.77,9.97,9.77,9.85,788088
22-Aug-14,9.98,10.00,9.71,9.75,815935
21-Aug-14,9.85,9.97,9.73,9.92,827253
20-Aug-14,9.85,10.01,9.76,9.87,785183
19-Aug-14,9.67,10.04,9.66,9.89,1258116
18-Aug-14,9.50,9.63,9.43,9.62,580202
15-Aug-14,9.53,9.56,9.36,9.47,615590
14-Aug-14,9.57,9.68,9.42,9.44,688074
13-Aug-14,9.42,9.65,9.41,9.51,787848
12-Aug-14,9.40,9.45,9.10,9.37,1278600
11-Aug-14,9.73,9.73,9.45,9.47,1084749
8-Aug-14,9.93,9.98,9.10,9.70,2187821
