Date,Open,High,Low,Close,Volume
23-Oct-14,35.28,36.12,34.02,35.56,7109
22-Oct-14,36.40,37.80,35.28,35.56,2499
21-Oct-14,36.82,36.96,36.40,36.75,1235
20-Oct-14,35.84,36.82,34.30,36.40,3535
17-Oct-14,36.40,37.52,35.14,35.70,6564
16-Oct-14,35.00,37.10,35.00,36.54,3983
15-Oct-14,34.72,36.40,33.32,35.71,6758
14-Oct-14,35.70,36.40,34.86,35.42,3066
13-Oct-14,36.54,37.24,34.72,35.70,5451
10-Oct-14,36.40,38.36,35.56,36.26,13142
9-Oct-14,38.78,39.62,36.40,36.82,7190
8-Oct-14,39.20,39.62,37.24,39.20,4035
7-Oct-14,39.34,40.46,37.94,38.64,8259
6-Oct-14,40.46,41.44,38.50,39.48,5054
3-Oct-14,40.88,41.86,39.62,40.74,3397
2-Oct-14,39.90,41.86,39.50,40.88,6182
1-Oct-14,40.88,41.72,38.78,39.62,8773
30-Sep-14,42.14,42.14,40.88,41.44,2697
29-Sep-14,41.58,42.14,40.98,41.72,3004
26-Sep-14,41.86,42.00,41.02,41.58,3868
25-Sep-14,41.30,42.00,40.74,42.00,3758
24-Sep-14,41.02,42.28,40.60,41.02,3508
23-Sep-14,40.88,41.30,40.74,41.02,5716
22-Sep-14,42.00,42.70,41.02,41.30,7056
19-Sep-14,42.98,43.26,42.00,42.42,4519
18-Sep-14,42.70,43.40,42.70,43.12,5507
17-Sep-14,42.14,43.96,42.00,43.12,3435
16-Sep-14,42.98,43.40,42.28,42.42,4420
15-Sep-14,45.08,45.08,42.84,42.84,11223
12-Sep-14,46.06,46.20,44.80,44.80,3619
11-Sep-14,45.08,45.78,45.08,45.22,3167
10-Sep-14,45.36,46.20,44.66,44.94,2131
9-Sep-14,46.06,46.20,44.80,45.64,3409
8-Sep-14,45.78,46.77,45.64,45.92,2382
5-Sep-14,46.34,46.48,45.22,45.50,3218
4-Sep-14,46.48,47.60,45.92,46.34,8820
3-Sep-14,45.50,46.90,44.80,46.20,6262
2-Sep-14,45.50,46.20,45.22,45.50,2594
