Date,Open,High,Low,Close,Volume
23-Oct-14,30.56,31.04,29.84,30.32,209381
22-Oct-14,31.20,31.36,30.08,30.08,249353
21-Oct-14,30.64,31.44,30.00,31.04,372929
20-Oct-14,29.60,30.92,29.44,30.40,355543
17-Oct-14,29.20,30.84,29.04,29.60,357116
16-Oct-14,26.00,28.72,26.00,28.56,291689
15-Oct-14,24.88,26.48,24.80,26.32,989700
14-Oct-14,24.56,25.60,24.16,25.36,674928
13-Oct-14,24.96,25.52,24.24,24.32,293115
10-Oct-14,26.72,27.20,24.88,24.88,222341
9-Oct-14,27.84,28.12,26.56,26.96,313490
8-Oct-14,27.12,28.08,26.68,28.00,194724
7-Oct-14,27.12,27.52,26.80,27.20,379742
6-Oct-14,28.16,28.72,26.92,27.36,508548
3-Oct-14,29.12,30.80,27.92,28.04,290014
2-Oct-14,30.56,30.96,28.08,28.64,338460
1-Oct-14,32.24,32.56,30.32,30.64,243325
30-Sep-14,32.32,33.04,31.84,32.24,387237
29-Sep-14,32.16,32.88,31.76,32.40,322400
26-Sep-14,32.48,32.88,32.10,32.72,154014
25-Sep-14,32.32,32.64,31.84,32.40,393271
24-Sep-14,32.56,32.80,32.08,32.40,161833
23-Sep-14,32.80,33.68,32.12,32.64,519987
22-Sep-14,33.44,33.60,32.64,32.88,387361
19-Sep-14,34.80,35.36,33.04,33.68,407096
18-Sep-14,34.48,35.52,34.32,34.80,304019
17-Sep-14,31.76,35.24,31.60,34.48,497466
16-Sep-14,32.64,32.96,30.48,31.68,1127757
15-Sep-14,32.88,33.36,32.08,32.72,468281
12-Sep-14,33.44,33.44,32.80,33.04,265105
11-Sep-14,32.64,33.60,32.48,33.28,504893
10-Sep-14,33.52,33.60,32.96,32.96,255099
9-Sep-14,33.92,34.40,33.24,33.52,333492
8-Sep-14,34.24,35.20,33.84,34.08,284934
5-Sep-14,35.20,35.60,34.12,34.48,583784
4-Sep-14,35.12,36.20,34.40,35.12,779894
3-Sep-14,35.92,36.64,34.48,35.04,563810
2-Sep-14,36.88,37.04,34.96,35.60,225208
29-Aug-14,37.44,37.60,36.24,36.72,252683
28-Aug-14,37.92,38.40,36.64,37.44,244357
27-Aug-14,37.44,38.48,37.12,38.16,411731
26-Aug-14,37.12,37.60,36.36,37.36,356026
25-Aug-14,38.56,40.08,36.88,37.04,511245
22-Aug-14,38.32,39.32,37.68,38.40,192961
21-Aug-14,39.68,40.00,37.60,38.20,316826
20-Aug-14,37.36,40.56,37.04,39.68,922080
19-Aug-14,38.08,38.72,37.44,37.44,266423
18-Aug-14,37.60,38.96,37.31,37.92,329847
15-Aug-14,37.60,38.40,36.48,37.28,317086
14-Aug-14,36.56,39.36,36.56,37.12,523376
13-Aug-14,34.64,37.12,34.64,36.64,429267
12-Aug-14,33.68,35.92,33.60,34.32,417404
11-Aug-14,36.24,37.60,33.76,33.76,366088
8-Aug-14,34.00,37.36,33.20,35.84,557567
7-Aug-14,37.12,38.48,33.20,33.92,601858
6-Aug-14,40.48,41.28,35.28,37.04,735134
5-Aug-14,42.32,42.72,40.24,41.36,344747
4-Aug-14,40.88,42.56,40.80,42.48,242823
1-Aug-14,41.44,41.60,39.84,40.64,261370
31-Jul-14,42.72,43.44,41.44,41.44,184262
30-Jul-14,42.40,43.36,41.76,43.36,201452
29-Jul-14,41.92,42.64,41.92,42.00,210388
28-Jul-14,43.60,44.16,41.84,42.00,257819
25-Jul-14,44.56,45.44,43.52,43.60,185442
24-Jul-14,45.36,47.12,44.64,44.80,344650
23-Jul-14,46.40,46.96,45.12,45.36,235096
22-Jul-14,46.40,48.12,46.16,46.40,364724
21-Jul-14,47.68,47.76,45.48,45.84,420513
18-Jul-14,47.76,48.08,47.28,47.92,351870
17-Jul-14,48.72,49.92,47.44,47.92,148100
16-Jul-14,49.20,49.68,48.40,49.04,120450
15-Jul-14,50.00,50.40,48.32,48.72,160862
14-Jul-14,50.16,51.20,49.52,49.76,96494
11-Jul-14,49.04,50.24,48.96,49.76,89140
10-Jul-14,48.40,49.80,48.16,49.04,133882
9-Jul-14,49.36,50.32,49.28,49.36,109230
8-Jul-14,51.20,51.28,48.64,49.04,157986
7-Jul-14,52.72,52.72,51.12,51.52,121784
3-Jul-14,52.72,52.96,52.08,52.80,68838
2-Jul-14,52.48,53.28,52.25,52.48,120617
1-Jul-14,52.88,53.52,52.32,52.56,275899
30-Jun-14,52.80,54.00,52.16,52.72,188930
27-Jun-14,51.76,53.60,51.68,52.80,873555
26-Jun-14,51.20,52.84,50.96,52.24,296928
25-Jun-14,49.84,53.12,49.20,51.04,341929
24-Jun-14,52.40,53.28,50.08,50.40,266603
23-Jun-14,53.36,54.16,51.44,52.72,504549
20-Jun-14,52.32,53.60,51.76,53.36,325564
19-Jun-14,52.72,53.44,51.88,53.36,181645
18-Jun-14,51.04,52.64,50.36,52.32,124550
17-Jun-14,49.84,51.68,49.20,50.88,338616
16-Jun-14,50.08,50.80,49.52,50.00,199314
13-Jun-14,50.72,51.36,49.32,50.00,98059
12-Jun-14,51.20,51.64,50.48,50.48,147453
11-Jun-14,52.32,52.88,51.36,51.60,98033
10-Jun-14,52.48,52.72,51.04,52.48,100912
9-Jun-14,52.64,52.92,52.00,52.80,94223
6-Jun-14,53.28,53.76,52.56,52.72,107124
5-Jun-14,51.52,54.56,50.88,52.88,243418
4-Jun-14,50.56,52.16,50.32,51.44,287822
3-Jun-14,50.32,52.24,49.44,51.12,409660
2-Jun-14,50.48,51.92,49.76,50.56,259653
30-May-14,52.48,52.56,50.48,50.56,115904
29-May-14,53.12,53.20,51.20,52.72,137698
28-May-14,52.96,54.08,52.64,52.88,120438
27-May-14,52.08,53.12,51.12,52.88,168954
23-May-14,51.60,52.24,51.12,51.68,74254
22-May-14,50.88,51.52,50.60,51.44,123186
21-May-14,50.08,50.72,49.00,50.64,138093
20-May-14,49.36,50.00,48.32,49.76,131816
19-May-14,48.16,50.24,47.52,49.40,72619
16-May-14,47.92,48.63,47.22,48.24,153602
15-May-14,48.00,48.44,47.44,48.08,127556
14-May-14,49.44,49.60,48.04,48.24,87354
13-May-14,49.68,50.96,47.52,49.36,134420
12-May-14,48.00,50.16,46.96,49.84,229703
9-May-14,48.72,49.36,48.04,48.32,196962
8-May-14,50.24,51.36,48.92,49.04,121624
7-May-14,50.80,50.96,49.76,50.16,115940
6-May-14,52.24,53.28,50.72,50.80,128248
5-May-14,52.24,53.48,51.60,52.56,145082
2-May-14,52.00,53.84,51.52,53.04,162875
1-May-14,51.04,52.00,50.40,51.68,268495
30-Apr-14,50.16,51.84,48.88,51.28,227633
29-Apr-14,53.20,53.20,48.40,50.48,400448
28-Apr-14,53.12,53.60,50.52,52.32,247292
25-Apr-14,54.16,55.20,52.32,53.12,312497
24-Apr-14,54.48,56.56,52.32,54.64,162196
23-Apr-14,55.28,56.40,54.00,54.08,118740
22-Apr-14,53.68,55.44,53.40,55.04,105964
21-Apr-14,52.72,54.16,52.72,53.72,81538
17-Apr-14,53.44,54.56,52.16,52.88,125628
16-Apr-14,53.36,54.48,52.52,53.76,88075
15-Apr-14,52.56,53.28,49.60,52.96,290662
14-Apr-14,53.28,54.00,51.84,52.56,183518
11-Apr-14,54.08,54.96,52.64,52.88,229098
10-Apr-14,56.96,57.60,54.08,54.72,275551
9-Apr-14,56.00,57.36,55.52,57.12,100460
8-Apr-14,56.00,56.80,55.20,56.00,437339
7-Apr-14,54.56,56.88,53.92,56.00,511946
4-Apr-14,56.88,57.68,54.24,54.96,318442
3-Apr-14,55.36,56.80,54.64,56.32,268678
2-Apr-14,55.44,57.20,54.96,55.28,200743
1-Apr-14,55.28,56.48,55.20,55.44,258715
31-Mar-14,52.00,55.60,51.92,55.36,433992
28-Mar-14,50.24,52.08,50.00,51.44,155047
27-Mar-14,49.76,50.80,49.12,50.32,342152
26-Mar-14,49.92,50.32,49.12,49.76,228504
25-Mar-14,49.36,50.43,48.88,49.40,147361
24-Mar-14,49.92,50.80,48.32,48.96,239333
21-Mar-14,49.84,51.44,49.40,50.16,185466
20-Mar-14,48.32,49.92,48.00,49.84,224987
19-Mar-14,49.36,49.92,48.40,48.64,87366
18-Mar-14,49.76,50.40,47.44,49.60,204146
17-Mar-14,50.88,51.20,49.12,50.08,125868
14-Mar-14,49.92,51.12,48.64,50.32,105471
13-Mar-14,51.44,51.44,48.80,50.24,215940
12-Mar-14,51.04,51.48,50.32,51.28,116659
11-Mar-14,53.52,56.08,50.80,51.52,196981
10-Mar-14,55.44,55.84,52.96,53.60,146769
7-Mar-14,55.60,56.80,55.20,55.52,236810
6-Mar-14,52.88,56.00,52.56,55.20,323694
5-Mar-14,51.52,53.32,51.44,52.88,308108
4-Mar-14,52.16,53.36,51.36,51.52,382859
3-Mar-14,52.08,52.48,50.24,51.68,203732
28-Feb-14,52.40,53.68,51.44,52.48,230710
27-Feb-14,50.80,52.52,50.24,52.24,127848
26-Feb-14,50.08,51.52,49.60,51.44,140026
25-Feb-14,52.88,53.49,49.80,50.16,234823
24-Feb-14,55.20,56.00,52.76,52.96,234148
21-Feb-14,56.24,57.52,53.92,54.40,144290
20-Feb-14,57.28,57.36,55.28,55.84,204257
19-Feb-14,58.32,58.56,56.65,57.20,166298
18-Feb-14,55.28,59.40,53.84,58.64,289859
14-Feb-14,56.56,57.20,53.68,53.92,112964
13-Feb-14,53.20,54.88,52.80,54.88,60373
12-Feb-14,53.92,54.64,52.48,53.76,68211
11-Feb-14,53.68,54.40,52.96,53.76,123381
10-Feb-14,54.48,55.60,53.04,53.84,77570
7-Feb-14,53.44,54.96,53.04,54.64,80185
6-Feb-14,52.32,53.52,52.00,53.20,81538
5-Feb-14,51.76,52.28,49.92,52.16,102320
4-Feb-14,50.40,51.84,48.24,51.84,238677
3-Feb-14,53.36,54.00,48.40,50.08,189095
31-Jan-14,53.76,54.84,53.28,53.52,113151
30-Jan-14,53.84,54.96,53.04,54.48,116701
29-Jan-14,54.08,54.12,52.96,53.28,85310
28-Jan-14,53.76,55.04,53.44,54.56,96463
27-Jan-14,54.40,54.64,52.08,53.44,177818
24-Jan-14,55.04,56.00,53.92,54.64,162681
23-Jan-14,54.64,56.24,54.50,56.00,231843
22-Jan-14,57.60,57.64,54.48,55.04,450754
21-Jan-14,60.00,60.96,57.04,57.28,234778
17-Jan-14,60.64,61.30,59.52,59.84,78466
16-Jan-14,62.24,62.88,60.08,60.96,110627
15-Jan-14,62.40,63.52,61.60,62.16,92803
14-Jan-14,61.76,63.20,60.56,61.92,138718
13-Jan-14,62.40,63.28,61.04,61.68,140040
10-Jan-14,63.36,63.60,62.56,62.72,116700
9-Jan-14,64.40,64.88,62.80,62.96,99943
8-Jan-14,64.00,65.20,63.36,64.00,160352
7-Jan-14,65.04,65.52,63.56,64.00,228931
6-Jan-14,64.00,64.72,63.68,64.64,271064
3-Jan-14,64.00,65.20,62.96,63.84,268571
2-Jan-14,61.76,64.08,60.96,63.92,172003
31-Dec-13,60.88,62.32,60.28,61.84,109209
30-Dec-13,60.88,61.36,59.76,60.88,125522
27-Dec-13,61.36,61.36,60.00,61.12,136248
26-Dec-13,60.72,61.84,60.64,61.04,101562
24-Dec-13,61.60,61.76,60.52,61.20,118679
23-Dec-13,60.00,60.48,59.20,60.40,120540
20-Dec-13,58.96,59.76,58.32,59.36,376447
19-Dec-13,56.80,58.72,56.72,58.64,160675
18-Dec-13,56.24,56.96,55.36,56.96,110000
17-Dec-13,56.16,56.64,55.28,55.92,132452
16-Dec-13,56.48,56.96,55.44,56.00,144744
13-Dec-13,54.72,56.48,54.32,55.92,128462
12-Dec-13,53.52,55.12,52.48,54.72,109159
11-Dec-13,54.96,55.28,53.12,53.60,73318
10-Dec-13,54.88,55.60,54.48,54.96,85107
9-Dec-13,55.20,55.28,53.44,55.12,99415
6-Dec-13,54.32,55.68,52.46,54.96,98825
5-Dec-13,55.36,56.16,53.40,53.84,143715
4-Dec-13,54.96,56.40,53.68,55.52,108958
3-Dec-13,55.60,56.20,54.12,55.20,379767
2-Dec-13,56.00,56.08,55.00,55.84,156466
29-Nov-13,55.84,57.12,55.24,55.84,44862
27-Nov-13,56.24,56.40,55.52,55.60,137241
26-Nov-13,54.40,56.32,53.68,56.24,233761
25-Nov-13,54.64,55.96,54.32,54.48,79049
22-Nov-13,52.32,54.56,52.32,54.24,132534
21-Nov-13,52.24,52.88,51.80,52.48,257926
20-Nov-13,53.68,54.08,51.44,52.24,101503
19-Nov-13,55.28,55.61,53.00,53.64,86592
18-Nov-13,54.32,55.92,53.76,55.44,243013
15-Nov-13,51.36,54.64,51.12,54.00,175286
14-Nov-13,49.68,51.28,48.32,51.28,173520
13-Nov-13,42.56,50.96,42.56,49.92,124632
12-Nov-13,50.72,51.00,49.28,50.08,87925
11-Nov-13,50.88,51.20,49.84,50.64,161924
8-Nov-13,49.44,50.88,48.08,50.80,264446
7-Nov-13,51.44,51.84,49.24,49.36,187673
6-Nov-13,51.12,52.24,50.40,51.36,310381
5-Nov-13,50.48,50.96,48.80,50.72,243487
4-Nov-13,53.04,53.12,49.44,50.64,208772
1-Nov-13,48.00,54.08,47.68,52.64,616240
31-Oct-13,47.20,48.32,46.96,47.84,297025
30-Oct-13,48.64,49.36,46.56,47.36,287436
29-Oct-13,45.92,49.04,42.56,48.72,518048
28-Oct-13,46.16,46.80,45.20,45.92,155950
25-Oct-13,46.48,46.96,45.92,46.40,266434
24-Oct-13,46.08,46.40,45.52,46.24,193739
23-Oct-13,46.00,46.56,45.60,46.36,111991
22-Oct-13,46.64,47.04,45.45,46.40,265707
21-Oct-13,46.24,46.56,45.44,46.25,205088
18-Oct-13,46.00,46.72,44.88,45.92,169045
17-Oct-13,44.48,46.72,44.24,46.08,421318
16-Oct-13,45.68,45.92,44.24,44.96,253426
15-Oct-13,44.40,45.92,44.24,45.52,398794
14-Oct-13,43.04,44.40,42.40,44.32,239312
11-Oct-13,43.20,43.44,42.00,43.20,299624
10-Oct-13,41.60,42.72,41.04,42.31,2904717
9-Oct-13,39.92,41.28,39.12,40.80,201638
8-Oct-13,43.36,43.36,38.96,39.92,260216
7-Oct-13,43.28,43.36,42.56,42.96,113598
4-Oct-13,42.56,44.08,42.48,43.92,130418
3-Oct-13,43.68,43.76,41.92,42.64,81493
2-Oct-13,42.32,43.88,42.08,43.44,151926
1-Oct-13,42.48,42.88,42.24,42.40,228640
30-Sep-13,42.24,43.00,41.92,42.32,202358
27-Sep-13,43.84,44.12,42.72,42.80,248980
26-Sep-13,41.44,44.72,41.44,43.84,214947
25-Sep-13,41.84,42.12,41.44,41.52,184839
24-Sep-13,40.88,41.92,40.48,41.84,155793
23-Sep-13,42.00,42.08,40.80,41.12,118328
20-Sep-13,42.00,42.08,41.60,41.91,104157
19-Sep-13,41.92,42.32,41.60,42.00,124828
18-Sep-13,42.00,42.04,41.12,41.76,80434
17-Sep-13,42.08,42.32,41.68,42.00,81308
16-Sep-13,42.00,42.16,41.76,42.08,93191
13-Sep-13,42.00,42.16,41.84,42.00,58200
12-Sep-13,42.00,42.16,41.44,42.00,125412
11-Sep-13,41.76,42.16,40.48,41.92,417499
10-Sep-13,42.16,42.64,41.84,41.96,92677
9-Sep-13,42.56,42.56,41.76,42.08,136889
6-Sep-13,42.64,42.64,41.29,42.08,86571
5-Sep-13,41.44,42.64,41.44,42.32,109208
4-Sep-13,41.52,42.00,41.12,41.28,711122
3-Sep-13,39.12,41.68,39.04,41.52,306323
30-Aug-13,38.00,41.68,38.00,38.40,127455
29-Aug-13,36.80,37.94,36.80,37.60,53184
28-Aug-13,36.48,37.28,36.32,36.88,50619
27-Aug-13,36.72,37.36,35.92,36.56,38427
26-Aug-13,37.60,37.74,37.24,37.28,78984
23-Aug-13,36.24,37.60,36.12,37.60,44272
22-Aug-13,36.32,36.96,35.92,36.24,79092
21-Aug-13,35.84,36.56,35.12,36.08,36564
20-Aug-13,35.60,36.08,34.96,35.92,35595
19-Aug-13,36.16,36.72,35.52,35.52,42210
16-Aug-13,34.48,36.56,34.24,36.40,71351
15-Aug-13,35.92,36.40,34.72,34.80,60629
14-Aug-13,37.36,37.68,36.32,36.40,54416
13-Aug-13,37.76,38.56,37.36,37.52,48905
12-Aug-13,37.76,38.24,37.52,37.60,89588
9-Aug-13,37.92,38.40,37.84,37.84,71977
8-Aug-13,38.24,38.44,37.76,37.92,145366
7-Aug-13,37.60,39.12,37.36,38.24,114266
6-Aug-13,37.04,39.20,36.32,38.24,176724
5-Aug-13,35.76,37.20,35.60,37.12,95340
