Date,Open,High,Low,Close,Volume
23-Oct-14,36.68,37.94,36.45,37.85,2725
22-Oct-14,37.01,37.13,37.00,37.13,2126
21-Oct-14,36.70,37.50,36.70,37.02,8848
20-Oct-14,36.62,36.62,35.93,36.39,1899
17-Oct-14,36.29,36.45,35.70,36.15,4436
16-Oct-14,35.00,35.83,35.00,35.83,7980
15-Oct-14,35.35,35.45,35.10,35.39,7712
14-Oct-14,35.43,35.60,34.49,35.56,8509
13-Oct-14,35.26,35.40,34.26,35.40,11180
10-Oct-14,34.52,35.50,34.52,35.45,2956
9-Oct-14,35.99,35.99,34.75,34.75,3776
8-Oct-14,35.05,36.00,35.05,35.96,3584
7-Oct-14,35.08,35.76,34.51,34.74,3334
6-Oct-14,35.31,36.10,35.02,35.02,2472
3-Oct-14,35.14,35.14,34.78,35.00,10053
2-Oct-14,34.95,34.95,34.40,34.77,8000
1-Oct-14,34.60,34.79,34.31,34.34,5899
30-Sep-14,35.16,35.16,34.58,34.62,6569
29-Sep-14,35.20,35.50,35.20,35.30,5319
26-Sep-14,35.37,35.40,35.20,35.40,1816
25-Sep-14,35.62,35.70,35.30,35.31,5205
24-Sep-14,35.91,35.91,35.57,35.88,2850
23-Sep-14,35.42,36.39,35.21,35.61,8396
22-Sep-14,35.36,35.98,35.35,35.40,11402
19-Sep-14,35.57,36.35,34.79,35.96,29660
18-Sep-14,35.43,36.00,35.16,35.51,6465
17-Sep-14,35.06,35.49,35.06,35.27,2295
16-Sep-14,34.99,35.50,34.33,35.25,6059
15-Sep-14,34.75,35.50,34.70,34.81,5194
12-Sep-14,35.12,35.12,35.00,35.02,4153
11-Sep-14,35.23,35.48,35.01,35.12,2999
10-Sep-14,34.55,35.44,34.55,35.44,3268
9-Sep-14,34.85,34.85,34.50,34.50,4318
8-Sep-14,34.60,34.92,34.50,34.81,10664
5-Sep-14,34.83,34.95,34.45,34.51,20857
4-Sep-14,35.56,35.56,34.80,34.91,12552
3-Sep-14,35.52,35.52,34.78,35.10,11399
2-Sep-14,35.87,35.87,34.82,35.61,11620
29-Aug-14,35.75,35.98,35.51,35.98,1794
28-Aug-14,35.75,35.76,35.51,35.62,4609
27-Aug-14,36.00,36.00,35.71,35.79,1479
26-Aug-14,36.00,36.00,35.78,35.87,3457
25-Aug-14,36.00,36.00,35.55,35.70,4217
22-Aug-14,36.00,36.00,35.50,36.00,4013
21-Aug-14,35.81,36.00,35.32,35.70,5131
20-Aug-14,35.61,35.70,35.13,35.70,1842
19-Aug-14,35.98,35.98,35.56,35.70,5677
18-Aug-14,35.92,36.00,35.51,35.98,7848
15-Aug-14,36.00,36.00,35.54,35.54,4523
14-Aug-14,35.96,35.96,35.75,35.81,749
13-Aug-14,35.92,36.00,35.77,35.79,5922
12-Aug-14,35.57,35.89,35.50,35.66,3280
11-Aug-14,35.15,37.00,34.26,35.51,3646
8-Aug-14,34.39,34.92,34.10,34.92,4628
7-Aug-14,34.79,34.79,34.25,34.26,4621
6-Aug-14,34.39,34.77,34.39,34.77,2795
