Date,Open,High,Low,Close,Volume
23-Oct-14,26.77,27.56,26.60,27.36,495816
22-Oct-14,27.46,27.65,26.66,26.68,572139
21-Oct-14,27.42,28.13,27.33,27.90,473334
20-Oct-14,26.49,27.42,26.36,27.41,747501
17-Oct-14,26.59,26.71,25.87,26.46,712621
16-Oct-14,25.17,26.25,24.94,26.19,1687901
15-Oct-14,24.96,25.49,24.86,25.40,448871
14-Oct-14,24.65,25.26,24.60,25.25,423115
13-Oct-14,24.23,24.76,24.20,24.43,338705
10-Oct-14,24.32,24.63,24.06,24.29,286886
9-Oct-14,25.37,25.55,24.80,24.82,358751
8-Oct-14,24.77,25.40,24.70,25.37,318887
7-Oct-14,24.78,24.91,24.62,24.75,293976
6-Oct-14,25.05,25.10,24.79,24.92,206676
3-Oct-14,25.10,25.24,24.92,25.02,223416
2-Oct-14,24.65,24.99,24.61,24.88,247952
1-Oct-14,24.95,25.13,24.41,24.72,438205
30-Sep-14,25.22,25.43,25.05,25.05,306757
29-Sep-14,25.58,25.70,25.05,25.22,416385
26-Sep-14,25.69,25.87,25.44,25.72,214765
25-Sep-14,25.54,25.68,25.37,25.61,282450
24-Sep-14,25.38,25.83,25.35,25.59,308444
23-Sep-14,25.20,25.50,25.16,25.35,332695
22-Sep-14,24.91,25.32,24.85,25.24,372190
19-Sep-14,25.15,25.20,24.78,25.03,813494
18-Sep-14,24.93,25.20,24.77,24.99,236018
17-Sep-14,24.70,24.95,24.65,24.84,247656
16-Sep-14,24.37,24.75,24.34,24.75,271342
15-Sep-14,24.78,24.85,24.32,24.40,445117
12-Sep-14,24.90,24.94,24.46,24.89,458289
11-Sep-14,24.36,24.98,24.32,24.89,336866
10-Sep-14,24.28,24.52,24.16,24.50,235297
9-Sep-14,24.62,24.62,24.23,24.26,212579
8-Sep-14,24.30,24.60,24.20,24.59,283111
5-Sep-14,24.30,24.36,24.07,24.34,214821
4-Sep-14,24.45,24.53,24.26,24.28,239070
3-Sep-14,24.45,24.45,24.22,24.41,320849
2-Sep-14,24.46,24.68,24.29,24.43,340385
29-Aug-14,24.15,24.41,24.00,24.38,485047
28-Aug-14,24.08,24.28,24.05,24.12,213850
27-Aug-14,24.04,24.13,23.94,24.11,195768
26-Aug-14,24.02,24.14,23.95,24.07,207976
