Date,Open,High,Low,Close,Volume
23-Oct-14,0.23,0.27,0.21,0.24,14936740
22-Oct-14,0.16,0.21,0.15,0.20,11547869
21-Oct-14,0.14,0.16,0.14,0.14,6823305
20-Oct-14,0.13,0.14,0.11,0.13,3024685
17-Oct-14,0.11,0.18,0.10,0.12,15228143
16-Oct-14,0.07,0.10,0.07,0.09,4475285
15-Oct-14,0.07,0.07,0.07,0.07,845445
14-Oct-14,0.07,0.08,0.07,0.07,2245351
13-Oct-14,0.07,0.08,0.07,0.07,1059725
10-Oct-14,0.09,0.09,0.06,0.07,2185035
9-Oct-14,0.09,0.10,0.08,0.08,1201744
8-Oct-14,0.09,0.10,0.09,0.09,974021
7-Oct-14,0.10,0.10,0.09,0.09,2324476
6-Oct-14,0.10,0.11,0.10,0.10,829207
3-Oct-14,0.10,0.11,0.10,0.10,400450
2-Oct-14,0.11,0.11,0.10,0.10,485078
1-Oct-14,0.10,0.11,0.10,0.10,962382
30-Sep-14,0.12,0.12,0.11,0.11,425942
29-Sep-14,0.12,0.12,0.12,0.12,323485
26-Sep-14,0.13,0.14,0.12,0.12,755810
25-Sep-14,0.10,0.13,0.10,0.13,1028635
24-Sep-14,0.13,0.14,0.09,0.11,963765
23-Sep-14,0.14,0.14,0.13,0.13,1133203
22-Sep-14,0.15,0.16,0.14,0.14,1498295
19-Sep-14,0.14,0.16,0.12,0.16,6922174
18-Sep-14,0.09,0.13,0.09,0.11,3534210
17-Sep-14,0.10,0.11,0.09,0.09,1533278
16-Sep-14,0.14,0.15,0.09,0.10,4366585
15-Sep-14,0.14,0.15,0.13,0.14,1283163
12-Sep-14,0.15,0.16,0.14,0.14,1010157
11-Sep-14,0.16,0.16,0.14,0.15,827767
10-Sep-14,0.14,0.16,0.14,0.15,1270557
9-Sep-14,0.16,0.16,0.14,0.15,1286714
8-Sep-14,0.15,0.16,0.14,0.15,479737
5-Sep-14,0.14,0.16,0.14,0.15,610934
4-Sep-14,0.15,0.16,0.14,0.14,763655
3-Sep-14,0.16,0.16,0.15,0.16,664027
2-Sep-14,0.17,0.18,0.16,0.16,628230
29-Aug-14,0.17,0.17,0.16,0.17,602469
28-Aug-14,0.17,0.17,0.15,0.16,761147
27-Aug-14,0.16,0.18,0.15,0.18,728795
26-Aug-14,0.16,0.18,0.15,0.16,1105458
25-Aug-14,0.18,0.18,0.16,0.16,1455530
22-Aug-14,0.18,0.19,0.18,0.18,944672
21-Aug-14,0.17,0.18,0.16,0.18,902584
20-Aug-14,0.18,0.18,0.16,0.16,905234
19-Aug-14,0.16,0.18,0.16,0.18,844904
18-Aug-14,0.16,0.16,0.15,0.16,837124
15-Aug-14,0.14,0.16,0.13,0.15,3251645
14-Aug-14,0.18,0.18,0.16,0.17,2306744
13-Aug-14,0.15,0.19,0.14,0.19,4666481
12-Aug-14,0.15,0.16,0.14,0.14,1876578
11-Aug-14,0.16,0.17,0.14,0.16,2854682
8-Aug-14,0.18,0.18,0.16,0.16,2350829
7-Aug-14,0.19,0.19,0.18,0.18,581322
6-Aug-14,0.19,0.19,0.18,0.19,1005637
5-Aug-14,0.20,0.20,0.18,0.19,1041466
4-Aug-14,0.20,0.20,0.18,0.18,2580133
1-Aug-14,0.21,0.21,0.20,0.20,1053982
31-Jul-14,0.21,0.21,0.20,0.21,964760
30-Jul-14,0.22,0.22,0.20,0.21,1683344
29-Jul-14,0.22,0.22,0.20,0.21,925027
28-Jul-14,0.22,0.22,0.20,0.21,1315746
25-Jul-14,0.22,0.23,0.22,0.22,752302
24-Jul-14,0.23,0.23,0.22,0.23,648758
23-Jul-14,0.24,0.24,0.22,0.23,1657846
22-Jul-14,0.24,0.25,0.23,0.23,2517236
21-Jul-14,0.22,0.29,0.21,0.24,7398002
18-Jul-14,0.20,0.21,0.20,0.21,893458
17-Jul-14,0.21,0.21,0.20,0.20,1556407
16-Jul-14,0.21,0.22,0.20,0.21,1819772
15-Jul-14,0.21,0.24,0.21,0.22,1555852
14-Jul-14,0.22,0.22,0.21,0.22,1474025
11-Jul-14,0.25,0.26,0.22,0.22,4331948
10-Jul-14,0.23,0.25,0.23,0.24,2894611
9-Jul-14,0.21,0.23,0.21,0.23,2263019
8-Jul-14,0.22,0.23,0.20,0.21,4372535
7-Jul-14,0.28,0.28,0.21,0.22,10552724
3-Jul-14,0.27,0.28,0.26,0.28,1440167
2-Jul-14,0.28,0.28,0.24,0.27,5054369
1-Jul-14,0.30,0.31,0.28,0.28,3243918
30-Jun-14,0.28,0.32,0.28,0.30,4659285
27-Jun-14,0.30,0.30,0.26,0.28,11939139
26-Jun-14,0.34,0.34,0.29,0.30,4307099
25-Jun-14,0.34,0.35,0.32,0.33,3426511
24-Jun-14,0.40,0.40,0.32,0.33,13053753
23-Jun-14,0.46,0.48,0.39,0.40,23899702
20-Jun-14,0.32,0.34,0.28,0.33,17031566
19-Jun-14,0.44,0.49,0.28,0.28,31033206
18-Jun-14,0.83,0.86,0.83,0.85,651958
17-Jun-14,0.84,0.85,0.83,0.83,571980
16-Jun-14,0.84,0.86,0.81,0.84,630021
13-Jun-14,0.89,0.95,0.82,0.82,1005458
12-Jun-14,0.83,0.90,0.80,0.89,965264
11-Jun-14,0.90,0.90,0.84,0.84,654206
10-Jun-14,0.79,0.89,0.79,0.88,2009012
9-Jun-14,0.79,0.82,0.78,0.80,932129
6-Jun-14,0.78,0.81,0.74,0.79,880095
5-Jun-14,0.71,0.82,0.69,0.76,1268880
4-Jun-14,0.80,0.82,0.76,0.76,529508
3-Jun-14,0.83,0.84,0.76,0.80,1972664
2-Jun-14,0.86,0.86,0.83,0.84,370684
30-May-14,0.85,0.86,0.83,0.84,415342
29-May-14,0.84,0.86,0.83,0.84,559426
28-May-14,0.86,0.89,0.83,0.85,538268
27-May-14,0.88,0.91,0.86,0.87,532956
23-May-14,0.90,0.92,0.88,0.90,323270
22-May-14,0.90,0.94,0.89,0.91,521169
21-May-14,0.92,0.93,0.88,0.90,580079
20-May-14,0.95,0.98,0.90,0.91,1062859
19-May-14,0.96,0.98,0.93,0.96,569202
16-May-14,1.00,1.05,0.92,0.95,1520101
15-May-14,1.01,1.03,0.97,1.01,732459
14-May-14,1.02,1.07,1.00,1.02,907464
13-May-14,0.92,1.14,0.92,1.05,4855784
12-May-14,0.93,0.97,0.90,0.91,968293
9-May-14,0.83,1.00,0.82,0.90,2253538
8-May-14,0.88,0.90,0.83,0.84,4034980
7-May-14,1.08,1.08,0.83,0.90,3768809
6-May-14,1.11,1.15,1.04,1.08,3396136
5-May-14,1.20,1.23,1.17,1.19,516945
2-May-14,1.18,1.27,1.18,1.20,696717
1-May-14,1.16,1.20,1.15,1.17,814311
30-Apr-14,1.18,1.22,1.15,1.15,708610
29-Apr-14,1.18,1.23,1.17,1.18,514140
28-Apr-14,1.28,1.28,1.16,1.18,1806806
25-Apr-14,1.29,1.30,1.25,1.25,580855
24-Apr-14,1.28,1.32,1.27,1.30,291780
23-Apr-14,1.30,1.32,1.25,1.28,498099
