Date,Open,High,Low,Close,Volume
23-Oct-14,22.54,23.05,22.33,23.03,584247
22-Oct-14,22.85,23.16,22.32,22.36,412292
21-Oct-14,22.29,22.97,22.20,22.77,573332
20-Oct-14,21.99,22.34,21.85,22.18,416861
17-Oct-14,21.19,22.54,21.11,22.07,1079398
16-Oct-14,19.87,21.28,19.76,21.00,1226499
15-Oct-14,20.99,21.00,19.68,20.19,2268412
14-Oct-14,21.27,21.69,21.08,21.25,752512
13-Oct-14,21.45,21.85,20.81,21.29,1226664
10-Oct-14,22.87,23.11,21.36,21.56,1815675
9-Oct-14,23.23,23.33,22.56,23.03,938686
8-Oct-14,23.10,23.57,22.88,23.49,1443665
7-Oct-14,23.28,23.59,22.95,23.15,507475
6-Oct-14,23.96,23.96,23.19,23.45,949248
3-Oct-14,24.20,24.43,23.56,23.81,772726
2-Oct-14,24.02,24.31,23.70,24.11,419183
1-Oct-14,23.82,24.24,23.66,23.94,714390
30-Sep-14,24.27,24.30,23.82,23.91,587343
29-Sep-14,24.06,24.37,23.93,24.28,286663
26-Sep-14,24.30,24.55,24.13,24.22,318210
25-Sep-14,24.50,24.52,24.22,24.31,446489
24-Sep-14,24.10,24.72,24.04,24.48,534227
23-Sep-14,24.20,24.40,23.94,24.17,1190175
22-Sep-14,24.45,24.69,24.13,24.23,551755
19-Sep-14,24.86,25.00,24.43,24.64,1340879
18-Sep-14,24.40,25.11,24.30,24.77,661668
17-Sep-14,24.60,24.77,24.10,24.25,652573
16-Sep-14,24.67,24.75,24.28,24.63,806650
15-Sep-14,25.20,25.37,24.44,24.68,1010481
12-Sep-14,25.79,25.86,24.72,25.19,1310965
11-Sep-14,25.61,26.09,25.60,25.80,779148
10-Sep-14,25.36,25.78,25.29,25.70,450984
9-Sep-14,26.11,26.11,25.29,25.36,464824
8-Sep-14,26.37,26.37,25.90,26.10,414191
5-Sep-14,26.28,26.59,25.91,26.24,432493
4-Sep-14,26.22,26.89,25.91,26.14,1323984
3-Sep-14,26.53,26.71,26.10,26.32,948314
2-Sep-14,25.49,26.71,25.48,26.50,1249581
29-Aug-14,25.77,25.88,25.34,25.76,337142
28-Aug-14,25.67,25.91,25.38,25.69,358454
27-Aug-14,25.77,26.06,25.62,25.73,471996
26-Aug-14,26.00,26.49,25.66,25.86,1085607
25-Aug-14,25.92,26.06,25.67,25.99,1276409
22-Aug-14,25.92,25.98,25.63,25.89,597941
21-Aug-14,25.47,26.10,25.47,26.08,720506
20-Aug-14,24.93,25.60,24.92,25.40,1058410
19-Aug-14,24.92,25.15,24.85,24.97,477825
18-Aug-14,25.18,25.25,24.82,24.87,642618
15-Aug-14,25.47,25.58,24.77,24.97,795166
14-Aug-14,25.15,25.76,25.00,25.43,1175340
13-Aug-14,24.67,25.27,24.46,25.26,732895
12-Aug-14,24.32,24.74,24.18,24.62,1040008
11-Aug-14,24.66,24.91,24.34,24.43,483982
8-Aug-14,24.73,24.80,24.53,24.60,523168
7-Aug-14,24.98,25.02,24.39,24.70,503700
6-Aug-14,24.95,25.12,24.76,24.79,558080
5-Aug-14,24.91,25.18,24.74,25.01,1337554
4-Aug-14,24.95,25.69,24.81,25.42,1638052
1-Aug-14,24.41,25.04,23.99,24.89,1596577
31-Jul-14,24.56,25.80,24.38,24.64,2715462
30-Jul-14,24.03,24.19,23.81,24.07,2304524
29-Jul-14,23.99,24.21,23.45,24.01,2199038
28-Jul-14,23.44,24.16,23.13,24.09,1385262
25-Jul-14,22.94,23.46,22.77,23.40,1066915
24-Jul-14,23.22,23.33,22.79,23.06,987259
23-Jul-14,24.16,24.16,23.06,23.26,1312600
22-Jul-14,24.00,24.36,23.50,24.08,483088
21-Jul-14,23.66,23.98,21.85,23.96,509170
18-Jul-14,23.17,24.00,22.87,23.80,1411629
17-Jul-14,23.35,23.48,22.97,23.02,1316944
16-Jul-14,23.00,23.38,22.74,23.34,756911
15-Jul-14,23.00,23.18,22.61,22.85,633070
14-Jul-14,22.70,23.26,22.70,23.05,604577
11-Jul-14,22.26,22.67,22.19,22.50,510197
10-Jul-14,22.13,22.60,21.79,22.26,803766
9-Jul-14,22.34,22.77,22.25,22.46,855724
8-Jul-14,22.68,22.75,21.81,22.24,1465243
7-Jul-14,23.42,23.42,22.66,22.76,827027
3-Jul-14,23.49,23.60,23.31,23.34,667567
2-Jul-14,23.06,23.63,23.06,23.35,1157460
1-Jul-14,23.18,23.45,22.70,23.10,1218893
30-Jun-14,23.30,23.52,23.00,23.13,1121821
27-Jun-14,23.12,23.60,22.99,23.26,2619809
