Date,Open,High,Low,Close,Volume
23-Oct-14,5.64,5.82,5.40,5.76,3143
22-Oct-14,5.51,5.52,5.33,5.40,1054
21-Oct-14,5.04,5.46,4.74,5.40,5344
20-Oct-14,5.22,5.22,4.62,5.08,919
17-Oct-14,5.16,5.70,4.86,4.86,4778
16-Oct-14,5.16,5.40,5.16,5.16,1457
15-Oct-14,5.39,5.70,4.81,5.24,1948
14-Oct-14,5.46,5.64,5.16,5.40,4735
13-Oct-14,5.88,5.88,5.40,5.70,3976
10-Oct-14,5.58,5.94,5.34,5.70,4056
9-Oct-14,6.14,6.37,5.28,5.28,6518
8-Oct-14,6.19,6.19,5.64,5.64,5672
7-Oct-14,6.54,6.54,6.06,6.06,8252
6-Oct-14,6.90,6.90,6.18,6.48,2114
3-Oct-14,6.06,6.90,6.06,6.42,707
2-Oct-14,6.30,6.60,6.00,6.30,3374
1-Oct-14,6.30,6.42,6.00,6.24,8460
30-Sep-14,6.36,6.90,6.12,6.36,7605
29-Sep-14,6.60,6.90,6.24,6.48,12624
26-Sep-14,7.14,7.44,6.66,6.90,3244
25-Sep-14,7.50,7.50,7.20,7.26,1263
24-Sep-14,7.56,8.28,7.38,7.44,4857
23-Sep-14,7.86,8.52,7.50,7.74,6249
22-Sep-14,8.22,8.46,7.98,8.04,5440
19-Sep-14,8.52,9.00,8.22,8.22,11244
18-Sep-14,8.64,8.76,8.52,8.58,5254
17-Sep-14,8.82,8.82,8.52,8.70,7057
16-Sep-14,9.00,9.30,8.40,8.82,43249
15-Sep-14,10.50,11.40,10.50,10.98,24990
12-Sep-14,10.32,10.87,10.32,10.56,1303
11-Sep-14,10.62,10.62,10.26,10.38,4991
10-Sep-14,10.62,10.86,10.62,10.62,2342
9-Sep-14,11.40,11.48,10.44,10.92,14345
8-Sep-14,10.38,12.12,9.96,11.04,61004
5-Sep-14,9.90,10.74,9.60,10.20,16772
4-Sep-14,9.24,9.72,9.24,9.42,1018
3-Sep-14,9.48,9.48,9.36,9.42,2070
2-Sep-14,9.48,9.48,9.00,9.36,5648
29-Aug-14,9.48,9.54,9.24,9.24,1450
28-Aug-14,10.02,10.02,9.00,9.36,5400
27-Aug-14,9.48,9.54,9.12,9.18,674
26-Aug-14,9.21,9.54,9.21,9.36,1036
25-Aug-14,9.60,9.60,9.24,9.24,5759
22-Aug-14,9.48,9.61,9.30,9.36,1477
21-Aug-14,9.30,9.54,9.24,9.48,825
20-Aug-14,9.42,9.54,9.18,9.42,3364
19-Aug-14,8.94,9.48,8.94,9.42,2763
18-Aug-14,8.94,9.54,8.76,9.12,6061
15-Aug-14,9.18,9.84,8.82,9.06,21186
14-Aug-14,9.36,9.84,9.18,9.24,9430
13-Aug-14,9.54,9.54,9.12,9.18,7661
12-Aug-14,9.72,9.72,9.60,9.66,1144
11-Aug-14,9.90,10.14,9.48,9.72,20530
8-Aug-14,9.76,10.02,9.76,10.02,4202
7-Aug-14,10.50,10.56,9.86,10.14,4636
6-Aug-14,9.96,11.34,9.81,10.20,18589
5-Aug-14,10.20,10.20,9.60,9.78,7756
4-Aug-14,10.08,10.20,9.90,9.96,3826
1-Aug-14,10.56,10.68,9.72,10.26,8916
31-Jul-14,10.80,11.04,10.62,10.80,1813
30-Jul-14,10.74,11.08,10.56,10.80,3739
29-Jul-14,10.86,10.98,10.62,10.92,1070
28-Jul-14,11.22,11.22,10.80,11.04,3920
25-Jul-14,11.22,11.76,11.10,11.40,3266
24-Jul-14,10.80,11.70,10.80,11.40,5652
23-Jul-14,10.80,11.70,10.80,10.98,14119
22-Jul-14,11.10,11.22,10.74,10.86,5579
21-Jul-14,11.34,11.34,10.92,11.04,8160
18-Jul-14,12.00,12.00,11.40,11.46,6115
17-Jul-14,11.58,12.90,11.46,11.70,11379
16-Jul-14,12.54,12.60,11.64,11.82,9431
15-Jul-14,13.14,13.98,12.42,12.48,21940
14-Jul-14,12.72,13.38,12.60,13.02,3304
11-Jul-14,12.60,13.02,12.36,12.54,2856
10-Jul-14,12.42,13.08,12.30,12.66,6633
9-Jul-14,13.26,13.62,12.96,13.02,3508
8-Jul-14,12.60,13.26,12.13,12.90,3191
7-Jul-14,14.10,14.30,12.72,13.02,16772
3-Jul-14,15.30,15.30,14.40,14.52,8447
2-Jul-14,13.92,15.90,13.92,15.36,43901
1-Jul-14,13.50,13.92,13.50,13.86,5464
30-Jun-14,14.40,14.64,13.50,13.56,38481
27-Jun-14,10.50,17.40,10.50,15.00,281162
26-Jun-14,10.26,10.50,10.26,10.50,1954
25-Jun-14,10.20,10.80,10.20,10.44,1387
24-Jun-14,10.98,11.28,10.08,10.56,7349
23-Jun-14,11.40,11.64,10.98,11.14,7992
20-Jun-14,10.26,11.40,10.08,11.40,27237
19-Jun-14,10.08,11.04,10.08,10.32,6100
18-Jun-14,10.26,10.50,9.90,10.50,14626
17-Jun-14,11.22,11.22,10.38,10.62,13726
16-Jun-14,11.34,11.88,10.20,11.22,13985
13-Jun-14,13.02,13.02,10.56,11.88,14391
12-Jun-14,11.76,12.60,11.35,12.23,9484
11-Jun-14,11.76,12.60,10.58,11.72,11020
10-Jun-14,11.76,12.89,11.76,12.60,8336
9-Jun-14,13.23,13.23,12.60,13.23,5917
6-Jun-14,12.81,13.44,12.81,13.13,4153
5-Jun-14,13.02,13.78,12.60,13.31,1709
4-Jun-14,13.02,13.73,13.02,13.40,1892
3-Jun-14,13.44,13.86,13.44,13.44,4476
2-Jun-14,13.44,14.49,13.44,13.44,3339
30-May-14,13.86,14.54,13.04,13.99,6031
29-May-14,14.72,15.33,14.49,14.51,2305
28-May-14,15.12,15.17,13.86,14.72,3693
27-May-14,15.54,15.54,15.15,15.33,3449
23-May-14,15.33,15.83,15.33,15.75,1564
22-May-14,15.33,15.67,15.33,15.54,996
21-May-14,15.96,15.96,15.33,15.67,431
20-May-14,15.56,15.75,15.12,15.54,783
19-May-14,15.12,15.96,15.12,15.88,806
16-May-14,15.21,15.96,14.73,15.62,5357
15-May-14,15.98,16.59,15.59,15.96,2408
14-May-14,17.22,17.22,15.96,15.96,4604
13-May-14,17.22,17.22,16.43,16.44,1771
12-May-14,17.64,17.64,16.61,16.63,1880
9-May-14,18.06,18.19,16.51,18.06,1155
8-May-14,16.70,17.47,16.49,16.72,1663
7-May-14,16.99,17.43,16.47,17.22,3299
6-May-14,16.80,17.20,16.78,16.80,1442
5-May-14,17.22,17.43,16.59,16.80,1525
2-May-14,17.22,18.14,16.59,17.05,4906
1-May-14,17.14,18.90,16.80,17.22,10255
30-Apr-14,16.38,17.43,16.25,16.80,1917
29-Apr-14,16.39,17.51,16.39,16.80,586
28-Apr-14,17.56,17.56,16.38,16.59,1045
25-Apr-14,16.80,17.56,16.80,16.85,1035
24-Apr-14,17.64,17.64,16.54,16.88,1344
23-Apr-14,17.64,17.93,16.80,16.93,898
22-Apr-14,18.46,18.69,16.38,17.64,2263
21-Apr-14,18.84,18.84,16.11,17.22,1296
17-Apr-14,18.88,18.90,16.17,17.64,3948
16-Apr-14,17.22,18.90,16.66,18.19,15946
15-Apr-14,15.58,18.06,15.54,15.96,5080
14-Apr-14,15.60,16.51,15.60,15.75,1590
11-Apr-14,16.38,17.64,15.60,15.85,3304
10-Apr-14,17.03,17.20,15.55,16.16,4312
9-Apr-14,16.42,17.85,16.09,17.43,1084
8-Apr-14,15.54,17.85,15.54,17.66,9309
7-Apr-14,15.54,16.34,15.54,15.86,5259
4-Apr-14,16.38,16.78,15.62,16.38,3067
3-Apr-14,17.22,17.22,16.43,16.77,2939
2-Apr-14,17.22,17.22,16.59,16.78,7006
1-Apr-14,16.38,18.34,16.38,17.47,2441
31-Mar-14,18.27,18.89,15.54,17.01,15603
28-Mar-14,19.11,19.11,18.27,18.48,7243
27-Mar-14,18.90,18.95,18.69,18.69,3204
26-Mar-14,20.58,20.58,18.69,18.74,8768
25-Mar-14,19.32,21.63,18.96,20.79,37242
24-Mar-14,19.70,19.70,18.69,19.19,8916
21-Mar-14,18.98,20.12,18.98,19.74,4905
20-Mar-14,19.74,20.07,19.11,19.15,3008
19-Mar-14,19.32,20.12,19.32,19.53,2440
18-Mar-14,20.16,20.58,18.90,19.31,9225
17-Mar-14,19.38,21.00,19.32,21.00,11059
14-Mar-14,20.58,20.58,19.32,19.32,5433
13-Mar-14,21.08,21.76,19.35,20.25,26127
12-Mar-14,22.26,22.89,22.26,22.56,7829
11-Mar-14,22.63,22.81,22.26,22.26,7147
10-Mar-14,22.37,23.94,22.05,22.05,18977
7-Mar-14,22.68,23.52,21.84,22.68,8554
6-Mar-14,22.89,23.47,21.92,22.74,4728
5-Mar-14,23.52,23.52,22.47,23.51,6602
4-Mar-14,21.84,23.52,21.84,22.27,6568
3-Mar-14,22.26,22.65,21.97,22.05,2558
28-Feb-14,22.29,22.67,22.28,22.30,1815
27-Feb-14,22.26,22.64,22.26,22.26,1783
26-Feb-14,21.84,22.63,21.84,22.26,1732
25-Feb-14,22.68,22.68,21.84,22.26,4938
24-Feb-14,21.84,22.89,21.84,22.68,7668
21-Feb-14,22.43,23.10,21.84,22.05,5871
20-Feb-14,22.33,22.89,22.33,22.89,1432
19-Feb-14,23.10,23.10,22.68,22.68,3249
18-Feb-14,23.10,23.10,22.68,22.89,2508
14-Feb-14,23.35,23.35,22.47,23.10,5510
13-Feb-14,22.39,23.47,22.39,23.10,2578
12-Feb-14,22.26,22.68,22.26,22.39,3877
11-Feb-14,23.10,23.10,22.47,22.48,2927
10-Feb-14,22.68,23.52,22.26,23.52,1595
7-Feb-14,22.89,23.10,21.84,22.64,6501
6-Feb-14,23.52,23.52,22.47,22.89,2308
5-Feb-14,23.08,23.10,22.51,22.72,2494
4-Feb-14,22.47,23.23,22.47,23.23,5098
3-Feb-14,22.26,23.10,22.26,23.10,2520
31-Jan-14,22.26,22.68,22.26,22.64,4553
30-Jan-14,22.68,23.52,22.26,22.84,3592
29-Jan-14,22.68,23.52,22.68,22.73,3135
28-Jan-14,23.10,23.94,22.26,23.31,3720
27-Jan-14,23.73,23.73,21.84,23.18,20225
24-Jan-14,24.36,24.56,23.73,23.94,14556
23-Jan-14,24.37,24.78,24.15,24.73,4762
22-Jan-14,24.07,24.75,24.07,24.37,5766
21-Jan-14,24.78,24.93,24.02,24.11,6126
17-Jan-14,24.36,25.20,23.73,25.20,5495
16-Jan-14,23.94,24.20,23.52,24.07,5552
15-Jan-14,25.20,25.20,23.52,24.11,37550
14-Jan-14,30.45,31.88,28.98,30.24,34117
13-Jan-14,29.82,31.29,29.40,29.78,19991
10-Jan-14,31.08,31.91,28.63,30.20,17289
9-Jan-14,29.40,31.50,27.80,31.07,58475
8-Jan-14,23.52,28.56,23.52,27.72,39354
7-Jan-14,23.52,23.95,23.52,23.94,3616
6-Jan-14,24.15,24.36,23.52,23.52,5547
3-Jan-14,23.10,24.74,23.10,24.15,4242
2-Jan-14,24.36,25.20,24.36,24.78,2647
31-Dec-13,23.94,25.20,23.73,24.79,9240
30-Dec-13,23.94,24.36,23.10,24.28,7171
27-Dec-13,24.02,24.70,21.46,23.63,15204
26-Dec-13,24.36,24.78,24.04,24.57,4318
24-Dec-13,24.46,24.78,23.94,24.78,5413
23-Dec-13,24.36,25.20,24.36,25.09,3866
20-Dec-13,24.57,24.78,24.36,24.36,3872
19-Dec-13,24.85,25.61,24.57,24.74,2718
18-Dec-13,25.20,25.62,24.58,25.41,2660
17-Dec-13,24.57,25.62,24.57,25.54,2077
16-Dec-13,24.36,25.41,24.36,25.28,4391
13-Dec-13,24.95,25.28,24.51,24.78,1041
12-Dec-13,24.78,25.61,24.78,25.15,3340
11-Dec-13,24.51,25.83,24.44,25.16,5775
10-Dec-13,24.36,25.62,24.36,25.62,5979
9-Dec-13,24.36,25.21,24.36,24.40,4084
6-Dec-13,24.81,25.20,24.36,25.20,4806
5-Dec-13,26.04,26.04,24.83,25.20,2666
4-Dec-13,24.78,26.02,24.78,25.33,2007
3-Dec-13,24.78,25.57,24.78,25.20,1467
2-Dec-13,25.20,25.96,24.82,24.82,1722
29-Nov-13,24.78,25.62,24.78,25.41,1592
27-Nov-13,26.04,26.04,24.78,24.99,3346
26-Nov-13,25.16,26.88,24.40,25.62,8274
25-Nov-13,24.19,25.62,24.15,25.21,7286
22-Nov-13,24.15,24.78,24.15,24.20,3988
21-Nov-13,24.42,25.62,23.94,24.02,4870
20-Nov-13,24.57,26.02,24.19,24.36,17646
19-Nov-13,24.69,24.69,24.19,24.19,2537
18-Nov-13,24.36,24.70,24.36,24.36,3106
15-Nov-13,24.57,24.70,23.94,24.36,3704
14-Nov-13,23.98,24.70,23.98,24.19,2409
13-Nov-13,23.98,24.71,23.90,24.07,4381
12-Nov-13,24.36,24.78,23.98,24.02,3248
11-Nov-13,23.10,24.71,23.10,24.65,6329
8-Nov-13,23.10,24.15,23.10,23.52,9122
7-Nov-13,23.93,25.20,22.73,23.99,5980
6-Nov-13,25.16,25.44,22.40,23.31,25522
5-Nov-13,25.62,25.62,25.03,25.20,5388
4-Nov-13,25.20,25.45,24.99,25.03,2816
1-Nov-13,25.20,25.53,24.83,25.30,1342
31-Oct-13,25.62,25.62,25.03,25.48,4661
30-Oct-13,24.78,26.33,24.78,25.61,5168
29-Oct-13,25.62,26.04,24.78,25.17,3541
28-Oct-13,26.46,26.46,24.86,24.95,8495
25-Oct-13,25.20,28.06,25.20,25.62,23727
24-Oct-13,25.16,25.83,24.78,25.62,4293
23-Oct-13,24.78,25.20,24.49,25.12,1926
22-Oct-13,25.20,25.22,24.38,24.78,1058
21-Oct-13,24.78,26.04,24.36,24.36,9754
18-Oct-13,25.20,26.04,24.07,25.20,10296
17-Oct-13,24.57,25.09,23.96,24.78,5564
16-Oct-13,24.15,24.76,23.98,24.57,986
15-Oct-13,24.00,24.94,24.00,24.78,2222
14-Oct-13,25.20,25.20,23.73,25.08,2145
11-Oct-13,24.36,24.78,23.73,24.78,1948
10-Oct-13,23.54,24.34,23.54,23.95,1166
9-Oct-13,23.94,24.57,23.62,23.65,2180
8-Oct-13,25.16,25.16,23.53,24.36,1387
