Date,Open,High,Low,Close,Volume
23-Oct-14,61.28,62.72,60.48,61.12,18048
22-Oct-14,62.08,62.88,60.32,60.96,21627
21-Oct-14,61.12,62.72,61.12,61.92,24596
20-Oct-14,58.88,62.08,58.88,60.96,38129
17-Oct-14,61.44,61.44,59.20,59.36,32806
16-Oct-14,60.00,61.44,59.04,60.32,28175
15-Oct-14,58.56,61.12,56.80,60.96,60777
14-Oct-14,59.36,60.16,58.40,59.68,26831
13-Oct-14,59.68,60.56,58.56,58.88,19613
10-Oct-14,58.56,61.28,57.28,59.84,41478
9-Oct-14,60.80,61.12,58.88,59.04,69114
8-Oct-14,59.68,61.28,58.72,61.12,20478
7-Oct-14,59.84,60.80,59.20,59.68,36386
6-Oct-14,60.80,60.96,59.60,60.00,17027
3-Oct-14,61.76,61.76,60.64,60.80,22819
2-Oct-14,57.92,61.28,57.68,60.80,33698
1-Oct-14,60.16,60.16,56.32,57.92,66456
30-Sep-14,61.28,61.76,59.84,60.00,43016
29-Sep-14,61.12,61.60,60.40,61.12,45272
26-Sep-14,60.96,62.08,60.16,62.08,27389
25-Sep-14,60.64,61.44,59.68,60.96,36358
24-Sep-14,62.24,62.24,58.88,60.96,27568
23-Sep-14,62.40,63.04,61.76,61.92,25017
22-Sep-14,61.92,62.88,61.44,62.56,58348
19-Sep-14,63.68,63.87,61.44,62.48,81415
18-Sep-14,63.52,64.16,63.20,63.68,22133
17-Sep-14,64.16,64.32,63.20,63.36,14435
16-Sep-14,64.00,64.62,63.36,64.32,32609
15-Sep-14,65.44,65.60,64.00,64.48,39420
12-Sep-14,66.40,66.56,65.12,65.76,26605
11-Sep-14,65.28,66.48,64.96,66.24,21928
10-Sep-14,65.92,66.56,65.44,65.76,25682
9-Sep-14,65.60,65.91,64.64,65.44,78884
8-Sep-14,64.80,66.08,64.80,65.60,16958
5-Sep-14,64.96,65.60,64.34,64.80,28549
4-Sep-14,66.08,66.72,65.12,65.28,37110
3-Sep-14,67.36,67.36,65.12,66.24,46876
2-Sep-14,66.08,67.20,65.28,66.88,32066
29-Aug-14,64.64,65.60,64.00,65.44,20583
28-Aug-14,64.16,64.80,63.84,64.48,11073
27-Aug-14,65.60,65.60,64.32,64.64,18048
26-Aug-14,65.76,66.40,65.60,65.76,21207
25-Aug-14,65.44,66.40,65.12,65.92,20071
22-Aug-14,65.28,65.44,64.48,65.12,17449
21-Aug-14,64.64,65.76,63.84,65.12,21089
20-Aug-14,65.28,66.40,64.32,64.80,26492
19-Aug-14,65.60,65.92,65.28,65.60,24911
18-Aug-14,65.28,65.92,64.16,65.60,32912
15-Aug-14,65.28,65.28,62.64,64.32,41334
14-Aug-14,66.40,66.56,64.32,64.32,41320
13-Aug-14,65.60,66.08,65.12,65.60,14286
12-Aug-14,65.12,65.28,64.80,65.12,37717
11-Aug-14,64.80,65.92,64.16,65.28,31963
8-Aug-14,63.84,64.64,63.04,64.48,24918
7-Aug-14,64.80,66.24,63.04,64.00,38614
6-Aug-14,63.36,65.12,62.56,64.34,33082
5-Aug-14,64.00,64.00,62.72,63.20,22157
4-Aug-14,64.32,64.64,62.56,63.84,19712
1-Aug-14,64.00,64.64,63.36,64.16,39094
31-Jul-14,65.44,66.56,63.36,64.00,179762
30-Jul-14,67.20,67.36,65.60,66.56,13929
29-Jul-14,66.40,67.20,65.60,66.40,13326
28-Jul-14,67.20,67.20,65.44,65.92,78524
25-Jul-14,67.52,68.32,66.72,66.88,38862
24-Jul-14,68.96,69.12,67.36,68.32,29854
23-Jul-14,68.80,69.28,68.00,68.48,23148
22-Jul-14,69.12,69.12,67.84,68.96,50846
21-Jul-14,68.48,68.96,67.84,68.72,15206
18-Jul-14,66.24,69.60,65.76,69.28,30590
17-Jul-14,69.12,69.60,66.72,67.84,78327
16-Jul-14,71.36,71.36,69.28,69.92,25210
15-Jul-14,69.60,70.96,68.16,70.56,57835
14-Jul-14,68.32,69.76,68.00,69.44,34927
11-Jul-14,66.08,67.76,65.92,67.20,33085
10-Jul-14,64.80,66.56,64.64,66.40,67183
9-Jul-14,65.92,66.40,64.96,65.60,54419
8-Jul-14,67.52,68.64,64.64,65.92,51860
7-Jul-14,69.28,69.28,67.36,67.52,17506
3-Jul-14,69.12,69.92,68.64,69.28,11556
2-Jul-14,68.48,69.84,68.16,68.96,24563
1-Jul-14,67.84,69.28,67.36,68.64,36950
30-Jun-14,68.48,69.28,67.36,67.52,31687
27-Jun-14,67.20,69.44,67.20,68.64,147671
26-Jun-14,68.64,68.64,66.88,67.84,36814
