Date,Open,High,Low,Close,Volume
23-Oct-14,4.74,4.90,4.65,4.65,22152
22-Oct-14,4.73,4.86,4.70,4.73,29894
21-Oct-14,5.00,5.00,4.70,4.75,29935
20-Oct-14,4.90,4.99,4.75,4.94,24712
17-Oct-14,4.85,5.02,4.80,4.96,31300
16-Oct-14,4.81,5.09,4.81,4.86,23055
15-Oct-14,4.58,5.11,4.50,5.01,15696
14-Oct-14,5.11,5.11,5.02,5.03,15207
13-Oct-14,5.12,5.12,5.03,5.05,10010
10-Oct-14,5.02,5.12,5.02,5.11,24760
9-Oct-14,4.94,5.03,4.94,5.02,24177
8-Oct-14,4.73,4.92,4.73,4.85,13286
7-Oct-14,4.75,4.78,4.75,4.77,9615
6-Oct-14,4.90,4.90,4.76,4.78,17798
3-Oct-14,4.95,4.97,4.92,4.93,14387
2-Oct-14,5.06,5.09,5.00,5.02,10058
1-Oct-14,4.96,5.03,4.90,5.03,10976
30-Sep-14,4.88,5.01,4.87,4.94,24977
29-Sep-14,5.02,5.03,5.00,5.03,7211
26-Sep-14,5.01,5.03,5.00,5.00,6137
25-Sep-14,5.05,5.08,4.90,5.00,11498
24-Sep-14,5.03,5.10,5.03,5.03,11044
23-Sep-14,5.06,5.09,4.83,5.06,14207
22-Sep-14,5.03,5.11,5.00,5.10,14445
19-Sep-14,5.03,5.11,5.01,5.08,41935
18-Sep-14,4.86,5.06,4.85,5.03,22335
17-Sep-14,5.03,5.03,4.85,4.90,38270
16-Sep-14,5.03,5.08,5.00,5.04,10671
15-Sep-14,5.18,5.18,5.00,5.00,13479
12-Sep-14,5.07,5.17,5.07,5.14,14704
11-Sep-14,5.08,5.17,5.06,5.12,13937
10-Sep-14,5.12,5.15,5.04,5.12,8715
9-Sep-14,5.12,5.17,5.12,5.12,31404
8-Sep-14,5.12,5.15,5.00,5.12,10678
5-Sep-14,5.11,5.15,4.95,5.10,10346
4-Sep-14,5.13,5.16,5.11,5.11,19419
3-Sep-14,5.13,5.17,5.12,5.15,33922
2-Sep-14,5.12,5.17,5.12,5.13,24127
29-Aug-14,5.11,5.17,5.11,5.12,16101
28-Aug-14,5.16,5.17,5.11,5.14,6222
27-Aug-14,5.17,5.17,5.11,5.13,38033
26-Aug-14,5.17,5.17,5.14,5.16,8600
25-Aug-14,5.18,5.18,5.12,5.15,24625
22-Aug-14,5.03,5.20,5.03,5.15,40322
21-Aug-14,5.05,5.08,5.02,5.03,9878
20-Aug-14,5.02,5.13,5.02,5.08,21296
19-Aug-14,5.00,5.05,5.00,5.04,18367
18-Aug-14,4.96,5.04,4.96,4.99,56932
15-Aug-14,4.85,4.96,4.85,4.93,63559
14-Aug-14,4.77,4.90,4.76,4.76,9692
13-Aug-14,4.80,4.89,4.77,4.77,10589
12-Aug-14,4.86,4.86,4.80,4.82,5575
11-Aug-14,4.85,4.94,4.85,4.88,7014
8-Aug-14,4.88,4.92,4.80,4.83,10181
7-Aug-14,4.92,4.93,4.89,4.91,17947
6-Aug-14,4.70,4.95,4.70,4.81,102749
5-Aug-14,4.45,4.60,4.45,4.53,8240
4-Aug-14,4.52,4.58,4.48,4.49,20363
1-Aug-14,4.45,4.64,4.45,4.55,3452
31-Jul-14,4.67,4.69,4.54,4.64,9480
30-Jul-14,4.64,4.64,4.43,4.59,21696
29-Jul-14,4.54,4.64,4.50,4.50,54565
28-Jul-14,4.53,4.64,4.50,4.53,22413
25-Jul-14,4.57,4.65,4.52,4.55,15434
24-Jul-14,4.70,4.70,4.58,4.66,3616
23-Jul-14,4.62,4.75,4.55,4.70,53041
22-Jul-14,4.53,4.60,4.50,4.56,62202
21-Jul-14,4.46,4.59,4.46,4.52,33581
18-Jul-14,4.59,4.60,4.50,4.51,6121
17-Jul-14,4.50,4.56,4.50,4.50,9375
16-Jul-14,4.50,4.56,4.50,4.52,7873
15-Jul-14,4.55,4.60,4.50,4.52,11085
14-Jul-14,4.55,4.67,4.55,4.62,31978
11-Jul-14,4.52,4.64,4.49,4.55,97847
10-Jul-14,4.44,4.60,4.42,4.50,7643
9-Jul-14,4.47,4.66,4.45,4.54,9372
8-Jul-14,4.48,4.55,4.47,4.48,6556
7-Jul-14,4.53,4.59,4.51,4.51,16072
3-Jul-14,4.53,4.60,4.53,4.56,18226
2-Jul-14,4.45,4.57,4.45,4.52,33595
1-Jul-14,4.44,4.50,4.44,4.49,54399
30-Jun-14,4.46,4.53,4.45,4.50,8780
27-Jun-14,4.39,4.53,4.36,4.53,40925
26-Jun-14,4.43,4.50,4.43,4.46,8151
25-Jun-14,4.42,4.48,4.42,4.46,3133
24-Jun-14,4.53,4.53,4.41,4.46,18439
23-Jun-14,4.42,4.54,4.42,4.49,34044
20-Jun-14,4.46,4.54,4.46,4.53,30691
19-Jun-14,4.41,4.54,4.41,4.49,14699
18-Jun-14,4.45,4.54,4.42,4.52,12734
17-Jun-14,4.52,4.52,4.44,4.47,3261
16-Jun-14,4.47,4.49,4.44,4.48,13202
13-Jun-14,4.47,4.51,4.47,4.49,14344
12-Jun-14,4.51,4.51,4.48,4.49,8143
11-Jun-14,4.46,4.50,4.46,4.50,4203
10-Jun-14,4.50,4.51,4.48,4.49,7217
9-Jun-14,4.54,4.55,4.50,4.53,14599
6-Jun-14,4.51,4.59,4.48,4.59,16881
5-Jun-14,4.47,4.53,4.45,4.53,10260
4-Jun-14,4.56,4.56,4.45,4.50,20648
3-Jun-14,4.41,4.52,4.40,4.52,33142
2-Jun-14,4.58,4.58,4.45,4.52,27796
30-May-14,4.48,4.58,4.48,4.55,21998
29-May-14,4.42,4.53,4.41,4.50,17610
28-May-14,4.44,4.51,4.44,4.45,3760
27-May-14,4.50,4.54,4.47,4.47,10360
23-May-14,4.43,4.54,4.41,4.49,9020
22-May-14,4.48,4.56,4.46,4.51,10646
21-May-14,4.50,4.53,4.42,4.45,17517
20-May-14,4.46,4.51,4.44,4.46,8837
19-May-14,4.47,4.52,4.46,4.48,32046
16-May-14,4.42,4.51,4.42,4.51,23570
15-May-14,4.48,4.50,4.44,4.49,29762
14-May-14,4.34,4.49,4.34,4.48,46451
13-May-14,4.30,4.30,4.22,4.22,8405
12-May-14,4.30,4.32,4.24,4.31,12354
9-May-14,4.20,4.28,4.20,4.27,15390
8-May-14,4.26,4.27,4.20,4.22,16677
7-May-14,4.28,4.29,4.22,4.24,14169
6-May-14,4.36,4.38,4.24,4.32,58834
5-May-14,4.39,4.42,4.36,4.40,32002
2-May-14,4.41,4.45,4.37,4.44,29244
1-May-14,4.39,4.46,4.39,4.44,31386
30-Apr-14,4.47,4.48,4.39,4.45,7356
29-Apr-14,4.42,4.46,4.41,4.45,30798
28-Apr-14,4.47,4.49,4.41,4.43,24285
25-Apr-14,4.44,4.48,4.42,4.45,43066
24-Apr-14,4.47,4.48,4.43,4.48,33137
23-Apr-14,4.48,4.51,4.46,4.47,5987
22-Apr-14,4.49,4.55,4.46,4.52,41546
21-Apr-14,4.43,4.50,4.41,4.49,16500
17-Apr-14,4.49,4.49,4.43,4.46,8645
16-Apr-14,4.50,4.55,4.39,4.52,40826
15-Apr-14,4.52,4.56,4.46,4.51,15854
14-Apr-14,4.48,4.50,4.46,4.50,27888
11-Apr-14,4.47,4.53,4.45,4.47,29455
10-Apr-14,4.51,4.53,4.44,4.46,37641
9-Apr-14,4.50,4.53,4.45,4.49,36114
8-Apr-14,4.49,4.52,4.47,4.47,30983
7-Apr-14,4.46,4.50,4.43,4.48,33157
4-Apr-14,4.55,4.55,4.49,4.49,94428
3-Apr-14,4.46,4.56,4.46,4.51,72338
2-Apr-14,4.49,4.51,4.44,4.49,94053
1-Apr-14,4.52,4.54,4.30,4.46,129562
31-Mar-14,4.49,4.53,4.43,4.50,39729
28-Mar-14,4.49,4.53,4.46,4.51,33709
27-Mar-14,4.46,4.47,4.42,4.47,14013
26-Mar-14,4.51,4.53,4.44,4.49,6330
25-Mar-14,4.49,4.59,4.44,4.47,24570
24-Mar-14,4.48,4.48,4.33,4.45,18618
21-Mar-14,4.55,4.59,4.45,4.47,95738
20-Mar-14,4.58,4.65,4.50,4.58,33964
19-Mar-14,4.56,4.63,4.49,4.54,30720
18-Mar-14,4.48,4.55,4.44,4.50,100365
17-Mar-14,4.55,4.55,4.37,4.51,66294
14-Mar-14,4.53,4.64,4.47,4.58,117072
13-Mar-14,4.63,4.68,4.53,4.55,52530
12-Mar-14,4.66,4.70,4.57,4.60,67097
11-Mar-14,4.68,4.82,4.67,4.70,73840
10-Mar-14,4.70,4.75,4.63,4.70,135144
7-Mar-14,4.71,5.10,4.63,4.75,284014
6-Mar-14,4.68,4.75,4.61,4.74,30692
5-Mar-14,4.63,4.71,4.60,4.70,58766
4-Mar-14,4.65,4.78,4.61,4.76,76176
3-Mar-14,4.60,4.69,4.60,4.67,27620
28-Feb-14,4.62,4.69,4.60,4.63,26912
27-Feb-14,4.60,4.67,4.60,4.67,27561
26-Feb-14,4.70,4.74,4.60,4.60,20947
25-Feb-14,4.70,4.80,4.69,4.69,28117
24-Feb-14,4.78,4.85,4.71,4.71,4147
21-Feb-14,4.83,4.92,4.69,4.78,21020
20-Feb-14,4.82,4.87,4.77,4.78,10956
19-Feb-14,4.83,4.94,4.73,4.86,28453
18-Feb-14,4.76,4.93,4.76,4.89,20557
14-Feb-14,4.77,4.87,4.69,4.76,7960
13-Feb-14,4.74,4.87,4.66,4.70,18063
12-Feb-14,4.76,4.84,4.70,4.77,11245
11-Feb-14,4.73,4.81,4.67,4.73,17549
10-Feb-14,4.70,4.75,4.70,4.73,13491
7-Feb-14,4.67,4.72,4.67,4.70,15351
6-Feb-14,4.69,4.69,4.60,4.61,12630
5-Feb-14,4.87,4.87,4.69,4.70,21276
4-Feb-14,4.56,5.04,4.51,5.00,36790
3-Feb-14,4.70,4.73,4.50,4.50,16086
31-Jan-14,4.71,4.78,4.66,4.70,23223
30-Jan-14,4.92,4.93,4.81,4.82,14453
29-Jan-14,4.82,4.84,4.67,4.72,15162
28-Jan-14,4.65,4.96,4.65,4.88,139163
27-Jan-14,4.72,4.82,4.67,4.67,22340
24-Jan-14,4.92,4.98,4.79,4.79,11290
23-Jan-14,4.99,4.99,4.91,4.91,5291
22-Jan-14,5.01,5.03,4.96,5.00,18487
21-Jan-14,4.94,5.04,4.92,4.97,13772
17-Jan-14,4.90,5.01,4.90,4.95,17566
16-Jan-14,4.93,4.99,4.89,4.92,16792
15-Jan-14,4.95,4.99,4.90,4.92,13797
14-Jan-14,5.07,5.08,4.95,4.97,28992
13-Jan-14,5.10,5.12,5.02,5.08,44855
10-Jan-14,5.10,5.15,5.08,5.13,39632
9-Jan-14,5.10,5.17,5.05,5.13,43296
8-Jan-14,5.10,5.19,5.03,5.10,57561
7-Jan-14,5.14,5.16,5.10,5.12,9626
6-Jan-14,5.11,5.15,5.07,5.11,52160
3-Jan-14,5.11,5.16,5.08,5.08,19384
2-Jan-14,5.15,5.15,5.10,5.14,10763
31-Dec-13,5.14,5.14,5.06,5.11,61634
30-Dec-13,5.11,5.14,5.07,5.14,43473
27-Dec-13,5.12,5.22,5.08,5.16,22667
26-Dec-13,5.15,5.22,5.10,5.17,44672
24-Dec-13,5.10,5.15,5.10,5.15,39983
23-Dec-13,5.11,5.13,5.06,5.10,79766
20-Dec-13,5.13,5.15,5.08,5.13,19710
19-Dec-13,5.12,5.16,5.05,5.16,79893
18-Dec-13,5.05,5.16,5.05,5.16,42168
17-Dec-13,5.03,5.09,5.02,5.07,72723
16-Dec-13,5.00,5.10,5.00,5.05,28185
13-Dec-13,5.04,5.04,4.96,5.03,43095
12-Dec-13,5.01,5.16,5.00,5.01,67697
11-Dec-13,5.04,5.09,4.98,5.00,35508
10-Dec-13,4.97,5.06,4.91,5.00,111702
9-Dec-13,4.86,4.98,4.84,4.94,21238
6-Dec-13,4.87,5.00,4.81,4.91,21573
5-Dec-13,4.93,4.96,4.80,4.80,12457
4-Dec-13,4.85,5.01,4.83,4.96,11047
3-Dec-13,4.86,4.92,4.78,4.85,41890
2-Dec-13,4.95,4.98,4.85,4.90,19485
29-Nov-13,4.95,4.99,4.94,4.99,3608
27-Nov-13,4.86,4.98,4.85,4.97,10531
26-Nov-13,4.85,4.90,4.81,4.87,68043
25-Nov-13,4.80,4.94,4.76,4.86,68970
22-Nov-13,4.80,4.85,4.78,4.83,56400
21-Nov-13,4.97,5.02,4.80,4.83,30092
20-Nov-13,4.82,5.01,4.80,4.99,45720
19-Nov-13,4.85,4.88,4.71,4.84,37126
18-Nov-13,4.86,4.89,4.74,4.82,31814
15-Nov-13,4.96,4.96,4.86,4.90,11313
14-Nov-13,4.75,5.04,4.75,4.97,13160
13-Nov-13,4.83,4.83,4.69,4.79,39329
12-Nov-13,4.69,4.90,4.66,4.88,57969
11-Nov-13,4.71,4.81,4.59,4.72,41945
8-Nov-13,4.87,4.92,4.73,4.82,48135
7-Nov-13,4.91,5.10,4.74,4.82,103347
6-Nov-13,4.90,4.90,4.73,4.86,190631
5-Nov-13,4.90,5.09,4.90,4.95,71360
4-Nov-13,4.95,5.26,4.86,4.90,60895
1-Nov-13,4.85,5.41,4.79,4.97,62395
31-Oct-13,4.94,4.94,4.74,4.89,14368
30-Oct-13,4.92,4.96,4.85,4.92,6924
29-Oct-13,4.79,4.92,4.71,4.89,37178
28-Oct-13,4.78,4.80,4.75,4.78,68836
25-Oct-13,4.78,4.79,4.73,4.77,170042
24-Oct-13,4.75,4.82,4.70,4.79,53674
23-Oct-13,4.69,4.79,4.69,4.76,45147
22-Oct-13,4.67,4.75,4.64,4.73,30207
21-Oct-13,4.78,4.78,4.64,4.68,33516
18-Oct-13,4.74,4.77,4.69,4.77,16294
17-Oct-13,4.76,4.76,4.68,4.74,18149
16-Oct-13,4.70,4.77,4.70,4.75,40069
15-Oct-13,4.72,4.84,4.70,4.76,21880
14-Oct-13,4.72,4.76,4.61,4.73,60188
11-Oct-13,4.65,4.77,4.65,4.72,26079
10-Oct-13,4.73,4.79,4.58,4.69,19747
9-Oct-13,4.59,4.78,4.58,4.71,20441
8-Oct-13,4.73,4.81,4.53,4.59,24432
7-Oct-13,4.67,4.80,4.66,4.67,32622
4-Oct-13,4.72,4.75,4.66,4.66,17044
3-Oct-13,4.72,4.74,4.68,4.70,32591
2-Oct-13,4.69,4.74,4.65,4.70,28693
1-Oct-13,4.60,4.78,4.59,4.66,32903
30-Sep-13,4.63,4.64,4.51,4.53,52296
27-Sep-13,4.61,4.75,4.61,4.66,16360
26-Sep-13,4.60,4.66,4.59,4.61,20410
25-Sep-13,4.53,4.70,4.50,4.59,35621
24-Sep-13,4.59,4.66,4.50,4.52,16908
23-Sep-13,4.64,4.69,4.57,4.62,56934
20-Sep-13,4.51,4.66,4.50,4.65,20830
19-Sep-13,4.68,4.68,4.50,4.52,18568
18-Sep-13,4.59,4.66,4.50,4.66,22901
17-Sep-13,4.52,4.66,4.42,4.61,81732
16-Sep-13,4.75,4.75,4.47,4.55,37429
13-Sep-13,4.53,4.77,4.53,4.77,27148
12-Sep-13,4.60,4.69,4.48,4.50,30355
11-Sep-13,4.60,4.72,4.52,4.58,18294
10-Sep-13,4.86,4.86,4.50,4.58,53895
9-Sep-13,4.57,4.74,4.51,4.67,30353
6-Sep-13,4.62,4.67,4.50,4.58,57643
5-Sep-13,4.59,4.67,4.51,4.63,14931
4-Sep-13,4.60,4.66,4.50,4.58,59592
3-Sep-13,4.45,4.72,4.45,4.60,61423
30-Aug-13,4.51,4.57,4.41,4.44,51413
29-Aug-13,4.52,4.61,4.50,4.52,21352
28-Aug-13,4.43,4.59,4.43,4.51,31447
27-Aug-13,4.40,4.55,4.33,4.50,51685
