Date,Open,High,Low,Close,Volume
23-Oct-14,6.91,7.09,6.85,7.00,107320
22-Oct-14,6.97,6.98,6.85,6.88,55521
21-Oct-14,6.94,7.05,6.83,6.95,76689
20-Oct-14,6.97,7.08,6.85,6.92,61961
17-Oct-14,7.06,7.06,6.91,6.98,106665
16-Oct-14,6.60,6.96,6.60,6.96,174494
15-Oct-14,6.60,6.84,6.36,6.67,379031
14-Oct-14,6.51,6.72,6.43,6.58,64064
13-Oct-14,6.41,6.70,6.36,6.48,144299
10-Oct-14,6.46,6.69,6.38,6.39,109685
9-Oct-14,6.75,6.75,6.50,6.52,66648
8-Oct-14,6.54,6.76,6.50,6.73,73840
7-Oct-14,6.70,6.73,6.53,6.53,53315
6-Oct-14,6.70,6.85,6.68,6.74,165098
3-Oct-14,6.72,6.72,6.67,6.67,43557
2-Oct-14,6.45,6.68,6.45,6.65,100994
1-Oct-14,6.43,6.57,6.39,6.45,111402
30-Sep-14,6.50,6.56,6.41,6.41,131352
29-Sep-14,6.48,6.59,6.48,6.50,57176
26-Sep-14,6.45,6.60,6.45,6.53,79499
25-Sep-14,6.55,6.62,6.46,6.46,74332
24-Sep-14,6.54,6.60,6.52,6.55,42736
23-Sep-14,6.61,6.68,6.51,6.51,97699
22-Sep-14,6.73,6.76,6.65,6.65,107442
19-Sep-14,6.96,7.06,6.71,6.73,315467
18-Sep-14,6.92,7.02,6.84,6.88,76142
17-Sep-14,7.02,7.05,6.89,6.91,46345
16-Sep-14,6.96,7.09,6.95,7.00,91979
15-Sep-14,7.00,7.02,6.94,6.95,55563
12-Sep-14,7.21,7.25,7.00,7.03,113420
11-Sep-14,7.15,7.25,7.15,7.19,41861
10-Sep-14,7.20,7.25,7.16,7.18,35204
9-Sep-14,7.25,7.27,7.12,7.20,65258
8-Sep-14,7.19,7.28,7.12,7.28,68700
5-Sep-14,7.23,7.25,7.14,7.19,39010
4-Sep-14,7.17,7.20,7.02,7.13,78583
3-Sep-14,7.21,7.24,7.10,7.13,48548
2-Sep-14,7.15,7.21,7.04,7.20,206552
29-Aug-14,7.10,7.17,7.01,7.15,81452
28-Aug-14,7.11,7.16,7.00,7.07,78127
27-Aug-14,7.17,7.19,7.10,7.15,56455
26-Aug-14,7.25,7.25,7.15,7.19,54132
25-Aug-14,7.32,7.32,7.20,7.24,73778
22-Aug-14,7.22,7.31,7.11,7.26,84515
21-Aug-14,7.20,7.28,7.13,7.25,64444
20-Aug-14,7.20,7.24,7.16,7.17,53760
19-Aug-14,7.25,7.33,7.20,7.25,77735
18-Aug-14,7.25,7.31,7.23,7.25,175453
