Date,Open,High,Low,Close,Volume
23-Oct-14,2.11,2.19,2.06,2.15,234663
22-Oct-14,2.19,2.20,2.09,2.10,166624
21-Oct-14,2.17,2.24,2.16,2.20,164932
20-Oct-14,2.07,2.21,2.04,2.17,269367
17-Oct-14,2.16,2.16,2.05,2.10,191390
16-Oct-14,2.02,2.21,2.02,2.13,327736
15-Oct-14,2.02,2.15,1.96,2.09,220274
14-Oct-14,1.97,2.06,1.96,2.03,174493
13-Oct-14,2.02,2.04,1.89,1.96,446578
10-Oct-14,2.11,2.11,2.03,2.04,345423
9-Oct-14,2.24,2.25,2.10,2.10,190677
8-Oct-14,2.28,2.28,2.18,2.25,215667
7-Oct-14,2.25,2.29,2.20,2.25,178681
6-Oct-14,2.20,2.32,2.20,2.26,215744
3-Oct-14,2.28,2.33,2.14,2.19,262450
2-Oct-14,2.30,2.30,2.21,2.24,168981
1-Oct-14,2.38,2.39,2.26,2.30,176932
30-Sep-14,2.44,2.48,2.34,2.38,737214
29-Sep-14,2.25,2.31,2.20,2.23,151818
26-Sep-14,2.18,2.26,2.18,2.24,97681
25-Sep-14,2.28,2.28,2.15,2.21,321122
24-Sep-14,2.25,2.30,2.25,2.28,128933
23-Sep-14,2.34,2.41,2.25,2.27,204525
22-Sep-14,2.42,2.44,2.31,2.32,215994
19-Sep-14,2.42,2.45,2.36,2.39,138537
18-Sep-14,2.36,2.49,2.36,2.41,219773
17-Sep-14,2.38,2.40,2.30,2.33,195115
16-Sep-14,2.38,2.40,2.32,2.36,145703
15-Sep-14,2.53,2.53,2.35,2.40,367874
12-Sep-14,2.51,2.60,2.48,2.59,414455
11-Sep-14,2.53,2.53,2.41,2.49,1187051
10-Sep-14,2.43,2.64,2.39,2.52,1388222
9-Sep-14,2.41,2.42,2.37,2.40,503935
8-Sep-14,2.33,2.35,2.29,2.32,97884
5-Sep-14,2.37,2.40,2.31,2.32,232408
4-Sep-14,2.42,2.43,2.35,2.35,241866
3-Sep-14,2.45,2.46,2.39,2.40,409378
2-Sep-14,2.41,2.49,2.41,2.44,433498
29-Aug-14,2.40,2.47,2.33,2.45,437628
28-Aug-14,2.42,2.49,2.38,2.41,955173
27-Aug-14,2.38,2.44,2.33,2.44,393690
26-Aug-14,2.30,2.39,2.29,2.35,742016
25-Aug-14,2.21,2.35,2.20,2.31,1522914
22-Aug-14,2.09,2.16,2.07,2.14,394810
21-Aug-14,2.09,2.12,2.07,2.10,237734
20-Aug-14,2.11,2.11,2.05,2.06,397835
19-Aug-14,2.07,2.12,2.05,2.11,534462
18-Aug-14,2.06,2.09,2.04,2.06,394723
15-Aug-14,2.14,2.14,2.05,2.06,343929
14-Aug-14,2.05,2.14,2.02,2.14,662777
13-Aug-14,2.02,2.06,2.02,2.05,139657
12-Aug-14,2.07,2.08,2.01,2.02,771745
11-Aug-14,2.02,2.07,2.01,2.04,793145
8-Aug-14,2.00,2.01,2.00,2.00,324993
7-Aug-14,2.02,2.02,2.00,2.00,625209
6-Aug-14,2.00,2.02,2.00,2.00,538332
5-Aug-14,2.04,2.06,2.00,2.02,332737
4-Aug-14,2.03,2.10,2.02,2.06,320249
1-Aug-14,2.02,2.06,2.01,2.03,187714
31-Jul-14,2.00,2.04,2.00,2.00,4705331
30-Jul-14,2.05,2.17,2.04,2.06,828971
29-Jul-14,2.26,2.26,2.07,2.12,318292
28-Jul-14,2.19,2.28,2.02,2.26,1428441
25-Jul-14,2.41,2.44,2.34,2.41,212661
24-Jul-14,2.49,2.52,2.44,2.44,43551
23-Jul-14,2.51,2.52,2.44,2.49,99009
22-Jul-14,2.47,2.55,2.47,2.53,208976
21-Jul-14,2.48,2.49,2.43,2.47,46266
18-Jul-14,2.51,2.58,2.47,2.48,214400
17-Jul-14,2.52,2.55,2.45,2.47,100616
16-Jul-14,2.56,2.56,2.50,2.51,38773
15-Jul-14,2.58,2.62,2.52,2.57,137580
14-Jul-14,2.64,2.65,2.57,2.60,39323
11-Jul-14,2.65,2.69,2.60,2.63,221511
10-Jul-14,2.48,2.65,2.45,2.63,131061
9-Jul-14,2.44,2.57,2.41,2.51,84565
8-Jul-14,2.47,2.50,2.41,2.42,107013
7-Jul-14,2.55,2.61,2.50,2.52,128699
3-Jul-14,2.59,2.68,2.59,2.63,137877
2-Jul-14,2.60,2.67,2.57,2.61,358655
1-Jul-14,2.50,2.68,2.50,2.60,267266
30-Jun-14,2.62,2.62,2.50,2.54,206083
27-Jun-14,2.50,2.70,2.50,2.63,521341
26-Jun-14,2.44,2.49,2.40,2.48,85853
25-Jun-14,2.45,2.49,2.40,2.47,76035
24-Jun-14,2.54,2.55,2.45,2.47,131810
23-Jun-14,2.55,2.58,2.50,2.55,125935
20-Jun-14,2.63,2.64,2.52,2.56,116723
19-Jun-14,2.67,2.71,2.60,2.63,190634
18-Jun-14,2.50,2.77,2.50,2.66,593109
17-Jun-14,2.43,2.52,2.40,2.51,133407
16-Jun-14,2.40,2.45,2.38,2.43,91301
13-Jun-14,2.47,2.49,2.39,2.43,102583
12-Jun-14,2.42,2.52,2.41,2.45,237755
11-Jun-14,2.48,2.49,2.38,2.40,325007
10-Jun-14,2.45,2.58,2.45,2.47,231719
9-Jun-14,2.52,2.52,2.45,2.48,134310
6-Jun-14,2.57,2.60,2.54,2.56,77390
5-Jun-14,2.55,2.59,2.49,2.59,167858
4-Jun-14,2.38,2.53,2.38,2.52,167363
3-Jun-14,2.40,2.41,2.36,2.39,49122
2-Jun-14,2.30,2.45,2.29,2.41,252271
30-May-14,2.35,2.35,2.27,2.32,145347
29-May-14,2.23,2.35,2.22,2.33,232578
28-May-14,2.22,2.25,2.20,2.21,120057
27-May-14,2.20,2.27,2.20,2.24,110760
23-May-14,2.18,2.22,2.17,2.18,85152
22-May-14,2.22,2.27,2.20,2.21,60512
21-May-14,2.23,2.26,2.20,2.24,60124
20-May-14,2.25,2.27,2.20,2.21,71335
19-May-14,2.28,2.35,2.24,2.27,382128
16-May-14,2.27,2.36,2.16,2.28,437842
15-May-14,2.30,2.30,2.17,2.26,190608
14-May-14,2.25,2.33,2.25,2.30,63258
13-May-14,2.29,2.42,2.27,2.28,195839
12-May-14,2.34,2.39,2.27,2.30,222367
9-May-14,2.41,2.41,2.13,2.31,438999
8-May-14,2.50,2.51,2.32,2.37,714659
7-May-14,2.80,2.80,2.54,2.61,270871
6-May-14,2.82,2.82,2.73,2.78,94020
5-May-14,2.84,2.84,2.77,2.81,48668
2-May-14,2.80,2.85,2.77,2.84,125027
1-May-14,2.66,2.77,2.65,2.76,141608
30-Apr-14,2.67,2.70,2.65,2.69,168813
29-Apr-14,2.74,2.77,2.61,2.62,284918
28-Apr-14,2.69,2.73,2.62,2.63,134714
25-Apr-14,2.72,2.76,2.65,2.67,98110
24-Apr-14,2.82,2.84,2.70,2.73,130419
23-Apr-14,2.82,2.86,2.78,2.78,78481
22-Apr-14,2.84,2.85,2.81,2.83,43940
21-Apr-14,2.77,2.87,2.77,2.82,56432
17-Apr-14,2.76,2.79,2.73,2.79,57570
16-Apr-14,2.82,2.82,2.69,2.79,87632
15-Apr-14,2.72,2.86,2.58,2.80,429979
14-Apr-14,2.80,2.84,2.65,2.70,341865
11-Apr-14,2.81,2.87,2.76,2.81,181929
10-Apr-14,2.80,2.88,2.75,2.84,176187
9-Apr-14,2.78,2.82,2.77,2.80,71251
8-Apr-14,2.78,2.85,2.76,2.78,225724
7-Apr-14,2.79,2.81,2.72,2.78,381994
4-Apr-14,2.87,2.91,2.76,2.80,392011
3-Apr-14,2.90,2.91,2.83,2.87,262650
2-Apr-14,2.93,2.95,2.83,2.85,461213
1-Apr-14,2.84,2.92,2.80,2.91,299885
31-Mar-14,2.91,2.98,2.81,2.83,228501
28-Mar-14,2.97,3.00,2.82,2.87,267464
27-Mar-14,2.99,3.02,2.92,2.97,160859
26-Mar-14,3.09,3.11,2.90,2.96,566942
25-Mar-14,3.07,3.19,3.05,3.11,311807
24-Mar-14,3.12,3.12,3.02,3.07,212280
21-Mar-14,3.06,3.15,3.05,3.08,92484
20-Mar-14,3.07,3.10,3.05,3.07,125858
19-Mar-14,3.20,3.22,3.06,3.07,305198
